"time","value_mem_bytes","pod"
"2021-07-24 21:31:34.167+00",14159872,"sketchbench-espbench-bullet-spark-backend-599b6d78cb-6gcgs"
"2021-07-24 21:32:30.473+00",14020608,"sketchbench-espbench-bullet-spark-backend-599b6d78cb-6gcgs"
"2021-07-24 21:33:30.473+00",13316096,"sketchbench-espbench-bullet-spark-backend-599b6d78cb-6gcgs"
"2021-07-24 21:35:39.537+00",496074752,"sketchbench-espbench-bullet-spark-backend-599b6d78cb-6gcgs"
"2021-07-24 21:36:32.12+00",496050176,"sketchbench-espbench-bullet-spark-backend-599b6d78cb-6gcgs"
"2021-07-24 21:37:36.771+00",496357376,"sketchbench-espbench-bullet-spark-backend-599b6d78cb-6gcgs"
"2021-07-24 21:38:39.342+00",497225728,"sketchbench-espbench-bullet-spark-backend-599b6d78cb-6gcgs"
"2021-07-24 21:39:34.861+00",472653824,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:40:35.853+00",674082816,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:41:38.35+00",608935936,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:42:41.868+00",650244096,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:43:39.8+00",715804672,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:44:32.522+00",767258624,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:45:37.937+00",839188480,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:46:41.193+00",958181376,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:47:40.367+00",1053188096,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:48:33.459+00",1117421568,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:49:37.86+00",1120919552,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:50:30.62+00",1122484224,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
"2021-07-24 21:51:34.577+00",1122680832,"sketchbench-espbench-bullet-spark-backend-848df95f89-4tqfj"
