"time","current_consumer_offset","consumergroup"
"2021-07-24 21:40:03.566+00",699382,"bullet-consumer-group"
"2021-07-24 21:41:03.566+00",759397,"bullet-consumer-group"
"2021-07-24 21:42:03.566+00",819467,"bullet-consumer-group"
"2021-07-24 21:43:03.566+00",879479,"bullet-consumer-group"
"2021-07-24 21:44:03.566+00",939486,"bullet-consumer-group"
"2021-07-24 21:45:03.566+00",999489,"bullet-consumer-group"
"2021-07-24 21:46:03.566+00",1059491,"bullet-consumer-group"
"2021-07-24 21:47:03.566+00",1119498,"bullet-consumer-group"
"2021-07-24 21:48:03.566+00",1179511,"bullet-consumer-group"
"2021-07-24 21:49:03.566+00",1239515,"bullet-consumer-group"
"2021-07-24 21:50:03.566+00",1299524,"bullet-consumer-group"
"2021-07-24 21:51:03.566+00",1359528,"bullet-consumer-group"
"2021-07-24 21:52:03.566+00",1419531,"bullet-consumer-group"
"2021-07-24 21:53:03.566+00",1479533,"bullet-consumer-group"
"2021-07-24 21:54:03.566+00",1539535,"bullet-consumer-group"
"2021-07-24 21:55:03.566+00",1599546,"bullet-consumer-group"
"2021-07-24 21:56:03.566+00",1659550,"bullet-consumer-group"
"2021-07-24 21:57:03.566+00",1719556,"bullet-consumer-group"
"2021-07-24 21:58:03.566+00",1779562,"bullet-consumer-group"
"2021-07-24 21:59:03.566+00",1839565,"bullet-consumer-group"
"2021-07-24 22:00:03.566+00",1899570,"bullet-consumer-group"
"2021-07-24 22:01:03.566+00",1959574,"bullet-consumer-group"
"2021-07-24 22:02:03.566+00",2019579,"bullet-consumer-group"
"2021-07-24 22:03:03.566+00",2079587,"bullet-consumer-group"
"2021-07-24 22:04:03.566+00",2139593,"bullet-consumer-group"
"2021-07-24 22:05:03.566+00",2199601,"bullet-consumer-group"
"2021-07-24 22:06:03.566+00",2259608,"bullet-consumer-group"
"2021-07-24 22:07:03.566+00",2319614,"bullet-consumer-group"
"2021-07-24 22:08:03.566+00",2379623,"bullet-consumer-group"
"2021-07-24 22:09:03.566+00",2439647,"bullet-consumer-group"
"2021-07-24 22:10:03.566+00",2499670,"bullet-consumer-group"
"2021-07-24 22:11:03.566+00",2559698,"bullet-consumer-group"
"2021-07-24 22:12:03.566+00",2619714,"bullet-consumer-group"
"2021-07-24 22:13:03.566+00",2679737,"bullet-consumer-group"
"2021-07-24 22:14:03.566+00",2739741,"bullet-consumer-group"
"2021-07-24 22:15:03.566+00",2799763,"bullet-consumer-group"
