"time","consumergroup_lag","consumergroup"
"2021-07-24 21:40:03.566+00",491,"bullet-consumer-group"
"2021-07-24 21:41:03.566+00",476,"bullet-consumer-group"
"2021-07-24 21:42:03.566+00",403,"bullet-consumer-group"
"2021-07-24 21:43:03.566+00",389,"bullet-consumer-group"
"2021-07-24 21:44:03.566+00",386,"bullet-consumer-group"
"2021-07-24 21:45:03.566+00",383,"bullet-consumer-group"
"2021-07-24 21:46:03.566+00",380,"bullet-consumer-group"
"2021-07-24 21:47:03.566+00",376,"bullet-consumer-group"
"2021-07-24 21:48:03.566+00",357,"bullet-consumer-group"
"2021-07-24 21:49:03.566+00",357,"bullet-consumer-group"
"2021-07-24 21:50:03.566+00",348,"bullet-consumer-group"
"2021-07-24 21:51:03.566+00",343,"bullet-consumer-group"
"2021-07-24 21:52:03.566+00",340,"bullet-consumer-group"
"2021-07-24 21:53:03.566+00",336,"bullet-consumer-group"
"2021-07-24 21:54:03.566+00",338,"bullet-consumer-group"
"2021-07-24 21:55:03.566+00",326,"bullet-consumer-group"
"2021-07-24 21:56:03.566+00",321,"bullet-consumer-group"
"2021-07-24 21:57:03.566+00",315,"bullet-consumer-group"
"2021-07-24 21:58:03.566+00",306,"bullet-consumer-group"
"2021-07-24 21:59:03.566+00",307,"bullet-consumer-group"
"2021-07-24 22:00:03.566+00",302,"bullet-consumer-group"
"2021-07-24 22:01:03.566+00",297,"bullet-consumer-group"
"2021-07-24 22:02:03.566+00",292,"bullet-consumer-group"
"2021-07-24 22:03:03.566+00",282,"bullet-consumer-group"
"2021-07-24 22:04:03.566+00",278,"bullet-consumer-group"
"2021-07-24 22:05:03.566+00",271,"bullet-consumer-group"
"2021-07-24 22:06:03.566+00",262,"bullet-consumer-group"
"2021-07-24 22:07:03.566+00",257,"bullet-consumer-group"
"2021-07-24 22:08:03.566+00",245,"bullet-consumer-group"
"2021-07-24 22:09:03.566+00",225,"bullet-consumer-group"
"2021-07-24 22:10:03.566+00",202,"bullet-consumer-group"
"2021-07-24 22:11:03.566+00",174,"bullet-consumer-group"
"2021-07-24 22:12:03.566+00",157,"bullet-consumer-group"
"2021-07-24 22:13:03.566+00",132,"bullet-consumer-group"
"2021-07-24 22:14:03.566+00",131,"bullet-consumer-group"
"2021-07-24 22:15:03.566+00",109,"bullet-consumer-group"
"2021-07-24 22:16:03.566+00",70,"bullet-consumer-group"
"2021-07-24 22:17:03.566+00",60,"bullet-consumer-group"
"2021-07-24 22:18:03.566+00",54,"bullet-consumer-group"
"2021-07-24 22:19:03.566+00",33,"bullet-consumer-group"
"2021-07-24 22:20:03.566+00",22,"bullet-consumer-group"
"2021-07-24 22:21:03.566+00",9,"bullet-consumer-group"
"2021-07-24 22:22:03.566+00",5,"bullet-consumer-group"
"2021-07-24 22:23:03.566+00",4995,"bullet-consumer-group"
"2021-07-24 22:24:03.566+00",4966,"bullet-consumer-group"
"2021-07-24 22:25:03.566+00",4960,"bullet-consumer-group"
"2021-07-24 22:26:03.566+00",4947,"bullet-consumer-group"
"2021-07-24 22:27:03.566+00",4963,"bullet-consumer-group"
"2021-07-24 22:28:03.566+00",4934,"bullet-consumer-group"
"2021-07-24 22:29:03.566+00",4920,"bullet-consumer-group"
"2021-07-24 22:30:03.566+00",4908,"bullet-consumer-group"
"2021-07-24 22:31:03.566+00",4902,"bullet-consumer-group"
"2021-07-24 22:32:03.566+00",4881,"bullet-consumer-group"
"2021-07-24 22:33:03.566+00",4879,"bullet-consumer-group"
"2021-07-24 22:34:03.566+00",4872,"bullet-consumer-group"
"2021-07-24 22:35:03.566+00",4866,"bullet-consumer-group"
"2021-07-24 22:36:03.566+00",4862,"bullet-consumer-group"
"2021-07-24 22:37:03.566+00",4858,"bullet-consumer-group"
"2021-07-24 22:38:03.566+00",4849,"bullet-consumer-group"
"2021-07-24 22:39:03.566+00",4846,"bullet-consumer-group"
"2021-07-24 22:40:03.566+00",4219,"bullet-consumer-group"
"2021-07-24 22:41:03.566+00",4217,"bullet-consumer-group"
"2021-07-24 22:42:03.566+00",4213,"bullet-consumer-group"
"2021-07-24 22:43:03.566+00",4208,"bullet-consumer-group"
"2021-07-24 22:44:03.566+00",0,"bullet-consumer-group"
"2021-07-24 22:45:03.566+00",0,"bullet-consumer-group"
"2021-07-24 22:46:03.566+00",39397,"bullet-consumer-group"
"2021-07-24 22:47:03.566+00",38474,"bullet-consumer-group"
"2021-07-24 22:48:03.566+00",38607,"bullet-consumer-group"
"2021-07-24 22:49:03.566+00",45298,"bullet-consumer-group"
"2021-07-24 22:50:03.566+00",38645,"bullet-consumer-group"
"2021-07-24 22:51:03.566+00",42042,"bullet-consumer-group"
"2021-07-24 22:52:03.566+00",43670,"bullet-consumer-group"
"2021-07-24 22:53:03.566+00",36637,"bullet-consumer-group"
"2021-07-24 22:54:03.566+00",35568,"bullet-consumer-group"
"2021-07-24 22:55:03.566+00",35421,"bullet-consumer-group"
"2021-07-24 22:56:03.566+00",37125,"bullet-consumer-group"
"2021-07-24 22:57:03.566+00",44420,"bullet-consumer-group"
"2021-07-24 22:58:03.566+00",40424,"bullet-consumer-group"
"2021-07-24 22:59:03.566+00",39982,"bullet-consumer-group"
"2021-07-24 23:00:03.566+00",43981,"bullet-consumer-group"
"2021-07-24 23:01:03.566+00",39456,"bullet-consumer-group"
"2021-07-24 23:02:03.566+00",38192,"bullet-consumer-group"
"2021-07-24 23:03:03.566+00",38829,"bullet-consumer-group"
"2021-07-24 23:04:03.566+00",41033,"bullet-consumer-group"
"2021-07-24 23:05:03.566+00",36727,"bullet-consumer-group"
"2021-07-24 23:06:03.566+00",40777,"bullet-consumer-group"
"2021-07-24 23:07:03.566+00",40320,"bullet-consumer-group"
"2021-07-24 23:08:03.566+00",35757,"bullet-consumer-group"
"2021-07-24 23:09:03.566+00",32684,"bullet-consumer-group"
"2021-07-24 23:10:03.566+00",37482,"bullet-consumer-group"
"2021-07-24 23:11:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:12:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:13:03.566+00",38789,"bullet-consumer-group"
"2021-07-24 23:14:03.566+00",35750,"bullet-consumer-group"
"2021-07-24 23:15:03.566+00",35194,"bullet-consumer-group"
"2021-07-24 23:16:03.566+00",34064,"bullet-consumer-group"
"2021-07-24 23:17:03.566+00",40316,"bullet-consumer-group"
"2021-07-24 23:18:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:19:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:20:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:21:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:22:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:23:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:24:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:25:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:26:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:27:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:28:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:29:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:30:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:31:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:32:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:33:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:34:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:35:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:36:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:37:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:38:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:39:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:40:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:41:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:42:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:43:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:44:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:45:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:46:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:47:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:48:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:49:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:50:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:51:03.566+00",0,"bullet-consumer-group"
"2021-07-24 23:52:03.566+00",nan,"bullet-consumer-group"
"2021-07-24 23:59:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:00:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:01:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:02:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:03:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:04:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:05:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:06:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:07:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:08:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:09:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:10:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:11:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:12:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:13:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:14:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:15:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:16:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:17:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:18:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:19:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:20:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:21:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:22:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:23:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:24:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:25:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:26:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:27:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:28:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:29:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:30:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:31:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:32:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:33:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:34:03.566+00",0,"bullet-consumer-group"
