"time","bytesinpersec_oneminuterate"
"2021-07-24 21:33:32.962+00",1709998.3486795034
"2021-07-24 21:34:32.962+00",869747.6730003587
"2021-07-24 21:35:32.962+00",479604.9316310714
"2021-07-24 21:36:32.962+00",336264.9556269711
"2021-07-24 21:37:32.962+00",283413.9808151831
"2021-07-24 21:38:32.962+00",264090.72325423197
"2021-07-24 21:39:32.962+00",256901.818262685
"2021-07-24 21:40:32.962+00",254328.1167620741
"2021-07-24 21:41:32.962+00",253126.56880033197
"2021-07-24 21:42:32.962+00",252891.07437151062
"2021-07-24 21:43:32.962+00",252830.1765640158
"2021-07-24 21:44:32.962+00",252807.47368210426
"2021-07-24 21:45:32.962+00",253112.08799384843
"2021-07-24 21:46:32.962+00",253558.06234384517
"2021-07-24 21:47:32.962+00",253617.76437763913
"2021-07-24 21:48:32.962+00",253739.6699231068
"2021-07-24 21:49:32.962+00",253729.30134975657
"2021-07-24 21:50:32.962+00",253812.5634709717
"2021-07-24 21:51:32.962+00",253786.3795389646
"2021-07-24 21:52:32.962+00",253691.46081287193
"2021-07-24 21:53:32.962+00",253732.67651862488
"2021-07-24 21:54:32.962+00",254310.5153434002
"2021-07-24 21:55:32.962+00",253808.74828691687
"2021-07-24 21:56:32.962+00",254202.15072472987
"2021-07-24 21:57:32.962+00",253860.29297392518
"2021-07-24 21:58:32.962+00",253610.1116988839
"2021-07-24 21:59:32.962+00",253751.61093900763
"2021-07-24 22:00:32.962+00",253593.25261759886
"2021-07-24 22:01:32.962+00",253712.14256603984
"2021-07-24 22:02:32.962+00",253504.35633496885
"2021-07-24 22:03:32.962+00",253354.70431321985
"2021-07-24 22:04:32.962+00",253386.39120107147
"2021-07-24 22:05:32.962+00",253724.98019693943
"2021-07-24 22:06:32.962+00",253728.6922666432
"2021-07-24 22:07:32.962+00",253817.9013316225
"2021-07-24 22:08:32.962+00",253723.98483626908
"2021-07-24 22:09:32.962+00",253788.68900641086
"2021-07-24 22:10:32.962+00",253688.32591461655
"2021-07-24 22:11:32.962+00",253670.9467009573
"2021-07-24 22:12:32.962+00",253539.55229760977
"2021-07-24 22:13:32.962+00",253896.4277992424
"2021-07-24 22:14:32.962+00",254735.20908168092
"2021-07-24 22:15:32.962+00",255163.3564833004
"2021-07-24 22:16:32.962+00",255209.56345073265
"2021-07-24 22:17:32.962+00",255290.13934159288
"2021-07-24 22:18:32.962+00",255172.46219225085
"2021-07-24 22:19:32.962+00",255341.8003210137
"2021-07-24 22:20:32.962+00",255276.3779683371
"2021-07-24 22:21:32.962+00",255278.32251927318
"2021-07-24 22:22:32.962+00",255343.00709380244
"2021-07-24 22:23:32.962+00",255334.9575265515
"2021-07-24 22:24:32.962+00",255394.37301598777
"2021-07-24 22:25:32.962+00",255399.91337328457
"2021-07-24 22:26:32.962+00",255259.20885752008
"2021-07-24 22:27:32.962+00",255002.84303109578
"2021-07-24 22:28:32.962+00",247351.4548726718
"2021-07-24 22:29:32.962+00",249779.1942568228
"2021-07-24 22:30:32.962+00",251421.08635043819
"2021-07-24 22:31:32.962+00",252348.98964214086
"2021-07-24 22:32:32.962+00",252689.31832859374
