"time","bytesoutpersec_oneminuterate"
"2021-07-24 21:40:32.962+00",253353.5452145077
"2021-07-24 21:41:32.962+00",252723.03421004707
"2021-07-24 21:42:32.962+00",252804.00831195482
"2021-07-24 21:43:32.962+00",252779.4484538098
"2021-07-24 21:44:32.962+00",252798.64712291758
"2021-07-24 21:45:32.962+00",253105.72730671387
"2021-07-24 21:46:32.962+00",253506.22077359713
"2021-07-24 21:47:32.962+00",253645.2924052853
"2021-07-24 21:48:32.962+00",253623.0491304292
"2021-07-24 21:49:32.962+00",253761.15538176763
"2021-07-24 21:50:32.962+00",253739.71817195741
"2021-07-24 21:51:32.962+00",253861.20387643352
"2021-07-24 21:52:32.962+00",253754.07081922426
"2021-07-24 21:53:32.962+00",253731.5987023447
"2021-07-24 21:54:32.962+00",254227.46747778435
"2021-07-24 21:55:32.962+00",253707.9811623899
"2021-07-24 21:56:32.962+00",254230.40231089373
"2021-07-24 21:57:32.962+00",253935.90005402078
"2021-07-24 21:58:32.962+00",253583.1206248291
"2021-07-24 21:59:32.962+00",253639.23278058966
"2021-07-24 22:00:32.962+00",253572.22038122686
"2021-07-24 22:01:32.962+00",253711.08649197157
"2021-07-24 22:02:32.962+00",253521.9185508415
"2021-07-24 22:03:32.962+00",253383.89832259045
"2021-07-24 22:04:32.962+00",253382.30386306872
"2021-07-24 22:05:32.962+00",253585.71068664824
"2021-07-24 22:06:32.962+00",253739.23880470317
"2021-07-24 22:07:32.962+00",253749.12151064063
"2021-07-24 22:08:32.962+00",253747.73673261763
"2021-07-24 22:09:32.962+00",253789.3225944622
"2021-07-24 22:10:32.962+00",253729.10029847798
"2021-07-24 22:11:32.962+00",253663.81874850835
"2021-07-24 22:12:32.962+00",253578.47802806535
"2021-07-24 22:13:32.962+00",253844.7862105804
"2021-07-24 22:14:32.962+00",254731.9553382404
"2021-07-24 22:15:32.962+00",255097.62803416207
"2021-07-24 22:16:32.962+00",255219.51242444184
"2021-07-24 22:17:32.962+00",255140.6504603067
"2021-07-24 22:18:32.962+00",255165.93578598468
"2021-07-24 22:19:32.962+00",255296.70510736547
"2021-07-24 22:20:32.962+00",255235.04484104036
"2021-07-24 22:21:32.962+00",255286.984838899
"2021-07-24 22:22:32.962+00",255299.75475751847
"2021-07-24 22:23:32.962+00",255317.10069576424
"2021-07-24 22:24:32.962+00",255361.66865217985
"2021-07-24 22:25:32.962+00",255360.13699572536
"2021-07-24 22:26:32.962+00",255185.7319779591
"2021-07-24 22:27:32.962+00",255094.72183217338
"2021-07-24 22:28:32.962+00",247007.68113418328
"2021-07-24 22:29:32.962+00",249556.7188034401
"2021-07-24 22:30:32.962+00",251321.18876839528
"2021-07-24 22:31:32.962+00",252220.8701690215
"2021-07-24 22:32:32.962+00",252718.3938398731
"2021-07-24 22:33:32.962+00",252767.36320899657
"2021-07-24 22:34:32.962+00",252828.62808613185
"2021-07-24 22:35:32.962+00",252654.35610225104
"2021-07-24 22:36:32.962+00",252726.05174154247
"2021-07-24 22:37:32.962+00",252756.81282531956
"2021-07-24 22:38:32.962+00",252701.6978662544
"2021-07-24 22:39:32.962+00",252534.8013517109
"2021-07-24 22:40:32.962+00",252949.50258146183
"2021-07-24 22:41:32.962+00",252599.5761353759
"2021-07-24 22:42:32.962+00",252650.52882465554
"2021-07-24 22:43:32.962+00",240342.5303208869
"2021-07-24 22:44:32.962+00",88417.07574417835
"2021-07-24 22:45:32.962+00",356170.7878970481
"2021-07-24 22:46:32.964+00",1618811.140288032
"2021-07-24 22:47:32.962+00",2076010.4951560274
"2021-07-24 22:48:32.962+00",2308661.5287031787
"2021-07-24 22:49:32.962+00",2399245.4489821824
"2021-07-24 22:50:32.962+00",2432505.602194311
"2021-07-24 22:51:32.962+00",2449029.360611628
"2021-07-24 22:52:32.962+00",2446496.890077141
"2021-07-24 22:53:32.962+00",2377454.9369567693
"2021-07-24 22:54:32.962+00",2388352.320987451
"2021-07-24 22:55:32.962+00",2338770.7634598627
"2021-07-24 22:56:32.962+00",2375055.046597567
"2021-07-24 22:57:32.962+00",2450331.256162302
"2021-07-24 22:58:32.962+00",2424200.4936746284
"2021-07-24 22:59:32.962+00",2423009.5357063627
"2021-07-24 23:00:32.962+00",2461685.0379054165
"2021-07-24 23:01:32.962+00",2487618.2793481643
"2021-07-24 23:02:32.969+00",2487246.444084242
"2021-07-24 23:03:32.962+00",2478200.777176688
"2021-07-24 23:04:32.962+00",2473520.0813397462
"2021-07-24 23:05:32.962+00",2479314.775800047
"2021-07-24 23:06:32.962+00",2500957.5913424636
"2021-07-24 23:07:32.962+00",2523675.0862723677
"2021-07-24 23:08:32.962+00",2459945.293828179
"2021-07-24 23:09:32.962+00",2402385.8232719563
"2021-07-24 23:10:32.962+00",2417905.9402389484
"2021-07-24 23:11:32.962+00",1297525.9498756244
"2021-07-24 23:12:32.962+00",477333.1213456899
"2021-07-24 23:13:32.962+00",1314748.791472604
"2021-07-24 23:14:32.962+00",1978776.0466916463
"2021-07-24 23:15:32.962+00",2207648.9978036694
"2021-07-24 23:16:32.962+00",2277287.12998946
"2021-07-24 23:17:32.962+00",2247224.8506289506
"2021-07-24 23:18:32.962+00",892679.3737720571
"2021-07-24 23:19:32.962+00",328398.3891685375
"2021-07-24 23:20:32.962+00",120811.0158889235
"2021-07-24 23:21:32.962+00",44443.88901257143
"2021-07-24 23:22:32.962+00",16349.993053430393
"2021-07-24 23:23:32.962+00",6014.82630765294
"2021-07-24 23:24:32.962+00",2212.730940802655
"2021-07-24 23:25:32.962+00",814.0182219652409
"2021-07-24 23:26:32.962+00",299.460568599944
"2021-07-24 23:27:32.962+00",110.16538662942982
"2021-07-24 23:28:32.962+00",40.527580869670544
"2021-07-24 23:29:32.962+00",14.90926380236485
"2021-07-24 23:30:32.962+00",5.484811635891598
"2021-07-24 23:31:32.962+00",2.0177494395424267
"2021-07-24 23:32:32.962+00",0.7422885362428592
"2021-07-24 23:33:32.962+00",0.2730726919009911
"2021-07-24 23:34:32.962+00",0.10045782929571812
"2021-07-24 23:35:32.962+00",0.036956370102604955
"2021-07-24 23:36:32.962+00",0.01359548878107132
"2021-07-24 23:37:32.962+00",0.0050015008152331335
"2021-07-24 23:38:32.962+00",0.0018399493249264796
"2021-07-24 23:39:32.962+00",0.0006768795294377264
"2021-07-24 23:40:32.962+00",0.0002490100630299398
"2021-07-24 23:41:32.962+00",9.160568283351993e-05
"2021-07-24 23:42:32.962+00",3.3699847408923716e-05
"2021-07-24 23:43:32.962+00",1.2397481032357744e-05
"2021-07-24 23:44:32.962+00",4.5607783941173266e-06
"2021-07-24 23:45:32.962+00",1.6778166069346712e-06
"2021-07-24 23:46:32.962+00",6.172342357472928e-07
"2021-07-24 23:47:32.962+00",2.270677857185965e-07
"2021-07-24 23:48:32.962+00",8.353357011819414e-08
"2021-07-24 23:49:32.962+00",3.073028309413677e-08
"2021-07-24 23:50:32.962+00",1.1305039371711264e-08
"2021-07-24 23:51:32.962+00",4.1588915664862965e-09
"2021-07-24 23:52:32.962+00",nan
"2021-07-24 23:59:32.399+00",0
"2021-07-25 00:00:32.399+00",0
"2021-07-25 00:01:32.399+00",0
"2021-07-25 00:02:32.399+00",0
"2021-07-25 00:03:32.399+00",0
"2021-07-25 00:04:32.399+00",0
"2021-07-25 00:05:32.399+00",0
"2021-07-25 00:06:32.399+00",0
"2021-07-25 00:07:32.399+00",0
"2021-07-25 00:08:32.399+00",0
"2021-07-25 00:09:32.399+00",0
"2021-07-25 00:10:32.399+00",0
"2021-07-25 00:11:32.399+00",0
"2021-07-25 00:12:32.399+00",0
"2021-07-25 00:13:32.399+00",0
"2021-07-25 00:14:32.399+00",0
"2021-07-25 00:15:32.399+00",0
"2021-07-25 00:16:32.399+00",0
"2021-07-25 00:17:32.399+00",0
"2021-07-25 00:18:32.399+00",0
"2021-07-25 00:19:32.399+00",0
"2021-07-25 00:20:32.399+00",0
"2021-07-25 00:21:32.399+00",0
"2021-07-25 00:22:32.399+00",0
"2021-07-25 00:23:32.399+00",0
"2021-07-25 00:24:32.399+00",0
"2021-07-25 00:25:32.399+00",0
"2021-07-25 00:26:32.399+00",0
"2021-07-25 00:27:32.399+00",0
"2021-07-25 00:28:32.399+00",0
"2021-07-25 00:29:32.399+00",0
"2021-07-25 00:30:32.399+00",0
"2021-07-25 00:31:32.399+00",0
"2021-07-25 00:32:32.399+00",0
"2021-07-25 00:33:32.399+00",0
"2021-07-25 00:34:32.399+00",0
"2021-07-25 00:35:32.399+00",0
"2021-07-25 00:36:32.399+00",0
"2021-07-25 00:37:32.399+00",0
"2021-07-25 00:38:32.399+00",0
"2021-07-25 00:39:32.399+00",0
"2021-07-25 00:40:32.399+00",0
"2021-07-25 00:41:32.399+00",0
"2021-07-25 00:42:32.399+00",0
"2021-07-25 00:43:32.399+00",0
"2021-07-25 00:44:32.399+00",0
"2021-07-25 00:45:32.399+00",0
"2021-07-25 00:46:32.399+00",0
"2021-07-25 00:47:32.399+00",0
"2021-07-25 00:48:32.399+00",0
"2021-07-25 00:49:32.399+00",0
"2021-07-25 00:50:32.399+00",0
"2021-07-25 00:51:32.399+00",0
"2021-07-25 00:52:32.399+00",0
"2021-07-25 00:53:32.399+00",0
"2021-07-25 00:54:32.399+00",38481.98615201861
"2021-07-25 00:55:32.399+00",14156.7315607718
"2021-07-25 00:56:32.399+00",5207.970495390854
"2021-07-25 00:57:32.399+00",1915.9052754817478
"2021-07-25 00:58:32.399+00",704.8221620816438
"2021-07-25 00:59:32.399+00",1338915.091968887
"2021-07-25 01:00:32.399+00",2006868.574596358
"2021-07-25 01:01:32.399+00",2292548.886234596
"2021-07-25 01:02:32.399+00",2360109.7660768814
"2021-07-25 01:03:32.399+00",2391513.100256249
"2021-07-25 01:04:32.399+00",2462021.909904831
"2021-07-25 01:05:32.399+00",2457832.970050475
"2021-07-25 01:06:32.399+00",2479198.179351014
"2021-07-25 01:07:32.399+00",2405045.798844457
"2021-07-25 01:08:32.399+00",2400983.792815452
"2021-07-25 01:09:32.399+00",2441589.1841198136
"2021-07-25 01:10:32.399+00",2488683.5777915777
"2021-07-25 01:11:32.399+00",2451430.771596526
"2021-07-25 01:12:32.399+00",2441618.3858930552
"2021-07-25 01:13:32.399+00",2465922.4503010334
"2021-07-25 01:14:32.399+00",2427131.441673355
"2021-07-25 01:15:32.399+00",2425383.263627331
"2021-07-25 01:16:32.399+00",2436691.2777416054
"2021-07-25 01:17:32.399+00",2400024.5172548704
"2021-07-25 01:18:32.399+00",2411785.2960494547
"2021-07-25 01:19:32.399+00",2440723.9850799255
"2021-07-25 01:20:32.399+00",2476637.4475383325
"2021-07-25 01:21:32.399+00",2477928.8606809173
"2021-07-25 01:22:32.399+00",2451396.5999203683
"2021-07-25 01:23:32.399+00",2481370.1058006827
"2021-07-25 01:24:32.399+00",2450787.436549304
"2021-07-25 01:25:32.399+00",2519685.009789311
"2021-07-25 01:26:32.404+00",2484557.7087451
"2021-07-25 01:27:32.399+00",2463685.0869533923
"2021-07-25 01:28:32.399+00",2389187.6522926837
"2021-07-25 01:29:32.399+00",2444695.441705938
"2021-07-25 01:30:32.399+00",2463633.4942609896
"2021-07-25 01:31:32.399+00",2465312.8841312714
"2021-07-25 01:32:32.399+00",2482932.415998346
"2021-07-25 01:33:32.399+00",2459105.5519316234
"2021-07-25 01:34:32.399+00",2512395.060050334
"2021-07-25 01:35:32.399+00",2518154.085711141
"2021-07-25 01:36:32.399+00",2510967.9076779718
"2021-07-25 01:37:32.399+00",2514802.0947851227
"2021-07-25 01:38:32.399+00",2347820.7004203587
"2021-07-25 01:39:32.399+00",2373785.888591583
"2021-07-25 01:40:32.399+00",2490627.505816218
"2021-07-25 01:41:32.399+00",2478798.9051615447
"2021-07-25 01:42:32.399+00",2450766.28939223
"2021-07-25 01:43:32.399+00",950475.203935001
"2021-07-25 01:44:32.399+00",362713.37199614255
"2021-07-25 01:45:32.399+00",292130.5363833067
"2021-07-25 01:46:32.399+00",267014.21616149595
"2021-07-25 01:47:32.399+00",258057.46150269717
"2021-07-25 01:48:32.399+00",254848.22819090646
"2021-07-25 01:49:32.399+00",253545.6509184282
"2021-07-25 01:50:32.399+00",253139.28078584303
"2021-07-25 01:51:32.399+00",252753.91480814945
"2021-07-25 01:52:32.399+00",252781.62915690648
"2021-07-25 01:53:32.399+00",252781.6087207466
"2021-07-25 01:54:32.399+00",252733.78975074846
"2021-07-25 01:55:32.399+00",252822.5784953002
"2021-07-25 01:56:32.399+00",252754.93837091755
"2021-07-25 01:57:32.399+00",252549.98172690047
"2021-07-25 01:58:32.399+00",252730.4501457699
"2021-07-25 01:59:32.399+00",252685.26684359903
"2021-07-25 02:00:32.399+00",252800.43186361575
"2021-07-25 02:01:32.399+00",253120.15946641995
"2021-07-25 02:02:32.399+00",252524.70645402686
"2021-07-25 02:03:32.399+00",253925.17564256527
"2021-07-25 02:04:32.399+00",253824.06707482415
"2021-07-25 02:05:32.399+00",253856.69452894185
