"time","requests_per_sec_out"
"2021-07-24 21:40:32.962+00",501.30580333559357
"2021-07-24 21:41:32.962+00",579.2581025213204
"2021-07-24 21:42:32.962+00",641.95624183942
"2021-07-24 21:43:32.962+00",647.3384644700512
"2021-07-24 21:44:32.962+00",644.3375820474198
"2021-07-24 21:45:32.962+00",651.3500440067429
"2021-07-24 21:46:32.962+00",620.7867633339833
"2021-07-24 21:47:32.962+00",649.2616741866416
"2021-07-24 21:48:32.962+00",655.2062656076349
"2021-07-24 21:49:32.962+00",671.6751371895817
"2021-07-24 21:50:32.962+00",672.3981910582248
"2021-07-24 21:51:32.962+00",668.5444772077701
"2021-07-24 21:52:32.962+00",662.6670590259974
"2021-07-24 21:53:32.962+00",655.7825208243277
"2021-07-24 21:54:32.962+00",672.1050164205421
"2021-07-24 21:55:32.962+00",677.2368241722409
"2021-07-24 21:56:32.962+00",676.1725389837268
"2021-07-24 21:57:32.962+00",678.463329321766
"2021-07-24 21:58:32.962+00",653.5319268115823
"2021-07-24 21:59:32.962+00",666.3835882075879
"2021-07-24 22:00:32.962+00",655.4450004067119
"2021-07-24 22:01:32.962+00",649.5299873329602
"2021-07-24 22:02:32.962+00",662.8363454583892
"2021-07-24 22:03:32.962+00",618.0602620618399
"2021-07-24 22:04:32.962+00",538.917980036791
"2021-07-24 22:05:32.962+00",545.9425249330443
"2021-07-24 22:06:32.962+00",533.2857323610469
"2021-07-24 22:07:32.962+00",527.9620607257187
"2021-07-24 22:08:32.962+00",498.7961861133881
"2021-07-24 22:09:32.962+00",417.5193615839733
"2021-07-24 22:10:32.962+00",409.7362780607928
"2021-07-24 22:11:32.962+00",426.2065515773803
"2021-07-24 22:12:32.962+00",434.4576336026056
"2021-07-24 22:13:32.962+00",474.99577751505007
"2021-07-24 22:14:32.962+00",475.0723159818807
"2021-07-24 22:15:32.962+00",452.2343086446432
"2021-07-24 22:16:32.962+00",457.0135689237829
"2021-07-24 22:17:32.962+00",450.1059870242953
"2021-07-24 22:18:32.962+00",418.0160178880812
"2021-07-24 22:19:32.962+00",470.75213044352046
"2021-07-24 22:20:32.962+00",461.238090583942
"2021-07-24 22:21:32.962+00",437.09482036361277
"2021-07-24 22:22:32.962+00",430.99090826628253
"2021-07-24 22:23:32.962+00",433.2839475615281
"2021-07-24 22:24:32.962+00",429.6823825703727
"2021-07-24 22:25:32.962+00",503.03570480045715
"2021-07-24 22:26:32.962+00",538.4630660622432
"2021-07-24 22:27:32.962+00",480.6765858805937
"2021-07-24 22:28:32.962+00",448.9188562461291
"2021-07-24 22:29:32.962+00",418.56429780086563
"2021-07-24 22:30:32.962+00",429.8364801632123
"2021-07-24 22:31:32.962+00",452.2129595398754
"2021-07-24 22:32:32.962+00",437.0619881809995
"2021-07-24 22:33:32.962+00",435.5244677023943
"2021-07-24 22:34:32.962+00",431.8630175289407
"2021-07-24 22:35:32.962+00",446.97646702448037
"2021-07-24 22:36:32.962+00",442.5722562267628
"2021-07-24 22:37:32.962+00",493.6985472243615
"2021-07-24 22:38:32.962+00",511.41706255120727
"2021-07-24 22:39:32.962+00",451.95706884950107
"2021-07-24 22:40:32.962+00",452.09503780003325
"2021-07-24 22:41:32.962+00",521.0172221405475
"2021-07-24 22:42:32.962+00",536.2202063828294
"2021-07-24 22:43:32.962+00",470.39250607960093
"2021-07-24 22:44:32.962+00",174.29951949095553
"2021-07-24 22:45:32.962+00",193.05772832232515
"2021-07-24 22:46:32.964+00",400.16736492173095
"2021-07-24 22:47:32.962+00",486.81574057422984
"2021-07-24 22:48:32.962+00",523.9901377785942
"2021-07-24 22:49:32.962+00",536.6773251169607
"2021-07-24 22:50:32.962+00",542.2068433394304
"2021-07-24 22:51:32.962+00",540.8770059573409
"2021-07-24 22:52:32.962+00",505.97866723681506
"2021-07-24 22:53:32.962+00",464.1756387360405
"2021-07-24 22:54:32.962+00",445.7941767294874
"2021-07-24 22:55:32.962+00",427.53685149301486
"2021-07-24 22:56:32.962+00",419.42907752434854
"2021-07-24 22:57:32.962+00",426.53933953057395
"2021-07-24 22:58:32.962+00",468.8796276225959
"2021-07-24 22:59:32.962+00",458.95118729606776
"2021-07-24 23:00:32.962+00",437.88276433434044
"2021-07-24 23:01:32.962+00",421.37622553874667
"2021-07-24 23:02:32.969+00",368.00149143186877
"2021-07-24 23:03:32.962+00",401.18065867985325
"2021-07-24 23:04:32.962+00",441.83484566945816
"2021-07-24 23:05:32.962+00",494.96484834077364
"2021-07-24 23:06:32.962+00",521.3161786258869
"2021-07-24 23:07:32.962+00",522.3267183318854
"2021-07-24 23:08:32.962+00",534.1749635976943
"2021-07-24 23:09:32.962+00",492.9144213545359
"2021-07-24 23:10:32.962+00",497.834549142492
"2021-07-24 23:11:32.962+00",247.26797663250966
"2021-07-24 23:12:32.962+00",92.22904618081809
"2021-07-24 23:13:32.962+00",317.7378358071786
"2021-07-24 23:14:32.962+00",429.91558008871885
"2021-07-24 23:15:32.962+00",482.620079441353
"2021-07-24 23:16:32.962+00",486.28419183072964
"2021-07-24 23:17:32.962+00",482.73882949987785
"2021-07-24 23:18:32.962+00",178.8539319458285
"2021-07-24 23:19:32.962+00",67.06092565320373
"2021-07-24 23:20:32.962+00",25.934576971397355
"2021-07-24 23:21:32.962+00",10.796115195565045
"2021-07-24 23:22:32.962+00",5.2359099426241045
"2021-07-24 23:23:32.962+00",3.190424741373671
"2021-07-24 23:24:32.962+00",2.437932788613205
"2021-07-24 23:25:32.962+00",2.1611064695456776
"2021-07-24 23:26:32.962+00",2.059267757985568
"2021-07-24 23:27:32.962+00",2.021803389687215
"2021-07-24 23:28:32.962+00",2.000467349966989
"2021-07-24 23:29:32.962+00",2.0001719284446877
"2021-07-24 23:30:32.962+00",2.0000632489401533
"2021-07-24 23:31:32.962+00",2.000023267984758
"2021-07-24 23:32:32.962+00",2.0000085598132302
"2021-07-24 23:33:32.962+00",2.0000031489793075
"2021-07-24 23:34:32.962+00",1.9885430223700788
"2021-07-24 23:35:32.962+00",1.9957852134719907
"2021-07-24 23:36:32.962+00",1.9984494666874186
"2021-07-24 23:37:32.962+00",1.9994295906714499
"2021-07-24 23:38:32.962+00",1.9997901581349746
"2021-07-24 23:39:32.962+00",1.9999228034919607
"2021-07-24 23:40:32.962+00",1.9999716009917625
"2021-07-24 23:41:32.962+00",1.989447558491158
"2021-07-24 23:42:32.962+00",1.996117973714733
"2021-07-24 23:43:32.962+00",1.9985718823395635
"2021-07-24 23:44:32.962+00",1.9994746248731516
"2021-07-24 23:45:32.962+00",1.99980672529193
"2021-07-24 23:46:32.962+00",1.9999288982084023
"2021-07-24 23:47:32.962+00",1.9999738431126408
"2021-07-24 23:48:32.962+00",1.9935963347842147
"2021-07-24 23:49:32.962+00",1.997644223218968
"2021-07-24 23:50:32.962+00",1.9991333581542692
"2021-07-24 23:51:32.962+00",1.9996811802820973
"2021-07-24 23:52:32.962+00",nan
"2021-07-24 23:59:32.399+00",2
"2021-07-25 00:00:32.399+00",2
"2021-07-25 00:01:32.399+00",2
"2021-07-25 00:02:32.399+00",1.9885418639253312
"2021-07-25 00:03:32.399+00",1.9957847873039847
"2021-07-25 00:04:32.399+00",1.998449309908971
"2021-07-25 00:05:32.399+00",1.9994295329958824
"2021-07-25 00:06:32.399+00",1.9997901369173192
