"time","requests_per_sec_in"
"2021-07-24 21:33:32.962+00",5899.506671239467
"2021-07-24 21:34:32.962+00",3100.8744183541303
"2021-07-24 21:35:32.962+00",1771.3227812709492
"2021-07-24 21:36:32.962+00",1282.2071963436028
"2021-07-24 21:37:32.962+00",1101.999792942212
"2021-07-24 21:38:32.962+00",1036.1128804693167
"2021-07-24 21:39:32.962+00",1011.5451167169443
"2021-07-24 21:40:32.962+00",1002.7205556019804
"2021-07-24 21:41:32.962+00",999.0918901882947
"2021-07-24 21:42:32.962+00",997.8945987850093
"2021-07-24 21:43:32.962+00",997.864009866907
"2021-07-24 21:44:32.962+00",997.7074770582341
"2021-07-24 21:45:32.962+00",997.6218021254133
"2021-07-24 21:46:32.962+00",997.2692765713505
"2021-07-24 21:47:32.962+00",996.6294667767947
"2021-07-24 21:48:32.962+00",996.8509392074434
"2021-07-24 21:49:32.962+00",997.2279727993792
"2021-07-24 21:50:32.962+00",997.7096824487622
"2021-07-24 21:51:32.962+00",997.9933797987485
"2021-07-24 21:52:32.962+00",997.8304661320067
"2021-07-24 21:53:32.962+00",997.8059357533657
"2021-07-24 21:54:32.962+00",998.0806799932462
"2021-07-24 21:55:32.962+00",997.9909946654811
"2021-07-24 21:56:32.962+00",998.0617029158684
"2021-07-24 21:57:32.962+00",997.6842558867484
"2021-07-24 21:58:32.962+00",997.6141815587697
"2021-07-24 21:59:32.962+00",997.131320956363
"2021-07-24 22:00:32.962+00",997.5821015184506
"2021-07-24 22:01:32.962+00",997.9053438997491
"2021-07-24 22:02:32.962+00",998.4371131493659
"2021-07-24 22:03:32.962+00",997.764590071625
"2021-07-24 22:04:32.962+00",997.6065030717587
"2021-07-24 22:05:32.962+00",998.0929842252629
"2021-07-24 22:06:32.962+00",997.8695988569762
"2021-07-24 22:07:32.962+00",997.6983865007649
"2021-07-24 22:08:32.962+00",997.0335629890708
"2021-07-24 22:09:32.962+00",996.8274327713598
"2021-07-24 22:10:32.962+00",996.3573693547356
"2021-07-24 22:11:32.962+00",996.4329508679085
"2021-07-24 22:12:32.962+00",996.5508499694593
"2021-07-24 22:13:32.962+00",996.9340607211425
"2021-07-24 22:14:32.962+00",997.0901631332624
"2021-07-24 22:15:32.962+00",997.3422079932335
"2021-07-24 22:16:32.962+00",996.809398894508
"2021-07-24 22:17:32.962+00",996.6092224386057
"2021-07-24 22:18:32.962+00",996.560218590054
"2021-07-24 22:19:32.962+00",996.9831163414465
"2021-07-24 22:20:32.962+00",997.005251209738
"2021-07-24 22:21:32.962+00",996.9832497104605
"2021-07-24 22:22:32.962+00",996.7023241057183
"2021-07-24 22:23:32.962+00",996.9453130885722
"2021-07-24 22:24:32.962+00",997.4958823826671
"2021-07-24 22:25:32.962+00",997.7821236939989
"2021-07-24 22:26:32.962+00",997.3897623608688
"2021-07-24 22:27:32.962+00",997.305127192005
"2021-07-24 22:28:32.962+00",968.1242060498032
"2021-07-24 22:29:32.962+00",987.1646660902952
"2021-07-24 22:30:32.962+00",993.8642743634794
"2021-07-24 22:31:32.962+00",996.0626254122686
"2021-07-24 22:32:32.962+00",997.3273004555052
"2021-07-24 22:33:32.962+00",997.5520215123182
"2021-07-24 22:34:32.962+00",997.3890682763107
"2021-07-24 22:35:32.962+00",997.2436412283379
"2021-07-24 22:36:32.962+00",997.4458428105204
"2021-07-24 22:37:32.962+00",997.0907921707703
"2021-07-24 22:38:32.962+00",997.3478581420537
"2021-07-24 22:39:32.962+00",997.5212404210691
"2021-07-24 22:40:32.962+00",998.140010352841
"2021-07-24 22:41:32.962+00",997.6274918371812
"2021-07-24 22:42:32.962+00",997.0828046886726
"2021-07-24 22:43:32.962+00",895.8127208213697
"2021-07-24 22:44:32.962+00",329.55108313003495
"2021-07-24 22:45:32.962+00",1713.1578432105987
"2021-07-24 22:46:32.964+00",6232.183833173402
"2021-07-24 22:47:32.962+00",7797.465524888141
"2021-07-24 22:48:32.962+00",8629.646051094482
"2021-07-24 22:49:32.962+00",8856.046589895832
"2021-07-24 22:50:32.962+00",8929.338729351488
"2021-07-24 22:51:32.962+00",9063.087447424215
"2021-07-24 22:52:32.962+00",9045.927172012867
"2021-07-24 22:53:32.962+00",8847.007532984297
"2021-07-24 22:54:32.962+00",8866.308991069247
"2021-07-24 22:55:32.962+00",8594.678105585916
"2021-07-24 22:56:32.962+00",8785.874157552827
"2021-07-24 22:57:32.962+00",9103.751674776402
"2021-07-24 22:58:32.962+00",9039.929624811404
"2021-07-24 22:59:32.962+00",9124.266358204122
"2021-07-24 23:00:32.962+00",9160.521077621679
"2021-07-24 23:01:32.962+00",9231.460910551623
"2021-07-24 23:02:32.969+00",9259.262439472055
"2021-07-24 23:03:32.962+00",9160.593200313771
"2021-07-24 23:04:32.962+00",9211.243122795702
"2021-07-24 23:05:32.962+00",9159.442321319888
"2021-07-24 23:06:32.962+00",9215.017443859402
"2021-07-24 23:07:32.962+00",9294.040525885235
"2021-07-24 23:08:32.962+00",8782.717921891555
"2021-07-24 23:09:32.962+00",8733.95363505
"2021-07-24 23:10:32.962+00",8602.537839503662
"2021-07-24 23:11:32.962+00",4349.905662489473
"2021-07-24 23:12:32.962+00",1600.240864265121
"2021-07-24 23:13:32.962+00",5076.86086822028
"2021-07-24 23:14:32.962+00",7547.623769126689
"2021-07-24 23:15:32.962+00",8329.377528087409
"2021-07-24 23:16:32.962+00",8422.803283477793
"2021-07-24 23:17:32.962+00",8261.831151868802
"2021-07-24 23:18:32.962+00",3086.1750073734447
"2021-07-24 23:19:32.962+00",1135.3403370698154
"2021-07-24 23:20:32.962+00",417.6683687406409
"2021-07-24 23:21:32.962+00",153.65160608729497
"2021-07-24 23:22:32.962+00",56.525266982488695
"2021-07-24 23:23:32.962+00",20.794483629584537
"2021-07-24 23:24:32.962+00",7.649863017100269
"2021-07-24 23:25:32.962+00",2.8142273317689326
"2021-07-24 23:26:32.962+00",1.0352963781405546
"2021-07-24 23:27:32.962+00",0.38086425303716565
"2021-07-24 23:28:32.962+00",0.14011212856949137
"2021-07-24 23:29:32.962+00",0.051544371559485797
"2021-07-24 23:30:32.962+00",0.018962114604836832
"2021-07-24 23:31:32.962+00",0.0069757721242562215
"2021-07-24 23:32:32.962+00",0.0025662431508107052
"2021-07-24 23:33:32.962+00",0.0009440680962302842
"2021-07-24 23:34:32.962+00",0.00034730324366898465
"2021-07-24 23:35:32.962+00",0.0001277657231979754
"2021-07-24 23:36:32.962+00",4.70023828509364e-05
"2021-07-24 23:37:32.962+00",1.7291210336928675e-05
"2021-07-24 23:38:32.962+00",6.361080795927192e-06
"2021-07-24 23:39:32.962+00",2.3401108484520905e-06
"2021-07-24 23:40:32.962+00",8.608786712077852e-07
"2021-07-24 23:41:32.962+00",3.16699564480334e-07
"2021-07-24 23:42:32.962+00",1.1650725880026453e-07
"2021-07-24 23:43:32.962+00",4.2860625259857954e-08
"2021-07-24 23:44:32.962+00",1.576754286885516e-08
"2021-07-24 23:45:32.962+00",5.800554859241201e-09
"2021-07-24 23:46:32.962+00",2.1339048801019484e-09
"2021-07-24 23:47:32.962+00",7.850197348049187e-10
"2021-07-24 23:48:32.962+00",2.887926213485876e-10
"2021-07-24 23:49:32.962+00",1.0624086815615444e-10
"2021-07-24 23:50:32.962+00",3.9083831206855005e-11
"2021-07-24 23:51:32.962+00",1.4378137983216803e-11
"2021-07-24 23:52:32.962+00",nan
"2021-07-25 00:54:32.399+00",1709.596472581117
"2021-07-25 00:55:32.399+00",628.9253949618106
"2021-07-25 00:56:32.399+00",231.36872283707964
"2021-07-25 00:57:32.399+00",85.11579646185523
"2021-07-25 00:58:32.399+00",31.312351637249545
"2021-07-25 00:59:32.399+00",5028.9139351777085
"2021-07-25 01:00:32.399+00",7526.985541682001
"2021-07-25 01:01:32.399+00",8542.813266889218
"2021-07-25 01:02:32.399+00",8776.54125779841
