"time","current_producer_offset"
"2021-07-24 21:34:03.566+00",339872
"2021-07-24 21:35:03.566+00",399873
"2021-07-24 21:36:03.566+00",459872
"2021-07-24 21:37:03.566+00",519872
"2021-07-24 21:38:03.566+00",579868
"2021-07-24 21:39:03.566+00",639873
"2021-07-24 21:40:03.566+00",699873
"2021-07-24 21:41:03.566+00",759873
"2021-07-24 21:42:03.566+00",819870
"2021-07-24 21:43:03.566+00",879868
"2021-07-24 21:44:03.566+00",939872
"2021-07-24 21:45:03.566+00",999872
"2021-07-24 21:46:03.566+00",1059871
"2021-07-24 21:47:03.566+00",1119874
"2021-07-24 21:48:03.566+00",1179868
"2021-07-24 21:49:03.566+00",1239872
"2021-07-24 21:50:03.566+00",1299872
"2021-07-24 21:51:03.566+00",1359871
"2021-07-24 21:52:03.566+00",1419871
"2021-07-24 21:53:03.566+00",1479869
"2021-07-24 21:54:03.566+00",1539873
"2021-07-24 21:55:03.566+00",1599872
"2021-07-24 21:56:03.566+00",1659871
"2021-07-24 21:57:03.566+00",1719871
"2021-07-24 21:58:03.566+00",1779868
"2021-07-24 21:59:03.566+00",1839872
"2021-07-24 22:00:03.566+00",1899872
"2021-07-24 22:01:03.566+00",1959871
"2021-07-24 22:02:03.566+00",2019871
"2021-07-24 22:03:03.566+00",2079869
"2021-07-24 22:04:03.566+00",2139871
"2021-07-24 22:05:03.566+00",2199872
"2021-07-24 22:06:03.566+00",2259870
"2021-07-24 22:07:03.566+00",2319871
"2021-07-24 22:08:03.566+00",2379868
"2021-07-24 22:09:03.566+00",2439872
"2021-07-24 22:10:03.566+00",2499872
"2021-07-24 22:11:03.566+00",2559872
"2021-07-24 22:12:03.566+00",2619871
"2021-07-24 22:13:03.566+00",2679869
"2021-07-24 22:14:03.566+00",2739872
"2021-07-24 22:15:03.566+00",2799872
"2021-07-24 22:16:03.566+00",2859872
"2021-07-24 22:17:03.566+00",2919872
"2021-07-24 22:18:03.566+00",2979868
"2021-07-24 22:19:03.566+00",3039872
"2021-07-24 22:20:03.566+00",3099872
"2021-07-24 22:21:03.566+00",3159871
"2021-07-24 22:22:03.566+00",3219872
"2021-07-24 22:23:03.566+00",3279868
"2021-07-24 22:24:03.566+00",3339871
"2021-07-24 22:25:03.566+00",3399872
"2021-07-24 22:26:03.566+00",3459872
"2021-07-24 22:27:03.566+00",3519871
"2021-07-24 22:28:03.566+00",3579868
"2021-07-24 22:29:03.566+00",3637986
"2021-07-24 22:30:03.566+00",3697985
"2021-07-24 22:31:03.566+00",3757984
"2021-07-24 22:32:03.566+00",3817984
"2021-07-24 22:33:03.566+00",3877986
"2021-07-24 22:34:03.566+00",3937984
"2021-07-24 22:35:03.566+00",3997984
"2021-07-24 22:36:03.566+00",4057984
"2021-07-24 22:37:03.566+00",4117986
"2021-07-24 22:38:03.566+00",4177982
"2021-07-24 22:39:03.566+00",4237984
"2021-07-24 22:40:03.566+00",4297983
"2021-07-24 22:41:03.566+00",4357984
"2021-07-24 22:42:03.566+00",4417985
"2021-07-24 22:43:03.566+00",4477984
"2021-07-24 22:44:03.566+00",4499475
"2021-07-24 22:45:03.566+00",4499475
"2021-07-24 22:46:03.566+00",4916605
"2021-07-24 22:47:03.566+00",5484263
"2021-07-24 22:48:03.566+00",6059049
"2021-07-24 22:49:03.566+00",6651440
"2021-07-24 22:50:03.566+00",7236961
"2021-07-24 22:51:03.566+00",7812462
"2021-07-24 22:52:03.566+00",8406246
"2021-07-24 22:53:03.566+00",8978959
"2021-07-24 22:54:03.566+00",9551910
"2021-07-24 22:55:03.566+00",10089497
"2021-07-24 22:56:03.566+00",10660189
"2021-07-24 22:57:03.566+00",11248305
"2021-07-24 22:58:03.566+00",11847968
"2021-07-24 22:59:03.566+00",12420734
"2021-07-24 23:00:03.566+00",13025985
"2021-07-24 23:01:03.566+00",13615303
"2021-07-24 23:02:03.566+00",14210933
"2021-07-24 23:03:03.566+00",14803776
"2021-07-24 23:04:03.566+00",15381729
"2021-07-24 23:05:03.566+00",15975754
"2021-07-24 23:06:03.566+00",16561497
"2021-07-24 23:07:03.566+00",17187303
"2021-07-24 23:08:03.566+00",17773494
"2021-07-24 23:09:03.566+00",18340523
"2021-07-24 23:10:03.566+00",18925042
"2021-07-24 23:11:03.566+00",19389659
"2021-07-24 23:12:03.566+00",19389659
"2021-07-24 23:13:03.566+00",19521305
"2021-07-24 23:14:03.566+00",20100827
"2021-07-24 23:15:03.566+00",20656653
"2021-07-24 23:16:03.566+00",21222117
"2021-07-24 23:17:03.566+00",21780960
"2021-07-24 23:18:03.566+00",22036335
"2021-07-24 23:19:03.566+00",22036335
"2021-07-24 23:20:03.566+00",22036335
"2021-07-24 23:21:03.566+00",22036335
"2021-07-24 23:22:03.566+00",22036335
"2021-07-24 23:23:03.566+00",22036335
"2021-07-24 23:24:03.566+00",22036335
"2021-07-24 23:25:03.566+00",22036335
"2021-07-24 23:26:03.566+00",22036335
"2021-07-24 23:27:03.566+00",22036335
"2021-07-24 23:28:03.566+00",22036335
"2021-07-24 23:29:03.566+00",22036335
"2021-07-24 23:30:03.566+00",22036335
"2021-07-24 23:31:03.566+00",22036335
"2021-07-24 23:32:03.566+00",22036335
"2021-07-24 23:33:03.566+00",22036335
"2021-07-24 23:34:03.566+00",22036335
"2021-07-24 23:35:03.566+00",22036335
"2021-07-24 23:36:03.566+00",22036335
"2021-07-24 23:37:03.566+00",22036335
"2021-07-24 23:38:03.566+00",22036335
"2021-07-24 23:39:03.566+00",22036335
"2021-07-24 23:40:03.566+00",22036335
"2021-07-24 23:41:03.566+00",22036335
"2021-07-24 23:42:03.566+00",22036335
"2021-07-24 23:43:03.566+00",22036335
"2021-07-24 23:44:03.566+00",22036335
"2021-07-24 23:45:03.566+00",22036335
"2021-07-24 23:46:03.566+00",22036335
"2021-07-24 23:47:03.566+00",22036335
"2021-07-24 23:48:03.566+00",22036335
"2021-07-24 23:49:03.566+00",22036335
"2021-07-24 23:50:03.566+00",22036335
"2021-07-24 23:51:03.566+00",22036335
"2021-07-24 23:52:03.566+00",nan
"2021-07-24 23:59:03.566+00",22036335
"2021-07-25 00:00:03.566+00",22036335
"2021-07-25 00:01:03.566+00",22036335
"2021-07-25 00:02:03.566+00",22036335
"2021-07-25 00:03:03.566+00",22036335
"2021-07-25 00:04:03.566+00",22036335
"2021-07-25 00:05:03.566+00",22036335
"2021-07-25 00:06:03.566+00",22036335
"2021-07-25 00:07:03.566+00",22036335
"2021-07-25 00:08:03.566+00",22036335
"2021-07-25 00:09:03.566+00",22036335
"2021-07-25 00:10:03.566+00",22036335
"2021-07-25 00:11:03.566+00",22036335
"2021-07-25 00:12:03.566+00",22036335
"2021-07-25 00:13:03.566+00",22036335
"2021-07-25 00:14:03.566+00",22036335
"2021-07-25 00:15:03.566+00",22036335
"2021-07-25 00:16:03.566+00",22036335
"2021-07-25 00:17:03.566+00",22036335
"2021-07-25 00:18:03.566+00",22036335
"2021-07-25 00:19:03.566+00",22036335
"2021-07-25 00:20:03.566+00",22036335
"2021-07-25 00:21:03.566+00",22036335
"2021-07-25 00:22:03.566+00",22036335
"2021-07-25 00:23:03.566+00",22036335
"2021-07-25 00:24:03.566+00",22036335
"2021-07-25 00:25:03.566+00",22036335
"2021-07-25 00:26:03.566+00",22036335
"2021-07-25 00:27:03.566+00",22036335
"2021-07-25 00:28:03.566+00",22036335
"2021-07-25 00:29:03.566+00",22036335
"2021-07-25 00:30:03.566+00",22036335
"2021-07-25 00:31:03.566+00",22036335
"2021-07-25 00:32:03.566+00",22036335
"2021-07-25 00:33:03.566+00",22036335
"2021-07-25 00:34:03.566+00",22036335
"2021-07-25 00:35:03.566+00",22036335
"2021-07-25 00:36:03.566+00",22036335
"2021-07-25 00:37:03.566+00",22036335
"2021-07-25 00:38:03.566+00",22036335
"2021-07-25 00:39:03.566+00",22036335
"2021-07-25 00:40:03.566+00",22036335
"2021-07-25 00:41:03.566+00",22036335
"2021-07-25 00:42:03.566+00",22036335
"2021-07-25 00:43:03.566+00",22036335
"2021-07-25 00:44:03.566+00",22036335
"2021-07-25 00:45:03.566+00",22036335
"2021-07-25 00:46:03.566+00",22036335
"2021-07-25 00:47:03.566+00",22036335
"2021-07-25 00:48:03.566+00",22036335
"2021-07-25 00:49:03.566+00",22036335
"2021-07-25 00:50:03.566+00",22036335
"2021-07-25 00:51:03.566+00",22036335
"2021-07-25 00:52:03.566+00",22036335
"2021-07-25 00:53:03.566+00",22036335
"2021-07-25 00:54:03.566+00",22054172
"2021-07-25 00:55:03.566+00",22054172
"2021-07-25 00:56:03.566+00",22054172
"2021-07-25 00:57:03.566+00",22054172
"2021-07-25 00:58:03.566+00",22054172
"2021-07-25 00:59:03.566+00",22297567
"2021-07-25 01:00:03.566+00",22872461
"2021-07-25 01:01:03.566+00",23452652
"2021-07-25 01:02:03.566+00",24043767
"2021-07-25 01:03:03.566+00",24618801
"2021-07-25 01:04:03.566+00",25210486
"2021-07-25 01:05:03.566+00",25792876
"2021-07-25 01:06:03.566+00",26400066
"2021-07-25 01:07:03.566+00",26979210
"2021-07-25 01:08:03.566+00",27550144
"2021-07-25 01:09:03.566+00",28139652
