"time","active_tasks","executor"
"2021-07-24 21:39:57.565+00",2,"0"
"2021-07-24 21:39:57.565+00",2,"1"
"2021-07-24 21:40:27.565+00",2,"0"
"2021-07-24 21:40:27.565+00",2,"1"
"2021-07-24 21:40:57.565+00",1,"0"
"2021-07-24 21:40:57.565+00",1,"1"
"2021-07-24 21:41:27.565+00",1,"1"
"2021-07-24 21:41:27.565+00",1,"0"
"2021-07-24 21:41:57.565+00",1,"0"
"2021-07-24 21:41:57.565+00",1,"1"
"2021-07-24 21:42:27.565+00",1,"0"
"2021-07-24 21:42:27.565+00",1,"1"
"2021-07-24 21:42:57.565+00",2,"0"
"2021-07-24 21:42:57.565+00",2,"1"
"2021-07-24 21:43:27.565+00",1,"1"
"2021-07-24 21:43:27.565+00",1,"0"
"2021-07-24 21:43:57.565+00",2,"1"
"2021-07-24 21:43:57.565+00",2,"0"
"2021-07-24 21:44:27.565+00",1,"0"
"2021-07-24 21:44:27.565+00",1,"1"
"2021-07-24 21:44:57.565+00",1,"1"
"2021-07-24 21:44:57.565+00",1,"0"
"2021-07-24 21:45:27.565+00",1,"1"
"2021-07-24 21:45:27.565+00",1,"0"
"2021-07-24 21:45:57.565+00",1,"0"
"2021-07-24 21:45:57.565+00",1,"1"
"2021-07-24 21:46:27.565+00",1,"0"
"2021-07-24 21:46:27.565+00",1,"1"
"2021-07-24 21:46:57.565+00",2,"0"
"2021-07-24 21:46:57.565+00",2,"1"
"2021-07-24 21:47:27.565+00",2,"1"
"2021-07-24 21:47:27.565+00",2,"0"
"2021-07-24 21:47:57.565+00",2,"1"
"2021-07-24 21:47:57.565+00",2,"0"
"2021-07-24 21:48:27.565+00",2,"1"
"2021-07-24 21:48:27.565+00",2,"0"
"2021-07-24 21:48:32.565+00",1,"1"
"2021-07-24 21:48:32.565+00",1,"0"
"2021-07-24 21:48:37.565+00",1,"0"
"2021-07-24 21:48:37.565+00",1,"1"
"2021-07-24 21:48:42.565+00",1,"1"
"2021-07-24 21:48:42.565+00",1,"0"
"2021-07-24 21:48:47.565+00",2,"1"
"2021-07-24 21:48:47.565+00",2,"0"
"2021-07-24 21:48:52.565+00",1,"0"
"2021-07-24 21:48:52.565+00",1,"1"
"2021-07-24 21:48:57.565+00",2,"0"
"2021-07-24 21:48:57.565+00",2,"1"
"2021-07-24 21:49:02.565+00",1,"0"
"2021-07-24 21:49:02.565+00",1,"1"
"2021-07-24 21:49:07.565+00",2,"1"
"2021-07-24 21:49:07.565+00",2,"0"
"2021-07-24 21:49:12.565+00",1,"1"
"2021-07-24 21:49:12.565+00",1,"0"
"2021-07-24 21:49:17.565+00",2,"1"
"2021-07-24 21:49:17.565+00",2,"0"
"2021-07-24 21:49:22.565+00",1,"1"
"2021-07-24 21:49:22.565+00",1,"0"
"2021-07-24 21:49:27.565+00",2,"1"
"2021-07-24 21:49:27.565+00",2,"0"
"2021-07-24 21:49:32.565+00",1,"0"
"2021-07-24 21:49:32.565+00",1,"1"
"2021-07-24 21:49:37.565+00",2,"1"
"2021-07-24 21:49:37.565+00",2,"0"
"2021-07-24 21:49:42.565+00",1,"1"
"2021-07-24 21:49:42.565+00",1,"0"
"2021-07-24 21:49:47.565+00",2,"0"
"2021-07-24 21:49:47.565+00",2,"1"
"2021-07-24 21:49:52.565+00",1,"1"
"2021-07-24 21:49:52.565+00",1,"0"
"2021-07-24 21:49:57.565+00",1,"0"
"2021-07-24 21:49:57.565+00",1,"1"
"2021-07-24 21:50:02.565+00",1,"0"
"2021-07-24 21:50:02.565+00",1,"1"
"2021-07-24 21:50:07.565+00",1,"0"
"2021-07-24 21:50:07.565+00",1,"1"
"2021-07-24 21:50:12.565+00",1,"0"
"2021-07-24 21:50:12.565+00",1,"1"
"2021-07-24 21:50:17.565+00",1,"0"
"2021-07-24 21:50:17.565+00",1,"1"
"2021-07-24 21:50:22.565+00",1,"0"
"2021-07-24 21:50:22.565+00",1,"1"
"2021-07-24 21:50:27.565+00",2,"1"
"2021-07-24 21:50:27.565+00",2,"0"
"2021-07-24 21:50:32.565+00",1,"1"
"2021-07-24 21:50:32.565+00",1,"0"
"2021-07-24 21:50:37.565+00",2,"0"
"2021-07-24 21:50:37.565+00",2,"1"
"2021-07-24 21:50:42.565+00",1,"0"
"2021-07-24 21:50:42.565+00",1,"1"
"2021-07-24 21:50:47.565+00",2,"1"
"2021-07-24 21:50:47.565+00",2,"0"
"2021-07-24 21:50:52.565+00",1,"1"
"2021-07-24 21:50:52.565+00",1,"0"
"2021-07-24 21:50:57.565+00",1,"0"
"2021-07-24 21:50:57.565+00",1,"1"
"2021-07-24 21:51:02.565+00",1,"1"
"2021-07-24 21:51:02.565+00",1,"0"
"2021-07-24 21:51:07.565+00",1,"0"
"2021-07-24 21:51:07.565+00",1,"1"
"2021-07-24 21:51:12.565+00",1,"1"
"2021-07-24 21:51:12.565+00",1,"0"
"2021-07-24 21:51:17.565+00",2,"1"
"2021-07-24 21:51:17.565+00",2,"0"
"2021-07-24 21:51:22.565+00",1,"1"
"2021-07-24 21:51:22.565+00",1,"0"
"2021-07-24 21:51:27.581+00",2,"1"
"2021-07-24 21:51:27.581+00",2,"0"
"2021-07-24 21:51:32.565+00",1,"0"
"2021-07-24 21:51:32.565+00",1,"1"
"2021-07-24 21:51:37.565+00",2,"1"
"2021-07-24 21:51:37.565+00",2,"0"
"2021-07-24 21:51:42.565+00",1,"1"
"2021-07-24 21:51:42.565+00",1,"0"
"2021-07-24 21:51:47.565+00",2,"0"
"2021-07-24 21:51:47.565+00",2,"1"
"2021-07-24 21:51:52.565+00",1,"1"
"2021-07-24 21:51:52.565+00",1,"0"
"2021-07-24 21:51:57.565+00",2,"1"
"2021-07-24 21:51:57.565+00",2,"0"
"2021-07-24 21:52:02.565+00",1,"1"
"2021-07-24 21:52:02.565+00",1,"0"
"2021-07-24 21:52:07.565+00",2,"0"
"2021-07-24 21:52:07.565+00",2,"1"
"2021-07-24 21:52:12.565+00",1,"1"
"2021-07-24 21:52:12.565+00",1,"0"
"2021-07-24 21:52:17.565+00",2,"1"
"2021-07-24 21:52:17.565+00",2,"0"
"2021-07-24 21:52:22.565+00",1,"0"
"2021-07-24 21:52:22.565+00",1,"1"
"2021-07-24 21:52:27.565+00",1,"0"
"2021-07-24 21:52:27.565+00",1,"1"
"2021-07-24 21:52:32.565+00",1,"0"
"2021-07-24 21:52:32.565+00",1,"1"
"2021-07-24 21:52:37.565+00",1,"0"
"2021-07-24 21:52:37.565+00",1,"1"
"2021-07-24 21:52:42.565+00",1,"1"
"2021-07-24 21:52:42.565+00",1,"0"
