"time","completed_tasks","executor"
"2021-07-24 21:39:57.565+00",49,"0"
"2021-07-24 21:39:57.565+00",531,"1"
"2021-07-24 21:40:27.565+00",118,"0"
"2021-07-24 21:40:27.565+00",1206,"1"
"2021-07-24 21:40:57.565+00",189,"0"
"2021-07-24 21:40:57.565+00",1913,"1"
"2021-07-24 21:41:27.565+00",2597,"1"
"2021-07-24 21:41:27.565+00",258,"0"
"2021-07-24 21:41:57.565+00",327,"0"
"2021-07-24 21:41:57.565+00",3365,"1"
"2021-07-24 21:42:27.565+00",396,"0"
"2021-07-24 21:42:27.565+00",4127,"1"
"2021-07-24 21:42:57.565+00",463,"0"
"2021-07-24 21:42:57.565+00",4824,"1"
"2021-07-24 21:43:27.565+00",5544,"1"
"2021-07-24 21:43:27.565+00",534,"0"
"2021-07-24 21:43:57.565+00",6241,"1"
"2021-07-24 21:43:57.565+00",601,"0"
"2021-07-24 21:44:27.565+00",672,"0"
"2021-07-24 21:44:27.565+00",6955,"1"
"2021-07-24 21:44:57.565+00",7700,"1"
"2021-07-24 21:44:57.565+00",741,"0"
"2021-07-24 21:45:27.565+00",8438,"1"
"2021-07-24 21:45:27.565+00",810,"0"
"2021-07-24 21:45:57.565+00",879,"0"
"2021-07-24 21:45:57.565+00",9145,"1"
"2021-07-24 21:46:27.565+00",958,"0"
"2021-07-24 21:46:27.565+00",14709,"1"
"2021-07-24 21:46:57.565+00",1025,"0"
"2021-07-24 21:46:57.565+00",15447,"1"
"2021-07-24 21:47:27.565+00",16187,"1"
"2021-07-24 21:47:27.565+00",1094,"0"
"2021-07-24 21:47:57.565+00",16778,"1"
"2021-07-24 21:47:57.565+00",1163,"0"
"2021-07-24 21:48:27.565+00",17544,"1"
"2021-07-24 21:48:27.565+00",1232,"0"
"2021-07-24 21:48:32.565+00",17558,"1"
"2021-07-24 21:48:32.565+00",1246,"0"
"2021-07-24 21:48:37.565+00",1256,"0"
"2021-07-24 21:48:37.565+00",17568,"1"
"2021-07-24 21:48:42.565+00",17580,"1"
"2021-07-24 21:48:42.565+00",1268,"0"
"2021-07-24 21:48:47.565+00",17588,"1"
"2021-07-24 21:48:47.565+00",1276,"0"
"2021-07-24 21:48:52.565+00",1293,"0"
"2021-07-24 21:48:52.565+00",18272,"1"
"2021-07-24 21:48:57.565+00",1301,"0"
"2021-07-24 21:48:57.565+00",18280,"1"
"2021-07-24 21:49:02.565+00",1315,"0"
"2021-07-24 21:49:02.565+00",18294,"1"
"2021-07-24 21:49:07.565+00",18302,"1"
"2021-07-24 21:49:07.565+00",1323,"0"
"2021-07-24 21:49:12.565+00",18316,"1"
"2021-07-24 21:49:12.565+00",1337,"0"
"2021-07-24 21:49:17.565+00",18324,"1"
"2021-07-24 21:49:17.565+00",1345,"0"
"2021-07-24 21:49:22.565+00",19030,"1"
"2021-07-24 21:49:22.565+00",1362,"0"
"2021-07-24 21:49:27.565+00",19038,"1"
"2021-07-24 21:49:27.565+00",1370,"0"
"2021-07-24 21:49:32.565+00",1384,"0"
"2021-07-24 21:49:32.565+00",19052,"1"
"2021-07-24 21:49:37.565+00",19060,"1"
"2021-07-24 21:49:37.565+00",1392,"0"
"2021-07-24 21:49:42.565+00",19074,"1"
"2021-07-24 21:49:42.565+00",1406,"0"
"2021-07-24 21:49:47.565+00",1414,"0"
"2021-07-24 21:49:47.565+00",19082,"1"
"2021-07-24 21:49:52.565+00",19773,"1"
"2021-07-24 21:49:52.565+00",1431,"0"
"2021-07-24 21:49:57.565+00",1441,"0"
