"time","rdd_blocks","executor"
"2021-07-24 21:39:57.565+00",31,"0"
"2021-07-24 21:39:57.565+00",473,"1"
"2021-07-24 21:40:27.565+00",41,"0"
"2021-07-24 21:40:27.565+00",649,"1"
"2021-07-24 21:40:57.565+00",41,"0"
"2021-07-24 21:40:57.565+00",679,"1"
"2021-07-24 21:41:27.565+00",658,"1"
"2021-07-24 21:41:27.565+00",41,"0"
"2021-07-24 21:41:57.565+00",41,"0"
"2021-07-24 21:41:57.565+00",742,"1"
"2021-07-24 21:42:27.565+00",41,"0"
"2021-07-24 21:42:27.565+00",736,"1"
"2021-07-24 21:42:57.565+00",41,"0"
"2021-07-24 21:42:57.565+00",673,"1"
"2021-07-24 21:43:27.565+00",692,"1"
"2021-07-24 21:43:27.565+00",41,"0"
"2021-07-24 21:43:57.565+00",673,"1"
"2021-07-24 21:43:57.565+00",41,"0"
"2021-07-24 21:44:27.565+00",41,"0"
"2021-07-24 21:44:27.565+00",686,"1"
"2021-07-24 21:44:57.565+00",719,"1"
"2021-07-24 21:44:57.565+00",41,"0"
"2021-07-24 21:45:27.565+00",712,"1"
"2021-07-24 21:45:27.565+00",41,"0"
"2021-07-24 21:45:57.565+00",41,"0"
"2021-07-24 21:45:57.565+00",681,"1"
"2021-07-24 21:46:27.565+00",41,"0"
"2021-07-24 21:46:27.565+00",639,"1"
"2021-07-24 21:46:57.565+00",41,"0"
"2021-07-24 21:46:57.565+00",714,"1"
"2021-07-24 21:47:27.565+00",714,"1"
"2021-07-24 21:47:27.565+00",41,"0"
"2021-07-24 21:47:57.565+00",565,"1"
"2021-07-24 21:47:57.565+00",41,"0"
"2021-07-24 21:48:27.565+00",740,"1"
"2021-07-24 21:48:27.565+00",41,"0"
"2021-07-24 21:48:32.565+00",740,"1"
"2021-07-24 21:48:32.565+00",41,"0"
"2021-07-24 21:48:37.565+00",41,"0"
"2021-07-24 21:48:37.565+00",740,"1"
"2021-07-24 21:48:42.565+00",41,"1"
"2021-07-24 21:48:42.565+00",41,"0"
"2021-07-24 21:48:47.565+00",41,"1"
"2021-07-24 21:48:47.565+00",41,"0"
"2021-07-24 21:48:52.565+00",41,"0"
"2021-07-24 21:48:52.565+00",710,"1"
"2021-07-24 21:48:57.565+00",41,"0"
"2021-07-24 21:48:57.565+00",710,"1"
"2021-07-24 21:49:02.565+00",41,"0"
"2021-07-24 21:49:02.565+00",710,"1"
"2021-07-24 21:49:07.565+00",710,"1"
"2021-07-24 21:49:07.565+00",41,"0"
"2021-07-24 21:49:12.565+00",41,"1"
"2021-07-24 21:49:12.565+00",41,"0"
"2021-07-24 21:49:17.565+00",41,"1"
"2021-07-24 21:49:17.565+00",41,"0"
"2021-07-24 21:49:22.565+00",732,"1"
"2021-07-24 21:49:22.565+00",41,"0"
"2021-07-24 21:49:27.565+00",732,"1"
"2021-07-24 21:49:27.565+00",41,"0"
"2021-07-24 21:49:32.565+00",41,"0"
"2021-07-24 21:49:32.565+00",732,"1"
"2021-07-24 21:49:37.565+00",732,"1"
"2021-07-24 21:49:37.565+00",41,"0"
"2021-07-24 21:49:42.565+00",41,"1"
"2021-07-24 21:49:42.565+00",41,"0"
"2021-07-24 21:49:47.565+00",41,"0"
"2021-07-24 21:49:47.565+00",41,"1"
"2021-07-24 21:49:52.565+00",717,"1"
"2021-07-24 21:49:52.565+00",41,"0"
"2021-07-24 21:49:57.565+00",41,"0"
"2021-07-24 21:49:57.565+00",717,"1"
"2021-07-24 21:50:02.565+00",41,"0"
"2021-07-24 21:50:02.565+00",717,"1"
"2021-07-24 21:50:07.565+00",41,"0"
"2021-07-24 21:50:07.565+00",717,"1"
"2021-07-24 21:50:12.565+00",41,"0"
"2021-07-24 21:50:12.565+00",41,"1"
"2021-07-24 21:50:17.565+00",41,"0"
"2021-07-24 21:50:17.565+00",41,"1"
"2021-07-24 21:50:22.565+00",41,"0"
"2021-07-24 21:50:22.565+00",728,"1"
"2021-07-24 21:50:27.565+00",728,"1"
"2021-07-24 21:50:27.565+00",41,"0"
"2021-07-24 21:50:32.565+00",728,"1"
"2021-07-24 21:50:32.565+00",41,"0"
"2021-07-24 21:50:37.565+00",41,"0"
"2021-07-24 21:50:37.565+00",728,"1"
"2021-07-24 21:50:42.565+00",41,"0"
"2021-07-24 21:50:42.565+00",41,"1"
"2021-07-24 21:50:47.565+00",41,"1"
"2021-07-24 21:50:47.565+00",41,"0"
"2021-07-24 21:50:52.565+00",722,"1"
"2021-07-24 21:50:52.565+00",41,"0"
"2021-07-24 21:50:57.565+00",41,"0"
"2021-07-24 21:50:57.565+00",722,"1"
"2021-07-24 21:51:02.565+00",722,"1"
"2021-07-24 21:51:02.565+00",41,"0"
"2021-07-24 21:51:07.565+00",41,"0"
"2021-07-24 21:51:07.565+00",722,"1"
"2021-07-24 21:51:12.565+00",41,"1"
"2021-07-24 21:51:12.565+00",41,"0"
"2021-07-24 21:51:17.565+00",41,"1"
"2021-07-24 21:51:17.565+00",41,"0"
"2021-07-24 21:51:22.565+00",674,"1"
"2021-07-24 21:51:22.565+00",41,"0"
"2021-07-24 21:51:27.581+00",674,"1"
"2021-07-24 21:51:27.581+00",41,"0"
"2021-07-24 21:51:32.565+00",41,"0"
"2021-07-24 21:51:32.565+00",674,"1"
"2021-07-24 21:51:37.565+00",674,"1"
"2021-07-24 21:51:37.565+00",41,"0"
"2021-07-24 21:51:42.565+00",41,"1"
"2021-07-24 21:51:42.565+00",41,"0"
"2021-07-24 21:51:47.565+00",41,"0"
"2021-07-24 21:51:47.565+00",41,"1"
"2021-07-24 21:51:52.565+00",715,"1"
"2021-07-24 21:51:52.565+00",41,"0"
"2021-07-24 21:51:57.565+00",715,"1"
"2021-07-24 21:51:57.565+00",41,"0"
"2021-07-24 21:52:02.565+00",715,"1"
"2021-07-24 21:52:02.565+00",41,"0"
"2021-07-24 21:52:07.565+00",41,"0"
"2021-07-24 21:52:07.565+00",715,"1"
"2021-07-24 21:52:12.565+00",41,"1"
"2021-07-24 21:52:12.565+00",41,"0"
"2021-07-24 21:52:17.565+00",41,"1"
"2021-07-24 21:52:17.565+00",41,"0"
"2021-07-24 21:52:22.565+00",41,"0"
"2021-07-24 21:52:22.565+00",721,"1"
"2021-07-24 21:52:27.565+00",41,"0"
"2021-07-24 21:52:27.565+00",721,"1"
"2021-07-24 21:52:32.565+00",41,"0"
"2021-07-24 21:52:32.565+00",721,"1"
"2021-07-24 21:52:37.565+00",41,"0"
"2021-07-24 21:52:37.565+00",721,"1"
"2021-07-24 21:52:42.565+00",41,"1"
"2021-07-24 21:52:42.565+00",41,"0"
"2021-07-24 21:52:47.565+00",41,"1"
"2021-07-24 21:52:47.565+00",41,"0"
"2021-07-24 21:52:52.565+00",41,"0"
"2021-07-24 21:52:52.565+00",683,"1"
"2021-07-24 21:52:57.565+00",683,"1"
"2021-07-24 21:52:57.565+00",41,"0"
"2021-07-24 21:53:02.565+00",41,"0"
"2021-07-24 21:53:02.565+00",683,"1"
"2021-07-24 21:53:07.565+00",683,"1"
"2021-07-24 21:53:07.565+00",41,"0"
"2021-07-24 21:53:12.565+00",41,"0"
"2021-07-24 21:53:12.565+00",41,"1"
"2021-07-24 21:53:17.565+00",41,"1"
"2021-07-24 21:53:17.565+00",41,"0"
"2021-07-24 21:53:22.565+00",41,"0"
"2021-07-24 21:53:22.565+00",673,"1"
"2021-07-24 21:53:27.565+00",41,"0"
"2021-07-24 21:53:27.565+00",673,"1"
"2021-07-24 21:53:32.565+00",41,"0"
"2021-07-24 21:53:32.565+00",673,"1"
"2021-07-24 21:53:37.565+00",673,"1"
"2021-07-24 21:53:37.565+00",41,"0"
"2021-07-24 21:53:42.565+00",41,"1"
"2021-07-24 21:53:42.565+00",41,"0"
"2021-07-24 21:53:47.565+00",41,"0"
"2021-07-24 21:53:47.565+00",41,"1"
"2021-07-24 21:53:52.565+00",41,"0"
"2021-07-24 21:53:52.565+00",730,"1"
"2021-07-24 21:53:57.565+00",41,"0"
"2021-07-24 21:53:57.565+00",730,"1"
"2021-07-24 21:54:02.565+00",730,"1"
"2021-07-24 21:54:02.565+00",41,"0"
"2021-07-24 21:54:07.565+00",41,"0"
"2021-07-24 21:54:07.565+00",730,"1"
"2021-07-24 21:54:12.565+00",41,"1"
"2021-07-24 21:54:12.565+00",41,"0"
"2021-07-24 21:54:17.565+00",41,"0"
"2021-07-24 21:54:17.565+00",41,"1"
"2021-07-24 21:54:22.565+00",738,"1"
"2021-07-24 21:54:22.565+00",41,"0"
"2021-07-24 21:54:27.565+00",738,"1"
"2021-07-24 21:54:27.565+00",41,"0"
"2021-07-24 21:54:32.565+00",41,"0"
"2021-07-24 21:54:32.565+00",738,"1"
"2021-07-24 21:54:37.565+00",738,"1"
"2021-07-24 21:54:37.565+00",41,"0"
"2021-07-24 21:54:42.565+00",41,"1"
"2021-07-24 21:54:42.565+00",41,"0"
"2021-07-24 21:54:47.565+00",41,"0"
"2021-07-24 21:54:47.565+00",41,"1"
"2021-07-24 21:54:52.565+00",41,"0"
"2021-07-24 21:54:52.565+00",732,"1"
"2021-07-24 21:54:57.565+00",732,"1"
"2021-07-24 21:54:57.565+00",41,"0"
"2021-07-24 21:55:02.565+00",41,"0"
"2021-07-24 21:55:02.565+00",732,"1"
"2021-07-24 21:55:07.565+00",41,"0"
"2021-07-24 21:55:07.565+00",732,"1"
"2021-07-24 21:55:12.565+00",41,"1"
"2021-07-24 21:55:12.565+00",41,"0"
"2021-07-24 21:55:17.565+00",41,"1"
"2021-07-24 21:55:17.565+00",41,"0"
"2021-07-24 21:55:22.565+00",730,"1"
"2021-07-24 21:55:22.565+00",41,"0"
"2021-07-24 21:55:27.565+00",41,"0"
"2021-07-24 21:55:27.565+00",730,"1"
"2021-07-24 21:55:32.565+00",41,"0"
"2021-07-24 21:55:32.565+00",730,"1"
"2021-07-24 21:55:37.565+00",730,"1"
"2021-07-24 21:55:37.565+00",41,"0"
"2021-07-24 21:55:42.565+00",41,"0"
"2021-07-24 21:55:42.565+00",41,"1"
"2021-07-24 21:55:47.565+00",41,"1"
"2021-07-24 21:55:47.565+00",41,"0"
"2021-07-24 21:55:52.565+00",41,"0"
"2021-07-24 21:55:52.565+00",709,"1"
"2021-07-24 21:55:57.565+00",709,"1"
"2021-07-24 21:55:57.565+00",41,"0"
"2021-07-24 21:56:02.565+00",709,"1"
"2021-07-24 21:56:02.565+00",41,"0"
"2021-07-24 21:56:07.565+00",41,"0"
"2021-07-24 21:56:07.565+00",709,"1"
"2021-07-24 21:56:12.565+00",41,"1"
"2021-07-24 21:56:12.565+00",41,"0"
"2021-07-24 21:56:17.565+00",41,"0"
"2021-07-24 21:56:17.565+00",41,"1"
"2021-07-24 21:56:22.565+00",41,"0"
"2021-07-24 21:56:22.565+00",719,"1"
"2021-07-24 21:56:27.565+00",719,"1"
"2021-07-24 21:56:27.565+00",41,"0"
"2021-07-24 21:56:32.565+00",719,"1"
"2021-07-24 21:56:32.565+00",41,"0"
"2021-07-24 21:56:37.565+00",41,"0"
"2021-07-24 21:56:37.565+00",719,"1"
"2021-07-24 21:56:42.565+00",41,"0"
"2021-07-24 21:56:42.565+00",41,"1"
"2021-07-24 21:56:47.565+00",41,"1"
"2021-07-24 21:56:47.565+00",41,"0"
"2021-07-24 21:56:52.565+00",723,"1"
"2021-07-24 21:56:52.565+00",41,"0"
"2021-07-24 21:56:57.565+00",41,"0"
"2021-07-24 21:56:57.565+00",723,"1"
"2021-07-24 21:57:02.565+00",41,"0"
"2021-07-24 21:57:02.565+00",723,"1"
"2021-07-24 21:57:07.565+00",41,"0"
"2021-07-24 21:57:07.565+00",723,"1"
"2021-07-24 21:57:12.565+00",41,"1"
"2021-07-24 21:57:12.565+00",41,"0"
"2021-07-24 21:57:17.565+00",41,"0"
"2021-07-24 21:57:17.565+00",41,"1"
"2021-07-24 21:57:22.565+00",718,"1"
"2021-07-24 21:57:22.565+00",41,"0"
"2021-07-24 21:57:27.565+00",41,"0"
"2021-07-24 21:57:27.565+00",718,"1"
"2021-07-24 21:57:32.565+00",41,"0"
"2021-07-24 21:57:32.565+00",718,"1"
"2021-07-24 21:57:37.565+00",718,"1"
"2021-07-24 21:57:37.565+00",41,"0"
"2021-07-24 21:57:42.565+00",41,"1"
"2021-07-24 21:57:42.565+00",41,"0"
"2021-07-24 21:57:47.565+00",41,"0"
"2021-07-24 21:57:47.565+00",41,"1"
"2021-07-24 21:57:52.565+00",701,"1"
"2021-07-24 21:57:52.565+00",41,"0"
"2021-07-24 21:57:57.565+00",41,"0"
"2021-07-24 21:57:57.565+00",701,"1"
"2021-07-24 21:58:02.565+00",701,"1"
"2021-07-24 21:58:02.565+00",41,"0"
"2021-07-24 21:58:07.565+00",42,"0"
"2021-07-24 21:58:07.565+00",1917,"1"
"2021-07-24 21:58:12.565+00",3496,"1"
"2021-07-24 21:58:12.565+00",43,"0"
"2021-07-24 21:58:17.565+00",44,"0"
"2021-07-24 21:58:17.565+00",6237,"1"
"2021-07-24 21:58:22.565+00",41,"0"
"2021-07-24 21:58:22.565+00",6656,"1"
"2021-07-24 21:58:27.565+00",41,"0"
"2021-07-24 21:58:27.565+00",5976,"1"
"2021-07-24 21:58:32.565+00",41,"0"
"2021-07-24 21:58:32.565+00",2543,"1"
"2021-07-24 21:58:37.565+00",463,"1"
"2021-07-24 21:58:37.565+00",41,"0"
"2021-07-24 21:58:42.565+00",41,"1"
"2021-07-24 21:58:42.565+00",41,"0"
"2021-07-24 21:58:47.565+00",41,"1"
"2021-07-24 21:58:47.565+00",41,"0"
"2021-07-24 21:58:52.565+00",41,"0"
"2021-07-24 21:58:52.565+00",726,"1"
"2021-07-24 21:58:57.565+00",726,"1"
"2021-07-24 21:58:57.565+00",41,"0"
"2021-07-24 21:59:02.565+00",726,"1"
"2021-07-24 21:59:02.565+00",41,"0"
"2021-07-24 21:59:07.565+00",726,"1"
"2021-07-24 21:59:07.565+00",41,"0"
"2021-07-24 21:59:12.565+00",41,"0"
"2021-07-24 21:59:12.565+00",41,"1"
"2021-07-24 21:59:17.565+00",41,"0"
"2021-07-24 21:59:17.565+00",41,"1"
"2021-07-24 21:59:22.565+00",718,"1"
"2021-07-24 21:59:22.565+00",41,"0"
"2021-07-24 21:59:27.565+00",718,"1"
"2021-07-24 21:59:27.565+00",41,"0"
"2021-07-24 21:59:32.565+00",41,"0"
"2021-07-24 21:59:32.565+00",718,"1"
"2021-07-24 21:59:37.565+00",718,"1"
"2021-07-24 21:59:37.565+00",41,"0"
"2021-07-24 21:59:42.565+00",41,"0"
"2021-07-24 21:59:42.565+00",41,"1"
"2021-07-24 21:59:47.565+00",41,"0"
"2021-07-24 21:59:47.565+00",41,"1"
"2021-07-24 21:59:52.565+00",41,"0"
"2021-07-24 21:59:52.565+00",673,"1"
"2021-07-24 21:59:57.565+00",41,"0"
"2021-07-24 21:59:57.565+00",673,"1"
"2021-07-24 22:00:02.565+00",673,"1"
"2021-07-24 22:00:02.565+00",41,"0"
"2021-07-24 22:00:07.565+00",673,"1"
"2021-07-24 22:00:07.565+00",41,"0"
"2021-07-24 22:00:12.565+00",41,"1"
"2021-07-24 22:00:12.565+00",41,"0"
"2021-07-24 22:00:17.565+00",41,"0"
"2021-07-24 22:00:17.565+00",41,"1"
"2021-07-24 22:00:22.565+00",695,"1"
"2021-07-24 22:00:22.565+00",41,"0"
"2021-07-24 22:00:27.565+00",41,"0"
"2021-07-24 22:00:27.565+00",695,"1"
"2021-07-24 22:00:32.565+00",41,"0"
"2021-07-24 22:00:32.565+00",695,"1"
"2021-07-24 22:00:37.565+00",695,"1"
"2021-07-24 22:00:37.565+00",41,"0"
"2021-07-24 22:00:42.565+00",41,"0"
"2021-07-24 22:00:42.565+00",41,"1"
"2021-07-24 22:00:47.565+00",41,"1"
"2021-07-24 22:00:47.565+00",41,"0"
"2021-07-24 22:00:52.565+00",41,"0"
"2021-07-24 22:00:52.565+00",680,"1"
"2021-07-24 22:00:57.565+00",680,"1"
"2021-07-24 22:00:57.565+00",41,"0"
"2021-07-24 22:01:02.565+00",1940,"1"
"2021-07-24 22:01:02.565+00",43,"0"
"2021-07-24 22:01:07.565+00",4194,"1"
"2021-07-24 22:01:07.565+00",44,"0"
"2021-07-24 22:01:12.565+00",41,"0"
"2021-07-24 22:01:12.565+00",5820,"1"
"2021-07-24 22:01:17.565+00",41,"0"
"2021-07-24 22:01:17.565+00",5820,"1"
"2021-07-24 22:01:22.565+00",41,"0"
"2021-07-24 22:01:22.565+00",4579,"1"
"2021-07-24 22:01:27.565+00",41,"0"
"2021-07-24 22:01:27.565+00",2044,"1"
"2021-07-24 22:01:32.565+00",41,"0"
"2021-07-24 22:01:32.565+00",694,"1"
"2021-07-24 22:01:37.565+00",694,"1"
