"time","value_mem_bytes","pod"
"2021-07-24 21:34:30.327+00",287707136,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:35:35.896+00",287989760,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:35:42.7+00",282669056,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:36:32.427+00",288108544,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:36:41.066+00",283009024,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:37:25.513+00",288313344,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:37:29.807+00",283099136,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:38:29.887+00",283242496,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:38:35.917+00",291553280,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:39:35.202+00",520212480,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:39:42.988+00",807288832,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:40:36.313+00",2049097728,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:40:41.426+00",2488741888,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:41:24.266+00",2466926592,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:41:36.304+00",3007586304,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:42:37.876+00",3460648960,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:42:38.647+00",3036520448,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:43:24.653+00",3264393216,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:43:46.636+00",3500343296,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:44:37.768+00",3220652032,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:44:45.004+00",3492511744,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:45:21.947+00",3140317184,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:45:35.103+00",3471601664,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:46:39.001+00",3259170816,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:46:39.815+00",3441545216,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:47:37.738+00",3754143744,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:47:39.443+00",3425849344,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:48:39.94+00",4131250176,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:48:44.843+00",3649044480,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:49:34.492+00",4502515712,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:49:44.211+00",4055928832,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:50:26.044+00",4868648960,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:50:36.174+00",4450496512,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:51:31.706+00",5230194688,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:51:45.803+00",4894195712,"sketchbench-espbench-spark-worker-1"
"2021-07-24 21:52:32.1+00",5526003712,"sketchbench-espbench-spark-worker-0"
"2021-07-24 21:52:45.892+00",5252358144,"sketchbench-espbench-spark-worker-1"
