time	bullet_block_manager_mem_used_mb	standalone_block_manager_mem_used_mb
1.62789E+12	16	0
1.62789E+12	16	0
1.62789E+12	17	0
1.62789E+12	17	0
1.62789E+12	19	0
1.62789E+12	19	0
1.62789E+12	22	0
1.62789E+12	22	0
1.62789E+12	26	0
1.62789E+12	26	0
1.62789E+12	26	0
1.62789E+12	26	0
1.62789E+12	29	0
1.62789E+12	29	0
1.62789E+12	31	0
1.62789E+12	31	0
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	36	0
1.62789E+12	36	0
1.62789E+12	33	0
1.62789E+12	33	0
1.62789E+12	32	0
1.62789E+12	32	0
1.62789E+12	33	0
1.62789E+12	33	0
1.62789E+12	32	0
1.62789E+12	32	0
1.62789E+12	32	0
1.62789E+12	32	0
1.62789E+12	33	0
1.62789E+12	33	0
1.62789E+12	33	0
1.62789E+12	33	1
1.62789E+12	32	1
1.62789E+12	32	0
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	33	0
1.62789E+12	33	1
1.62789E+12	34	1
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	34	0
1.62789E+12	33	0
1.62789E+12	33	0
1.62789E+12	33	0
1.62789E+12	33	1
1.62789E+12	34	1
1.62789E+12	34	0
1.62789E+12	33	0
1.62789E+12	33	0
1.62789E+12	34	0
