time	bullet_block_manager_mem_used_mb	standalone_block_manager_mem_used_mb
0	12	9
5	12	9
10	12	9
15	12	11
20	26	11
25	26	14
30	43	14
35	43	16
40	59	16
45	59	17
50	75	17
55	75	19
60	91	19
65	91	19
70	107	19
75	107	20
80	121	20
85	121	22
90	137	22
95	137	22
100	142	22
105	142	23
110	137	23
115	137	24
120	134	24
125	134	25
130	133	25
135	133	26
140	132	26
145	132	27
150	133	27
155	133	28
160	134	28
165	134	29
170	135	29
175	135	30
180	135	30
185	135	30
190	137	30
195	137	32
200	138	32
205	138	32
210	137	32
215	137	33
220	141	33
225	141	34
230	135	34
235	135	35
240	135	35
245	135	36
250	134	36
255	134	37
260	137	37
265	137	37
270	133	37
275	133	39
280	134	39
285	134	39
290	134	39
295	134	40
300	139	40
