time	worker-0	worker-1	worker-2	worker-3	worker-4	worker-5
0	0.166754694	0.002271072	0.001751794	0.003073952	0.002706244	0.002415875
5	0.166754694	0.228004957	0.304247353	0.003073952	0.002706244	0.34509346
10	0.3415548	0.292991823	0.304247353	0.369642856	0.180221011	0.34509346
15	0.447639464	0.292991823	0.48298433	0.516987465	0.280285237	0.47262491
20	0.447639464	0.236614499	0.629085091	0.664377462	0.280285237	0.625294021
25	0.6383773	0.75478964	0.629085091	0.664377462	0.280285237	0.625294021
30	0.780770298	0.75478964	0.540829695	0.889223093	0.209646132	1.002697121
35	0.780770298	0.809176642	0.993314551	1.09966735	0.305941398	1.038944949
40	0.729450779	1.013932583	0.993314551	1.101764829	0.256417494	1.038944949
45	1.087205429	1.013932583	0.993314551	1.101764829	0.256417494	1.055822804
50	1.087205429	1.017737087	1.103191467	0.899468525	0.256417494	0.965691265
55	1.079077396	1.017737087	1.101492396	0.994455715	0.082380845	1.126374902
60	1.090520977	1.017737087	1.101492396	1.139846273	0.074425201	1.116094227
65	1.090520977	0.846687447	1.108798174	1.125639195	0.074425201	1.105177385
70	1.068550843	1.006284106	1.101063272	1.099293984	0.058438897	1.105177385
75	1.071196046	1.006284106	0.899420395	1.099293984	0.06510922	0.924836995
80	1.071196046	1.006426488	1.091071682	0.922633915	0.06510922	1.102450927
85	0.883967895	1.013609966	1.091071682	1.100309438	0.06510922	1.102450927
90	1.071974325	1.013609966	1.085566217	1.100309438	0.057821356	1.102450927
95	1.071974325	1.012748778	1.078481062	1.098130036	0.057185722	1.095700261
100	1.069098893	1.012748778	1.078481062	1.097353656	0.055838458	1.095700261
105	1.07514658	1.012748778	1.078481062	1.097353656	0.051166875	1.098021393
110	1.067961602	1.013126219	1.072035202	0.920393638	0.051166875	1.081694235
115	0.866086096	1.013126219	1.067935557	1.10129911	0.051166875	1.081694235
120	1.064136719	1.012252248	1.067935557	1.10129911	0.047700762	1.07363825
125	0.885080937	1.014448953	1.063885123	1.097680881	0.047700762	1.075870924
130	1.063525526	1.014448953	1.057597933	1.102470371	0.047700762	1.075870924
135	1.055698724	1.013443712	1.057597933	1.102470371	0.032606374	1.075870924
140	1.055698724	1.010370993	1.058054086	1.10676007	0.038836761	1.065308146
145	1.061466148	1.010370993	1.058054086	1.106332404	0.038836761	1.069625344
150	1.061466148	0.848099798	1.056431051	1.106332404	0.038657867	1.069625344
155	1.061466148	1.008323927	1.068865204	1.108421384	0.039164397	1.077309775
160	1.063818356	1.008323927	1.068865204	1.108421384	0.039164397	1.077309775
165	1.063818356	1.008323927	1.068865204	1.111391648	0.039780983	1.077309775
170	1.063351972	1.008226024	1.07580361	1.111391648	0.039780983	0.916261455
175	1.063351972	0.998009631	1.078739972	1.111860701	0.039780983	1.074426174
180	1.063351972	0.992645481	1.078739972	1.111860701	0.040575396	1.074426174
185	0.903131414	0.992645481	1.087228753	1.105322928	0.040575396	1.072455771
190	1.061166273	0.989551462	1.076393185	1.105337898	0.040575396	1.072455771
195	1.061166273	0.980777361	1.076393185	1.105337898	0.041750327	1.083910383
200	1.061166273	0.993519798	1.073553791	1.105822161	0.040418333	1.083910383
205	1.068804331	0.993519798	1.073553791	0.939100701	0.040418333	1.087718937
210	1.068804331	1.000788256	1.073553791	1.100899253	0.032902906	1.095373251
215	1.068804331	0.841129691	0.873280601	1.107185269	0.032902906	0.916365575
220	1.071688582	1.011594625	1.076234513	1.107185269	0.032902906	1.111491188
225	1.066524156	1.018989706	1.076234513	1.105878543	0.031729717	1.111491188
230	1.065908071	1.018989706	0.867971177	0.922886363	0.040509459	1.111491188
235	1.065908071	1.028647474	1.079723922	1.108604025	0.040509459	0.784294645
240	1.068783261	1.028647474	1.079723922	1.108604025	0.035830636	1.101006673
245	1.068783261	1.028647474	1.079723922	1.11202171	0.049963319	1.101006673
250	1.064747666	1.028955364	1.081830907	1.11202171	0.049963319	1.101364589
255	1.075409762	1.028955364	1.081830907	1.11202171	0.049963319	1.096442109
260	1.075409762	1.027040605	1.076539794	1.110767878	0.060560875	1.098825626
265	0.845860979	1.027040605	1.076539794	1.110767878	0.050011899	1.098825626
270	0.936103476	1.022262317	1.072979448	1.104836933	0.046584899	1.084443849
275	0.94483895	1.007884419	1.077785791	0.913636256	0.046584899	1.084443849
280	1.067215565	1.007884419	1.077785791	1.101197945	0.039390926	0.895219674
285	1.064395039	1.007713328	1.066782883	1.101197945	0.039390926	1.081011825
290	1.064395039	1.002492657	1.066782883	1.101197945	0.026908209	1.081011825
295	1.064395039	0.99258376	1.055916826	1.03724759	0.026786333	1.077124737
300	0.877894775	0.99258376	1.055916826	1.03724759	0.026786333	1.071425414
