"time","completed_stages"
"2021-08-01 22:05:00.373+00",599
"2021-08-01 22:05:00.373+00",252
"2021-08-01 22:05:10.373+00",265
"2021-08-01 22:05:10.373+00",599
"2021-08-01 22:05:20.379+00",599
"2021-08-01 22:05:20.379+00",275
"2021-08-01 22:05:30.373+00",599
"2021-08-01 22:05:30.373+00",287
"2021-08-01 22:05:40.373+00",599
"2021-08-01 22:05:40.373+00",300
"2021-08-01 22:05:50.373+00",310
"2021-08-01 22:05:50.373+00",599
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:00.377+00",320
"2021-08-01 22:06:10.373+00",334
"2021-08-01 22:06:20.373+00",345
"2021-08-01 22:06:30.373+00",355
"2021-08-01 22:06:40.373+00",368
"2021-08-01 22:06:50.373+00",380
"2021-08-01 22:07:00.373+00",390
"2021-08-01 22:07:10.373+00",403
"2021-08-01 22:07:20.376+00",413
"2021-08-01 22:07:30.373+00",425
"2021-08-01 22:07:40.373+00",438
"2021-08-01 22:07:50.373+00",448
"2021-08-01 22:08:00.373+00",458
"2021-08-01 22:08:10.373+00",472
"2021-08-01 22:08:20.373+00",483
"2021-08-01 22:08:30.373+00",493
"2021-08-01 22:08:40.373+00",506
"2021-08-01 22:08:50.373+00",518
"2021-08-01 22:09:00.373+00",534
"2021-08-01 22:09:10.373+00",549
"2021-08-01 22:09:20.373+00",566
"2021-08-01 22:09:30.379+00",579
"2021-08-01 22:09:40.373+00",595
"2021-08-01 22:09:50.373+00",611
"2021-08-01 22:10:00.373+00",630
"2021-08-01 22:10:10.373+00",643
"2021-08-01 22:10:20.377+00",658
"2021-08-01 22:10:30.373+00",673
"2021-08-01 22:10:40.373+00",694
"2021-08-01 22:10:50.376+00",709
"2021-08-01 22:11:00.373+00",726
"2021-08-01 22:11:10.373+00",745
"2021-08-01 22:11:20.373+00",760
"2021-08-01 22:11:30.373+00",771
"2021-08-01 22:11:40.373+00",787
"2021-08-01 22:11:50.373+00",807
"2021-08-01 22:12:00.373+00",824
"2021-08-01 22:12:10.373+00",839
"2021-08-01 22:12:20.373+00",854
"2021-08-01 22:12:30.373+00",871
"2021-08-01 22:12:40.373+00",890
"2021-08-01 22:12:50.373+00",903
"2021-08-01 22:13:00.373+00",918
"2021-08-01 22:13:10.373+00",939
"2021-08-01 22:13:20.373+00",954
"2021-08-01 22:13:30.373+00",965
"2021-08-01 22:13:40.38+00",983
"2021-08-01 22:13:50.373+00",1000
"2021-08-01 22:14:00.373+00",1012
"2021-08-01 22:14:10.373+00",1024
"2021-08-01 22:14:20.38+00",1037
"2021-08-01 22:14:30.373+00",1047
"2021-08-01 22:14:40.373+00",1060
