"time","completed_tasks"
"2021-08-01 22:05:00.373+00",15452
"2021-08-01 22:05:00.373+00",96786
"2021-08-01 22:05:10.373+00",96786
"2021-08-01 22:05:10.373+00",17552
"2021-08-01 22:05:20.379+00",17572
"2021-08-01 22:05:20.379+00",96786
"2021-08-01 22:05:30.373+00",17596
"2021-08-01 22:05:30.373+00",96786
"2021-08-01 22:05:40.373+00",19800
"2021-08-01 22:05:40.373+00",96786
"2021-08-01 22:05:50.373+00",19820
"2021-08-01 22:05:50.373+00",96786
"2021-08-01 22:06:00.377+00",19840
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:10.373+00",21764
"2021-08-01 22:06:20.373+00",21785
"2021-08-01 22:06:30.373+00",21805
"2021-08-01 22:06:40.373+00",23946
"2021-08-01 22:06:50.373+00",23970
"2021-08-01 22:07:00.373+00",23990
"2021-08-01 22:07:10.373+00",25937
"2021-08-01 22:07:20.376+00",25957
"2021-08-01 22:07:30.373+00",25981
"2021-08-01 22:07:40.373+00",28207
"2021-08-01 22:07:50.373+00",28227
"2021-08-01 22:08:00.373+00",28247
"2021-08-01 22:08:10.373+00",30180
"2021-08-01 22:08:20.373+00",30201
"2021-08-01 22:08:30.373+00",30221
"2021-08-01 22:08:40.373+00",32380
"2021-08-01 22:08:50.373+00",32404
"2021-08-01 22:09:00.373+00",41030
"2021-08-01 22:09:10.373+00",46630
"2021-08-01 22:09:20.373+00",51295
"2021-08-01 22:09:30.379+00",54058
"2021-08-01 22:09:40.373+00",63688
"2021-08-01 22:09:50.373+00",66950
"2021-08-01 22:10:00.373+00",70179
"2021-08-01 22:10:10.373+00",71862
"2021-08-01 22:10:20.377+00",79236
"2021-08-01 22:10:30.373+00",83267
"2021-08-01 22:10:40.373+00",87993
"2021-08-01 22:10:50.376+00",90667
"2021-08-01 22:11:00.373+00",98922
"2021-08-01 22:11:10.373+00",104246
"2021-08-01 22:11:20.373+00",111175
"2021-08-01 22:11:30.373+00",113243
"2021-08-01 22:11:40.373+00",120529
"2021-08-01 22:11:50.373+00",124842
"2021-08-01 22:12:00.373+00",127982
"2021-08-01 22:12:10.373+00",129876
"2021-08-01 22:12:20.373+00",137285
"2021-08-01 22:12:30.373+00",141414
"2021-08-01 22:12:40.373+00",145310
