"time","cpu_usage_seconds_total","pod"
"2021-08-01 22:05:03.463+00",150.525641854,"sketchbench-spark-worker-4"
"2021-08-01 22:05:03.532+00",124.921522811,"sketchbench-spark-worker-3"
"2021-08-01 22:05:03.915+00",138.257185002,"sketchbench-spark-worker-2"
"2021-08-01 22:05:04.639+00",272.032107877,"sketchbench-spark-worker-1"
"2021-08-01 22:05:08.152+00",135.962911955,"sketchbench-spark-worker-0"
"2021-08-01 22:05:14.596+00",146.210741282,"sketchbench-spark-worker-5"
"2021-08-01 22:05:15.135+00",153.826049906,"sketchbench-spark-worker-4"
"2021-08-01 22:05:18.934+00",127.8074872,"sketchbench-spark-worker-3"
"2021-08-01 22:05:22.016+00",290.959406257,"sketchbench-spark-worker-1"
"2021-08-01 22:05:23.081+00",142.446477251,"sketchbench-spark-worker-2"
"2021-08-01 22:05:23.176+00",139.546847374,"sketchbench-spark-worker-0"
"2021-08-01 22:05:28.164+00",160.274606739,"sketchbench-spark-worker-4"
"2021-08-01 22:05:29.505+00",152.643313326,"sketchbench-spark-worker-5"
"2021-08-01 22:05:37.093+00",133.903128679,"sketchbench-spark-worker-3"
"2021-08-01 22:05:39.464+00",309.800538659,"sketchbench-spark-worker-1"
"2021-08-01 22:05:41.808+00",164.433627502,"sketchbench-spark-worker-4"
"2021-08-01 22:05:42.492+00",148.777108307,"sketchbench-spark-worker-2"
"2021-08-01 22:05:43.016+00",146.961807706,"sketchbench-spark-worker-0"
"2021-08-01 22:05:47.558+00",157.452133625,"sketchbench-spark-worker-5"
"2021-08-01 22:05:47.774+00",136.178843072,"sketchbench-spark-worker-3"
"2021-08-01 22:05:53.618+00",325.059577852,"sketchbench-spark-worker-1"
"2021-08-01 22:05:55.723+00",149.830783121,"sketchbench-spark-worker-0"
"2021-08-01 22:05:57.059+00",152.614022573,"sketchbench-spark-worker-2"
"2021-08-01 22:05:57.83+00",139.324284315,"sketchbench-spark-worker-3"
"2021-08-01 22:05:58.211+00",170.509116408,"sketchbench-spark-worker-4"
"2021-08-01 22:05:59.161+00",162.204774196,"sketchbench-spark-worker-5"
"2021-08-01 22:06:04.807+00",337.18134222,"sketchbench-spark-worker-1"
"2021-08-01 22:06:08.816+00",174.303784545,"sketchbench-spark-worker-4"
"2021-08-01 22:06:11.383+00",142.844137151,"sketchbench-spark-worker-3"
"2021-08-01 22:06:12.712+00",157.072991347,"sketchbench-spark-worker-2"
"2021-08-01 22:06:15.199+00",156.557313445,"sketchbench-spark-worker-0"
"2021-08-01 22:06:17.745+00",167.03906591,"sketchbench-spark-worker-5"
"2021-08-01 22:06:22.608+00",356.942846994,"sketchbench-spark-worker-1"
"2021-08-01 22:06:23.529+00",159.682264768,"sketchbench-spark-worker-2"
"2021-08-01 22:06:25.982+00",179.356667971,"sketchbench-spark-worker-4"
"2021-08-01 22:06:31.36+00",149.226725109,"sketchbench-spark-worker-3"
"2021-08-01 22:06:31.739+00",173.58485291,"sketchbench-spark-worker-5"
"2021-08-01 22:06:33.536+00",163.291236968,"sketchbench-spark-worker-0"
"2021-08-01 22:06:35.181+00",164.007596464,"sketchbench-spark-worker-2"
"2021-08-01 22:06:40.134+00",185.323178343,"sketchbench-spark-worker-4"
"2021-08-01 22:06:42.176+00",378.07167843,"sketchbench-spark-worker-1"
"2021-08-01 22:06:46.177+00",151.959261917,"sketchbench-spark-worker-3"
"2021-08-01 22:06:48.106+00",166.703434107,"sketchbench-spark-worker-2"
"2021-08-01 22:06:48.902+00",177.920433319,"sketchbench-spark-worker-5"
"2021-08-01 22:06:50.78+00",167.185925699,"sketchbench-spark-worker-0"
"2021-08-01 22:06:55.679+00",190.175060618,"sketchbench-spark-worker-4"
"2021-08-01 22:07:00.522+00",397.761941446,"sketchbench-spark-worker-1"
"2021-08-01 22:07:05.523+00",184.140783541,"sketchbench-spark-worker-5"
"2021-08-01 22:07:05.748+00",157.7903535,"sketchbench-spark-worker-3"
"2021-08-01 22:07:07.74+00",173.367382207,"sketchbench-spark-worker-2"
"2021-08-01 22:07:10.379+00",174.018151584,"sketchbench-spark-worker-0"
"2021-08-01 22:07:10.458+00",196.827713511,"sketchbench-spark-worker-4"
"2021-08-01 22:07:11.536+00",409.554654859,"sketchbench-spark-worker-1"
"2021-08-01 22:07:17.471+00",187.117275524,"sketchbench-spark-worker-5"
"2021-08-01 22:07:22.462+00",176.322264736,"sketchbench-spark-worker-2"
"2021-08-01 22:07:24.904+00",161.624061705,"sketchbench-spark-worker-3"
"2021-08-01 22:07:27.905+00",205.442650192,"sketchbench-spark-worker-4"
"2021-08-01 22:07:28.199+00",181.112460534,"sketchbench-spark-worker-0"
"2021-08-01 22:07:30.897+00",430.4899537,"sketchbench-spark-worker-1"
"2021-08-01 22:07:32.639+00",193.638669228,"sketchbench-spark-worker-5"
"2021-08-01 22:07:37.244+00",181.3075629,"sketchbench-spark-worker-2"
"2021-08-01 22:07:38.006+00",166.755409728,"sketchbench-spark-worker-3"
"2021-08-01 22:07:44.372+00",445.126239826,"sketchbench-spark-worker-1"
"2021-08-01 22:07:47.175+00",210.97749115,"sketchbench-spark-worker-4"
"2021-08-01 22:07:47.319+00",185.932390663,"sketchbench-spark-worker-0"
"2021-08-01 22:07:52.58+00",198.892695373,"sketchbench-spark-worker-5"
"2021-08-01 22:07:55.621+00",185.372976074,"sketchbench-spark-worker-2"
"2021-08-01 22:07:57.317+00",172.549979009,"sketchbench-spark-worker-3"
"2021-08-01 22:07:57.765+00",216.403454096,"sketchbench-spark-worker-4"
"2021-08-01 22:08:02.357+00",191.530080575,"sketchbench-spark-worker-0"
"2021-08-01 22:08:03.821+00",466.162610081,"sketchbench-spark-worker-1"
"2021-08-01 22:08:08.924+00",204.917752314,"sketchbench-spark-worker-5"
"2021-08-01 22:08:09.802+00",189.888482757,"sketchbench-spark-worker-2"
"2021-08-01 22:08:13.325+00",178.429030865,"sketchbench-spark-worker-3"
"2021-08-01 22:08:17.291+00",224.133615486,"sketchbench-spark-worker-4"
"2021-08-01 22:08:17.602+00",195.207581363,"sketchbench-spark-worker-0"
"2021-08-01 22:08:19.674+00",207.79264652,"sketchbench-spark-worker-5"
"2021-08-01 22:08:20.564+00",484.511401761,"sketchbench-spark-worker-1"
"2021-08-01 22:08:25.362+00",181.047497668,"sketchbench-spark-worker-3"
"2021-08-01 22:08:25.816+00",193.412782201,"sketchbench-spark-worker-2"
"2021-08-01 22:08:29.742+00",213.961823856,"sketchbench-spark-worker-5"
"2021-08-01 22:08:32.744+00",498.15945207,"sketchbench-spark-worker-1"
"2021-08-01 22:08:34.35+00",231.50907753,"sketchbench-spark-worker-4"
"2021-08-01 22:08:37.387+00",202.261467862,"sketchbench-spark-worker-0"
"2021-08-01 22:08:37.869+00",186.745682249,"sketchbench-spark-worker-3"
"2021-08-01 22:08:44.054+00",510.24163069,"sketchbench-spark-worker-1"
"2021-08-01 22:08:44.486+00",200.244876987,"sketchbench-spark-worker-2"
"2021-08-01 22:08:46.101+00",237.912382055,"sketchbench-spark-worker-4"
"2021-08-01 22:08:47.537+00",222.478141815,"sketchbench-spark-worker-5"
"2021-08-01 22:08:51.342+00",216.187009644,"sketchbench-spark-worker-0"
"2021-08-01 22:08:56.045+00",523.174464468,"sketchbench-spark-worker-1"
"2021-08-01 22:08:57.232+00",204.542353946,"sketchbench-spark-worker-3"
"2021-08-01 22:08:57.987+00",237.593537073,"sketchbench-spark-worker-5"
"2021-08-01 22:08:59.502+00",253.764882271,"sketchbench-spark-worker-4"
"2021-08-01 22:09:03.983+00",225.225889245,"sketchbench-spark-worker-2"
