"time","cpu_usage_seconds_total","pod"
"2021-08-01 22:05:06.113+00",368.469071283,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:05:21.05+00",390.875934738,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:05:36.439+00",413.920070672,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:05:56.208+00",440.938576805,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:06:07.835+00",458.78312618,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:06:24.348+00",481.099086143,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:06:36.151+00",499.878163015,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:06:50.086+00",518.50336795,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:07:03.435+00",539.370625696,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:07:23.066+00",566.975023859,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:07:41.757+00",594.318095896,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:08:00.089+00",622.203403389,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:08:16.71+00",645.968039187,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:08:30.204+00",667.886023967,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:08:45.499+00",690.01134025,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:09:04.012+00",734.348940642,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:09:18.154+00",761.900523805,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:09:37.659+00",805.185022237,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:09:51.109+00",829.69751043,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:10:04.659+00",852.508945107,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:10:22.37+00",891.945296112,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:10:40.698+00",927.36379074,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:10:55.954+00",961.758025195,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:11:10.926+00",994.362755231,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:11:24.454+00",1019.49271352,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:11:42.48+00",1062.211967729,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:12:02.22+00",1099.124826945,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:12:21.655+00",1150.385569882,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:12:37.492+00",1188.477079231,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:12:52.667+00",1224.246065138,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:13:11.328+00",1270.91243986,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:13:23.719+00",1296.647607569,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:13:36.097+00",1334.001458936,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:13:47.519+00",1358.473328655,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:14:01.33+00",1381.315941275,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:14:18.314+00",1410.167331669,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:14:32.367+00",1433.824165645,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:14:49.592+00",1460.136453488,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:15:05.58+00",1486.130117007,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:15:25.406+00",1517.353565282,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:15:37.167+00",1538.944113398,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:15:54.361+00",1566.259744796,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:16:05.954+00",1587.548985563,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:16:24.709+00",1635.931273646,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
