"time","value_mem_bytes","pod"
"2021-08-01 22:05:03.463+00",1177239552,"sketchbench-spark-worker-4"
"2021-08-01 22:05:03.532+00",1155665920,"sketchbench-spark-worker-3"
"2021-08-01 22:05:03.915+00",1157255168,"sketchbench-spark-worker-2"
"2021-08-01 22:05:04.639+00",969330688,"sketchbench-spark-worker-1"
"2021-08-01 22:05:08.152+00",1170399232,"sketchbench-spark-worker-0"
"2021-08-01 22:05:14.596+00",1169743872,"sketchbench-spark-worker-5"
"2021-08-01 22:05:15.135+00",1179082752,"sketchbench-spark-worker-4"
"2021-08-01 22:05:18.934+00",1156476928,"sketchbench-spark-worker-3"
"2021-08-01 22:05:22.016+00",970268672,"sketchbench-spark-worker-1"
"2021-08-01 22:05:23.081+00",1158295552,"sketchbench-spark-worker-2"
"2021-08-01 22:05:23.176+00",1171476480,"sketchbench-spark-worker-0"
"2021-08-01 22:05:28.164+00",1183027200,"sketchbench-spark-worker-4"
"2021-08-01 22:05:29.505+00",1173975040,"sketchbench-spark-worker-5"
"2021-08-01 22:05:37.093+00",1161097216,"sketchbench-spark-worker-3"
"2021-08-01 22:05:39.464+00",970276864,"sketchbench-spark-worker-1"
"2021-08-01 22:05:41.808+00",1185644544,"sketchbench-spark-worker-4"
"2021-08-01 22:05:42.492+00",1162625024,"sketchbench-spark-worker-2"
"2021-08-01 22:05:43.016+00",1176985600,"sketchbench-spark-worker-0"
"2021-08-01 22:05:47.558+00",1177047040,"sketchbench-spark-worker-5"
"2021-08-01 22:05:47.774+00",1162104832,"sketchbench-spark-worker-3"
"2021-08-01 22:05:53.618+00",970473472,"sketchbench-spark-worker-1"
"2021-08-01 22:05:55.723+00",1178607616,"sketchbench-spark-worker-0"
"2021-08-01 22:05:57.059+00",1164578816,"sketchbench-spark-worker-2"
"2021-08-01 22:05:57.83+00",1163309056,"sketchbench-spark-worker-3"
"2021-08-01 22:05:58.211+00",1187651584,"sketchbench-spark-worker-4"
"2021-08-01 22:05:59.161+00",1178177536,"sketchbench-spark-worker-5"
"2021-08-01 22:06:04.807+00",971042816,"sketchbench-spark-worker-1"
"2021-08-01 22:06:08.816+00",1188974592,"sketchbench-spark-worker-4"
"2021-08-01 22:06:11.383+00",1164898304,"sketchbench-spark-worker-3"
"2021-08-01 22:06:12.712+00",1165283328,"sketchbench-spark-worker-2"
"2021-08-01 22:06:15.199+00",1186992128,"sketchbench-spark-worker-0"
"2021-08-01 22:06:17.745+00",1180360704,"sketchbench-spark-worker-5"
"2021-08-01 22:06:22.608+00",973099008,"sketchbench-spark-worker-1"
"2021-08-01 22:06:23.529+00",1166745600,"sketchbench-spark-worker-2"
"2021-08-01 22:06:25.982+00",1190649856,"sketchbench-spark-worker-4"
"2021-08-01 22:06:31.36+00",1170169856,"sketchbench-spark-worker-3"
"2021-08-01 22:06:31.739+00",1187467264,"sketchbench-spark-worker-5"
"2021-08-01 22:06:33.536+00",1193652224,"sketchbench-spark-worker-0"
"2021-08-01 22:06:35.181+00",1170833408,"sketchbench-spark-worker-2"
"2021-08-01 22:06:40.134+00",1193451520,"sketchbench-spark-worker-4"
"2021-08-01 22:06:42.176+00",975790080,"sketchbench-spark-worker-1"
"2021-08-01 22:06:46.177+00",1169309696,"sketchbench-spark-worker-3"
"2021-08-01 22:06:48.106+00",1172848640,"sketchbench-spark-worker-2"
"2021-08-01 22:06:48.902+00",1186516992,"sketchbench-spark-worker-5"
"2021-08-01 22:06:50.78+00",1196748800,"sketchbench-spark-worker-0"
"2021-08-01 22:06:55.679+00",1195753472,"sketchbench-spark-worker-4"
"2021-08-01 22:07:00.522+00",979976192,"sketchbench-spark-worker-1"
"2021-08-01 22:07:05.523+00",1190309888,"sketchbench-spark-worker-5"
"2021-08-01 22:07:05.748+00",1178165248,"sketchbench-spark-worker-3"
"2021-08-01 22:07:07.74+00",1181417472,"sketchbench-spark-worker-2"
"2021-08-01 22:07:10.379+00",1201782784,"sketchbench-spark-worker-0"
"2021-08-01 22:07:10.458+00",1199689728,"sketchbench-spark-worker-4"
"2021-08-01 22:07:11.536+00",980369408,"sketchbench-spark-worker-1"
"2021-08-01 22:07:17.471+00",1194549248,"sketchbench-spark-worker-5"
"2021-08-01 22:07:22.462+00",1182228480,"sketchbench-spark-worker-2"
"2021-08-01 22:07:24.904+00",1179897856,"sketchbench-spark-worker-3"
"2021-08-01 22:07:27.905+00",1220005888,"sketchbench-spark-worker-4"
