"time","value_mem_bytes","pod"
"2021-08-01 22:05:06.113+00",859430912,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:05:21.05+00",860200960,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:05:36.439+00",861077504,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:05:56.208+00",862347264,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:06:07.835+00",867778560,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:06:24.348+00",868388864,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:06:36.151+00",870264832,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:06:50.086+00",876453888,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:07:03.435+00",876154880,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:07:23.066+00",876867584,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:07:41.757+00",877539328,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:08:00.089+00",878481408,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:08:16.71+00",884199424,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:08:30.204+00",891367424,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:08:45.499+00",901992448,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:09:04.012+00",904290304,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:09:18.154+00",906588160,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:09:37.659+00",908038144,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:09:51.109+00",908898304,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:10:04.659+00",910491648,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:10:22.37+00",910848000,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:10:40.698+00",916606976,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:10:55.954+00",916860928,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:11:10.926+00",917155840,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:11:24.454+00",917536768,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:11:42.48+00",918323200,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:12:02.22+00",918614016,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:12:21.655+00",919998464,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:12:37.492+00",920539136,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:12:52.667+00",921124864,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:13:11.328+00",921227264,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:13:23.719+00",921964544,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:13:36.097+00",922382336,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:13:47.519+00",922812416,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:14:01.33+00",928395264,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:14:18.314+00",928636928,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:14:32.367+00",928444416,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:14:49.592+00",928407552,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:15:05.58+00",928485376,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:15:25.406+00",928645120,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:15:37.167+00",928817152,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:15:54.361+00",929153024,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:16:05.954+00",938364928,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:16:24.709+00",938618880,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:16:42.65+00",938979328,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:17:00.845+00",939397120,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:17:19.983+00",941617152,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:17:32.401+00",941776896,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
"2021-08-01 22:17:48.194+00",941801472,"sketchbench-bullet-spark-backend-78dccc9579-vxmd8"
