"time","failed_tasks"
"2021-08-01 22:05:00.373+00",0
"2021-08-01 22:05:00.373+00",0
"2021-08-01 22:05:10.373+00",0
"2021-08-01 22:05:10.373+00",0
"2021-08-01 22:05:20.379+00",0
"2021-08-01 22:05:20.379+00",0
"2021-08-01 22:05:30.373+00",0
"2021-08-01 22:05:30.373+00",0
"2021-08-01 22:05:40.373+00",0
"2021-08-01 22:05:40.373+00",0
"2021-08-01 22:05:50.373+00",0
"2021-08-01 22:05:50.373+00",0
"2021-08-01 22:06:00.377+00",0
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:10.373+00",0
"2021-08-01 22:06:20.373+00",0
"2021-08-01 22:06:30.373+00",0
"2021-08-01 22:06:40.373+00",0
"2021-08-01 22:06:50.373+00",0
"2021-08-01 22:07:00.373+00",0
"2021-08-01 22:07:10.373+00",0
"2021-08-01 22:07:20.376+00",0
"2021-08-01 22:07:30.373+00",0
"2021-08-01 22:07:40.373+00",0
"2021-08-01 22:07:50.373+00",0
"2021-08-01 22:08:00.373+00",0
"2021-08-01 22:08:10.373+00",0
"2021-08-01 22:08:20.373+00",0
"2021-08-01 22:08:30.373+00",0
"2021-08-01 22:08:40.373+00",0
"2021-08-01 22:08:50.373+00",0
"2021-08-01 22:09:00.373+00",0
"2021-08-01 22:09:10.373+00",0
"2021-08-01 22:09:20.373+00",0
"2021-08-01 22:09:30.379+00",0
"2021-08-01 22:09:40.373+00",0
"2021-08-01 22:09:50.373+00",0
"2021-08-01 22:10:00.373+00",0
"2021-08-01 22:10:10.373+00",0
"2021-08-01 22:10:20.377+00",0
"2021-08-01 22:10:30.373+00",0
"2021-08-01 22:10:40.373+00",0
"2021-08-01 22:10:50.376+00",0
"2021-08-01 22:11:00.373+00",0
"2021-08-01 22:11:10.373+00",0
"2021-08-01 22:11:20.373+00",0
"2021-08-01 22:11:30.373+00",0
"2021-08-01 22:11:40.373+00",0
"2021-08-01 22:11:50.373+00",0
"2021-08-01 22:12:00.373+00",0
"2021-08-01 22:12:10.373+00",0
"2021-08-01 22:12:20.373+00",0
"2021-08-01 22:12:30.373+00",0
"2021-08-01 22:12:40.373+00",0
"2021-08-01 22:12:50.373+00",0
"2021-08-01 22:13:00.373+00",0
"2021-08-01 22:13:10.373+00",0
"2021-08-01 22:13:20.373+00",0
"2021-08-01 22:13:30.373+00",0
"2021-08-01 22:13:40.38+00",0
"2021-08-01 22:13:50.373+00",0
"2021-08-01 22:14:00.373+00",0
