"time","current_consumer_offset","consumergroup","kafka_partition"
"2021-08-01 22:05:04.576+00",3346534,"bullet-consumer-group","3"
"2021-08-01 22:05:04.576+00",3346591,"bullet-consumer-group","1"
"2021-08-01 22:05:04.576+00",3346592,"bullet-consumer-group","0"
"2021-08-01 22:05:04.576+00",3346537,"bullet-consumer-group","4"
"2021-08-01 22:05:04.576+00",3346588,"bullet-consumer-group","2"
"2021-08-01 22:05:14.576+00",3362599,"bullet-consumer-group","0"
"2021-08-01 22:05:14.576+00",3362543,"bullet-consumer-group","3"
"2021-08-01 22:05:14.576+00",3362544,"bullet-consumer-group","4"
"2021-08-01 22:05:14.576+00",3362596,"bullet-consumer-group","2"
"2021-08-01 22:05:14.576+00",3362602,"bullet-consumer-group","1"
"2021-08-01 22:05:24.576+00",3378577,"bullet-consumer-group","4"
"2021-08-01 22:05:24.576+00",3378632,"bullet-consumer-group","2"
"2021-08-01 22:05:24.576+00",3378574,"bullet-consumer-group","3"
"2021-08-01 22:05:24.576+00",3378639,"bullet-consumer-group","1"
"2021-08-01 22:05:24.576+00",3378634,"bullet-consumer-group","0"
"2021-08-01 22:05:34.576+00",3394581,"bullet-consumer-group","4"
"2021-08-01 22:05:34.576+00",3394640,"bullet-consumer-group","2"
"2021-08-01 22:05:34.576+00",3394578,"bullet-consumer-group","3"
"2021-08-01 22:05:34.576+00",3394642,"bullet-consumer-group","1"
"2021-08-01 22:05:34.576+00",3394638,"bullet-consumer-group","0"
"2021-08-01 22:05:44.576+00",3410619,"bullet-consumer-group","3"
"2021-08-01 22:05:44.576+00",3410620,"bullet-consumer-group","4"
"2021-08-01 22:05:44.576+00",3410653,"bullet-consumer-group","0"
"2021-08-01 22:05:44.576+00",3410662,"bullet-consumer-group","2"
"2021-08-01 22:05:44.576+00",3410660,"bullet-consumer-group","1"
"2021-08-01 22:05:54.576+00",3426675,"bullet-consumer-group","0"
"2021-08-01 22:05:54.576+00",3426677,"bullet-consumer-group","2"
"2021-08-01 22:05:54.576+00",3426678,"bullet-consumer-group","1"
"2021-08-01 22:05:54.576+00",3426624,"bullet-consumer-group","3"
"2021-08-01 22:05:54.576+00",3426632,"bullet-consumer-group","4"
"2021-08-01 22:06:04.576+00",3442694,"bullet-consumer-group","1"
