"time","bytesinpersec_oneminuterate"
"2021-08-01 22:05:05.166+00",2041953.009209166
"2021-08-01 22:05:15.166+00",2040961.209275468
"2021-08-01 22:05:25.166+00",2039768.438627412
"2021-08-01 22:05:35.166+00",2038801.929441905
"2021-08-01 22:05:45.166+00",2038334.5393133957
"2021-08-01 22:05:55.166+00",2037311.5527712272
"2021-08-01 22:06:05.166+00",2037098.2294296115
"2021-08-01 22:06:15.166+00",2036530.9034265678
"2021-08-01 22:06:25.166+00",2035952.320171191
"2021-08-01 22:06:35.166+00",2035935.3236835694
"2021-08-01 22:06:45.166+00",2035487.8658803639
"2021-08-01 22:06:55.166+00",2035522.9408643679
"2021-08-01 22:07:05.166+00",2035176.9042036023
"2021-08-01 22:07:15.166+00",2034911.4078723772
"2021-08-01 22:07:25.166+00",2035101.0231399809
"2021-08-01 22:07:35.166+00",2034644.9513137091
"2021-08-01 22:07:45.166+00",2034762.3185558626
"2021-08-01 22:07:55.166+00",2034502.6712783533
"2021-08-01 22:08:05.166+00",2034313.2181719786
"2021-08-01 22:08:15.166+00",2034492.3993723695
"2021-08-01 22:08:25.166+00",2034191.2453853283
"2021-08-01 22:08:35.166+00",2034432.2796383365
"2021-08-01 22:08:45.166+00",2035648.929008354
"2021-08-01 22:08:55.166+00",2036831.7504740634
"2021-08-01 22:09:05.166+00",2038044.6804585885
"2021-08-01 22:09:15.166+00",2038869.9110988579
"2021-08-01 22:09:25.166+00",2039803.0982797374
"2021-08-01 22:09:35.166+00",2040163.7416068478
"2021-08-01 22:09:45.166+00",2040528.7557903277
"2021-08-01 22:09:55.166+00",2041170.978905945
"2021-08-01 22:10:05.166+00",2042895.7047508785
"2021-08-01 22:10:15.166+00",2047610.6879605558
"2021-08-01 22:10:25.166+00",2050077.6557205454
"2021-08-01 22:10:35.166+00",2052947.4627598997
"2021-08-01 22:10:45.166+00",2052881.1416028757
"2021-08-01 22:10:55.166+00",2052351.2821526553
"2021-08-01 22:11:05.166+00",2051966.4199936842
"2021-08-01 22:11:15.166+00",2050954.3739957258
"2021-08-01 22:11:25.166+00",2049555.1108081033
"2021-08-01 22:11:35.166+00",2048653.5956741832
"2021-08-01 22:11:45.166+00",2047587.1767127928
"2021-08-01 22:11:55.166+00",2047063.6442053996
"2021-08-01 22:12:05.166+00",2046309.9313143569
"2021-08-01 22:12:15.166+00",2045727.984346626
"2021-08-01 22:12:25.166+00",2045604.2254121325
"2021-08-01 22:12:35.166+00",2045049.383752236
"2021-08-01 22:12:45.166+00",2047787.2217326618
"2021-08-01 22:12:55.166+00",2051138.8440188197
"2021-08-01 22:13:05.166+00",2052867.906477527
"2021-08-01 22:13:15.166+00",2056317.271361316
"2021-08-01 22:13:25.166+00",2058782.4061508833
"2021-08-01 22:13:35.166+00",2060090.45237625
"2021-08-01 22:13:45.166+00",2060088.3723354745
"2021-08-01 22:13:55.166+00",2058453.663929366
"2021-08-01 22:14:05.166+00",2057366.8843484463
"2021-08-01 22:14:15.166+00",2055610.583050298
"2021-08-01 22:14:25.166+00",2057270.333643203
"2021-08-01 22:14:35.166+00",2059612.0783111812
"2021-08-01 22:14:45.166+00",2061652.9728664602
"2021-08-01 22:14:55.166+00",2061142.5326786384
"2021-08-01 22:15:05.166+00",2059242.639038514
"2021-08-01 22:15:15.166+00",2058745.2516657817
"2021-08-01 22:15:25.166+00",2060616.9068018193
"2021-08-01 22:15:35.166+00",2061518.7362861817
"2021-08-01 22:15:45.166+00",2063354.7592237028
"2021-08-01 22:15:55.166+00",2061906.5579679457
"2021-08-01 22:16:05.166+00",2063976.4056869012
"2021-08-01 22:16:15.166+00",2065365.251184283
"2021-08-01 22:16:25.166+00",2066416.6679280833
"2021-08-01 22:16:35.166+00",2067733.2697642564
