"time","bytesoutpersec_oneminuterate"
"2021-08-01 22:05:05.166+00",2423721.196815105
"2021-08-01 22:05:15.166+00",2363766.6626788485
"2021-08-01 22:05:25.166+00",2312946.3235805673
"2021-08-01 22:05:35.166+00",2270157.1714913915
"2021-08-01 22:05:45.166+00",2234479.1892491635
"2021-08-01 22:05:55.166+00",2202103.80939608
"2021-08-01 22:06:05.166+00",2177390.831920824
"2021-08-01 22:06:15.166+00",2155233.4267219626
"2021-08-01 22:06:25.166+00",2136665.7552703624
"2021-08-01 22:06:35.166+00",2121185.6195304156
"2021-08-01 22:06:45.166+00",2107801.403318659
"2021-08-01 22:06:55.166+00",2096369.0107442583
"2021-08-01 22:07:05.166+00",2086727.0216829076
"2021-08-01 22:07:15.166+00",2078799.901951709
"2021-08-01 22:07:25.166+00",2072229.4864107724
"2021-08-01 22:07:35.166+00",2065308.0301978143
"2021-08-01 22:07:45.166+00",2061029.317394497
"2021-08-01 22:07:55.166+00",2056906.8585495667
"2021-08-01 22:08:05.166+00",2052881.7708630143
"2021-08-01 22:08:15.166+00",2050131.715446244
"2021-08-01 22:08:25.166+00",2047966.2986106428
"2021-08-01 22:08:35.166+00",2045290.114044823
"2021-08-01 22:08:45.166+00",2045382.9879922115
"2021-08-01 22:08:55.166+00",2045311.125092087
"2021-08-01 22:09:05.166+00",2045148.6057540535
"2021-08-01 22:09:15.166+00",2044856.968551631
"2021-08-01 22:09:25.166+00",2045034.5810961407
"2021-08-01 22:09:35.166+00",2041632.031764316
"2021-08-01 22:09:45.166+00",2044199.391552618
"2021-08-01 22:09:55.166+00",2043186.0478976374
"2021-08-01 22:10:05.166+00",2045911.8648488123
"2021-08-01 22:10:15.166+00",2049948.1157490083
"2021-08-01 22:10:25.166+00",2052359.4451773318
"2021-08-01 22:10:35.166+00",2052342.5806574137
"2021-08-01 22:10:45.166+00",2054883.6313030978
"2021-08-01 22:10:55.166+00",2053590.8974536175
"2021-08-01 22:11:05.166+00",2053533.5695559136
"2021-08-01 22:11:15.166+00",2052286.2462358996
"2021-08-01 22:11:25.166+00",2049401.892418761
"2021-08-01 22:11:35.166+00",2048708.2607876568
"2021-08-01 22:11:45.166+00",2046538.7116281728
"2021-08-01 22:11:55.166+00",2047858.8105383986
"2021-08-01 22:12:05.166+00",2044659.4606061673
"2021-08-01 22:12:15.166+00",2045103.5422123922
"2021-08-01 22:12:25.166+00",2044940.2949582716
"2021-08-01 22:12:35.166+00",2045786.5107285362
"2021-08-01 22:12:45.166+00",2047529.2173069539
"2021-08-01 22:12:55.166+00",2051900.1896034179
"2021-08-01 22:13:05.166+00",2053554.5243931976
"2021-08-01 22:13:15.166+00",2056943.6435455193
"2021-08-01 22:13:25.166+00",2058232.833032214
"2021-08-01 22:13:35.166+00",2059482.5391534471
"2021-08-01 22:13:45.166+00",2059957.2457211334
"2021-08-01 22:13:55.166+00",2058922.7995090552
"2021-08-01 22:14:05.166+00",2056915.0485360157
"2021-08-01 22:14:15.166+00",2055127.2710354205
"2021-08-01 22:14:25.166+00",2057660.8588491245
"2021-08-01 22:14:35.166+00",2058967.3196058224
"2021-08-01 22:14:45.166+00",2061020.6102803312
"2021-08-01 22:14:55.166+00",2061784.4975804032
"2021-08-01 22:15:05.166+00",2059305.437572216
"2021-08-01 22:15:15.166+00",2058294.948900342
"2021-08-01 22:15:25.166+00",2060524.490601796
"2021-08-01 22:15:35.166+00",2061407.1302553597
"2021-08-01 22:15:45.166+00",2063590.7381021415
"2021-08-01 22:15:55.166+00",2061675.1801754998
"2021-08-01 22:16:05.166+00",2064216.9652859508
"2021-08-01 22:16:15.166+00",2065650.9718153214
"2021-08-01 22:16:25.166+00",2066637.2158718572
"2021-08-01 22:16:35.166+00",2067956.4143881355
"2021-08-01 22:16:45.166+00",2062804.637934582
"2021-08-01 22:16:55.166+00",2064747.6348149844
"2021-08-01 22:17:05.166+00",2065563.4305640687
"2021-08-01 22:17:15.166+00",2065123.382952235
"2021-08-01 22:17:25.166+00",2064698.8663257202
"2021-08-01 22:17:35.166+00",2062472.1150607914
"2021-08-01 22:17:45.166+00",2058829.153467239
"2021-08-01 22:17:55.166+00",2057327.9042559017
"2021-08-01 22:18:05.166+00",2055510.9037381941
"2021-08-01 22:18:15.166+00",2052535.245690104
"2021-08-01 22:18:25.166+00",2049802.7020548864
"2021-08-01 22:18:35.166+00",2048251.371288297
"2021-08-01 22:18:45.166+00",2043379.2150827856
"2021-08-01 22:18:55.166+00",2045296.6400519062
"2021-08-01 22:19:05.166+00",2043505.3910872708
"2021-08-01 22:19:15.166+00",2040643.022802253
"2021-08-01 22:19:25.166+00",2039520.0766942368
"2021-08-01 22:19:35.166+00",2036067.0840829376
"2021-08-01 22:19:45.166+00",2033292.1295332604
"2021-08-01 22:19:55.166+00",2034299.5107160374
"2021-08-01 22:20:05.166+00",2034053.9758996035
"2021-08-01 22:20:15.166+00",2035312.121359854
"2021-08-01 22:20:25.166+00",2038753.2365007775
"2021-08-01 22:20:35.166+00",2042535.4771795566
"2021-08-01 22:20:45.166+00",2044165.2460042376
"2021-08-01 22:20:55.166+00",2045779.3652941524
"2021-08-01 22:21:05.166+00",2045406.7587552774
"2021-08-01 22:21:15.166+00",2048118.6668183694
"2021-08-01 22:21:25.166+00",2047267.4534908354
"2021-08-01 22:21:35.166+00",2048189.303132913
"2021-08-01 22:21:45.166+00",2049305.9026240245
"2021-08-01 22:21:55.166+00",2050607.55924878
"2021-08-01 22:22:05.166+00",2050623.6647507013
"2021-08-01 22:22:15.166+00",2051173.430938906
"2021-08-01 22:22:25.166+00",2051853.13914036
"2021-08-01 22:22:35.166+00",2051885.436384843
"2021-08-01 22:22:45.166+00",2053160.8235478476
"2021-08-01 22:22:55.166+00",2052446.0767569435
"2021-08-01 22:23:05.166+00",2052929.1413614033
"2021-08-01 22:23:15.166+00",2053009.4631327705
"2021-08-01 22:23:25.166+00",2052971.4238475203
"2021-08-01 22:23:35.166+00",2053490.0508876217
"2021-08-01 22:23:45.166+00",2052513.2990354788
"2021-08-01 22:23:55.166+00",2125172.4441553927
"2021-08-01 22:24:05.166+00",2446137.857895053
"2021-08-01 22:24:15.166+00",2694454.7806860427
"2021-08-01 22:24:25.166+00",2903568.6957585663
"2021-08-01 22:24:35.166+00",3082445.132877732
"2021-08-01 22:24:45.166+00",3231641.61028944
"2021-08-01 22:24:55.166+00",3358987.769649496
"2021-08-01 22:25:05.166+00",3467543.3385382206
"2021-08-01 22:25:15.166+00",3556957.233697747
"2021-08-01 22:25:25.166+00",3631286.5889016283
"2021-08-01 22:25:35.166+00",3695085.5281182956
"2021-08-01 22:25:45.166+00",3751344.26914626
"2021-08-01 22:25:55.166+00",3798305.1158113983
"2021-08-01 22:26:05.166+00",3840545.957013652
"2021-08-01 22:26:15.166+00",3873473.7671011426
"2021-08-01 22:26:25.166+00",3904368.2108088685
"2021-08-01 22:26:35.166+00",3928119.7977059577
"2021-08-01 22:26:45.166+00",3952299.1090526674
"2021-08-01 22:26:55.166+00",3966327.921037605
"2021-08-01 22:27:05.166+00",3983078.987400403
