"time","requests_per_sec_out"
"2021-08-01 22:05:05.166+00",942.9996108470007
"2021-08-01 22:05:15.166+00",946.9496007983283
"2021-08-01 22:05:25.166+00",910.3437800408276
"2021-08-01 22:05:35.166+00",921.5016200743418
"2021-08-01 22:05:45.166+00",934.5044047770651
"2021-08-01 22:05:55.166+00",943.8364055007833
"2021-08-01 22:06:05.166+00",919.4808115840978
"2021-08-01 22:06:15.166+00",886.930486924441
"2021-08-01 22:06:25.166+00",908.0556393735308
"2021-08-01 22:06:35.166+00",916.7732931227464
"2021-08-01 22:06:45.166+00",885.0215564014783
"2021-08-01 22:06:55.166+00",908.6792579096355
"2021-08-01 22:07:05.166+00",916.8040650725069
"2021-08-01 22:07:15.166+00",924.1491972546322
"2021-08-01 22:07:25.166+00",899.0720126676414
"2021-08-01 22:07:35.166+00",915.7541475175781
"2021-08-01 22:07:45.166+00",930.5526414453985
"2021-08-01 22:07:55.166+00",939.0898187289968
"2021-08-01 22:08:05.166+00",934.7065038740853
"2021-08-01 22:08:15.166+00",898.6846309516093
"2021-08-01 22:08:25.166+00",913.3684784323538
"2021-08-01 22:08:35.166+00",901.7624169701452
"2021-08-01 22:08:45.166+00",920.4622286554485
"2021-08-01 22:08:55.166+00",905.0558756154044
"2021-08-01 22:09:05.166+00",864.8757293143457
"2021-08-01 22:09:15.166+00",784.3280789944681
"2021-08-01 22:09:25.166+00",787.0024891354421
"2021-08-01 22:09:35.166+00",745.9673379204899
"2021-08-01 22:09:45.166+00",667.378089621747
"2021-08-01 22:09:55.166+00",607.8361361092698
"2021-08-01 22:10:05.166+00",637.7143016301666
"2021-08-01 22:10:15.166+00",602.7369492352027
"2021-08-01 22:10:25.166+00",556.3932549665817
"2021-08-01 22:10:35.166+00",521.574330131043
"2021-08-01 22:10:45.166+00",536.448198545214
"2021-08-01 22:10:55.166+00",522.5602342755402
"2021-08-01 22:11:05.166+00",527.8806374699791
"2021-08-01 22:11:15.166+00",550.6831248645364
"2021-08-01 22:11:25.166+00",578.7405988478237
"2021-08-01 22:11:35.166+00",543.5343481789895
"2021-08-01 22:11:45.166+00",500.9259335521901
"2021-08-01 22:11:55.166+00",468.49739204590634
"2021-08-01 22:12:05.166+00",503.4004431134424
"2021-08-01 22:12:15.166+00",486.60346906785287
"2021-08-01 22:12:25.166+00",454.0981897832558
"2021-08-01 22:12:35.166+00",442.9847301720057
"2021-08-01 22:12:45.166+00",493.5091396147004
"2021-08-01 22:12:55.166+00",490.3924963793063
"2021-08-01 22:13:05.166+00",473.81117072011114
"2021-08-01 22:13:15.166+00",489.481807098372
"2021-08-01 22:13:25.166+00",525.1700519693013
"2021-08-01 22:13:35.166+00",508.84307529779244
"2021-08-01 22:13:45.166+00",459.2700107384162
"2021-08-01 22:13:55.166+00",435.78511106519727
"2021-08-01 22:14:05.166+00",480.6421959379619
"2021-08-01 22:14:15.166+00",482.2398287743233
"2021-08-01 22:14:25.166+00",563.5069550960442
"2021-08-01 22:14:35.166+00",633.4985626735369
"2021-08-01 22:14:45.166+00",673.5700454608947
"2021-08-01 22:14:55.166+00",748.1990962232717
"2021-08-01 22:15:05.166+00",810.6575991271458
"2021-08-01 22:15:15.166+00",853.1127017192196
"2021-08-01 22:15:25.166+00",837.9214104212176
"2021-08-01 22:15:35.166+00",860.0099804621274
"2021-08-01 22:15:45.166+00",871.9654442372324
"2021-08-01 22:15:55.166+00",881.2534816279456
"2021-08-01 22:16:05.166+00",868.8076270946705
"2021-08-01 22:16:15.166+00",852.5376123078487
"2021-08-01 22:16:25.166+00",833.1247574370243
"2021-08-01 22:16:35.166+00",809.3200835418338
"2021-08-01 22:16:45.166+00",817.5270404996637
"2021-08-01 22:16:55.166+00",753.6758372740026
"2021-08-01 22:17:05.166+00",677.1361160619505
"2021-08-01 22:17:15.166+00",607.8152324077868
"2021-08-01 22:17:25.166+00",593.0989620880041
"2021-08-01 22:17:35.166+00",547.0998697412264
"2021-08-01 22:17:45.166+00",495.3573231331894
"2021-08-01 22:17:55.166+00",466.90036129572803
"2021-08-01 22:18:05.166+00",513.1445741000625
"2021-08-01 22:18:15.166+00",506.6519879864717
"2021-08-01 22:18:25.166+00",505.3470039186199
"2021-08-01 22:18:35.166+00",531.1305740066923
"2021-08-01 22:18:45.166+00",561.2560750135822
"2021-08-01 22:18:55.166+00",537.884684208732
"2021-08-01 22:19:05.166+00",492.02253175329975
"2021-08-01 22:19:15.166+00",442.46973089574334
"2021-08-01 22:19:25.166+00",455.2037066051286
"2021-08-01 22:19:35.166+00",434.54542900778455
"2021-08-01 22:19:45.166+00",406.34870816737816
"2021-08-01 22:19:55.166+00",431.1812422637048
"2021-08-01 22:20:05.166+00",473.9457984063122
"2021-08-01 22:20:15.166+00",468.3914036861945
"2021-08-01 22:20:25.166+00",462.55042518517484
"2021-08-01 22:20:35.166+00",488.9698383795084
"2021-08-01 22:20:45.166+00",525.0202135673497
"2021-08-01 22:20:55.166+00",503.21290715296794
"2021-08-01 22:21:05.166+00",458.77335170287046
"2021-08-01 22:21:15.166+00",414.93849235223337
"2021-08-01 22:21:25.166+00",380.8592241071709
"2021-08-01 22:21:35.166+00",457.7675471509324
"2021-08-01 22:21:45.166+00",531.7829793730616
"2021-08-01 22:21:55.166+00",600.3974377916427
"2021-08-01 22:22:05.166+00",651.0567664209941
"2021-08-01 22:22:15.166+00",700.5889408213642
"2021-08-01 22:22:25.166+00",778.5064817357784
