"time","requests_per_sec_in"
"2021-08-01 22:05:05.166+00",7899.568045598801
"2021-08-01 22:05:15.166+00",7903.657007908937
"2021-08-01 22:05:25.166+00",7901.296878263657
"2021-08-01 22:05:35.166+00",7900.082654143175
"2021-08-01 22:05:45.166+00",7904.676356958396
"2021-08-01 22:05:55.166+00",7898.426048072335
"2021-08-01 22:06:05.166+00",7903.747037934923
"2021-08-01 22:06:15.166+00",7901.852207891989
"2021-08-01 22:06:25.166+00",7898.720056177015
"2021-08-01 22:06:35.166+00",7903.848491995237
"2021-08-01 22:06:45.166+00",7900.997798562408
"2021-08-01 22:06:55.166+00",7905.483915678419
"2021-08-01 22:07:05.166+00",7903.053746227813
"2021-08-01 22:07:15.166+00",7901.45146229674
"2021-08-01 22:07:25.166+00",7906.889109925071
"2021-08-01 22:07:35.166+00",7901.310414645349
"2021-08-01 22:07:45.166+00",7904.892672876302
"2021-08-01 22:07:55.166+00",7902.04989165278
"2021-08-01 22:08:05.166+00",7900.223640150846
"2021-08-01 22:08:15.166+00",7904.156001086424
"2021-08-01 22:08:25.166+00",7900.093251732212
"2021-08-01 22:08:35.166+00",7904.681731666288
"2021-08-01 22:08:45.166+00",7904.51501791919
"2021-08-01 22:08:55.166+00",7902.097361158419
"2021-08-01 22:09:05.166+00",7904.783829963591
"2021-08-01 22:09:15.166+00",7903.862716574734
"2021-08-01 22:09:25.166+00",7907.672372744849
"2021-08-01 22:09:35.166+00",7902.390479931131
"2021-08-01 22:09:45.166+00",7900.169176162378
"2021-08-01 22:09:55.166+00",7905.780068822386
"2021-08-01 22:10:05.166+00",7902.944976157549
"2021-08-01 22:10:15.166+00",7908.711450780781
"2021-08-01 22:10:25.166+00",7904.715669443564
"2021-08-01 22:10:35.166+00",7900.718521273001
"2021-08-01 22:10:45.166+00",7907.164768442811
"2021-08-01 22:10:55.166+00",7903.662288983446
"2021-08-01 22:11:05.166+00",7906.42160485032
"2021-08-01 22:11:15.166+00",7905.530350493641
"2021-08-01 22:11:25.166+00",7902.6875120393815
"2021-08-01 22:11:35.166+00",7905.717752486474
"2021-08-01 22:11:45.166+00",7903.26634408242
"2021-08-01 22:11:55.166+00",7907.11693503946
"2021-08-01 22:12:05.166+00",7904.76166985486
"2021-08-01 22:12:15.166+00",7902.915070786326
"2021-08-01 22:12:25.166+00",7906.235277953113
"2021-08-01 22:12:35.166+00",7901.1836036744335
"2021-08-01 22:12:45.166+00",7907.165520016654
"2021-08-01 22:12:55.166+00",7904.714538678462
"2021-08-01 22:13:05.166+00",7902.257932192562
"2021-08-01 22:13:15.166+00",7906.983341459602
"2021-08-01 22:13:25.166+00",7903.897597728055
"2021-08-01 22:13:35.166+00",7906.337415443952
"2021-08-01 22:13:45.166+00",7903.572204908927
"2021-08-01 22:13:55.166+00",7901.802035111738
"2021-08-01 22:14:05.166+00",7906.471412966358
"2021-08-01 22:14:15.166+00",7905.90466743468
"2021-08-01 22:14:25.166+00",7910.423630156107
"2021-08-01 22:14:35.166+00",7905.775448700669
"2021-08-01 22:14:45.166+00",7902.989669071739
"2021-08-01 22:14:55.166+00",7907.2624459917615
"2021-08-01 22:15:05.166+00",7903.377157794872
"2021-08-01 22:15:15.166+00",7908.325737648102
"2021-08-01 22:15:25.166+00",7904.669321202287
"2021-08-01 22:15:35.166+00",7902.449294548434
"2021-08-01 22:15:45.166+00",7906.02596575748
"2021-08-01 22:15:55.166+00",7900.465212879811
"2021-08-01 22:16:05.166+00",7905.4968162703235
"2021-08-01 22:16:15.166+00",7903.517496425705
"2021-08-01 22:16:25.166+00",7900.315912188244
"2021-08-01 22:16:35.166+00",7904.119612702028
"2021-08-01 22:16:45.166+00",7903.455159119768
"2021-08-01 22:16:55.166+00",7908.826010639445
"2021-08-01 22:17:05.166+00",7905.6249839153
"2021-08-01 22:17:15.166+00",7904.762671398265
"2021-08-01 22:17:25.166+00",7909.1387272268175
"2021-08-01 22:17:35.166+00",7904.934043748524
"2021-08-01 22:17:45.166+00",7908.341886509005
"2021-08-01 22:17:55.166+00",7907.0996651227415
"2021-08-01 22:18:05.166+00",7904.221253313218
"2021-08-01 22:18:15.166+00",7908.181461245214
"2021-08-01 22:18:25.166+00",7907.086052277252
"2021-08-01 22:18:35.166+00",7910.098909764526
"2021-08-01 22:18:45.166+00",7905.295881871357
"2021-08-01 22:18:55.166+00",7902.139755706201
"2021-08-01 22:19:05.166+00",7906.336368405279
"2021-08-01 22:19:15.166+00",7902.655900419279
"2021-08-01 22:19:25.166+00",7909.81016708935
"2021-08-01 22:19:35.166+00",7906.73827626512
"2021-08-01 22:19:45.166+00",7905.294433811404
"2021-08-01 22:19:55.166+00",7910.00970223998
"2021-08-01 22:20:05.166+00",7904.324218608396
"2021-08-01 22:20:15.166+00",7907.59413355871
"2021-08-01 22:20:25.166+00",7905.426564114255
"2021-08-01 22:20:35.166+00",7902.29456671839
"2021-08-01 22:20:45.166+00",7906.434116772657
"2021-08-01 22:20:55.166+00",7904.589252593484
"2021-08-01 22:21:05.166+00",7909.3632432001095
"2021-08-01 22:21:15.166+00",7906.730928866998
"2021-08-01 22:21:25.166+00",7902.085436029452
"2021-08-01 22:21:35.166+00",7903.188688222831
"2021-08-01 22:21:45.166+00",7900.06122688936
"2021-08-01 22:21:55.166+00",7906.393908025715
"2021-08-01 22:22:05.166+00",7902.2895568040185
"2021-08-01 22:22:15.166+00",7900.747053854456
"2021-08-01 22:22:25.166+00",7906.377280542125
"2021-08-01 22:22:35.166+00",7902.626602839125
"2021-08-01 22:22:45.166+00",7906.325994058762
"2021-08-01 22:22:55.166+00",7905.703402100353
"2021-08-01 22:23:05.166+00",7900.906707858736
"2021-08-01 22:23:15.166+00",7905.715426043602
"2021-08-01 22:23:25.166+00",7907.792506861221
"2021-08-01 22:23:35.166+00",7912.1450967618575
"2021-08-01 22:23:45.166+00",7909.477193108866
"2021-08-01 22:23:55.166+00",8198.600011181874
"2021-08-01 22:24:05.166+00",9433.630665712622
"2021-08-01 22:24:15.166+00",10381.132467810105
"2021-08-01 22:24:25.166+00",11185.038228445803
"2021-08-01 22:24:35.166+00",11874.139767871471
"2021-08-01 22:24:45.166+00",12455.486922227654
"2021-08-01 22:24:55.166+00",12950.937003026218
"2021-08-01 22:25:05.166+00",13366.815419568671
"2021-08-01 22:25:15.166+00",13717.440002482934
"2021-08-01 22:25:25.166+00",14018.821924596838
"2021-08-01 22:25:35.166+00",14276.822597230544
"2021-08-01 22:25:45.166+00",14491.298551400656
"2021-08-01 22:25:55.166+00",14662.841799191185
"2021-08-01 22:26:05.166+00",14805.930023942743
"2021-08-01 22:26:15.166+00",14940.529989676934
"2021-08-01 22:26:25.166+00",15049.92367172161
"2021-08-01 22:26:35.166+00",15149.773811077126
"2021-08-01 22:26:45.166+00",15223.319948836093
"2021-08-01 22:26:55.166+00",15285.014149660838
"2021-08-01 22:27:05.166+00",15347.205258368069
"2021-08-01 22:27:15.166+00",15399.199892214843
"2021-08-01 22:27:25.166+00",15439.658686830559
"2021-08-01 22:27:35.166+00",15471.065278901004
"2021-08-01 22:27:45.166+00",15492.456548430398
"2021-08-01 22:27:55.166+00",15517.703052973427
"2021-08-01 22:28:05.166+00",15542.38002991547
"2021-08-01 22:28:15.166+00",15559.012090502712
"2021-08-01 22:28:25.171+00",15568.466729308482
"2021-08-01 22:28:35.166+00",15576.889308786464
"2021-08-01 22:28:45.166+00",15592.363887417323
"2021-08-01 22:28:55.166+00",15598.891303234685
"2021-08-01 22:29:05.166+00",15593.070566519002
"2021-08-01 22:29:15.166+00",15591.505700390502
"2021-08-01 22:29:25.166+00",15591.687164849802
"2021-08-01 22:29:35.166+00",15607.363493216495
"2021-08-01 22:29:45.166+00",15619.225210174298
"2021-08-01 22:29:55.166+00",15629.301435168642
"2021-08-01 22:30:05.166+00",15634.691979362804
"2021-08-01 22:30:15.166+00",15479.815965686365
"2021-08-01 22:30:25.166+00",15518.443835799773
"2021-08-01 22:30:35.166+00",15546.47366307157
"2021-08-01 22:30:45.166+00",15563.315713260896
"2021-08-01 22:30:55.166+00",15582.795693558925
"2021-08-01 22:31:05.166+00",15580.256235439856
"2021-08-01 22:31:15.169+00",15594.223758618995
"2021-08-01 22:31:25.166+00",15605.727278170583
"2021-08-01 22:31:35.166+00",15616.850306408263
"2021-08-01 22:31:45.166+00",15620.348207492028
"2021-08-01 22:31:55.166+00",15611.06957264553
"2021-08-01 22:32:05.166+00",15623.433921085823
"2021-08-01 22:32:15.166+00",15629.950922818975
"2021-08-01 22:32:25.166+00",15634.25855814912
"2021-08-01 22:32:35.166+00",15640.377842175949
"2021-08-01 22:32:45.166+00",15640.772684335428
"2021-08-01 22:32:55.166+00",15636.319458202659
"2021-08-01 22:33:05.166+00",15642.353930081897
"2021-08-01 22:33:15.166+00",15647.090395524916
"2021-08-01 22:33:25.166+00",15648.908189220361
"2021-08-01 22:33:35.166+00",15637.856883689272
"2021-08-01 22:33:45.166+00",15643.000238491284
"2021-08-01 22:33:55.166+00",15640.189343475031
"2021-08-01 22:34:05.166+00",15645.590543093122
"2021-08-01 22:34:15.166+00",15644.654556769645
"2021-08-01 22:34:25.166+00",15635.104927291488
"2021-08-01 22:34:35.166+00",15639.292928954259
"2021-08-01 22:34:45.166+00",15641.354116043463
"2021-08-01 22:34:55.166+00",15641.701191092994
"2021-08-01 22:35:05.166+00",15644.020146431903
"2021-08-01 22:35:15.166+00",15633.015671159073
"2021-08-01 22:35:25.166+00",15635.238889633123
"2021-08-01 22:35:35.166+00",15639.081371214299
"2021-08-01 22:35:45.166+00",15644.681148683276
"2021-08-01 22:35:55.166+00",15648.114869862799
"2021-08-01 22:36:05.166+00",15645.258940726846
"2021-08-01 22:36:15.166+00",15648.640275407668
"2021-08-01 22:36:25.166+00",15657.416234484206
"2021-08-01 22:36:35.166+00",15665.738597002268
"2021-08-01 22:36:45.171+00",15671.109931193054
"2021-08-01 22:36:55.166+00",15663.942343963607
"2021-08-01 22:37:05.166+00",15665.949791805342
"2021-08-01 22:37:15.166+00",15668.02013175951
"2021-08-01 22:37:25.166+00",15672.578851389675
"2021-08-01 22:37:35.166+00",15678.894576034872
"2021-08-01 22:37:45.166+00",15665.788881413617
"2021-08-01 22:37:55.166+00",15669.854613923102
"2021-08-01 22:38:05.166+00",15675.382716641057
"2021-08-01 22:38:15.166+00",15679.652281249155
"2021-08-01 22:38:25.166+00",15685.145741027096
"2021-08-01 22:38:35.166+00",15674.84203780867
"2021-08-01 22:38:45.166+00",15685.008358610306
"2021-08-01 22:38:55.166+00",15688.297676130587
"2021-08-01 22:39:05.166+00",15690.162378739198
"2021-08-01 22:39:15.166+00",15687.37912946385
"2021-08-01 22:39:25.166+00",15679.352759418729
"2021-08-01 22:39:35.166+00",15669.962491236101
"2021-08-01 22:39:45.166+00",15677.02005685473
"2021-08-01 22:39:55.166+00",15681.516066582995
"2021-08-01 22:40:05.166+00",15684.512844625664
"2021-08-01 22:40:15.166+00",15675.663132412064
