"time","current_consumer_offset","kafka_partition"
"2021-08-01 22:05:04.576+00",3351890,"1"
"2021-08-01 22:05:04.576+00",3351890,"2"
"2021-08-01 22:05:04.576+00",3351890,"3"
"2021-08-01 22:05:04.576+00",3351888,"0"
"2021-08-01 22:05:04.576+00",3351892,"4"
"2021-08-01 22:05:14.576+00",3367890,"1"
"2021-08-01 22:05:14.576+00",3367889,"0"
"2021-08-01 22:05:14.576+00",3367890,"3"
"2021-08-01 22:05:14.576+00",3367890,"4"
"2021-08-01 22:05:14.576+00",3367890,"2"
"2021-08-01 22:05:24.576+00",3383888,"0"
"2021-08-01 22:05:24.576+00",3383890,"3"
"2021-08-01 22:05:24.576+00",3383890,"1"
"2021-08-01 22:05:24.576+00",3383891,"4"
"2021-08-01 22:05:24.576+00",3383890,"2"
"2021-08-01 22:05:34.576+00",3399890,"2"
"2021-08-01 22:05:34.576+00",3399890,"1"
"2021-08-01 22:05:34.576+00",3399888,"0"
"2021-08-01 22:05:34.576+00",3399891,"3"
"2021-08-01 22:05:34.576+00",3399892,"4"
"2021-08-01 22:05:44.576+00",3415890,"3"
"2021-08-01 22:05:44.576+00",3415891,"4"
"2021-08-01 22:05:44.576+00",3415889,"2"
"2021-08-01 22:05:44.576+00",3415889,"1"
"2021-08-01 22:05:44.576+00",3415887,"0"
"2021-08-01 22:05:54.576+00",3431891,"0"
"2021-08-01 22:05:54.576+00",3431892,"1"
"2021-08-01 22:05:54.576+00",3431893,"2"
"2021-08-01 22:05:54.576+00",3431895,"4"
"2021-08-01 22:05:54.576+00",3431893,"3"
"2021-08-01 22:06:04.576+00",3447890,"2"
"2021-08-01 22:06:04.576+00",3447890,"1"
"2021-08-01 22:06:04.576+00",3447888,"0"
"2021-08-01 22:06:04.576+00",3447891,"3"
"2021-08-01 22:06:04.576+00",3447892,"4"
"2021-08-01 22:06:14.576+00",3463889,"0"
"2021-08-01 22:06:14.576+00",3463891,"1"
"2021-08-01 22:06:14.576+00",3463891,"2"
"2021-08-01 22:06:14.576+00",3463892,"4"
"2021-08-01 22:06:14.576+00",3463891,"3"
"2021-08-01 22:06:24.576+00",3479887,"0"
"2021-08-01 22:06:24.576+00",3479889,"1"
"2021-08-01 22:06:24.576+00",3479889,"2"
"2021-08-01 22:06:24.576+00",3479891,"4"
"2021-08-01 22:06:24.576+00",3479890,"3"
"2021-08-01 22:06:34.576+00",3495888,"0"
"2021-08-01 22:06:34.576+00",3495890,"1"
"2021-08-01 22:06:34.576+00",3495890,"2"
"2021-08-01 22:06:34.576+00",3495891,"4"
"2021-08-01 22:06:34.576+00",3495890,"3"
"2021-08-01 22:06:44.576+00",3511890,"1"
"2021-08-01 22:06:44.576+00",3511889,"0"
"2021-08-01 22:06:44.576+00",3511891,"2"
"2021-08-01 22:06:44.576+00",3511892,"4"
"2021-08-01 22:06:44.576+00",3511891,"3"
"2021-08-01 22:06:54.576+00",3527892,"4"
"2021-08-01 22:06:54.576+00",3527891,"3"
"2021-08-01 22:06:54.576+00",3527890,"2"
"2021-08-01 22:06:54.576+00",3527890,"1"
"2021-08-01 22:06:54.576+00",3527888,"0"
"2021-08-01 22:07:04.576+00",3543893,"1"
"2021-08-01 22:07:04.576+00",3543891,"0"
"2021-08-01 22:07:04.576+00",3543893,"2"
"2021-08-01 22:07:04.576+00",3543895,"4"
"2021-08-01 22:07:04.576+00",3543894,"3"
"2021-08-01 22:07:14.576+00",3559892,"4"
"2021-08-01 22:07:14.576+00",3559891,"3"
"2021-08-01 22:07:14.576+00",3559891,"2"
"2021-08-01 22:07:14.576+00",3559891,"1"
"2021-08-01 22:07:14.576+00",3559889,"0"
