"time","last_batch_records_per_sec"
"2021-08-01 22:05:00.373+00",13825.5
"2021-08-01 22:05:00.373+00",8000.5
"2021-08-01 22:05:10.373+00",7998
"2021-08-01 22:05:10.373+00",13825.5
"2021-08-01 22:05:20.379+00",13825.5
"2021-08-01 22:05:20.379+00",7996.5
"2021-08-01 22:05:30.373+00",13825.5
"2021-08-01 22:05:30.373+00",8002.5
"2021-08-01 22:05:40.373+00",13825.5
"2021-08-01 22:05:40.373+00",7997.5
"2021-08-01 22:05:50.373+00",8004
"2021-08-01 22:05:50.373+00",13825.5
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:00.377+00",7998.5
"2021-08-01 22:06:10.373+00",8000
"2021-08-01 22:06:20.373+00",7940
"2021-08-01 22:06:30.373+00",8006.5
"2021-08-01 22:06:40.373+00",7999.5
"2021-08-01 22:06:50.373+00",7997
"2021-08-01 22:07:00.373+00",7992
"2021-08-01 22:07:10.373+00",8006
"2021-08-01 22:07:20.376+00",8000.5
"2021-08-01 22:07:30.373+00",7999
"2021-08-01 22:07:40.373+00",7996.5
"2021-08-01 22:07:50.373+00",7998.5
"2021-08-01 22:08:00.373+00",7995.5
"2021-08-01 22:08:10.373+00",7994.5
"2021-08-01 22:08:20.373+00",7993.5
"2021-08-01 22:08:30.373+00",7998
"2021-08-01 22:08:40.373+00",8106
"2021-08-01 22:08:50.373+00",7997
"2021-08-01 22:09:00.373+00",7998
"2021-08-01 22:09:10.373+00",7996
"2021-08-01 22:09:20.373+00",5896
"2021-08-01 22:09:30.379+00",10012.5
"2021-08-01 22:09:40.373+00",7430.5
"2021-08-01 22:09:50.373+00",201.5
"2021-08-01 22:10:00.373+00",9698.5
"2021-08-01 22:10:10.373+00",7999
"2021-08-01 22:10:20.377+00",6011.5
"2021-08-01 22:10:30.373+00",5029
"2021-08-01 22:10:40.373+00",5055
"2021-08-01 22:10:50.376+00",9722.5
"2021-08-01 22:11:00.373+00",9751.5
"2021-08-01 22:11:10.373+00",7997
"2021-08-01 22:11:20.373+00",8000.5
"2021-08-01 22:11:30.373+00",8001
"2021-08-01 22:11:40.373+00",7599
"2021-08-01 22:11:50.373+00",6273
"2021-08-01 22:12:00.373+00",6669.5
"2021-08-01 22:12:10.373+00",10176.5
"2021-08-01 22:12:20.373+00",11231.5
"2021-08-01 22:12:30.373+00",11390
"2021-08-01 22:12:40.373+00",6391.5
"2021-08-01 22:12:50.373+00",9387.5
"2021-08-01 22:13:00.373+00",5610.5
"2021-08-01 22:13:10.373+00",9435.5
"2021-08-01 22:13:20.373+00",7997
"2021-08-01 22:13:30.373+00",8012.5
"2021-08-01 22:13:40.38+00",7822
"2021-08-01 22:13:50.373+00",4889
"2021-08-01 22:14:00.373+00",6979
"2021-08-01 22:14:10.373+00",8000.5
"2021-08-01 22:14:20.38+00",6793
"2021-08-01 22:14:30.373+00",7994
"2021-08-01 22:14:40.373+00",8006
"2021-08-01 22:14:50.373+00",8007.5
"2021-08-01 22:15:00.373+00",7995
"2021-08-01 22:15:10.373+00",7997.5
"2021-08-01 22:15:20.373+00",7992.5
"2021-08-01 22:15:30.373+00",7991
"2021-08-01 22:15:40.373+00",7996
"2021-08-01 22:15:50.373+00",7997
"2021-08-01 22:16:00.373+00",7996
