"time","memory_used_bytes","executor"
"2021-08-01 22:05:29.243+00",31572,"4"
"2021-08-01 22:05:29.243+00",352780,"1"
"2021-08-01 22:05:29.243+00",351095,"5"
"2021-08-01 22:05:29.243+00",364723,"3"
"2021-08-01 22:05:29.243+00",356150,"0"
"2021-08-01 22:05:29.243+00",371355,"2"
"2021-08-01 22:05:59.243+00",31572,"4"
"2021-08-01 22:05:59.243+00",469000,"3"
"2021-08-01 22:05:59.243+00",452002,"5"
"2021-08-01 22:05:59.243+00",451665,"1"
"2021-08-01 22:05:59.243+00",461101,"0"
"2021-08-01 22:05:59.243+00",478425,"2"
"2021-08-01 22:06:29.243+00",459358,"5"
"2021-08-01 22:06:29.243+00",457673,"1"
"2021-08-01 22:06:29.243+00",464750,"0"
"2021-08-01 22:06:29.243+00",483352,"2"
"2021-08-01 22:06:29.243+00",31572,"4"
"2021-08-01 22:06:29.243+00",471409,"3"
"2021-08-01 22:06:59.243+00",430685,"5"
"2021-08-01 22:06:59.243+00",430685,"1"
"2021-08-01 22:06:59.243+00",438436,"0"
"2021-08-01 22:06:59.243+00",461729,"2"
"2021-08-01 22:06:59.243+00",31572,"4"
"2021-08-01 22:06:59.243+00",452603,"3"
"2021-08-01 22:07:29.243+00",463637,"5"
"2021-08-01 22:07:29.243+00",31572,"4"
"2021-08-01 22:07:29.243+00",463637,"1"
"2021-08-01 22:07:29.243+00",474317,"2"
"2021-08-01 22:07:29.243+00",470714,"0"
"2021-08-01 22:07:29.243+00",473535,"3"
"2021-08-01 22:07:59.243+00",446930,"1"
"2021-08-01 22:07:59.243+00",459775,"3"
"2021-08-01 22:07:59.243+00",446593,"5"
"2021-08-01 22:07:59.243+00",450974,"0"
"2021-08-01 22:07:59.243+00",465917,"2"
"2021-08-01 22:07:59.243+00",31572,"4"
"2021-08-01 22:08:29.243+00",466892,"2"
"2021-08-01 22:08:29.243+00",457982,"0"
"2021-08-01 22:08:29.243+00",454275,"1"
"2021-08-01 22:08:29.243+00",451579,"5"
"2021-08-01 22:08:29.243+00",469952,"3"
"2021-08-01 22:08:29.243+00",31572,"4"
"2021-08-01 22:08:59.243+00",4424652,"2"
"2021-08-01 22:08:59.243+00",4250972,"1"
"2021-08-01 22:08:59.243+00",4296315,"3"
"2021-08-01 22:08:59.243+00",4388292,"0"
"2021-08-01 22:08:59.243+00",4167889,"5"
"2021-08-01 22:08:59.243+00",31572,"4"
"2021-08-01 22:09:29.245+00",31572,"4"
"2021-08-01 22:09:29.245+00",9252157,"2"
"2021-08-01 22:09:29.245+00",9230629,"0"
"2021-08-01 22:09:29.245+00",8751150,"5"
"2021-08-01 22:09:29.245+00",8989852,"3"
"2021-08-01 22:09:29.245+00",8915657,"1"
"2021-08-01 22:09:59.243+00",12111432,"5"
"2021-08-01 22:09:59.243+00",12327756,"1"
"2021-08-01 22:09:59.243+00",31572,"4"
"2021-08-01 22:09:59.243+00",12802379,"2"
"2021-08-01 22:09:59.243+00",12906916,"0"
"2021-08-01 22:09:59.243+00",12447883,"3"
"2021-08-01 22:10:29.243+00",12030163,"2"
"2021-08-01 22:10:29.243+00",11621584,"3"
"2021-08-01 22:10:29.243+00",11359741,"5"
"2021-08-01 22:10:29.243+00",11522245,"1"
"2021-08-01 22:10:29.243+00",12098629,"0"
"2021-08-01 22:10:29.243+00",31572,"4"
"2021-08-01 22:10:59.243+00",10766027,"3"
"2021-08-01 22:10:59.243+00",31572,"4"
"2021-08-01 22:10:59.243+00",10470457,"5"
"2021-08-01 22:10:59.243+00",11173133,"0"
"2021-08-01 22:10:59.243+00",11136557,"2"
"2021-08-01 22:10:59.243+00",10685501,"1"
"2021-08-01 22:11:29.243+00",13563374,"5"
"2021-08-01 22:11:29.243+00",14233945,"0"
"2021-08-01 22:11:29.243+00",14245488,"2"
"2021-08-01 22:11:29.243+00",31572,"4"
"2021-08-01 22:11:29.243+00",13818470,"1"
"2021-08-01 22:11:29.243+00",13833262,"3"
"2021-08-01 22:11:59.243+00",12324277,"5"
"2021-08-01 22:11:59.243+00",12625881,"1"
"2021-08-01 22:11:59.243+00",31572,"4"
"2021-08-01 22:11:59.243+00",12950005,"2"
"2021-08-01 22:11:59.243+00",12965762,"0"
"2021-08-01 22:11:59.243+00",12635801,"3"
"2021-08-01 22:12:29.243+00",11418412,"5"
"2021-08-01 22:12:29.243+00",12008471,"0"
"2021-08-01 22:12:29.243+00",31572,"4"
"2021-08-01 22:12:29.243+00",11919992,"2"
"2021-08-01 22:12:29.243+00",11626858,"1"
"2021-08-01 22:12:29.243+00",11613880,"3"
"2021-08-01 22:12:59.243+00",11439650,"2"
"2021-08-01 22:12:59.243+00",31572,"4"
"2021-08-01 22:12:59.243+00",11165684,"1"
"2021-08-01 22:12:59.243+00",11129468,"3"
"2021-08-01 22:12:59.243+00",11132743,"5"
"2021-08-01 22:12:59.243+00",11628758,"0"
"2021-08-01 22:13:29.243+00",13054617,"1"
"2021-08-01 22:13:29.243+00",13603101,"0"
"2021-08-01 22:13:29.243+00",13383577,"2"
"2021-08-01 22:13:29.243+00",31572,"4"
"2021-08-01 22:13:29.243+00",13185275,"5"
"2021-08-01 22:13:29.243+00",13044222,"3"
"2021-08-01 22:13:59.243+00",10886909,"1"
"2021-08-01 22:13:59.243+00",10907845,"3"
"2021-08-01 22:13:59.243+00",11380989,"0"
"2021-08-01 22:13:59.243+00",31572,"4"
"2021-08-01 22:13:59.243+00",11229336,"2"
"2021-08-01 22:13:59.243+00",11043453,"5"
"2021-08-01 22:14:29.243+00",5285181,"1"
"2021-08-01 22:14:29.243+00",31572,"4"
"2021-08-01 22:14:29.243+00",5541610,"2"
"2021-08-01 22:14:29.243+00",5526397,"0"
"2021-08-01 22:14:29.243+00",5376777,"5"
"2021-08-01 22:14:29.243+00",5368268,"3"
"2021-08-01 22:14:59.243+00",464654,"3"
"2021-08-01 22:14:59.243+00",459431,"5"
"2021-08-01 22:14:59.243+00",454957,"1"
"2021-08-01 22:14:59.243+00",463138,"0"
"2021-08-01 22:14:59.243+00",474566,"2"
"2021-08-01 22:14:59.243+00",31572,"4"
"2021-08-01 22:15:29.243+00",477923,"1"
"2021-08-01 22:15:29.243+00",31572,"4"
"2021-08-01 22:15:29.243+00",501236,"2"
"2021-08-01 22:15:29.243+00",479945,"0"
"2021-08-01 22:15:29.243+00",478934,"5"
"2021-08-01 22:15:29.243+00",497637,"3"
"2021-08-01 22:15:59.243+00",454506,"3"
"2021-08-01 22:15:59.243+00",444922,"5"
"2021-08-01 22:15:59.243+00",443237,"1"
"2021-08-01 22:15:59.243+00",444248,"0"
"2021-08-01 22:15:59.243+00",31572,"4"
"2021-08-01 22:15:59.243+00",456325,"2"
"2021-08-01 22:16:29.243+00",2567612,"2"
"2021-08-01 22:16:29.243+00",1930630,"0"
"2021-08-01 22:16:29.243+00",31572,"4"
"2021-08-01 22:16:29.243+00",1918453,"3"
"2021-08-01 22:16:29.243+00",1883984,"5"
"2021-08-01 22:16:29.243+00",1868958,"1"
"2021-08-01 22:16:59.243+00",5370302,"2"
"2021-08-01 22:16:59.243+00",3690716,"0"
"2021-08-01 22:16:59.243+00",31572,"4"
"2021-08-01 22:16:59.243+00",3652002,"3"
"2021-08-01 22:16:59.243+00",3604698,"5"
"2021-08-01 22:16:59.243+00",3576718,"1"
"2021-08-01 22:17:29.243+00",4719688,"0"
"2021-08-01 22:17:29.243+00",31572,"4"
"2021-08-01 22:17:29.243+00",4630184,"3"
"2021-08-01 22:17:29.243+00",4570184,"5"
"2021-08-01 22:17:29.243+00",4541157,"1"
"2021-08-01 22:17:29.243+00",7477026,"2"
"2021-08-01 22:17:59.243+00",4045021,"0"
"2021-08-01 22:17:59.243+00",3955559,"3"
"2021-08-01 22:17:59.243+00",3890413,"1"
"2021-08-01 22:17:59.243+00",31572,"4"
"2021-08-01 22:17:59.243+00",7514474,"2"
"2021-08-01 22:17:59.243+00",3911059,"5"
