"time","shuffle_read_bytes_total","executor"
"2021-08-01 22:05:29.243+00",276,"5"
"2021-08-01 22:05:29.243+00",460,"4"
"2021-08-01 22:05:29.243+00",506,"0"
"2021-08-01 22:05:29.243+00",2682304,"2"
"2021-08-01 22:05:29.243+00",276,"1"
"2021-08-01 22:05:29.243+00",3036048,"3"
"2021-08-01 22:05:59.243+00",276,"1"
"2021-08-01 22:05:59.243+00",506,"0"
"2021-08-01 22:05:59.243+00",276,"5"
"2021-08-01 22:05:59.243+00",3036048,"3"
"2021-08-01 22:05:59.243+00",460,"4"
"2021-08-01 22:05:59.243+00",2682577,"2"
"2021-08-01 22:06:29.243+00",276,"1"
"2021-08-01 22:06:29.243+00",3779518,"2"
"2021-08-01 22:06:29.243+00",506,"0"
"2021-08-01 22:06:29.243+00",460,"4"
"2021-08-01 22:06:29.243+00",3036048,"3"
"2021-08-01 22:06:29.243+00",276,"5"
"2021-08-01 22:06:59.243+00",276,"1"
"2021-08-01 22:06:59.243+00",3779518,"2"
"2021-08-01 22:06:59.243+00",506,"0"
"2021-08-01 22:06:59.243+00",460,"4"
"2021-08-01 22:06:59.243+00",276,"5"
"2021-08-01 22:06:59.243+00",3561723,"3"
"2021-08-01 22:07:29.243+00",3779518,"2"
"2021-08-01 22:07:29.243+00",506,"0"
"2021-08-01 22:07:29.243+00",276,"1"
"2021-08-01 22:07:29.243+00",460,"4"
"2021-08-01 22:07:29.243+00",4163565,"3"
"2021-08-01 22:07:29.243+00",276,"5"
"2021-08-01 22:07:59.243+00",276,"5"
"2021-08-01 22:07:59.243+00",506,"0"
"2021-08-01 22:07:59.243+00",3779518,"2"
"2021-08-01 22:07:59.243+00",460,"4"
"2021-08-01 22:07:59.243+00",276,"1"
"2021-08-01 22:07:59.243+00",4163838,"3"
"2021-08-01 22:08:29.243+00",276,"5"
"2021-08-01 22:08:29.243+00",4684599,"3"
"2021-08-01 22:08:29.243+00",276,"1"
"2021-08-01 22:08:29.243+00",460,"4"
"2021-08-01 22:08:29.243+00",506,"0"
"2021-08-01 22:08:29.243+00",4363069,"2"
"2021-08-01 22:08:59.243+00",460,"4"
"2021-08-01 22:08:59.243+00",276,"1"
"2021-08-01 22:08:59.243+00",4684599,"3"
"2021-08-01 22:08:59.243+00",276,"5"
"2021-08-01 22:08:59.243+00",506,"0"
"2021-08-01 22:08:59.243+00",17563539,"2"
"2021-08-01 22:09:29.245+00",460,"4"
"2021-08-01 22:09:29.245+00",506,"0"
"2021-08-01 22:09:29.245+00",33562995,"2"
"2021-08-01 22:09:29.245+00",276,"5"
"2021-08-01 22:09:29.245+00",4821918,"3"
"2021-08-01 22:09:29.245+00",276,"1"
"2021-08-01 22:09:59.243+00",5032874,"3"
"2021-08-01 22:09:59.243+00",276,"1"
"2021-08-01 22:09:59.243+00",276,"5"
"2021-08-01 22:09:59.243+00",460,"4"
"2021-08-01 22:09:59.243+00",506,"0"
"2021-08-01 22:09:59.243+00",44688626,"2"
"2021-08-01 22:10:29.243+00",276,"1"
"2021-08-01 22:10:29.243+00",5033024,"3"
"2021-08-01 22:10:29.243+00",276,"5"
"2021-08-01 22:10:29.243+00",60247744,"2"
"2021-08-01 22:10:29.243+00",506,"0"
"2021-08-01 22:10:29.243+00",460,"4"
"2021-08-01 22:10:59.243+00",76247045,"2"
"2021-08-01 22:10:59.243+00",506,"0"
"2021-08-01 22:10:59.243+00",460,"4"
"2021-08-01 22:10:59.243+00",276,"1"
"2021-08-01 22:10:59.243+00",5158381,"3"
"2021-08-01 22:10:59.243+00",276,"5"
"2021-08-01 22:11:29.243+00",276,"5"
"2021-08-01 22:11:29.243+00",94618080,"2"
"2021-08-01 22:11:29.243+00",506,"0"
"2021-08-01 22:11:29.243+00",460,"4"
"2021-08-01 22:11:29.243+00",5158381,"3"
"2021-08-01 22:11:29.243+00",276,"1"
"2021-08-01 22:11:59.243+00",460,"4"
"2021-08-01 22:11:59.243+00",276,"1"
"2021-08-01 22:11:59.243+00",5344990,"3"
"2021-08-01 22:11:59.243+00",276,"5"
"2021-08-01 22:11:59.243+00",506,"0"
"2021-08-01 22:11:59.243+00",104940386,"2"
"2021-08-01 22:12:29.243+00",276,"1"
"2021-08-01 22:12:29.243+00",120118470,"2"
"2021-08-01 22:12:29.243+00",460,"4"
"2021-08-01 22:12:29.243+00",506,"0"
"2021-08-01 22:12:29.243+00",276,"5"
"2021-08-01 22:12:29.243+00",5439648,"3"
"2021-08-01 22:12:59.243+00",137195754,"2"
"2021-08-01 22:12:59.243+00",276,"1"
"2021-08-01 22:12:59.243+00",5439648,"3"
"2021-08-01 22:12:59.243+00",276,"5"
"2021-08-01 22:12:59.243+00",460,"4"
"2021-08-01 22:12:59.243+00",506,"0"
"2021-08-01 22:13:29.243+00",276,"5"
"2021-08-01 22:13:29.243+00",460,"4"
"2021-08-01 22:13:29.243+00",5439921,"3"
"2021-08-01 22:13:29.243+00",506,"0"
"2021-08-01 22:13:29.243+00",276,"1"
"2021-08-01 22:13:29.243+00",153351844,"2"
"2021-08-01 22:13:59.243+00",460,"4"
"2021-08-01 22:13:59.243+00",276,"1"
"2021-08-01 22:13:59.243+00",506,"0"
"2021-08-01 22:13:59.243+00",159824973,"2"
"2021-08-01 22:13:59.243+00",276,"5"
"2021-08-01 22:13:59.243+00",5594762,"3"
"2021-08-01 22:14:29.243+00",5724587,"3"
"2021-08-01 22:14:29.243+00",460,"4"
"2021-08-01 22:14:29.243+00",276,"5"
"2021-08-01 22:14:29.243+00",276,"1"
"2021-08-01 22:14:29.243+00",506,"0"
"2021-08-01 22:14:29.243+00",160389414,"2"
"2021-08-01 22:14:59.243+00",5724587,"3"
"2021-08-01 22:14:59.243+00",460,"4"
"2021-08-01 22:14:59.243+00",506,"0"
"2021-08-01 22:14:59.243+00",161093358,"2"
"2021-08-01 22:14:59.243+00",276,"1"
"2021-08-01 22:14:59.243+00",276,"5"
"2021-08-01 22:15:29.243+00",276,"1"
"2021-08-01 22:15:29.243+00",460,"4"
