"time","shuffle_write_bytes_total","executor"
"2021-08-01 22:05:29.243+00",1616553,"1"
"2021-08-01 22:05:29.243+00",1027605,"2"
"2021-08-01 22:05:29.243+00",1034498,"0"
"2021-08-01 22:05:29.243+00",1018290,"3"
"2021-08-01 22:05:29.243+00",1013106,"5"
"2021-08-01 22:05:29.243+00",9818,"4"
"2021-08-01 22:05:59.243+00",1132164,"2"
"2021-08-01 22:05:59.243+00",1715652,"1"
"2021-08-01 22:05:59.243+00",1111932,"5"
"2021-08-01 22:05:59.243+00",1119300,"3"
"2021-08-01 22:05:59.243+00",1139057,"0"
"2021-08-01 22:05:59.243+00",10091,"4"
"2021-08-01 22:06:29.243+00",10664,"4"
"2021-08-01 22:06:29.243+00",1231233,"5"
"2021-08-01 22:06:29.243+00",1833861,"1"
"2021-08-01 22:06:29.243+00",1237236,"3"
"2021-08-01 22:06:29.243+00",1247643,"2"
"2021-08-01 22:06:29.243+00",1256447,"0"
"2021-08-01 22:06:59.243+00",1335519,"5"
"2021-08-01 22:06:59.243+00",1939239,"1"
"2021-08-01 22:06:59.243+00",1340157,"3"
"2021-08-01 22:06:59.243+00",1363190,"0"
"2021-08-01 22:06:59.243+00",1353567,"2"
"2021-08-01 22:06:59.243+00",11087,"4"
"2021-08-01 22:07:29.243+00",1473687,"2"
"2021-08-01 22:07:29.243+00",1459458,"3"
"2021-08-01 22:07:29.243+00",11510,"4"
"2021-08-01 22:07:29.243+00",1455639,"5"
"2021-08-01 22:07:29.243+00",2059359,"1"
"2021-08-01 22:07:29.243+00",1484948,"0"
"2021-08-01 22:07:59.243+00",11783,"4"
"2021-08-01 22:07:59.243+00",2160915,"1"
"2021-08-01 22:07:59.243+00",1559922,"3"
"2021-08-01 22:07:59.243+00",1558014,"5"
"2021-08-01 22:07:59.243+00",1586777,"0"
"2021-08-01 22:07:59.243+00",1577427,"2"
"2021-08-01 22:08:29.243+00",1707989,"0"
"2021-08-01 22:08:29.243+00",1693725,"2"
"2021-08-01 22:08:29.243+00",12356,"4"
"2021-08-01 22:08:29.243+00",1674858,"5"
"2021-08-01 22:08:29.243+00",2280762,"1"
"2021-08-01 22:08:29.243+00",1679496,"3"
"2021-08-01 22:08:59.243+00",4895022,"1"
"2021-08-01 22:08:59.243+00",4235436,"5"
"2021-08-01 22:08:59.243+00",4411147,"0"
"2021-08-01 22:08:59.243+00",4388519,"2"
"2021-08-01 22:08:59.243+00",4306304,"3"
"2021-08-01 22:08:59.243+00",13228,"4"
"2021-08-01 22:09:29.245+00",7380005,"5"
"2021-08-01 22:09:29.245+00",13501,"4"
"2021-08-01 22:09:29.245+00",7665660,"2"
"2021-08-01 22:09:29.245+00",7730848,"0"
"2021-08-01 22:09:29.245+00",8094367,"1"
"2021-08-01 22:09:29.245+00",7517767,"3"
"2021-08-01 22:09:59.243+00",10139426,"2"
"2021-08-01 22:09:59.243+00",9738088,"5"
"2021-08-01 22:09:59.243+00",10488335,"1"
"2021-08-01 22:09:59.243+00",9956764,"3"
