"time","on_heap_mem_used_mb"
"2021-08-01 22:05:00.373+00",120
"2021-08-01 22:05:00.373+00",0
"2021-08-01 22:05:10.373+00",0
"2021-08-01 22:05:10.373+00",120
"2021-08-01 22:05:20.379+00",120
"2021-08-01 22:05:20.379+00",0
"2021-08-01 22:05:30.373+00",0
"2021-08-01 22:05:30.373+00",118
"2021-08-01 22:05:40.373+00",0
"2021-08-01 22:05:40.373+00",120
"2021-08-01 22:05:50.373+00",120
"2021-08-01 22:05:50.373+00",0
"2021-08-01 22:06:00.377+00",119
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:10.373+00",129
"2021-08-01 22:06:20.373+00",120
"2021-08-01 22:06:30.373+00",119
"2021-08-01 22:06:40.373+00",120
"2021-08-01 22:06:50.373+00",120
"2021-08-01 22:07:00.373+00",119
"2021-08-01 22:07:10.373+00",120
"2021-08-01 22:07:20.376+00",120
"2021-08-01 22:07:30.373+00",119
"2021-08-01 22:07:40.373+00",120
"2021-08-01 22:07:50.373+00",120
"2021-08-01 22:08:00.373+00",119
"2021-08-01 22:08:10.373+00",129
"2021-08-01 22:08:20.373+00",120
"2021-08-01 22:08:30.373+00",119
"2021-08-01 22:08:40.373+00",120
"2021-08-01 22:08:50.373+00",120
"2021-08-01 22:09:00.373+00",134
"2021-08-01 22:09:10.373+00",146
"2021-08-01 22:09:20.373+00",148
"2021-08-01 22:09:30.379+00",159
"2021-08-01 22:09:40.373+00",174
"2021-08-01 22:09:50.373+00",180
"2021-08-01 22:10:00.373+00",179
"2021-08-01 22:10:10.373+00",189
"2021-08-01 22:10:20.377+00",197
"2021-08-01 22:10:30.373+00",189
"2021-08-01 22:10:40.373+00",179
"2021-08-01 22:10:50.376+00",182
"2021-08-01 22:11:00.373+00",175
"2021-08-01 22:11:10.373+00",174
"2021-08-01 22:11:20.373+00",182
"2021-08-01 22:11:30.373+00",190
"2021-08-01 22:11:40.373+00",194
"2021-08-01 22:11:50.373+00",185
"2021-08-01 22:12:00.373+00",178
"2021-08-01 22:12:10.373+00",186
"2021-08-01 22:12:20.373+00",187
"2021-08-01 22:12:30.373+00",183
"2021-08-01 22:12:40.373+00",170
"2021-08-01 22:12:50.373+00",178
"2021-08-01 22:13:00.373+00",176
"2021-08-01 22:13:10.373+00",177
"2021-08-01 22:13:20.373+00",180
"2021-08-01 22:13:30.373+00",190
"2021-08-01 22:13:40.38+00",195
"2021-08-01 22:13:50.373+00",188
"2021-08-01 22:14:00.373+00",174
"2021-08-01 22:14:10.373+00",180
"2021-08-01 22:14:20.38+00",154
"2021-08-01 22:14:30.373+00",149
"2021-08-01 22:14:40.373+00",142
"2021-08-01 22:14:50.373+00",130
"2021-08-01 22:15:00.373+00",117
"2021-08-01 22:15:10.373+00",118
"2021-08-01 22:15:20.373+00",122
"2021-08-01 22:15:30.373+00",117
"2021-08-01 22:15:40.373+00",122
"2021-08-01 22:15:50.373+00",123
"2021-08-01 22:16:00.373+00",122
"2021-08-01 22:16:10.373+00",125
"2021-08-01 22:16:20.373+00",125
"2021-08-01 22:16:30.373+00",129
"2021-08-01 22:16:40.373+00",133
"2021-08-01 22:16:50.382+00",143
"2021-08-01 22:17:00.373+00",148
"2021-08-01 22:17:10.373+00",150
"2021-08-01 22:17:20.373+00",149
"2021-08-01 22:17:30.373+00",155
"2021-08-01 22:17:40.373+00",157
"2021-08-01 22:17:50.373+00",153
"2021-08-01 22:18:00.373+00",142
"2021-08-01 22:18:10.373+00",149
"2021-08-01 22:18:20.373+00",147
