"time","processing_time"
"2021-08-01 22:05:00.373+00",-710940.0
"2021-08-01 22:05:00.373+00",19
"2021-08-01 22:05:00.373+00",711207
"2021-08-01 22:05:00.373+00",248
"2021-08-01 22:05:10.373+00",721205
"2021-08-01 22:05:10.373+00",21
"2021-08-01 22:05:10.373+00",248
"2021-08-01 22:05:10.373+00",-720936.0
"2021-08-01 22:05:20.379+00",22
"2021-08-01 22:05:20.379+00",248
"2021-08-01 22:05:20.379+00",731208
"2021-08-01 22:05:20.379+00",-730938.0
"2021-08-01 22:05:30.373+00",-740933.0
"2021-08-01 22:05:30.373+00",741199
"2021-08-01 22:05:30.373+00",18
"2021-08-01 22:05:30.373+00",248
"2021-08-01 22:05:40.373+00",751204
"2021-08-01 22:05:40.373+00",22
"2021-08-01 22:05:40.373+00",-750934.0
"2021-08-01 22:05:40.373+00",248
"2021-08-01 22:05:50.373+00",-760931.0
"2021-08-01 22:05:50.373+00",248
"2021-08-01 22:05:50.373+00",761198
"2021-08-01 22:05:50.373+00",19
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:00.377+00",23
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:10.373+00",181
"2021-08-01 22:06:20.373+00",20
"2021-08-01 22:06:30.373+00",20
"2021-08-01 22:06:40.373+00",17
"2021-08-01 22:06:50.373+00",19
"2021-08-01 22:07:00.373+00",22
"2021-08-01 22:07:10.373+00",20
"2021-08-01 22:07:20.376+00",21
"2021-08-01 22:07:30.373+00",22
"2021-08-01 22:07:40.373+00",19
"2021-08-01 22:07:50.373+00",18
"2021-08-01 22:08:00.373+00",21
"2021-08-01 22:08:10.373+00",185
"2021-08-01 22:08:20.373+00",18
"2021-08-01 22:08:30.373+00",21
"2021-08-01 22:08:40.373+00",20
"2021-08-01 22:08:50.373+00",18
"2021-08-01 22:09:00.373+00",717
"2021-08-01 22:09:10.373+00",690
"2021-08-01 22:09:20.373+00",353
"2021-08-01 22:09:30.379+00",1377
"2021-08-01 22:09:40.373+00",1701
"2021-08-01 22:09:50.373+00",2690
"2021-08-01 22:10:00.373+00",270
"2021-08-01 22:10:10.373+00",5299
"2021-08-01 22:10:20.377+00",1543
"2021-08-01 22:10:30.373+00",1214
"2021-08-01 22:10:40.373+00",1325
"2021-08-01 22:10:50.376+00",1280
"2021-08-01 22:11:00.373+00",2435
"2021-08-01 22:11:10.373+00",677
"2021-08-01 22:11:20.373+00",618
"2021-08-01 22:11:30.373+00",5076
"2021-08-01 22:11:40.373+00",1892
"2021-08-01 22:11:50.373+00",1340
"2021-08-01 22:12:00.373+00",450
"2021-08-01 22:12:10.373+00",1382
"2021-08-01 22:12:20.373+00",2425
"2021-08-01 22:12:30.373+00",1202
"2021-08-01 22:12:40.373+00",526
"2021-08-01 22:12:50.373+00",1264
"2021-08-01 22:13:00.373+00",1439
"2021-08-01 22:13:10.373+00",470
"2021-08-01 22:13:20.373+00",642
"2021-08-01 22:13:30.373+00",4987
"2021-08-01 22:13:40.38+00",1855
"2021-08-01 22:13:50.373+00",1936
"2021-08-01 22:14:00.373+00",23
"2021-08-01 22:14:10.373+00",279
"2021-08-01 22:14:20.38+00",18
"2021-08-01 22:14:30.373+00",28
"2021-08-01 22:14:40.373+00",20
"2021-08-01 22:14:50.373+00",17
"2021-08-01 22:15:00.373+00",22
"2021-08-01 22:15:10.373+00",19
"2021-08-01 22:15:20.373+00",20
"2021-08-01 22:15:30.373+00",27
"2021-08-01 22:15:40.373+00",18
"2021-08-01 22:15:50.373+00",19
"2021-08-01 22:16:00.373+00",20
"2021-08-01 22:16:10.373+00",44
"2021-08-01 22:16:20.373+00",754
"2021-08-01 22:16:30.373+00",668
"2021-08-01 22:16:40.373+00",673
"2021-08-01 22:16:50.382+00",1591
"2021-08-01 22:17:00.373+00",1870
"2021-08-01 22:17:10.373+00",1391
"2021-08-01 22:17:20.373+00",1529
"2021-08-01 22:17:30.373+00",4987
"2021-08-01 22:17:40.373+00",1741
"2021-08-01 22:17:50.373+00",1055
"2021-08-01 22:18:00.373+00",362
"2021-08-01 22:18:10.373+00",4621
"2021-08-01 22:18:20.373+00",1181
"2021-08-01 22:18:30.373+00",585
"2021-08-01 22:18:40.373+00",660
"2021-08-01 22:18:50.373+00",5423
"2021-08-01 22:19:00.373+00",742
"2021-08-01 22:19:10.373+00",1418
"2021-08-01 22:19:20.373+00",1391
"2021-08-01 22:19:30.373+00",5018
"2021-08-01 22:19:40.373+00",1559
"2021-08-01 22:19:50.373+00",1164
"2021-08-01 22:20:00.373+00",642
"2021-08-01 22:20:10.373+00",1197
"2021-08-01 22:20:20.373+00",1371
"2021-08-01 22:20:30.373+00",484
"2021-08-01 22:20:40.373+00",595
"2021-08-01 22:20:50.388+00",5336
"2021-08-01 22:21:00.373+00",694
"2021-08-01 22:21:10.373+00",1448
"2021-08-01 22:21:20.373+00",616
"2021-08-01 22:21:30.373+00",19
"2021-08-01 22:21:40.39+00",17
"2021-08-01 22:21:50.373+00",45
"2021-08-01 22:22:00.373+00",23
"2021-08-01 22:22:10.373+00",134
"2021-08-01 22:22:20.373+00",19
"2021-08-01 22:22:30.373+00",31
"2021-08-01 22:22:40.373+00",30
"2021-08-01 22:22:50.373+00",19
"2021-08-01 22:23:00.373+00",32
"2021-08-01 22:23:10.373+00",24
"2021-08-01 22:23:20.373+00",37
"2021-08-01 22:23:30.373+00",18
"2021-08-01 22:23:40.373+00",34
"2021-08-01 22:23:50.373+00",18
"2021-08-01 22:24:00.373+00",20
"2021-08-01 22:24:10.373+00",18
"2021-08-01 22:24:20.373+00",18
"2021-08-01 22:24:30.373+00",17
"2021-08-01 22:24:40.373+00",19
"2021-08-01 22:24:50.375+00",18
"2021-08-01 22:25:00.373+00",21
"2021-08-01 22:25:10.378+00",14
"2021-08-01 22:25:20.373+00",21
"2021-08-01 22:25:30.373+00",28
"2021-08-01 22:25:40.373+00",20
"2021-08-01 22:25:50.373+00",18
"2021-08-01 22:26:00.373+00",20
"2021-08-01 22:26:10.373+00",1621
"2021-08-01 22:26:20.373+00",1333
"2021-08-01 22:26:30.373+00",521
"2021-08-01 22:26:40.373+00",682
"2021-08-01 22:26:50.373+00",1875
"2021-08-01 22:27:00.373+00",2208
"2021-08-01 22:27:10.373+00",1180
"2021-08-01 22:27:20.373+00",2246
"2021-08-01 22:27:30.373+00",6115
"2021-08-01 22:27:40.373+00",798
"2021-08-01 22:27:50.373+00",317
"2021-08-01 22:28:00.373+00",702
"2021-08-01 22:28:10.373+00",1144
"2021-08-01 22:28:20.373+00",1578
"2021-08-01 22:28:30.373+00",585
"2021-08-01 22:28:40.373+00",727
"2021-08-01 22:28:50.373+00",5083
"2021-08-01 22:29:00.373+00",1445
"2021-08-01 22:29:10.381+00",1843
"2021-08-01 22:29:20.373+00",1789
"2021-08-01 22:29:30.373+00",4706
"2021-08-01 22:29:40.373+00",1610
"2021-08-01 22:29:50.373+00",261
"2021-08-01 22:30:00.373+00",684
"2021-08-01 22:30:10.373+00",1180
"2021-08-01 22:30:20.373+00",1325
"2021-08-01 22:30:30.373+00",520
"2021-08-01 22:30:40.373+00",725
"2021-08-01 22:30:50.373+00",1438
"2021-08-01 22:31:00.373+00",1714
"2021-08-01 22:31:10.373+00",530
"2021-08-01 22:31:20.373+00",1497
"2021-08-01 22:31:30.373+00",17
"2021-08-01 22:31:40.377+00",22
"2021-08-01 22:31:50.373+00",17
"2021-08-01 22:32:00.373+00",21
"2021-08-01 22:32:10.373+00",14
"2021-08-01 22:32:20.373+00",16
"2021-08-01 22:32:30.373+00",17
"2021-08-01 22:32:40.373+00",19
"2021-08-01 22:32:50.373+00",16
"2021-08-01 22:33:00.373+00",16
"2021-08-01 22:33:10.373+00",20
"2021-08-01 22:33:20.373+00",19
"2021-08-01 22:33:30.373+00",70
"2021-08-01 22:33:40.373+00",17
"2021-08-01 22:33:50.373+00",19
"2021-08-01 22:34:00.373+00",18
"2021-08-01 22:34:10.373+00",19
"2021-08-01 22:34:20.373+00",17
"2021-08-01 22:34:30.373+00",18
"2021-08-01 22:34:40.373+00",43
"2021-08-01 22:34:50.373+00",17
"2021-08-01 22:35:00.373+00",18
"2021-08-01 22:35:10.377+00",17
"2021-08-01 22:35:20.373+00",156
"2021-08-01 22:35:30.373+00",18
"2021-08-01 22:35:40.373+00",14
"2021-08-01 22:35:50.373+00",680
"2021-08-01 22:36:00.373+00",600
"2021-08-01 22:36:10.373+00",1977
"2021-08-01 22:36:20.373+00",1634
"2021-08-01 22:36:30.373+00",285
"2021-08-01 22:36:40.373+00",1674
"2021-08-01 22:36:50.373+00",1326
"2021-08-01 22:37:00.373+00",484
"2021-08-01 22:37:10.373+00",1012
"2021-08-01 22:37:20.373+00",265
"2021-08-01 22:37:30.373+00",2027
"2021-08-01 22:37:40.373+00",1192
"2021-08-01 22:37:50.373+00",508
"2021-08-01 22:38:00.373+00",1307
"2021-08-01 22:38:10.373+00",1402
"2021-08-01 22:38:20.373+00",1470
"2021-08-01 22:38:30.373+00",334
"2021-08-01 22:38:40.373+00",486
"2021-08-01 22:38:50.373+00",2226
"2021-08-01 22:39:00.373+00",1414
"2021-08-01 22:39:10.373+00",2005
"2021-08-01 22:39:20.373+00",1106
"2021-08-01 22:39:30.373+00",1260
"2021-08-01 22:39:40.373+00",1280
"2021-08-01 22:39:50.376+00",510
"2021-08-01 22:40:00.373+00",498
"2021-08-01 22:40:10.373+00",2236
"2021-08-01 22:40:20.373+00",2182
"2021-08-01 22:40:30.373+00",1239
"2021-08-01 22:40:40.373+00",1124
"2021-08-01 22:40:50.373+00",440
"2021-08-01 22:41:00.373+00",17
"2021-08-01 22:41:10.373+00",17
"2021-08-01 22:41:20.373+00",22
"2021-08-01 22:41:30.373+00",16
"2021-08-01 22:41:40.373+00",19
"2021-08-01 22:41:50.373+00",18
"2021-08-01 22:42:00.373+00",18
"2021-08-01 22:42:10.373+00",15
"2021-08-01 22:42:20.373+00",17
"2021-08-01 22:42:30.373+00",18
"2021-08-01 22:42:40.373+00",20
"2021-08-01 22:42:50.38+00",17
"2021-08-01 22:43:00.373+00",16
"2021-08-01 22:43:10.373+00",17
"2021-08-01 22:43:20.373+00",20
"2021-08-01 22:43:30.373+00",19
