"time","skipped_stages"
"2021-08-01 22:05:00.373+00",5910
"2021-08-01 22:05:00.373+00",2457
"2021-08-01 22:05:10.373+00",2568
"2021-08-01 22:05:10.373+00",5910
"2021-08-01 22:05:20.379+00",2733
"2021-08-01 22:05:20.379+00",5910
"2021-08-01 22:05:30.373+00",2864
"2021-08-01 22:05:30.373+00",5910
"2021-08-01 22:05:40.373+00",2925
"2021-08-01 22:05:40.373+00",5910
"2021-08-01 22:05:50.373+00",5910
"2021-08-01 22:05:50.373+00",3040
"2021-08-01 22:06:00.377+00",3205
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:10.373+00",3336
"2021-08-01 22:06:20.373+00",3395
"2021-08-01 22:06:30.373+00",3505
"2021-08-01 22:06:40.373+00",3666
"2021-08-01 22:06:50.373+00",3797
"2021-08-01 22:07:00.373+00",3857
"2021-08-01 22:07:10.373+00",3968
"2021-08-01 22:07:20.376+00",4133
"2021-08-01 22:07:30.373+00",4264
"2021-08-01 22:07:40.373+00",4325
"2021-08-01 22:07:50.373+00",4440
"2021-08-01 22:08:00.373+00",4605
"2021-08-01 22:08:10.373+00",4736
"2021-08-01 22:08:20.373+00",4791
"2021-08-01 22:08:30.373+00",4901
"2021-08-01 22:08:40.373+00",5062
"2021-08-01 22:08:50.373+00",5193
"2021-08-01 22:09:00.373+00",5262
"2021-08-01 22:09:10.373+00",5383
"2021-08-01 22:09:20.373+00",5583
"2021-08-01 22:09:30.379+00",5753
"2021-08-01 22:09:40.373+00",5792
"2021-08-01 22:09:50.373+00",5921
"2021-08-01 22:10:00.373+00",6162
"2021-08-01 22:10:10.373+00",6339
"2021-08-01 22:10:20.377+00",6379
"2021-08-01 22:10:30.373+00",6477
"2021-08-01 22:10:40.373+00",6685
"2021-08-01 22:10:50.376+00",6881
"2021-08-01 22:11:00.373+00",6936
"2021-08-01 22:11:10.373+00",7092
"2021-08-01 22:11:20.373+00",7327
"2021-08-01 22:11:30.373+00",7506
"2021-08-01 22:11:40.373+00",7537
"2021-08-01 22:11:50.373+00",7677
"2021-08-01 22:12:00.373+00",7895
"2021-08-01 22:12:10.373+00",8073
"2021-08-01 22:12:20.373+00",8122
"2021-08-01 22:12:30.373+00",8247
"2021-08-01 22:12:40.373+00",8463
"2021-08-01 22:12:50.373+00",8642
"2021-08-01 22:13:00.373+00",8691
"2021-08-01 22:13:10.373+00",8841
"2021-08-01 22:13:20.373+00",9076
"2021-08-01 22:13:30.373+00",9255
"2021-08-01 22:13:40.38+00",9295
"2021-08-01 22:13:50.373+00",9417
"2021-08-01 22:14:00.373+00",9675
"2021-08-01 22:14:10.373+00",9833
"2021-08-01 22:14:20.38+00",9898
"2021-08-01 22:14:30.373+00",10008
"2021-08-01 22:14:40.373+00",10169
"2021-08-01 22:14:50.373+00",10300
"2021-08-01 22:15:00.373+00",10360
"2021-08-01 22:15:10.373+00",10471
"2021-08-01 22:15:20.373+00",10636
