"time","succeeded_jobs"
"2021-08-01 22:05:00.373+00",227
"2021-08-01 22:05:00.373+00",489
"2021-08-01 22:05:10.373+00",237
"2021-08-01 22:05:10.373+00",489
"2021-08-01 22:05:20.379+00",247
"2021-08-01 22:05:20.379+00",489
"2021-08-01 22:05:30.373+00",259
"2021-08-01 22:05:30.373+00",489
"2021-08-01 22:05:40.373+00",269
"2021-08-01 22:05:40.373+00",489
"2021-08-01 22:05:50.373+00",489
"2021-08-01 22:05:50.373+00",279
"2021-08-01 22:06:00.377+00",289
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:10.373+00",301
"2021-08-01 22:06:20.373+00",311
"2021-08-01 22:06:30.373+00",321
"2021-08-01 22:06:40.373+00",331
"2021-08-01 22:06:50.373+00",343
"2021-08-01 22:07:00.373+00",353
"2021-08-01 22:07:10.373+00",363
"2021-08-01 22:07:20.376+00",373
"2021-08-01 22:07:30.373+00",385
"2021-08-01 22:07:40.373+00",395
"2021-08-01 22:07:50.373+00",405
"2021-08-01 22:08:00.373+00",415
"2021-08-01 22:08:10.373+00",427
"2021-08-01 22:08:20.373+00",437
"2021-08-01 22:08:30.373+00",447
"2021-08-01 22:08:40.373+00",457
"2021-08-01 22:08:50.373+00",469
"2021-08-01 22:09:00.373+00",479
"2021-08-01 22:09:10.373+00",488
"2021-08-01 22:09:20.373+00",499
"2021-08-01 22:09:30.379+00",509
"2021-08-01 22:09:40.373+00",518
"2021-08-01 22:09:50.373+00",529
"2021-08-01 22:10:00.373+00",541
"2021-08-01 22:10:10.373+00",550
"2021-08-01 22:10:20.377+00",560
"2021-08-01 22:10:30.373+00",570
"2021-08-01 22:10:40.373+00",582
"2021-08-01 22:10:50.376+00",593
"2021-08-01 22:11:00.373+00",604
"2021-08-01 22:11:10.373+00",615
"2021-08-01 22:11:20.373+00",625
"2021-08-01 22:11:30.373+00",634
"2021-08-01 22:11:40.373+00",643
"2021-08-01 22:11:50.373+00",656
"2021-08-01 22:12:00.373+00",667
"2021-08-01 22:12:10.373+00",677
"2021-08-01 22:12:20.373+00",687
"2021-08-01 22:12:30.373+00",698
"2021-08-01 22:12:40.373+00",709
"2021-08-01 22:12:50.373+00",719
"2021-08-01 22:13:00.373+00",729
"2021-08-01 22:13:10.373+00",741
"2021-08-01 22:13:20.373+00",751
"2021-08-01 22:13:30.373+00",760
"2021-08-01 22:13:40.38+00",770
"2021-08-01 22:13:50.373+00",781
"2021-08-01 22:14:00.373+00",793
"2021-08-01 22:14:10.373+00",803
"2021-08-01 22:14:20.38+00",815
"2021-08-01 22:14:30.373+00",825
"2021-08-01 22:14:40.373+00",835
"2021-08-01 22:14:50.373+00",847
"2021-08-01 22:15:00.373+00",857
"2021-08-01 22:15:10.373+00",867
"2021-08-01 22:15:20.373+00",877
"2021-08-01 22:15:30.373+00",889
"2021-08-01 22:15:40.373+00",899
"2021-08-01 22:15:50.373+00",909
"2021-08-01 22:16:00.373+00",919
"2021-08-01 22:16:10.373+00",931
"2021-08-01 22:16:20.373+00",941
"2021-08-01 22:16:30.373+00",951
"2021-08-01 22:16:40.373+00",961
"2021-08-01 22:16:50.382+00",971
"2021-08-01 22:17:00.373+00",980
"2021-08-01 22:17:10.373+00",990
"2021-08-01 22:17:20.373+00",1002
"2021-08-01 22:17:30.373+00",1012
"2021-08-01 22:17:40.373+00",1022
"2021-08-01 22:17:50.373+00",1032
"2021-08-01 22:18:00.373+00",1045
"2021-08-01 22:18:10.373+00",1053
"2021-08-01 22:18:20.373+00",1066
"2021-08-01 22:18:30.373+00",1077
"2021-08-01 22:18:40.373+00",1087
"2021-08-01 22:18:50.373+00",1096
"2021-08-01 22:19:00.373+00",1106
"2021-08-01 22:19:10.373+00",1116
"2021-08-01 22:19:20.373+00",1128
"2021-08-01 22:19:30.373+00",1138
"2021-08-01 22:19:40.373+00",1148
"2021-08-01 22:19:50.373+00",1161
"2021-08-01 22:20:00.373+00",1171
"2021-08-01 22:20:10.373+00",1181
"2021-08-01 22:20:20.373+00",1192
"2021-08-01 22:20:30.373+00",1203
"2021-08-01 22:20:40.373+00",1213
"2021-08-01 22:20:50.388+00",1222
"2021-08-01 22:21:00.373+00",1232
"2021-08-01 22:21:10.373+00",1243
"2021-08-01 22:21:20.373+00",1255
"2021-08-01 22:21:30.373+00",1267
"2021-08-01 22:21:40.39+00",1277
"2021-08-01 22:21:50.373+00",1287
"2021-08-01 22:22:00.373+00",1297
"2021-08-01 22:22:10.373+00",1307
"2021-08-01 22:22:20.373+00",1319
"2021-08-01 22:22:30.373+00",1329
"2021-08-01 22:22:40.373+00",1339
"2021-08-01 22:22:50.373+00",1351
"2021-08-01 22:23:00.373+00",1361
"2021-08-01 22:23:10.373+00",1371
"2021-08-01 22:23:20.373+00",1381
"2021-08-01 22:23:30.373+00",1393
"2021-08-01 22:23:40.373+00",1403
"2021-08-01 22:23:50.373+00",1413
"2021-08-01 22:24:00.373+00",1423
"2021-08-01 22:24:10.373+00",1435
"2021-08-01 22:24:20.373+00",1445
"2021-08-01 22:24:30.373+00",1455
"2021-08-01 22:24:40.373+00",1465
"2021-08-01 22:24:50.375+00",1477
"2021-08-01 22:25:00.373+00",1487
"2021-08-01 22:25:10.378+00",1497
"2021-08-01 22:25:20.373+00",1507
"2021-08-01 22:25:30.373+00",1519
"2021-08-01 22:25:40.373+00",1529
"2021-08-01 22:25:50.373+00",1539
"2021-08-01 22:26:00.373+00",1549
"2021-08-01 22:26:10.373+00",1558
"2021-08-01 22:26:20.373+00",1570
"2021-08-01 22:26:30.373+00",1581
"2021-08-01 22:26:40.373+00",1591
"2021-08-01 22:26:50.373+00",1601
"2021-08-01 22:27:00.373+00",1609
"2021-08-01 22:27:10.373+00",1619
"2021-08-01 22:27:20.373+00",1628
