"time","total_processed_records"
"2021-08-01 22:05:00.373+00",4880147
"2021-08-01 22:05:00.373+00",5673058
"2021-08-01 22:05:10.373+00",4880147
"2021-08-01 22:05:10.373+00",5753062
"2021-08-01 22:05:20.379+00",5833061
"2021-08-01 22:05:20.379+00",4880147
"2021-08-01 22:05:30.373+00",5913061
"2021-08-01 22:05:30.373+00",4880147
"2021-08-01 22:05:40.373+00",4880147
"2021-08-01 22:05:40.373+00",5993062
"2021-08-01 22:05:50.373+00",4880147
"2021-08-01 22:05:50.373+00",6073047
"2021-08-01 22:06:00.377+00",6153057
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:10.373+00",6233070
"2021-08-01 22:06:20.373+00",6312948
"2021-08-01 22:06:30.373+00",6393065
"2021-08-01 22:06:40.373+00",6473062
"2021-08-01 22:06:50.373+00",6553064
"2021-08-01 22:07:00.373+00",6633051
"2021-08-01 22:07:10.373+00",6713079
"2021-08-01 22:07:20.376+00",6793067
"2021-08-01 22:07:30.373+00",6873067
"2021-08-01 22:07:40.373+00",6953071
"2021-08-01 22:07:50.373+00",7033067
"2021-08-01 22:08:00.373+00",7113061
"2021-08-01 22:08:10.373+00",7193062
"2021-08-01 22:08:20.373+00",7273072
"2021-08-01 22:08:30.373+00",7353071
"2021-08-01 22:08:40.373+00",7433085
"2021-08-01 22:08:50.373+00",7513072
"2021-08-01 22:09:00.373+00",7593075
"2021-08-01 22:09:10.373+00",7657082
"2021-08-01 22:09:20.373+00",7753600
"2021-08-01 22:09:30.379+00",7800621
"2021-08-01 22:09:40.373+00",7890321
"2021-08-01 22:09:50.373+00",7974079
"2021-08-01 22:10:00.373+00",8079671
"2021-08-01 22:10:10.373+00",8111535
"2021-08-01 22:10:20.377+00",8185072
"2021-08-01 22:10:30.373+00",8266505
"2021-08-01 22:10:40.373+00",8383797
"2021-08-01 22:10:50.376+00",8440493
"2021-08-01 22:11:00.373+00",8543051
"2021-08-01 22:11:10.373+00",8633084
"2021-08-01 22:11:20.373+00",8713086
"2021-08-01 22:11:30.373+00",8751006
"2021-08-01 22:11:40.373+00",8835477
"2021-08-01 22:11:50.373+00",8940543
"2021-08-01 22:12:00.373+00",9033077
"2021-08-01 22:12:10.373+00",9080527
"2021-08-01 22:12:20.373+00",9163260
"2021-08-01 22:12:30.373+00",9257574
"2021-08-01 22:12:40.373+00",9353087
"2021-08-01 22:12:50.373+00",9401095
"2021-08-01 22:13:00.373+00",9481090
"2021-08-01 22:13:10.373+00",9595960
"2021-08-01 22:13:20.373+00",9673094
"2021-08-01 22:13:30.373+00",9710054
"2021-08-01 22:13:40.38+00",9817653
"2021-08-01 22:13:50.373+00",9907562
"2021-08-01 22:14:00.373+00",9993090
"2021-08-01 22:14:10.373+00",10057102
"2021-08-01 22:14:20.38+00",10153097
"2021-08-01 22:14:30.373+00",10233093
"2021-08-01 22:14:40.373+00",10313111
"2021-08-01 22:14:50.373+00",10393103
"2021-08-01 22:15:00.373+00",10473095
"2021-08-01 22:15:10.373+00",10553106
"2021-08-01 22:15:20.373+00",10633094
"2021-08-01 22:15:30.373+00",10713088
"2021-08-01 22:15:40.373+00",10793103
"2021-08-01 22:15:50.373+00",10873103
"2021-08-01 22:16:00.373+00",10953100
"2021-08-01 22:16:10.373+00",11038354
"2021-08-01 22:16:20.373+00",11113103
"2021-08-01 22:16:30.373+00",11193106
"2021-08-01 22:16:40.373+00",11273038
"2021-08-01 22:16:50.382+00",11321113
"2021-08-01 22:17:00.373+00",11391978
"2021-08-01 22:17:10.373+00",11495797
"2021-08-01 22:17:20.373+00",11590348
"2021-08-01 22:17:30.373+00",11634374
"2021-08-01 22:17:40.373+00",11729131
"2021-08-01 22:17:50.373+00",11804451
"2021-08-01 22:18:00.373+00",11915155
"2021-08-01 22:18:10.373+00",11944678
"2021-08-01 22:18:20.373+00",12059952
"2021-08-01 22:18:30.373+00",12152676
"2021-08-01 22:18:40.373+00",12233111
"2021-08-01 22:18:50.373+00",12266806
"2021-08-01 22:19:00.373+00",12364633
"2021-08-01 22:19:10.373+00",12456630
"2021-08-01 22:19:20.373+00",12543868
