"time","total_received_records"
"2021-08-01 22:05:00.373+00",4880147
"2021-08-01 22:05:00.373+00",5673058
"2021-08-01 22:05:10.373+00",4880147
"2021-08-01 22:05:10.373+00",5753062
"2021-08-01 22:05:20.379+00",4880147
"2021-08-01 22:05:20.379+00",5833061
"2021-08-01 22:05:30.373+00",4880147
"2021-08-01 22:05:30.373+00",5913061
"2021-08-01 22:05:40.373+00",5993062
"2021-08-01 22:05:40.373+00",4880147
"2021-08-01 22:05:50.373+00",6073047
"2021-08-01 22:05:50.373+00",4880147
"2021-08-01 22:06:00.377+00",nan
"2021-08-01 22:06:00.377+00",6153057
"2021-08-01 22:06:10.373+00",6233070
"2021-08-01 22:06:20.373+00",6312948
"2021-08-01 22:06:30.373+00",6393065
"2021-08-01 22:06:40.373+00",6473062
"2021-08-01 22:06:50.373+00",6553064
"2021-08-01 22:07:00.373+00",6633051
"2021-08-01 22:07:10.373+00",6713079
"2021-08-01 22:07:20.376+00",6793067
"2021-08-01 22:07:30.373+00",6873067
"2021-08-01 22:07:40.373+00",6953071
"2021-08-01 22:07:50.373+00",7033067
"2021-08-01 22:08:00.373+00",7113061
"2021-08-01 22:08:10.373+00",7193062
"2021-08-01 22:08:20.373+00",7273072
"2021-08-01 22:08:30.373+00",7353071
"2021-08-01 22:08:40.373+00",7433085
"2021-08-01 22:08:50.373+00",7513072
"2021-08-01 22:09:00.373+00",7593075
"2021-08-01 22:09:10.373+00",7673074
"2021-08-01 22:09:20.373+00",7753600
"2021-08-01 22:09:30.379+00",7817059
"2021-08-01 22:09:40.373+00",7905182
"2021-08-01 22:09:50.373+00",7995417
"2021-08-01 22:10:00.373+00",8079671
"2021-08-01 22:10:10.373+00",8120902
"2021-08-01 22:10:20.377+00",8201074
"2021-08-01 22:10:30.373+00",8281089
"2021-08-01 22:10:40.373+00",8393907
"2021-08-01 22:10:50.376+00",8457088
"2021-08-01 22:11:00.373+00",8562554
"2021-08-01 22:11:10.373+00",8633084
"2021-08-01 22:11:20.373+00",8713086
"2021-08-01 22:11:30.373+00",8760641
"2021-08-01 22:11:40.373+00",8854960
"2021-08-01 22:11:50.373+00",8953089
"2021-08-01 22:12:00.373+00",9033077
"2021-08-01 22:12:10.373+00",9097089
"2021-08-01 22:12:20.373+00",9181772
"2021-08-01 22:12:30.373+00",9280354
"2021-08-01 22:12:40.373+00",9353087
"2021-08-01 22:12:50.373+00",9417093
"2021-08-01 22:13:00.373+00",9504467
"2021-08-01 22:13:10.373+00",9595960
"2021-08-01 22:13:20.373+00",9673094
"2021-08-01 22:13:30.373+00",9720694
"2021-08-01 22:13:40.38+00",9833297
"2021-08-01 22:13:50.373+00",9907562
"2021-08-01 22:14:00.373+00",9993090
"2021-08-01 22:14:10.373+00",10057102
"2021-08-01 22:14:20.38+00",10153097
"2021-08-01 22:14:30.373+00",10233093
"2021-08-01 22:14:40.373+00",10313111
"2021-08-01 22:14:50.373+00",10393103
"2021-08-01 22:15:00.373+00",10473095
"2021-08-01 22:15:10.373+00",10553106
"2021-08-01 22:15:20.373+00",10633094
"2021-08-01 22:15:30.373+00",10713088
"2021-08-01 22:15:40.373+00",10793103
"2021-08-01 22:15:50.373+00",10873103
"2021-08-01 22:16:00.373+00",10953100
"2021-08-01 22:16:10.373+00",11038354
"2021-08-01 22:16:20.373+00",11113103
"2021-08-01 22:16:30.373+00",11193106
"2021-08-01 22:16:40.373+00",11273038
"2021-08-01 22:16:50.382+00",11337117
"2021-08-01 22:17:00.373+00",11403709
"2021-08-01 22:17:10.373+00",11509420
"2021-08-01 22:17:20.373+00",11603427
"2021-08-01 22:17:30.373+00",11653466
"2021-08-01 22:17:40.373+00",11732924
"2021-08-01 22:17:50.373+00",11828204
"2021-08-01 22:18:00.373+00",11915155
"2021-08-01 22:18:10.373+00",11961111
"2021-08-01 22:18:20.373+00",12073114
"2021-08-01 22:18:30.373+00",12152676
"2021-08-01 22:18:40.373+00",12233111
"2021-08-01 22:18:50.373+00",12280584
"2021-08-01 22:19:00.373+00",12387060
"2021-08-01 22:19:10.373+00",12468983
"2021-08-01 22:19:20.373+00",12553753
