"time","completed_stages"
"2021-08-02 04:15:00.373+00",0
"2021-08-02 04:15:00.373+00",120
"2021-08-02 04:15:00.373+00",0
"2021-08-02 04:15:10.373+00",120
"2021-08-02 04:15:10.373+00",0
"2021-08-02 04:15:10.373+00",4
"2021-08-02 04:15:20.373+00",0
"2021-08-02 04:15:20.373+00",18
"2021-08-02 04:15:20.373+00",nan
"2021-08-02 04:15:30.373+00",0
"2021-08-02 04:15:30.373+00",28
"2021-08-02 04:15:40.373+00",38
"2021-08-02 04:15:40.373+00",0
"2021-08-02 04:15:50.373+00",48
"2021-08-02 04:15:50.373+00",0
"2021-08-02 04:16:00.373+00",0
"2021-08-02 04:16:00.373+00",58
"2021-08-02 04:16:10.38+00",68
"2021-08-02 04:16:10.38+00",0
"2021-08-02 04:16:20.373+00",0
"2021-08-02 04:16:20.373+00",78
"2021-08-02 04:16:30.373+00",0
"2021-08-02 04:16:30.373+00",88
"2021-08-02 04:16:40.373+00",98
"2021-08-02 04:16:40.373+00",0
"2021-08-02 04:16:50.373+00",108
"2021-08-02 04:16:50.373+00",0
"2021-08-02 04:17:00.373+00",0
"2021-08-02 04:17:00.373+00",118
"2021-08-02 04:17:10.373+00",0
"2021-08-02 04:17:10.373+00",120
"2021-08-02 04:17:20.373+00",120
"2021-08-02 04:17:20.373+00",nan
"2021-08-02 04:17:30.373+00",120
"2021-08-02 04:17:40.373+00",120
"2021-08-02 04:17:50.373+00",120
"2021-08-02 04:18:00.381+00",120
"2021-08-02 04:18:10.373+00",120
"2021-08-02 04:18:20.373+00",120
"2021-08-02 04:18:30.382+00",120
"2021-08-02 04:18:40.373+00",120
"2021-08-02 04:18:50.373+00",120
"2021-08-02 04:19:00.373+00",120
"2021-08-02 04:19:10.373+00",120
"2021-08-02 04:19:20.373+00",120
"2021-08-02 04:19:30.373+00",120
"2021-08-02 04:19:40.373+00",120
"2021-08-02 04:19:50.373+00",120
"2021-08-02 04:20:00.373+00",120
"2021-08-02 04:20:10.373+00",120
"2021-08-02 04:20:20.373+00",120
"2021-08-02 04:20:30.373+00",120
"2021-08-02 04:20:40.373+00",120
"2021-08-02 04:20:50.373+00",120
"2021-08-02 04:21:00.373+00",120
"2021-08-02 04:21:10.373+00",120
"2021-08-02 04:21:20.376+00",120
"2021-08-02 04:21:30.377+00",120
"2021-08-02 04:21:40.373+00",120
"2021-08-02 04:21:50.373+00",120
"2021-08-02 04:22:00.373+00",120
"2021-08-02 04:22:10.373+00",120
"2021-08-02 04:22:20.373+00",120
"2021-08-02 04:22:30.373+00",120
"2021-08-02 04:22:40.373+00",126
"2021-08-02 04:22:50.373+00",136
"2021-08-02 04:23:00.373+00",146
"2021-08-02 04:23:10.373+00",156
"2021-08-02 04:23:20.373+00",166
"2021-08-02 04:23:30.376+00",176
"2021-08-02 04:23:40.373+00",186
"2021-08-02 04:23:50.373+00",196
"2021-08-02 04:24:00.373+00",206
"2021-08-02 04:24:10.373+00",216
"2021-08-02 04:24:20.373+00",226
"2021-08-02 04:24:30.373+00",236
"2021-08-02 04:24:40.373+00",246
"2021-08-02 04:24:50.373+00",256
"2021-08-02 04:25:00.373+00",266
"2021-08-02 04:25:10.373+00",276
"2021-08-02 04:25:20.373+00",286
"2021-08-02 04:25:30.373+00",296
"2021-08-02 04:25:40.373+00",306
"2021-08-02 04:25:50.373+00",316
"2021-08-02 04:26:00.373+00",326
"2021-08-02 04:26:10.373+00",336
"2021-08-02 04:26:20.373+00",346
"2021-08-02 04:26:30.373+00",356
"2021-08-02 04:26:40.373+00",366
"2021-08-02 04:26:50.373+00",376
"2021-08-02 04:27:00.385+00",386
"2021-08-02 04:27:10.373+00",396
"2021-08-02 04:27:20.373+00",406
"2021-08-02 04:27:30.373+00",416
"2021-08-02 04:27:40.373+00",420
"2021-08-02 04:27:50.373+00",420
"2021-08-02 04:28:00.373+00",420
"2021-08-02 04:28:10.373+00",420
"2021-08-02 04:28:20.373+00",420
"2021-08-02 04:28:30.373+00",420
"2021-08-02 04:28:40.383+00",420
"2021-08-02 04:28:50.373+00",420
"2021-08-02 04:29:00.377+00",420
"2021-08-02 04:29:10.373+00",420
"2021-08-02 04:29:20.373+00",420
"2021-08-02 04:29:30.373+00",420
"2021-08-02 04:29:40.373+00",420
"2021-08-02 04:29:50.373+00",420
"2021-08-02 04:30:00.373+00",420
"2021-08-02 04:30:10.373+00",420
"2021-08-02 04:30:20.373+00",420
"2021-08-02 04:30:30.373+00",420
"2021-08-02 04:30:40.373+00",420
"2021-08-02 04:30:50.373+00",420
"2021-08-02 04:31:00.373+00",420
"2021-08-02 04:31:10.373+00",420
"2021-08-02 04:31:20.373+00",420
"2021-08-02 04:31:30.373+00",420
"2021-08-02 04:31:40.373+00",420
"2021-08-02 04:31:50.373+00",420
"2021-08-02 04:32:00.373+00",420
"2021-08-02 04:32:10.373+00",420
"2021-08-02 04:32:20.373+00",420
"2021-08-02 04:32:30.373+00",420
"2021-08-02 04:32:40.373+00",420
"2021-08-02 04:32:50.373+00",420
"2021-08-02 04:33:00.373+00",420
"2021-08-02 04:33:10.373+00",420
"2021-08-02 04:33:20.373+00",420
"2021-08-02 04:33:30.373+00",420
"2021-08-02 04:33:40.373+00",420
"2021-08-02 04:33:50.373+00",420
"2021-08-02 04:34:00.373+00",420
"2021-08-02 04:34:10.373+00",420
"2021-08-02 04:34:20.373+00",420
"2021-08-02 04:34:30.373+00",420
"2021-08-02 04:34:40.373+00",420
"2021-08-02 04:34:50.373+00",420
"2021-08-02 04:35:00.373+00",420
"2021-08-02 04:35:10.373+00",420
"2021-08-02 04:35:20.373+00",420
"2021-08-02 04:35:30.373+00",420
"2021-08-02 04:35:40.373+00",420
"2021-08-02 04:35:50.382+00",420
"2021-08-02 04:36:00.373+00",420
"2021-08-02 04:36:10.373+00",420
"2021-08-02 04:36:20.373+00",420
"2021-08-02 04:36:30.373+00",420
"2021-08-02 04:36:40.373+00",426
"2021-08-02 04:36:50.373+00",436
"2021-08-02 04:37:00.373+00",446
"2021-08-02 04:37:10.373+00",456
"2021-08-02 04:37:20.373+00",466
"2021-08-02 04:37:30.373+00",476
"2021-08-02 04:37:40.373+00",486
"2021-08-02 04:37:50.373+00",496
"2021-08-02 04:38:00.378+00",506
"2021-08-02 04:38:10.373+00",516
"2021-08-02 04:38:20.373+00",526
"2021-08-02 04:38:30.373+00",536
"2021-08-02 04:38:40.373+00",546
"2021-08-02 04:38:50.373+00",556
"2021-08-02 04:39:00.373+00",566
"2021-08-02 04:39:10.373+00",576
"2021-08-02 04:39:20.373+00",586
"2021-08-02 04:39:30.373+00",596
"2021-08-02 04:39:40.373+00",606
"2021-08-02 04:39:50.373+00",616
"2021-08-02 04:40:00.373+00",626
"2021-08-02 04:40:10.386+00",636
"2021-08-02 04:40:20.373+00",646
"2021-08-02 04:40:30.373+00",656
"2021-08-02 04:40:40.373+00",666
"2021-08-02 04:40:50.373+00",676
"2021-08-02 04:41:00.373+00",686
"2021-08-02 04:41:10.373+00",696
"2021-08-02 04:41:20.373+00",706
"2021-08-02 04:41:30.373+00",716
"2021-08-02 04:41:40.373+00",720
"2021-08-02 04:41:50.379+00",720
"2021-08-02 04:42:00.376+00",720
"2021-08-02 04:42:10.373+00",720
"2021-08-02 04:42:20.376+00",720
"2021-08-02 04:42:30.373+00",720
"2021-08-02 04:42:40.373+00",720
"2021-08-02 04:42:50.373+00",720
"2021-08-02 04:43:00.373+00",720
"2021-08-02 04:43:10.373+00",720
"2021-08-02 04:43:20.373+00",720
"2021-08-02 04:43:30.373+00",720
"2021-08-02 04:43:40.373+00",720
"2021-08-02 04:43:50.373+00",720
"2021-08-02 04:44:00.373+00",720
"2021-08-02 04:44:10.373+00",720
"2021-08-02 04:44:20.373+00",720
"2021-08-02 04:44:30.373+00",720
"2021-08-02 04:44:40.373+00",720
"2021-08-02 04:44:50.373+00",720
"2021-08-02 04:45:00.373+00",720
"2021-08-02 04:45:10.373+00",720
"2021-08-02 04:45:20.373+00",720
"2021-08-02 04:45:30.373+00",720
"2021-08-02 04:45:40.373+00",720
"2021-08-02 04:45:50.373+00",720
"2021-08-02 04:46:00.373+00",720
"2021-08-02 04:46:10.373+00",720
"2021-08-02 04:46:20.373+00",720
"2021-08-02 04:46:30.373+00",720
"2021-08-02 04:46:40.373+00",720
"2021-08-02 04:46:50.373+00",720
"2021-08-02 04:47:00.373+00",720
"2021-08-02 04:47:10.373+00",720
"2021-08-02 04:47:20.377+00",720
"2021-08-02 04:47:30.373+00",720
"2021-08-02 04:47:40.373+00",720
"2021-08-02 04:47:50.373+00",720
"2021-08-02 04:48:00.373+00",720
"2021-08-02 04:48:10.373+00",722
"2021-08-02 04:48:20.373+00",732
"2021-08-02 04:48:30.373+00",744
"2021-08-02 04:48:40.373+00",754
"2021-08-02 04:48:50.373+00",764
"2021-08-02 04:49:00.373+00",774
"2021-08-02 04:49:10.373+00",784
"2021-08-02 04:49:20.373+00",794
"2021-08-02 04:49:30.373+00",804
"2021-08-02 04:49:40.373+00",814
"2021-08-02 04:49:50.373+00",824
"2021-08-02 04:50:00.373+00",834
"2021-08-02 04:50:10.373+00",844
"2021-08-02 04:50:20.373+00",854
"2021-08-02 04:50:30.373+00",864
"2021-08-02 04:50:40.373+00",874
"2021-08-02 04:50:50.373+00",884
"2021-08-02 04:51:00.373+00",894
"2021-08-02 04:51:10.373+00",904
"2021-08-02 04:51:20.373+00",914
"2021-08-02 04:51:30.373+00",924
"2021-08-02 04:51:40.382+00",934
"2021-08-02 04:51:50.373+00",944
"2021-08-02 04:52:00.373+00",954
"2021-08-02 04:52:10.373+00",964
"2021-08-02 04:52:20.373+00",974
"2021-08-02 04:52:30.373+00",984
"2021-08-02 04:52:40.373+00",994
"2021-08-02 04:52:50.373+00",1004
"2021-08-02 04:53:00.373+00",1014
