"time","completed_tasks"
"2021-08-02 04:15:00.373+00",0
"2021-08-02 04:15:00.373+00",360
"2021-08-02 04:15:00.373+00",0
"2021-08-02 04:15:10.373+00",12
"2021-08-02 04:15:10.373+00",360
"2021-08-02 04:15:10.373+00",0
"2021-08-02 04:15:20.373+00",nan
"2021-08-02 04:15:20.373+00",0
"2021-08-02 04:15:20.373+00",54
"2021-08-02 04:15:30.373+00",84
"2021-08-02 04:15:30.373+00",0
"2021-08-02 04:15:40.373+00",0
"2021-08-02 04:15:40.373+00",114
"2021-08-02 04:15:50.373+00",0
"2021-08-02 04:15:50.373+00",144
"2021-08-02 04:16:00.373+00",0
"2021-08-02 04:16:00.373+00",174
"2021-08-02 04:16:10.38+00",0
"2021-08-02 04:16:10.38+00",204
"2021-08-02 04:16:20.373+00",234
"2021-08-02 04:16:20.373+00",0
"2021-08-02 04:16:30.373+00",264
"2021-08-02 04:16:30.373+00",0
"2021-08-02 04:16:40.373+00",294
"2021-08-02 04:16:40.373+00",0
"2021-08-02 04:16:50.373+00",0
"2021-08-02 04:16:50.373+00",324
"2021-08-02 04:17:00.373+00",354
"2021-08-02 04:17:00.373+00",0
"2021-08-02 04:17:10.373+00",360
"2021-08-02 04:17:10.373+00",0
"2021-08-02 04:17:20.373+00",nan
"2021-08-02 04:17:20.373+00",360
"2021-08-02 04:17:30.373+00",360
"2021-08-02 04:17:40.373+00",360
"2021-08-02 04:17:50.373+00",360
"2021-08-02 04:18:00.381+00",360
"2021-08-02 04:18:10.373+00",360
"2021-08-02 04:18:20.373+00",360
"2021-08-02 04:18:30.382+00",360
"2021-08-02 04:18:40.373+00",360
"2021-08-02 04:18:50.373+00",360
"2021-08-02 04:19:00.373+00",360
"2021-08-02 04:19:10.373+00",360
"2021-08-02 04:19:20.373+00",360
"2021-08-02 04:19:30.373+00",360
"2021-08-02 04:19:40.373+00",360
"2021-08-02 04:19:50.373+00",360
"2021-08-02 04:20:00.373+00",360
"2021-08-02 04:20:10.373+00",360
"2021-08-02 04:20:20.373+00",360
"2021-08-02 04:20:30.373+00",360
"2021-08-02 04:20:40.373+00",360
"2021-08-02 04:20:50.373+00",360
"2021-08-02 04:21:00.373+00",360
"2021-08-02 04:21:10.373+00",360
"2021-08-02 04:21:20.376+00",360
"2021-08-02 04:21:30.377+00",360
