"time","cpu_usage_seconds_total","pod"
"2021-08-02 04:15:06.643+00",11530.036670388,"sketchbench-spark-worker-2"
"2021-08-02 04:15:06.687+00",23006.443022947,"sketchbench-spark-worker-1"
"2021-08-02 04:15:07.524+00",12382.668204244,"sketchbench-spark-worker-4"
"2021-08-02 04:15:14.251+00",10962.024107632,"sketchbench-spark-worker-0"
"2021-08-02 04:15:15.148+00",11643.236757302,"sketchbench-spark-worker-3"
"2021-08-02 04:15:16.069+00",11746.482212537,"sketchbench-spark-worker-5"
"2021-08-02 04:15:21.983+00",12382.972327454,"sketchbench-spark-worker-4"
"2021-08-02 04:15:23.598+00",11547.120665374,"sketchbench-spark-worker-2"
"2021-08-02 04:15:25.849+00",11653.743018465,"sketchbench-spark-worker-3"
"2021-08-02 04:15:26.093+00",23025.357449396,"sketchbench-spark-worker-1"
"2021-08-02 04:15:26.27+00",10972.818608864,"sketchbench-spark-worker-0"
"2021-08-02 04:15:29.335+00",11758.505650466,"sketchbench-spark-worker-5"
"2021-08-02 04:15:35.384+00",12383.154867857,"sketchbench-spark-worker-4"
"2021-08-02 04:15:41.372+00",11666.119032164,"sketchbench-spark-worker-3"
"2021-08-02 04:15:43.104+00",11562.154342216,"sketchbench-spark-worker-2"
"2021-08-02 04:15:43.216+00",23038.515535761,"sketchbench-spark-worker-1"
"2021-08-02 04:15:44.926+00",10987.253004042,"sketchbench-spark-worker-0"
"2021-08-02 04:15:48.505+00",11772.835380205,"sketchbench-spark-worker-5"
"2021-08-02 04:15:49.218+00",12383.246933661,"sketchbench-spark-worker-4"
"2021-08-02 04:15:56.892+00",11678.601093429,"sketchbench-spark-worker-3"
"2021-08-02 04:15:58.786+00",11574.171248727,"sketchbench-spark-worker-2"
"2021-08-02 04:15:59.863+00",23050.799023688,"sketchbench-spark-worker-1"
"2021-08-02 04:16:02.919+00",11001.111921737,"sketchbench-spark-worker-0"
"2021-08-02 04:16:03.286+00",12383.405600161,"sketchbench-spark-worker-4"
"2021-08-02 04:16:07.221+00",11787.491216273,"sketchbench-spark-worker-5"
"2021-08-02 04:16:12.101+00",11690.274937985,"sketchbench-spark-worker-3"
"2021-08-02 04:16:15.27+00",11586.630430266,"sketchbench-spark-worker-2"
"2021-08-02 04:16:16.418+00",12383.491625107,"sketchbench-spark-worker-4"
"2021-08-02 04:16:16.461+00",23062.635739375,"sketchbench-spark-worker-1"
"2021-08-02 04:16:18.501+00",11012.637093168,"sketchbench-spark-worker-0"
"2021-08-02 04:16:23.123+00",11799.414811703,"sketchbench-spark-worker-5"
"2021-08-02 04:16:26.964+00",23070.268172137,"sketchbench-spark-worker-1"
"2021-08-02 04:16:27.437+00",11596.101025522,"sketchbench-spark-worker-2"
"2021-08-02 04:16:27.752+00",11702.649408614,"sketchbench-spark-worker-3"
"2021-08-02 04:16:28.45+00",12383.606923087,"sketchbench-spark-worker-4"
"2021-08-02 04:16:35.718+00",11025.472915412,"sketchbench-spark-worker-0"
"2021-08-02 04:16:39.514+00",12383.705155762,"sketchbench-spark-worker-4"
"2021-08-02 04:16:40.104+00",11811.507553728,"sketchbench-spark-worker-5"
"2021-08-02 04:16:42.872+00",11714.452549419,"sketchbench-spark-worker-3"
"2021-08-02 04:16:43.517+00",23081.962896673,"sketchbench-spark-worker-1"
"2021-08-02 04:16:45.102+00",11609.198715908,"sketchbench-spark-worker-2"
"2021-08-02 04:16:47.403+00",11034.541314798,"sketchbench-spark-worker-0"
"2021-08-02 04:16:51.406+00",12383.759190416,"sketchbench-spark-worker-4"
"2021-08-02 04:16:56.147+00",23090.522416478,"sketchbench-spark-worker-1"
"2021-08-02 04:16:56.402+00",11617.376945501,"sketchbench-spark-worker-2"
"2021-08-02 04:16:56.878+00",11725.135065705,"sketchbench-spark-worker-3"
"2021-08-02 04:16:57.613+00",11824.70952122,"sketchbench-spark-worker-5"
"2021-08-02 04:17:00.095+00",11043.37705981,"sketchbench-spark-worker-0"
"2021-08-02 04:17:05.922+00",12383.873879849,"sketchbench-spark-worker-4"
"2021-08-02 04:17:09.4+00",23093.239943951,"sketchbench-spark-worker-1"
"2021-08-02 04:17:14.258+00",11826.186988923,"sketchbench-spark-worker-5"
"2021-08-02 04:17:14.288+00",11727.221990519,"sketchbench-spark-worker-3"
"2021-08-02 04:17:15.905+00",11619.957706439,"sketchbench-spark-worker-2"
"2021-08-02 04:17:15.972+00",11043.407011529,"sketchbench-spark-worker-0"
"2021-08-02 04:17:21.037+00",12383.907968483,"sketchbench-spark-worker-4"
"2021-08-02 04:17:25.538+00",11727.250216523,"sketchbench-spark-worker-3"
"2021-08-02 04:17:28.482+00",23093.286042144,"sketchbench-spark-worker-1"
"2021-08-02 04:17:31.488+00",11619.999636073,"sketchbench-spark-worker-2"
"2021-08-02 04:17:32.611+00",11826.221995523,"sketchbench-spark-worker-5"
"2021-08-02 04:17:34.674+00",11043.442534729,"sketchbench-spark-worker-0"
"2021-08-02 04:17:35.331+00",12383.94865173,"sketchbench-spark-worker-4"
"2021-08-02 04:17:38.37+00",11727.281047356,"sketchbench-spark-worker-3"
"2021-08-02 04:17:39.614+00",23093.312971199,"sketchbench-spark-worker-1"
"2021-08-02 04:17:43.608+00",11826.245267817,"sketchbench-spark-worker-5"
"2021-08-02 04:17:44.921+00",11043.458662002,"sketchbench-spark-worker-0"
"2021-08-02 04:17:48.626+00",11727.307362824,"sketchbench-spark-worker-3"
"2021-08-02 04:17:49.407+00",12383.982878395,"sketchbench-spark-worker-4"
"2021-08-02 04:17:49.714+00",11620.032858863,"sketchbench-spark-worker-2"
"2021-08-02 04:17:50.125+00",23093.338818676,"sketchbench-spark-worker-1"
"2021-08-02 04:17:56.462+00",11043.485703886,"sketchbench-spark-worker-0"
"2021-08-02 04:17:59.228+00",11826.27579949,"sketchbench-spark-worker-5"
"2021-08-02 04:18:02.312+00",11727.347925285,"sketchbench-spark-worker-3"
"2021-08-02 04:18:03.67+00",12384.026625711,"sketchbench-spark-worker-4"
"2021-08-02 04:18:03.989+00",11620.065748235,"sketchbench-spark-worker-2"
"2021-08-02 04:18:05.364+00",23093.376889287,"sketchbench-spark-worker-1"
"2021-08-02 04:18:15.208+00",11043.525135709,"sketchbench-spark-worker-0"
"2021-08-02 04:18:15.574+00",11620.08299006,"sketchbench-spark-worker-2"
"2021-08-02 04:18:16.536+00",11727.381047377,"sketchbench-spark-worker-3"
"2021-08-02 04:18:17.187+00",11826.308306654,"sketchbench-spark-worker-5"
"2021-08-02 04:18:17.837+00",12384.064188177,"sketchbench-spark-worker-4"
"2021-08-02 04:18:22.38+00",23093.414428834,"sketchbench-spark-worker-1"
"2021-08-02 04:18:29.646+00",11043.548731424,"sketchbench-spark-worker-0"
"2021-08-02 04:18:30.457+00",11620.105575124,"sketchbench-spark-worker-2"
"2021-08-02 04:18:30.973+00",12384.088897203,"sketchbench-spark-worker-4"
"2021-08-02 04:18:33.926+00",11727.416337975,"sketchbench-spark-worker-3"
"2021-08-02 04:18:36.195+00",11826.33907054,"sketchbench-spark-worker-5"
"2021-08-02 04:18:38.742+00",23093.466795858,"sketchbench-spark-worker-1"
"2021-08-02 04:18:46.311+00",11826.378529806,"sketchbench-spark-worker-5"
"2021-08-02 04:18:48.443+00",11620.15944422,"sketchbench-spark-worker-2"
"2021-08-02 04:18:48.891+00",12384.145633991,"sketchbench-spark-worker-4"
"2021-08-02 04:18:49.01+00",11043.575847143,"sketchbench-spark-worker-0"
"2021-08-02 04:18:51.815+00",11727.457507357,"sketchbench-spark-worker-3"
"2021-08-02 04:18:55.631+00",23093.502198503,"sketchbench-spark-worker-1"
"2021-08-02 04:19:01.975+00",11043.594462879,"sketchbench-spark-worker-0"
"2021-08-02 04:19:02.81+00",11727.483214971,"sketchbench-spark-worker-3"
"2021-08-02 04:19:03.522+00",11826.407234699,"sketchbench-spark-worker-5"
"2021-08-02 04:19:06.198+00",12384.183623294,"sketchbench-spark-worker-4"
"2021-08-02 04:19:06.964+00",11620.189993973,"sketchbench-spark-worker-2"
"2021-08-02 04:19:10.467+00",23093.535836497,"sketchbench-spark-worker-1"
"2021-08-02 04:19:14.614+00",11727.507048878,"sketchbench-spark-worker-3"
"2021-08-02 04:19:15.222+00",11043.613576237,"sketchbench-spark-worker-0"
"2021-08-02 04:19:16.421+00",11826.429738126,"sketchbench-spark-worker-5"
"2021-08-02 04:19:21.576+00",11620.211513282,"sketchbench-spark-worker-2"
"2021-08-02 04:19:21.896+00",12384.21657792,"sketchbench-spark-worker-4"
"2021-08-02 04:19:26.256+00",11727.532569131,"sketchbench-spark-worker-3"
"2021-08-02 04:19:27.066+00",23093.566739027,"sketchbench-spark-worker-1"
"2021-08-02 04:19:30.803+00",11826.450195341,"sketchbench-spark-worker-5"
"2021-08-02 04:19:33.394+00",11043.640038544,"sketchbench-spark-worker-0"
"2021-08-02 04:19:40.623+00",11620.244299638,"sketchbench-spark-worker-2"
"2021-08-02 04:19:41.251+00",11727.564341986,"sketchbench-spark-worker-3"
