"time","cpu_usage_seconds_total","pod"
"2021-08-02 04:15:08.255+00",170.910884956,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:15:23.637+00",176.819297408,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:15:43.6+00",181.797356528,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:16:01.835+00",184.918821426,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:16:17.055+00",188.156204699,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:16:32.461+00",190.895603026,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:16:47.444+00",192.600358261,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:17:07.206+00",194.638781309,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:17:22.556+00",194.847794004,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:17:36.146+00",194.953863207,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:17:55.361+00",195.116832195,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:18:15.304+00",195.240357666,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:18:26.985+00",195.999271799,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:18:46.11+00",196.790550917,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:19:05.676+00",196.902840275,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:19:16.45+00",196.967257649,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:19:33.107+00",197.077980895,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:19:44.08+00",197.139116374,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:19:58.794+00",197.240738327,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:20:18.107+00",197.337906653,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:20:33.107+00",197.435383256,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:20:46.762+00",197.540683324,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:20:58.681+00",197.605067541,"sketchbench-zeppelin-788ddb985b-jsvvb"
