"time","value_mem_bytes","pod"
"2021-08-02 04:15:06.643+00",1069154304,"sketchbench-spark-worker-2"
"2021-08-02 04:15:06.687+00",1027006464,"sketchbench-spark-worker-1"
"2021-08-02 04:15:07.524+00",726077440,"sketchbench-spark-worker-4"
"2021-08-02 04:15:14.251+00",1084579840,"sketchbench-spark-worker-0"
"2021-08-02 04:15:15.148+00",1099145216,"sketchbench-spark-worker-3"
"2021-08-02 04:15:16.069+00",1041494016,"sketchbench-spark-worker-5"
"2021-08-02 04:15:21.983+00",759050240,"sketchbench-spark-worker-4"
"2021-08-02 04:15:23.598+00",1116024832,"sketchbench-spark-worker-2"
"2021-08-02 04:15:25.849+00",1106337792,"sketchbench-spark-worker-3"
"2021-08-02 04:15:26.093+00",1513062400,"sketchbench-spark-worker-1"
"2021-08-02 04:15:26.27+00",1094594560,"sketchbench-spark-worker-0"
"2021-08-02 04:15:29.335+00",1049862144,"sketchbench-spark-worker-5"
"2021-08-02 04:15:35.384+00",759242752,"sketchbench-spark-worker-4"
"2021-08-02 04:15:41.372+00",1113403392,"sketchbench-spark-worker-3"
"2021-08-02 04:15:43.104+00",1117896704,"sketchbench-spark-worker-2"
"2021-08-02 04:15:43.216+00",1513820160,"sketchbench-spark-worker-1"
"2021-08-02 04:15:44.926+00",1108697088,"sketchbench-spark-worker-0"
"2021-08-02 04:15:48.505+00",1054593024,"sketchbench-spark-worker-5"
"2021-08-02 04:15:49.218+00",758837248,"sketchbench-spark-worker-4"
"2021-08-02 04:15:56.892+00",1138978816,"sketchbench-spark-worker-3"
"2021-08-02 04:15:58.786+00",1121054720,"sketchbench-spark-worker-2"
"2021-08-02 04:15:59.863+00",1533808640,"sketchbench-spark-worker-1"
"2021-08-02 04:16:02.919+00",1131425792,"sketchbench-spark-worker-0"
"2021-08-02 04:16:03.286+00",759566336,"sketchbench-spark-worker-4"
"2021-08-02 04:16:07.221+00",1070014464,"sketchbench-spark-worker-5"
"2021-08-02 04:16:12.101+00",1154899968,"sketchbench-spark-worker-3"
"2021-08-02 04:16:15.27+00",1125720064,"sketchbench-spark-worker-2"
"2021-08-02 04:16:16.418+00",759566336,"sketchbench-spark-worker-4"
"2021-08-02 04:16:16.461+00",1535627264,"sketchbench-spark-worker-1"
"2021-08-02 04:16:18.501+00",1122115584,"sketchbench-spark-worker-0"
"2021-08-02 04:16:23.123+00",1074225152,"sketchbench-spark-worker-5"
"2021-08-02 04:16:26.964+00",1537437696,"sketchbench-spark-worker-1"
"2021-08-02 04:16:27.437+00",1132687360,"sketchbench-spark-worker-2"
"2021-08-02 04:16:27.752+00",1150300160,"sketchbench-spark-worker-3"
"2021-08-02 04:16:28.45+00",759717888,"sketchbench-spark-worker-4"
"2021-08-02 04:16:35.718+00",1124749312,"sketchbench-spark-worker-0"
"2021-08-02 04:16:39.514+00",760360960,"sketchbench-spark-worker-4"
"2021-08-02 04:16:40.104+00",1078829056,"sketchbench-spark-worker-5"
"2021-08-02 04:16:42.872+00",1154019328,"sketchbench-spark-worker-3"
"2021-08-02 04:16:43.517+00",1539125248,"sketchbench-spark-worker-1"
"2021-08-02 04:16:45.102+00",1135038464,"sketchbench-spark-worker-2"
"2021-08-02 04:16:47.403+00",1129168896,"sketchbench-spark-worker-0"
"2021-08-02 04:16:51.406+00",760385536,"sketchbench-spark-worker-4"
"2021-08-02 04:16:56.147+00",1539719168,"sketchbench-spark-worker-1"
"2021-08-02 04:16:56.402+00",1137393664,"sketchbench-spark-worker-2"
"2021-08-02 04:16:56.878+00",1155268608,"sketchbench-spark-worker-3"
"2021-08-02 04:16:57.613+00",1081950208,"sketchbench-spark-worker-5"
"2021-08-02 04:17:00.095+00",1131286528,"sketchbench-spark-worker-0"
"2021-08-02 04:17:05.922+00",759975936,"sketchbench-spark-worker-4"
"2021-08-02 04:17:09.4+00",1539117056,"sketchbench-spark-worker-1"
"2021-08-02 04:17:14.258+00",1081974784,"sketchbench-spark-worker-5"
"2021-08-02 04:17:14.288+00",1155055616,"sketchbench-spark-worker-3"
"2021-08-02 04:17:15.905+00",1137250304,"sketchbench-spark-worker-2"
"2021-08-02 04:17:15.972+00",1129484288,"sketchbench-spark-worker-0"
"2021-08-02 04:17:21.037+00",759631872,"sketchbench-spark-worker-4"
"2021-08-02 04:17:25.538+00",1153933312,"sketchbench-spark-worker-3"
