"time","value_mem_bytes","pod"
"2021-08-02 04:15:08.255+00",1417265152,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:15:23.637+00",1479217152,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:15:43.6+00",1518075904,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:16:01.835+00",1547698176,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:16:17.055+00",1557356544,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:16:32.461+00",1595908096,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:16:47.444+00",1599778816,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:17:07.206+00",1629933568,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:17:22.556+00",1628430336,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:17:36.146+00",1627242496,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:17:55.361+00",1612451840,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:18:15.304+00",1607921664,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:18:26.985+00",1610207232,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:18:46.11+00",1607151616,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:19:05.676+00",1607245824,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:19:16.45+00",1607282688,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:19:33.107+00",1607352320,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:19:44.08+00",1607536640,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:19:58.794+00",1607614464,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:20:18.107+00",1607565312,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:20:33.107+00",1607573504,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:20:46.762+00",1607745536,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:20:58.681+00",1607786496,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:21:14.346+00",1608114176,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:21:25.808+00",1607786496,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:21:39.577+00",1607831552,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:21:51.555+00",1608237056,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:22:09.962+00",1611837440,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:22:20.433+00",1630228480,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:22:34.807+00",1637920768,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:22:46.322+00",1653112832,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:22:56.564+00",1653870592,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:23:16.35+00",1687924736,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:23:34.171+00",1698435072,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:23:45.073+00",1712066560,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:23:59.539+00",1751261184,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:24:18.793+00",1761751040,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:24:32.084+00",1797406720,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:24:49.527+00",1798778880,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:25:05.438+00",1812738048,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:25:17.713+00",1812537344,"sketchbench-zeppelin-788ddb985b-jsvvb"
"2021-08-02 04:25:34.081+00",1841573888,"sketchbench-zeppelin-788ddb985b-jsvvb"
