"time","failed_tasks"
"2021-08-02 04:15:00.373+00",0
"2021-08-02 04:15:00.373+00",0
"2021-08-02 04:15:00.373+00",0
"2021-08-02 04:15:10.373+00",0
"2021-08-02 04:15:10.373+00",0
"2021-08-02 04:15:10.373+00",0
"2021-08-02 04:15:20.373+00",0
"2021-08-02 04:15:20.373+00",0
"2021-08-02 04:15:20.373+00",nan
"2021-08-02 04:15:30.373+00",0
"2021-08-02 04:15:30.373+00",0
"2021-08-02 04:15:40.373+00",0
"2021-08-02 04:15:40.373+00",0
"2021-08-02 04:15:50.373+00",0
"2021-08-02 04:15:50.373+00",0
"2021-08-02 04:16:00.373+00",0
"2021-08-02 04:16:00.373+00",0
"2021-08-02 04:16:10.38+00",0
"2021-08-02 04:16:10.38+00",0
"2021-08-02 04:16:20.373+00",0
"2021-08-02 04:16:20.373+00",0
"2021-08-02 04:16:30.373+00",0
"2021-08-02 04:16:30.373+00",0
"2021-08-02 04:16:40.373+00",0
"2021-08-02 04:16:40.373+00",0
"2021-08-02 04:16:50.373+00",0
"2021-08-02 04:16:50.373+00",0
"2021-08-02 04:17:00.373+00",0
"2021-08-02 04:17:00.373+00",0
"2021-08-02 04:17:10.373+00",0
"2021-08-02 04:17:10.373+00",0
"2021-08-02 04:17:20.373+00",nan
"2021-08-02 04:17:20.373+00",0
"2021-08-02 04:17:30.373+00",0
"2021-08-02 04:17:40.373+00",0
"2021-08-02 04:17:50.373+00",0
"2021-08-02 04:18:00.381+00",0
"2021-08-02 04:18:10.373+00",0
"2021-08-02 04:18:20.373+00",0
"2021-08-02 04:18:30.382+00",0
"2021-08-02 04:18:40.373+00",0
"2021-08-02 04:18:50.373+00",0
"2021-08-02 04:19:00.373+00",0
"2021-08-02 04:19:10.373+00",0
"2021-08-02 04:19:20.373+00",0
"2021-08-02 04:19:30.373+00",0
"2021-08-02 04:19:40.373+00",0
"2021-08-02 04:19:50.373+00",0
"2021-08-02 04:20:00.373+00",0
"2021-08-02 04:20:10.373+00",0
"2021-08-02 04:20:20.373+00",0
"2021-08-02 04:20:30.373+00",0
"2021-08-02 04:20:40.373+00",0
"2021-08-02 04:20:50.373+00",0
"2021-08-02 04:21:00.373+00",0
"2021-08-02 04:21:10.373+00",0
"2021-08-02 04:21:20.376+00",0
"2021-08-02 04:21:30.377+00",0
"2021-08-02 04:21:40.373+00",0
"2021-08-02 04:21:50.373+00",0
"2021-08-02 04:22:00.373+00",0
"2021-08-02 04:22:10.373+00",0
"2021-08-02 04:22:20.373+00",0
"2021-08-02 04:22:30.373+00",0
"2021-08-02 04:22:40.373+00",0
"2021-08-02 04:22:50.373+00",0
"2021-08-02 04:23:00.373+00",0
"2021-08-02 04:23:10.373+00",0
"2021-08-02 04:23:20.373+00",0
"2021-08-02 04:23:30.376+00",0
"2021-08-02 04:23:40.373+00",0
"2021-08-02 04:23:50.373+00",0
"2021-08-02 04:24:00.373+00",0
"2021-08-02 04:24:10.373+00",0
"2021-08-02 04:24:20.373+00",0
"2021-08-02 04:24:30.373+00",0
"2021-08-02 04:24:40.373+00",0
"2021-08-02 04:24:50.373+00",0
"2021-08-02 04:25:00.373+00",0
"2021-08-02 04:25:10.373+00",0
"2021-08-02 04:25:20.373+00",0
"2021-08-02 04:25:30.373+00",0
"2021-08-02 04:25:40.373+00",0
"2021-08-02 04:25:50.373+00",0
"2021-08-02 04:26:00.373+00",0
"2021-08-02 04:26:10.373+00",0
"2021-08-02 04:26:20.373+00",0
"2021-08-02 04:26:30.373+00",0
"2021-08-02 04:26:40.373+00",0
"2021-08-02 04:26:50.373+00",0
"2021-08-02 04:27:00.385+00",0
"2021-08-02 04:27:10.373+00",0
"2021-08-02 04:27:20.373+00",0
"2021-08-02 04:27:30.373+00",0
"2021-08-02 04:27:40.373+00",0
"2021-08-02 04:27:50.373+00",0
"2021-08-02 04:28:00.373+00",0
"2021-08-02 04:28:10.373+00",0
"2021-08-02 04:28:20.373+00",0
"2021-08-02 04:28:30.373+00",0
"2021-08-02 04:28:40.383+00",0
"2021-08-02 04:28:50.373+00",0
"2021-08-02 04:29:00.377+00",0
"2021-08-02 04:29:10.373+00",0
"2021-08-02 04:29:20.373+00",0
"2021-08-02 04:29:30.373+00",0
"2021-08-02 04:29:40.373+00",0
"2021-08-02 04:29:50.373+00",0
"2021-08-02 04:30:00.373+00",0
"2021-08-02 04:30:10.373+00",0
"2021-08-02 04:30:20.373+00",0
"2021-08-02 04:30:30.373+00",0
"2021-08-02 04:30:40.373+00",0
"2021-08-02 04:30:50.373+00",0
"2021-08-02 04:31:00.373+00",0
"2021-08-02 04:31:10.373+00",0
"2021-08-02 04:31:20.373+00",0
"2021-08-02 04:31:30.373+00",0
"2021-08-02 04:31:40.373+00",0
"2021-08-02 04:31:50.373+00",0
"2021-08-02 04:32:00.373+00",0
"2021-08-02 04:32:10.373+00",0
"2021-08-02 04:32:20.373+00",0
