"time","current_consumer_offset","consumergroup","kafka_partition"
"2021-08-02 04:15:14.576+00",13296179,"stream-espbench-v594768685","4"
"2021-08-02 04:15:14.576+00",13296178,"stream-espbench-v594768685","1"
"2021-08-02 04:15:14.576+00",13296177,"stream-espbench-v594768685","3"
"2021-08-02 04:15:14.576+00",13296176,"stream-espbench-v594768685","0"
"2021-08-02 04:15:14.576+00",13296179,"stream-espbench-v594768685","2"
"2021-08-02 04:15:24.576+00",13315378,"stream-espbench-v594768685","4"
"2021-08-02 04:15:24.576+00",13315375,"stream-espbench-v594768685","0"
"2021-08-02 04:15:24.576+00",13315378,"stream-espbench-v594768685","2"
"2021-08-02 04:15:24.576+00",13315377,"stream-espbench-v594768685","1"
"2021-08-02 04:15:24.576+00",13315376,"stream-espbench-v594768685","3"
"2021-08-02 04:15:34.576+00",13324979,"stream-espbench-v594768685","4"
"2021-08-02 04:15:34.576+00",13324976,"stream-espbench-v594768685","0"
"2021-08-02 04:15:34.576+00",13324978,"stream-espbench-v594768685","2"
"2021-08-02 04:15:34.576+00",13324978,"stream-espbench-v594768685","1"
"2021-08-02 04:15:34.576+00",13324976,"stream-espbench-v594768685","3"
"2021-08-02 04:15:44.576+00",13344177,"stream-espbench-v594768685","4"
"2021-08-02 04:15:44.576+00",13344175,"stream-espbench-v594768685","0"
"2021-08-02 04:15:44.576+00",13344177,"stream-espbench-v594768685","2"
"2021-08-02 04:15:44.576+00",13344177,"stream-espbench-v594768685","1"
"2021-08-02 04:15:44.576+00",13344175,"stream-espbench-v594768685","3"
"2021-08-02 04:15:54.576+00",13363377,"stream-espbench-v594768685","4"
"2021-08-02 04:15:54.576+00",13363375,"stream-espbench-v594768685","0"
"2021-08-02 04:15:54.576+00",13363377,"stream-espbench-v594768685","2"
"2021-08-02 04:15:54.576+00",13363376,"stream-espbench-v594768685","1"
"2021-08-02 04:15:54.576+00",13363375,"stream-espbench-v594768685","3"
"2021-08-02 04:16:04.576+00",13372977,"stream-espbench-v594768685","1"
"2021-08-02 04:16:04.576+00",13372976,"stream-espbench-v594768685","3"
"2021-08-02 04:16:04.576+00",13372978,"stream-espbench-v594768685","4"
"2021-08-02 04:16:04.576+00",13372975,"stream-espbench-v594768685","0"
"2021-08-02 04:16:04.576+00",13372978,"stream-espbench-v594768685","2"
"2021-08-02 04:16:14.576+00",13392176,"stream-espbench-v594768685","1"
"2021-08-02 04:16:14.576+00",13392175,"stream-espbench-v594768685","3"
"2021-08-02 04:16:14.576+00",13392177,"stream-espbench-v594768685","4"
"2021-08-02 04:16:14.576+00",13392175,"stream-espbench-v594768685","0"
"2021-08-02 04:16:14.576+00",13392177,"stream-espbench-v594768685","2"
"2021-08-02 04:16:24.576+00",13411379,"stream-espbench-v594768685","4"
"2021-08-02 04:16:24.576+00",13411376,"stream-espbench-v594768685","0"
"2021-08-02 04:16:24.576+00",13411379,"stream-espbench-v594768685","2"
"2021-08-02 04:16:24.576+00",13411378,"stream-espbench-v594768685","1"
"2021-08-02 04:16:24.576+00",13411377,"stream-espbench-v594768685","3"
"2021-08-02 04:16:34.576+00",13420977,"stream-espbench-v594768685","4"
"2021-08-02 04:16:34.576+00",13420974,"stream-espbench-v594768685","0"
"2021-08-02 04:16:34.576+00",13420977,"stream-espbench-v594768685","2"
"2021-08-02 04:16:34.576+00",13420976,"stream-espbench-v594768685","1"
"2021-08-02 04:16:34.576+00",13420975,"stream-espbench-v594768685","3"
"2021-08-02 04:16:44.576+00",13440178,"stream-espbench-v594768685","1"
"2021-08-02 04:16:44.576+00",13440176,"stream-espbench-v594768685","3"
"2021-08-02 04:16:44.576+00",13440179,"stream-espbench-v594768685","4"
"2021-08-02 04:16:44.576+00",13440176,"stream-espbench-v594768685","0"
"2021-08-02 04:16:44.576+00",13440178,"stream-espbench-v594768685","2"
"2021-08-02 04:16:54.576+00",13459378,"stream-espbench-v594768685","4"
"2021-08-02 04:16:54.576+00",13459375,"stream-espbench-v594768685","0"
"2021-08-02 04:16:54.576+00",13459377,"stream-espbench-v594768685","2"
"2021-08-02 04:16:54.576+00",13459377,"stream-espbench-v594768685","1"
"2021-08-02 04:16:54.576+00",13459375,"stream-espbench-v594768685","3"
"2021-08-02 04:17:04.576+00",nan,"stream-espbench-v594768685","2"
"2021-08-02 04:17:04.576+00",nan,"stream-espbench-v594768685","4"
"2021-08-02 04:17:04.576+00",nan,"stream-espbench-v594768685","0"
"2021-08-02 04:17:04.576+00",nan,"stream-espbench-v594768685","1"
