"time","bytesinpersec_oneminuterate"
"2021-08-02 04:15:05.166+00",2014500.3260219975
"2021-08-02 04:15:15.166+00",2013582.1426044805
"2021-08-02 04:15:25.166+00",2012908.8958752844
"2021-08-02 04:15:35.17+00",2012767.2933992038
"2021-08-02 04:15:45.166+00",2012121.010860687
"2021-08-02 04:15:55.166+00",2012335.6756723428
"2021-08-02 04:16:05.166+00",2012434.274765868
"2021-08-02 04:16:15.166+00",2012203.5579780051
"2021-08-02 04:16:25.166+00",2013701.954516005
"2021-08-02 04:16:35.166+00",2015307.0081702974
"2021-08-02 04:16:45.166+00",2016619.754285303
"2021-08-02 04:16:55.169+00",2020029.952916883
"2021-08-02 04:17:05.166+00",2021611.064941489
"2021-08-02 04:17:15.171+00",2021332.0675587726
"2021-08-02 04:17:25.166+00",2021559.453367443
"2021-08-02 04:17:35.166+00",2024377.277439187
"2021-08-02 04:17:45.166+00",2025846.320912128
"2021-08-02 04:17:55.166+00",2025747.1957112844
"2021-08-02 04:18:05.166+00",2025522.2472731327
"2021-08-02 04:18:15.166+00",2025889.4584122426
"2021-08-02 04:18:25.166+00",2028156.441419608
"2021-08-02 04:18:35.166+00",2028938.5612856739
"2021-08-02 04:18:45.166+00",2028663.2902818676
"2021-08-02 04:18:55.166+00",2030307.894687442
"2021-08-02 04:19:05.166+00",2030993.836997477
"2021-08-02 04:19:15.166+00",2031600.2285136182
"2021-08-02 04:19:25.166+00",2034059.2665929522
"2021-08-02 04:19:35.166+00",2035357.2003501833
"2021-08-02 04:19:45.166+00",2037528.6414825453
"2021-08-02 04:19:55.166+00",2036694.2512740374
"2021-08-02 04:20:05.166+00",2038364.8367669305
"2021-08-02 04:20:15.172+00",2038927.0290573835
"2021-08-02 04:20:25.166+00",2041007.5070149284
"2021-08-02 04:20:35.166+00",2042604.8552718412
"2021-08-02 04:20:45.166+00",2043939.859977867
"2021-08-02 04:20:55.166+00",2045902.809443934
"2021-08-02 04:21:05.17+00",2045997.0564189919
"2021-08-02 04:21:15.166+00",2043558.5351154993
"2021-08-02 04:21:25.166+00",2042854.3346785754
