"time","bytesoutpersec_oneminuterate"
"2021-08-02 04:15:05.166+00",87131.65013600381
"2021-08-02 04:15:15.166+00",402409.9441120748
"2021-08-02 04:15:25.166+00",692031.2075214706
"2021-08-02 04:15:35.17+00",900293.1340590313
"2021-08-02 04:15:45.166+00",1075114.6571469589
"2021-08-02 04:15:55.166+00",1210271.0277618812
"2021-08-02 04:16:05.166+00",1336449.331148754
"2021-08-02 04:16:15.166+00",1448181.4607609059
"2021-08-02 04:16:25.166+00",1529288.3971270733
"2021-08-02 04:16:35.166+00",1609161.1605824558
"2021-08-02 04:16:45.166+00",1674721.3305302882
"2021-08-02 04:16:55.169+00",1735716.9946003233
"2021-08-02 04:17:05.166+00",1596756.0419779015
"2021-08-02 04:17:15.171+00",1351624.8086429639
"2021-08-02 04:17:25.166+00",1144125.6994250424
"2021-08-02 04:17:35.166+00",968481.4955409901
"2021-08-02 04:17:45.166+00",819801.886870179
"2021-08-02 04:17:55.166+00",693947.3152664492
"2021-08-02 04:18:05.166+00",587413.7204099548
"2021-08-02 04:18:15.166+00",497234.9792770315
"2021-08-02 04:18:25.166+00",420900.3229343704
"2021-08-02 04:18:35.166+00",356284.4313645024
"2021-08-02 04:18:45.166+00",301588.26001309557
"2021-08-02 04:18:55.166+00",255288.95054264416
"2021-08-02 04:19:05.166+00",216097.43120085212
"2021-08-02 04:19:15.166+00",182922.52630732814
"2021-08-02 04:19:25.166+00",154840.5755899759
"2021-08-02 04:19:35.166+00",131069.71750845831
"2021-08-02 04:19:45.166+00",110948.12055748532
"2021-08-02 04:19:55.166+00",93915.55646287199
"2021-08-02 04:20:05.166+00",79497.80222875373
"2021-08-02 04:20:15.172+00",67293.43675560839
"2021-08-02 04:20:25.166+00",56962.664418704844
"2021-08-02 04:20:35.166+00",48217.85443151049
"2021-08-02 04:20:45.166+00",40815.532589709546
"2021-08-02 04:20:55.166+00",34549.60242886641
"2021-08-02 04:21:05.17+00",29245.60705827179
"2021-08-02 04:21:15.166+00",24755.871908159024
"2021-08-02 04:21:25.166+00",20955.39315398955
"2021-08-02 04:21:35.166+00",17738.35734275004
"2021-08-02 04:21:45.166+00",15015.195320217148
"2021-08-02 04:21:55.166+00",12710.08843422689
"2021-08-02 04:22:05.166+00",10758.857581316623
"2021-08-02 04:22:15.166+00",9107.176323285357
"2021-08-02 04:22:25.176+00",7709.05832301755
"2021-08-02 04:22:35.166+00",123780.92266615985
"2021-08-02 04:22:45.166+00",404337.3748708721
"2021-08-02 04:22:55.166+00",668011.062218439
"2021-08-02 04:23:05.166+00",878366.9982764309
"2021-08-02 04:23:15.166+00",1063697.9804644443
"2021-08-02 04:23:25.166+00",1206448.680557264
"2021-08-02 04:23:35.166+00",1345742.5496719645
"2021-08-02 04:23:45.166+00",1441758.0839935222
"2021-08-02 04:23:55.168+00",1527119.113823607
"2021-08-02 04:24:05.166+00",1619813.5029147465
"2021-08-02 04:24:15.166+00",1679214.8751242247
"2021-08-02 04:24:25.166+00",1736529.1605677998
"2021-08-02 04:24:35.166+00",1768660.1276686054
"2021-08-02 04:24:45.166+00",1819198.8208455096
"2021-08-02 04:24:55.166+00",1846226.3519856846
"2021-08-02 04:25:05.166+00",1887728.2659477044
"2021-08-02 04:25:15.166+00",1913365.1122389797
"2021-08-02 04:25:25.166+00",1912880.68548734
