"time","requests_per_sec_in"
"2021-08-02 04:15:05.166+00",7917.366458420039
"2021-08-02 04:15:15.166+00",7911.214237376531
"2021-08-02 04:15:25.166+00",7907.783417681639
"2021-08-02 04:15:35.17+00",7911.823644931828
"2021-08-02 04:15:45.166+00",7906.644513506814
"2021-08-02 04:15:55.166+00",7911.30323256231
"2021-08-02 04:16:05.166+00",7907.572153439819
"2021-08-02 04:16:15.166+00",7905.6664088887155
"2021-08-02 04:16:25.166+00",7908.56486578735
"2021-08-02 04:16:35.166+00",7904.285829954389
"2021-08-02 04:16:45.166+00",7908.755209561148
"2021-08-02 04:16:55.169+00",7900.636440663869
"2021-08-02 04:17:05.166+00",7897.903282107601
"2021-08-02 04:17:15.171+00",7902.798910200849
"2021-08-02 04:17:25.166+00",7899.728712002748
"2021-08-02 04:17:35.166+00",7905.925048506978
"2021-08-02 04:17:45.166+00",7902.693456954733
"2021-08-02 04:17:55.166+00",7901.70678576458
"2021-08-02 04:18:05.166+00",7905.019980703276
"2021-08-02 04:18:15.166+00",7901.038241694582
"2021-08-02 04:18:25.166+00",7907.552928680448
"2021-08-02 04:18:35.166+00",7906.21809095319
"2021-08-02 04:18:45.166+00",7904.737666970855
"2021-08-02 04:18:55.166+00",7908.800926664313
"2021-08-02 04:19:05.166+00",7907.740851260601
"2021-08-02 04:19:15.166+00",7912.734028127683
"2021-08-02 04:19:25.166+00",7909.63986377672
"2021-08-02 04:19:35.166+00",7909.099608687423
"2021-08-02 04:19:45.166+00",7912.067215179498
"2021-08-02 04:19:55.166+00",7908.676289042864
"2021-08-02 04:20:05.166+00",7911.5116087753695
"2021-08-02 04:20:15.172+00",7909.984899132099
"2021-08-02 04:20:25.166+00",7908.762871415818
"2021-08-02 04:20:35.166+00",7909.707811918294
"2021-08-02 04:20:45.166+00",7908.501525259444
"2021-08-02 04:20:55.166+00",7912.665960460749
"2021-08-02 04:21:05.17+00",7908.496847550199
"2021-08-02 04:21:15.166+00",7906.120373158901
