"time","current_consumer_offset","kafka_partition"
"2021-08-02 04:15:04.576+00",13287499,"0"
"2021-08-02 04:15:04.576+00",13287502,"3"
"2021-08-02 04:15:04.576+00",13287505,"4"
"2021-08-02 04:15:04.576+00",13287503,"2"
"2021-08-02 04:15:04.576+00",13287502,"1"
"2021-08-02 04:15:14.576+00",13303507,"4"
"2021-08-02 04:15:14.576+00",13303504,"1"
"2021-08-02 04:15:14.576+00",13303501,"0"
"2021-08-02 04:15:14.576+00",13303505,"2"
"2021-08-02 04:15:14.576+00",13303504,"3"
"2021-08-02 04:15:24.576+00",13319501,"3"
"2021-08-02 04:15:24.576+00",13319497,"0"
"2021-08-02 04:15:24.576+00",13319500,"1"
"2021-08-02 04:15:24.576+00",13319502,"2"
"2021-08-02 04:15:24.576+00",13319504,"4"
"2021-08-02 04:15:34.576+00",13335502,"3"
"2021-08-02 04:15:34.576+00",13335499,"0"
"2021-08-02 04:15:34.576+00",13335502,"1"
"2021-08-02 04:15:34.576+00",13335505,"4"
"2021-08-02 04:15:34.576+00",13335503,"2"
"2021-08-02 04:15:44.576+00",13351504,"4"
"2021-08-02 04:15:44.576+00",13351501,"3"
"2021-08-02 04:15:44.576+00",13351497,"0"
"2021-08-02 04:15:44.576+00",13351500,"1"
"2021-08-02 04:15:44.576+00",13351502,"2"
"2021-08-02 04:15:54.576+00",13367506,"4"
"2021-08-02 04:15:54.576+00",13367499,"0"
"2021-08-02 04:15:54.576+00",13367502,"1"
"2021-08-02 04:15:54.576+00",13367504,"2"
"2021-08-02 04:15:54.576+00",13367502,"3"
"2021-08-02 04:16:04.576+00",13383502,"1"
"2021-08-02 04:16:04.576+00",13383499,"0"
"2021-08-02 04:16:04.576+00",13383503,"3"
"2021-08-02 04:16:04.576+00",13383506,"4"
"2021-08-02 04:16:04.576+00",13383504,"2"
"2021-08-02 04:16:14.576+00",13399504,"4"
"2021-08-02 04:16:14.576+00",13399501,"3"
"2021-08-02 04:16:14.576+00",13399498,"0"
"2021-08-02 04:16:14.576+00",13399501,"1"
"2021-08-02 04:16:14.576+00",13399502,"2"
"2021-08-02 04:16:24.576+00",13415502,"0"
"2021-08-02 04:16:24.576+00",13415505,"3"
"2021-08-02 04:16:24.576+00",13415508,"4"
"2021-08-02 04:16:24.576+00",13415506,"2"
"2021-08-02 04:16:24.576+00",13415505,"1"
"2021-08-02 04:16:34.576+00",13431502,"1"
"2021-08-02 04:16:34.576+00",13431499,"0"
"2021-08-02 04:16:34.576+00",13431502,"3"
"2021-08-02 04:16:34.576+00",13431505,"4"
"2021-08-02 04:16:34.576+00",13431504,"2"
"2021-08-02 04:16:44.576+00",13447502,"1"
"2021-08-02 04:16:44.576+00",13447505,"4"
"2021-08-02 04:16:44.576+00",13447503,"2"
"2021-08-02 04:16:44.576+00",13447499,"0"
"2021-08-02 04:16:44.576+00",13447502,"3"
"2021-08-02 04:16:54.576+00",13463502,"2"
"2021-08-02 04:16:54.576+00",13463501,"3"
"2021-08-02 04:16:54.576+00",13463498,"0"
"2021-08-02 04:16:54.576+00",13463501,"1"
"2021-08-02 04:16:54.576+00",13463504,"4"
"2021-08-02 04:17:04.576+00",13479506,"4"
"2021-08-02 04:17:04.576+00",13479500,"0"
"2021-08-02 04:17:04.576+00",13479502,"1"
"2021-08-02 04:17:04.576+00",13479504,"2"
"2021-08-02 04:17:04.576+00",13479503,"3"
"2021-08-02 04:17:14.576+00",13495500,"0"
"2021-08-02 04:17:14.576+00",13495502,"1"
"2021-08-02 04:17:14.576+00",13495504,"2"
"2021-08-02 04:17:14.576+00",13495505,"4"
"2021-08-02 04:17:14.576+00",13495502,"3"
"2021-08-02 04:17:24.576+00",13511501,"3"
"2021-08-02 04:17:24.576+00",13511498,"0"
"2021-08-02 04:17:24.576+00",13511501,"1"
"2021-08-02 04:17:24.576+00",13511503,"2"
"2021-08-02 04:17:24.576+00",13511504,"4"
"2021-08-02 04:17:34.576+00",13527502,"0"
"2021-08-02 04:17:34.576+00",13527504,"1"
"2021-08-02 04:17:34.576+00",13527506,"2"
"2021-08-02 04:17:34.576+00",13527507,"4"
"2021-08-02 04:17:34.576+00",13527504,"3"
"2021-08-02 04:17:44.576+00",13543502,"3"
"2021-08-02 04:17:44.576+00",13543499,"0"
"2021-08-02 04:17:44.576+00",13543502,"1"
"2021-08-02 04:17:44.576+00",13543503,"2"
"2021-08-02 04:17:44.576+00",13543505,"4"
"2021-08-02 04:17:54.591+00",13559695,"1"
"2021-08-02 04:17:54.591+00",13559693,"0"
"2021-08-02 04:17:54.591+00",13559696,"3"
"2021-08-02 04:17:54.591+00",13559699,"4"
"2021-08-02 04:17:54.591+00",13559697,"2"
"2021-08-02 04:18:04.606+00",13575674,"4"
"2021-08-02 04:18:04.606+00",13575652,"0"
"2021-08-02 04:18:04.606+00",13575671,"3"
"2021-08-02 04:18:04.606+00",13575669,"2"
"2021-08-02 04:18:04.606+00",13575661,"1"
"2021-08-02 04:18:14.576+00",13591501,"1"
"2021-08-02 04:18:14.576+00",13591501,"3"
"2021-08-02 04:18:14.576+00",13591498,"0"
"2021-08-02 04:18:14.576+00",13591504,"4"
"2021-08-02 04:18:14.576+00",13591502,"2"
"2021-08-02 04:18:24.599+00",13607541,"0"
"2021-08-02 04:18:24.599+00",13607543,"1"
"2021-08-02 04:18:24.599+00",13607545,"2"
"2021-08-02 04:18:24.599+00",13607548,"4"
"2021-08-02 04:18:24.599+00",13607544,"3"
"2021-08-02 04:18:34.576+00",13623666,"2"
"2021-08-02 04:18:34.576+00",13623664,"1"
"2021-08-02 04:18:34.576+00",13623668,"4"
"2021-08-02 04:18:34.576+00",13623620,"0"
"2021-08-02 04:18:34.576+00",13623664,"3"
"2021-08-02 04:18:44.576+00",13639505,"4"
"2021-08-02 04:18:44.576+00",13639502,"3"
"2021-08-02 04:18:44.576+00",13639499,"0"
"2021-08-02 04:18:44.576+00",13639502,"1"
"2021-08-02 04:18:44.576+00",13639503,"2"
"2021-08-02 04:18:54.677+00",13655671,"2"
"2021-08-02 04:18:54.677+00",13655672,"3"
"2021-08-02 04:18:54.677+00",13655668,"1"
"2021-08-02 04:18:54.677+00",13655664,"0"
"2021-08-02 04:18:54.677+00",13655675,"4"
"2021-08-02 04:19:04.589+00",13671693,"1"
"2021-08-02 04:19:04.589+00",13671695,"2"
"2021-08-02 04:19:04.589+00",13671691,"0"
"2021-08-02 04:19:04.589+00",13671694,"3"
"2021-08-02 04:19:04.589+00",13671697,"4"
"2021-08-02 04:19:14.576+00",13687505,"1"
"2021-08-02 04:19:14.576+00",13687508,"4"
"2021-08-02 04:19:14.576+00",13687505,"3"
"2021-08-02 04:19:14.576+00",13687502,"0"
"2021-08-02 04:19:14.576+00",13687506,"2"
"2021-08-02 04:19:24.576+00",13703498,"0"
"2021-08-02 04:19:24.576+00",13703504,"4"
"2021-08-02 04:19:24.576+00",13703502,"2"
"2021-08-02 04:19:24.576+00",13703500,"1"
"2021-08-02 04:19:24.576+00",13703501,"3"
"2021-08-02 04:19:34.576+00",13719504,"3"
"2021-08-02 04:19:34.576+00",13719504,"1"
"2021-08-02 04:19:34.576+00",13719501,"0"
"2021-08-02 04:19:34.576+00",13719507,"4"
"2021-08-02 04:19:34.576+00",13719505,"2"
"2021-08-02 04:19:44.592+00",13735593,"3"
"2021-08-02 04:19:44.592+00",13735572,"0"
"2021-08-02 04:19:44.592+00",13735575,"1"
"2021-08-02 04:19:44.592+00",13735580,"2"
"2021-08-02 04:19:44.592+00",13735597,"4"
"2021-08-02 04:19:54.576+00",13751503,"2"
"2021-08-02 04:19:54.576+00",13751501,"1"
"2021-08-02 04:19:54.576+00",13751498,"0"
"2021-08-02 04:19:54.576+00",13751504,"4"
"2021-08-02 04:19:54.576+00",13751501,"3"
"2021-08-02 04:20:04.576+00",13767503,"3"
"2021-08-02 04:20:04.576+00",13767502,"1"
"2021-08-02 04:20:04.576+00",13767504,"2"
"2021-08-02 04:20:04.576+00",13767499,"0"
"2021-08-02 04:20:04.576+00",13767506,"4"
"2021-08-02 04:20:14.576+00",13783501,"1"
"2021-08-02 04:20:14.576+00",13783499,"0"
"2021-08-02 04:20:14.576+00",13783502,"3"
"2021-08-02 04:20:14.576+00",13783505,"4"
"2021-08-02 04:20:14.576+00",13783503,"2"
"2021-08-02 04:20:24.576+00",13799501,"1"
"2021-08-02 04:20:24.576+00",13799499,"0"
"2021-08-02 04:20:24.576+00",13799501,"3"
"2021-08-02 04:20:24.576+00",13799505,"4"
"2021-08-02 04:20:24.576+00",13799503,"2"
"2021-08-02 04:20:34.576+00",13815499,"0"
"2021-08-02 04:20:34.576+00",13815502,"3"
"2021-08-02 04:20:34.576+00",13815505,"4"
"2021-08-02 04:20:34.576+00",13815503,"2"
"2021-08-02 04:20:34.576+00",13815502,"1"
"2021-08-02 04:20:44.591+00",13831680,"1"
"2021-08-02 04:20:44.591+00",13831680,"3"
"2021-08-02 04:20:44.591+00",13831683,"4"
"2021-08-02 04:20:44.591+00",13831681,"2"
"2021-08-02 04:20:44.591+00",13831677,"0"
"2021-08-02 04:20:54.586+00",13847584,"0"
"2021-08-02 04:20:54.586+00",13847587,"1"
"2021-08-02 04:20:54.586+00",13847588,"2"
"2021-08-02 04:20:54.586+00",13847589,"4"
"2021-08-02 04:20:54.586+00",13847586,"3"
"2021-08-02 04:21:04.576+00",13863505,"4"
"2021-08-02 04:21:04.576+00",13863503,"2"
"2021-08-02 04:21:04.576+00",13863501,"1"
"2021-08-02 04:21:04.576+00",13863499,"0"
"2021-08-02 04:21:04.576+00",13863502,"3"
"2021-08-02 04:21:14.583+00",13879529,"0"
"2021-08-02 04:21:14.583+00",13879531,"1"
"2021-08-02 04:21:14.583+00",13879531,"3"
"2021-08-02 04:21:14.583+00",13879535,"4"
"2021-08-02 04:21:14.583+00",13879533,"2"
"2021-08-02 04:21:24.587+00",13895677,"4"
"2021-08-02 04:21:24.587+00",13895671,"0"
"2021-08-02 04:21:24.587+00",13895674,"1"
"2021-08-02 04:21:24.587+00",13895675,"2"
"2021-08-02 04:21:24.587+00",13895674,"3"
"2021-08-02 04:21:34.576+00",13911505,"4"
"2021-08-02 04:21:34.576+00",13911502,"1"
"2021-08-02 04:21:34.576+00",13911499,"0"
"2021-08-02 04:21:34.576+00",13911502,"3"
"2021-08-02 04:21:34.576+00",13911503,"2"
"2021-08-02 04:21:44.576+00",13927501,"1"
"2021-08-02 04:21:44.576+00",13927503,"2"
"2021-08-02 04:21:44.576+00",13927505,"4"
"2021-08-02 04:21:44.576+00",13927501,"3"
"2021-08-02 04:21:44.576+00",13927499,"0"
"2021-08-02 04:21:54.576+00",13943615,"2"
"2021-08-02 04:21:54.576+00",13943613,"1"
"2021-08-02 04:21:54.576+00",13943614,"3"
"2021-08-02 04:21:54.576+00",13943611,"0"
"2021-08-02 04:21:54.576+00",13943617,"4"
"2021-08-02 04:22:04.576+00",13959528,"4"
"2021-08-02 04:22:04.576+00",13959521,"0"
"2021-08-02 04:22:04.576+00",13959524,"1"
"2021-08-02 04:22:04.576+00",13959525,"2"
"2021-08-02 04:22:04.576+00",13959523,"3"
"2021-08-02 04:22:14.576+00",13975501,"3"
"2021-08-02 04:22:14.576+00",13975498,"0"
"2021-08-02 04:22:14.576+00",13975501,"1"
"2021-08-02 04:22:14.576+00",13975503,"2"
"2021-08-02 04:22:14.576+00",13975505,"4"
"2021-08-02 04:22:24.576+00",13991502,"3"
"2021-08-02 04:22:24.576+00",13991499,"0"
"2021-08-02 04:22:24.576+00",13991502,"1"
"2021-08-02 04:22:24.576+00",13991503,"2"
"2021-08-02 04:22:24.576+00",13991505,"4"
"2021-08-02 04:22:34.627+00",14007639,"1"
"2021-08-02 04:22:34.627+00",14007640,"2"
"2021-08-02 04:22:34.627+00",14007642,"4"
"2021-08-02 04:22:34.627+00",14007639,"3"
"2021-08-02 04:22:34.627+00",14007636,"0"
"2021-08-02 04:22:44.576+00",14023499,"0"
"2021-08-02 04:22:44.576+00",14023503,"2"
"2021-08-02 04:22:44.576+00",14023505,"4"
"2021-08-02 04:22:44.576+00",14023501,"3"
"2021-08-02 04:22:44.576+00",14023501,"1"
"2021-08-02 04:22:54.576+00",14039669,"4"
"2021-08-02 04:22:54.576+00",14039659,"0"
"2021-08-02 04:22:54.576+00",14039661,"1"
"2021-08-02 04:22:54.576+00",14039663,"2"
"2021-08-02 04:22:54.576+00",14039661,"3"
"2021-08-02 04:23:04.576+00",14055504,"4"
"2021-08-02 04:23:04.576+00",14055499,"0"
"2021-08-02 04:23:04.576+00",14055501,"1"
"2021-08-02 04:23:04.576+00",14055503,"2"
"2021-08-02 04:23:04.576+00",14055501,"3"
"2021-08-02 04:23:14.576+00",14071501,"3"
"2021-08-02 04:23:14.576+00",14071504,"4"
"2021-08-02 04:23:14.576+00",14071498,"0"
"2021-08-02 04:23:14.576+00",14071501,"1"
"2021-08-02 04:23:14.576+00",14071502,"2"
"2021-08-02 04:23:24.576+00",14087501,"3"
"2021-08-02 04:23:24.576+00",14087498,"0"
"2021-08-02 04:23:24.576+00",14087501,"1"
"2021-08-02 04:23:24.576+00",14087502,"2"
"2021-08-02 04:23:24.576+00",14087504,"4"
"2021-08-02 04:23:34.576+00",14103500,"0"
"2021-08-02 04:23:34.576+00",14103505,"4"
"2021-08-02 04:23:34.576+00",14103504,"2"
"2021-08-02 04:23:34.576+00",14103502,"1"
"2021-08-02 04:23:34.576+00",14103502,"3"
"2021-08-02 04:23:44.576+00",14119506,"2"
"2021-08-02 04:23:44.576+00",14119508,"4"
"2021-08-02 04:23:44.576+00",14119505,"3"
"2021-08-02 04:23:44.576+00",14119502,"0"
"2021-08-02 04:23:44.576+00",14119505,"1"
"2021-08-02 04:23:54.576+00",14135501,"1"
"2021-08-02 04:23:54.576+00",14135502,"2"
"2021-08-02 04:23:54.576+00",14135498,"0"
"2021-08-02 04:23:54.576+00",14135504,"4"
"2021-08-02 04:23:54.576+00",14135501,"3"
"2021-08-02 04:24:04.576+00",14151505,"2"
"2021-08-02 04:24:04.576+00",14151503,"1"
"2021-08-02 04:24:04.576+00",14151501,"0"
"2021-08-02 04:24:04.576+00",14151504,"3"
"2021-08-02 04:24:04.576+00",14151507,"4"
"2021-08-02 04:24:14.576+00",14167502,"3"
"2021-08-02 04:24:14.576+00",14167501,"1"
"2021-08-02 04:24:14.576+00",14167503,"2"
"2021-08-02 04:24:14.576+00",14167499,"0"
"2021-08-02 04:24:14.576+00",14167505,"4"
"2021-08-02 04:24:24.576+00",14183501,"3"
"2021-08-02 04:24:24.576+00",14183498,"0"
"2021-08-02 04:24:24.576+00",14183501,"1"
"2021-08-02 04:24:24.576+00",14183502,"2"
"2021-08-02 04:24:24.576+00",14183504,"4"
"2021-08-02 04:24:34.576+00",14199508,"2"
"2021-08-02 04:24:34.576+00",14199506,"1"
"2021-08-02 04:24:34.576+00",14199503,"0"
"2021-08-02 04:24:34.576+00",14199507,"3"
"2021-08-02 04:24:34.576+00",14199510,"4"
"2021-08-02 04:24:44.576+00",14215504,"4"
"2021-08-02 04:24:44.576+00",14215501,"3"
"2021-08-02 04:24:44.576+00",14215498,"0"
"2021-08-02 04:24:44.576+00",14215501,"1"
"2021-08-02 04:24:44.576+00",14215503,"2"
"2021-08-02 04:24:54.576+00",14231501,"0"
"2021-08-02 04:24:54.576+00",14231504,"3"
"2021-08-02 04:24:54.576+00",14231507,"4"
"2021-08-02 04:24:54.576+00",14231505,"2"
"2021-08-02 04:24:54.576+00",14231504,"1"
"2021-08-02 04:25:04.576+00",14247678,"2"
"2021-08-02 04:25:04.576+00",14247680,"4"
"2021-08-02 04:25:04.576+00",14247677,"3"
"2021-08-02 04:25:04.576+00",14247677,"1"
"2021-08-02 04:25:04.576+00",14247674,"0"
"2021-08-02 04:25:14.576+00",14263499,"0"
"2021-08-02 04:25:14.576+00",14263505,"4"
"2021-08-02 04:25:14.576+00",14263503,"2"
"2021-08-02 04:25:14.576+00",14263502,"3"
"2021-08-02 04:25:14.576+00",14263502,"1"
"2021-08-02 04:25:24.576+00",14279502,"2"
"2021-08-02 04:25:24.576+00",14279501,"1"
"2021-08-02 04:25:24.576+00",14279498,"0"
"2021-08-02 04:25:24.576+00",14279501,"3"
"2021-08-02 04:25:24.576+00",14279505,"4"
"2021-08-02 04:25:34.583+00",14295645,"2"
"2021-08-02 04:25:34.583+00",14295644,"1"
"2021-08-02 04:25:34.583+00",14295641,"0"
"2021-08-02 04:25:34.583+00",14295644,"3"
"2021-08-02 04:25:34.583+00",14295647,"4"
"2021-08-02 04:25:44.576+00",14311501,"3"
"2021-08-02 04:25:44.576+00",14311498,"0"
"2021-08-02 04:25:44.576+00",14311501,"1"
"2021-08-02 04:25:44.576+00",14311502,"2"
"2021-08-02 04:25:44.576+00",14311504,"4"
"2021-08-02 04:25:54.576+00",14327503,"4"
"2021-08-02 04:25:54.576+00",14327500,"3"
"2021-08-02 04:25:54.576+00",14327498,"0"
"2021-08-02 04:25:54.576+00",14327500,"1"
