"time","completed_tasks","executor"
"2021-08-02 04:15:11.281+00",5,"5"
"2021-08-02 04:15:11.281+00",5,"0"
"2021-08-02 04:15:11.281+00",5,"2"
"2021-08-02 04:15:11.281+00",5,"1"
"2021-08-02 04:15:11.281+00",4,"4"
"2021-08-02 04:15:11.281+00",0,"3"
"2021-08-02 04:15:41.281+00",24,"0"
"2021-08-02 04:15:41.281+00",21,"2"
"2021-08-02 04:15:41.281+00",26,"4"
"2021-08-02 04:15:41.281+00",25,"1"
"2021-08-02 04:15:41.281+00",0,"3"
"2021-08-02 04:15:41.281+00",24,"5"
"2021-08-02 04:16:11.281+00",38,"2"
"2021-08-02 04:16:11.281+00",45,"4"
"2021-08-02 04:16:11.281+00",45,"0"
"2021-08-02 04:16:11.281+00",40,"1"
"2021-08-02 04:16:11.281+00",0,"3"
"2021-08-02 04:16:11.281+00",42,"5"
"2021-08-02 04:16:41.281+00",60,"1"
"2021-08-02 04:16:41.281+00",0,"3"
"2021-08-02 04:16:41.281+00",59,"5"
"2021-08-02 04:16:41.281+00",61,"0"
"2021-08-02 04:16:41.281+00",55,"2"
"2021-08-02 04:16:41.281+00",65,"4"
"2021-08-02 04:17:11.281+00",77,"4"
"2021-08-02 04:17:11.281+00",73,"1"
"2021-08-02 04:17:11.281+00",0,"3"
"2021-08-02 04:17:11.281+00",71,"5"
"2021-08-02 04:17:11.281+00",72,"0"
"2021-08-02 04:17:11.281+00",67,"2"
"2021-08-02 04:17:41.281+00",73,"1"
"2021-08-02 04:17:41.281+00",0,"3"
"2021-08-02 04:17:41.281+00",71,"5"
"2021-08-02 04:17:41.281+00",67,"2"
"2021-08-02 04:17:41.281+00",77,"4"
"2021-08-02 04:17:41.281+00",72,"0"
"2021-08-02 04:18:11.281+00",73,"1"
"2021-08-02 04:18:11.281+00",72,"0"
"2021-08-02 04:18:11.281+00",67,"2"
"2021-08-02 04:18:11.281+00",77,"4"
"2021-08-02 04:18:11.281+00",0,"3"
"2021-08-02 04:18:11.281+00",71,"5"
"2021-08-02 04:18:41.281+00",67,"2"
"2021-08-02 04:18:41.281+00",77,"4"
"2021-08-02 04:18:41.281+00",0,"3"
"2021-08-02 04:18:41.281+00",73,"1"
"2021-08-02 04:18:41.281+00",71,"5"
"2021-08-02 04:18:41.281+00",72,"0"
"2021-08-02 04:19:11.281+00",0,"3"
"2021-08-02 04:19:11.281+00",72,"0"
"2021-08-02 04:19:11.281+00",67,"2"
"2021-08-02 04:19:11.281+00",77,"4"
"2021-08-02 04:19:11.281+00",73,"1"
