"time","shuffle_read_bytes_total","executor"
"2021-08-02 04:15:11.281+00",403,"0"
"2021-08-02 04:15:11.281+00",0,"4"
"2021-08-02 04:15:11.281+00",401,"1"
"2021-08-02 04:15:11.281+00",409,"2"
"2021-08-02 04:15:11.281+00",0,"3"
"2021-08-02 04:15:11.281+00",407,"5"
"2021-08-02 04:15:41.281+00",2029,"1"
"2021-08-02 04:15:41.281+00",0,"3"
"2021-08-02 04:15:41.281+00",1639,"5"
"2021-08-02 04:15:41.281+00",1627,"0"
"2021-08-02 04:15:41.281+00",409,"2"
"2021-08-02 04:15:41.281+00",2449,"4"
"2021-08-02 04:16:11.281+00",2029,"1"
"2021-08-02 04:16:11.281+00",0,"3"
"2021-08-02 04:16:11.281+00",2877,"5"
"2021-08-02 04:16:11.281+00",4094,"0"
"2021-08-02 04:16:11.281+00",1240,"2"
"2021-08-02 04:16:11.281+00",4086,"4"
"2021-08-02 04:16:41.281+00",4508,"0"
"2021-08-02 04:16:41.281+00",2074,"2"
"2021-08-02 04:16:41.281+00",6154,"4"
"2021-08-02 04:16:41.281+00",4106,"1"
"2021-08-02 04:16:41.281+00",0,"3"
"2021-08-02 04:16:41.281+00",3705,"5"
"2021-08-02 04:17:11.281+00",4533,"5"
"2021-08-02 04:17:11.281+00",4922,"0"
"2021-08-02 04:17:11.281+00",2901,"2"
"2021-08-02 04:17:11.281+00",6984,"4"
"2021-08-02 04:17:11.281+00",5342,"1"
"2021-08-02 04:17:11.281+00",0,"3"
"2021-08-02 04:17:41.281+00",5342,"1"
"2021-08-02 04:17:41.281+00",4922,"0"
"2021-08-02 04:17:41.281+00",2901,"2"
"2021-08-02 04:17:41.281+00",6984,"4"
"2021-08-02 04:17:41.281+00",0,"3"
"2021-08-02 04:17:41.281+00",4533,"5"
"2021-08-02 04:18:11.281+00",5342,"1"
"2021-08-02 04:18:11.281+00",6984,"4"
"2021-08-02 04:18:11.281+00",2901,"2"
"2021-08-02 04:18:11.281+00",4922,"0"
"2021-08-02 04:18:11.281+00",4533,"5"
"2021-08-02 04:18:11.281+00",0,"3"
"2021-08-02 04:18:41.281+00",4922,"0"
"2021-08-02 04:18:41.281+00",5342,"1"
"2021-08-02 04:18:41.281+00",0,"3"
"2021-08-02 04:18:41.281+00",4533,"5"
"2021-08-02 04:18:41.281+00",2901,"2"
"2021-08-02 04:18:41.281+00",6984,"4"
"2021-08-02 04:19:11.281+00",6984,"4"
"2021-08-02 04:19:11.281+00",5342,"1"
"2021-08-02 04:19:11.281+00",4533,"5"
"2021-08-02 04:19:11.281+00",0,"3"
"2021-08-02 04:19:11.281+00",4922,"0"
"2021-08-02 04:19:11.281+00",2901,"2"
"2021-08-02 04:19:41.281+00",2901,"2"
"2021-08-02 04:19:41.281+00",4922,"0"
"2021-08-02 04:19:41.281+00",4533,"5"
"2021-08-02 04:19:41.281+00",6984,"4"
"2021-08-02 04:19:41.281+00",0,"3"
"2021-08-02 04:19:41.281+00",5342,"1"
"2021-08-02 04:20:11.281+00",5342,"1"
"2021-08-02 04:20:11.281+00",4922,"0"
"2021-08-02 04:20:11.281+00",2901,"2"
"2021-08-02 04:20:11.281+00",4533,"5"
"2021-08-02 04:20:11.281+00",0,"3"
"2021-08-02 04:20:11.281+00",6984,"4"
"2021-08-02 04:20:41.285+00",6984,"4"
"2021-08-02 04:20:41.285+00",4533,"5"
"2021-08-02 04:20:41.285+00",4922,"0"
"2021-08-02 04:20:41.285+00",2901,"2"
"2021-08-02 04:20:41.285+00",0,"3"
"2021-08-02 04:20:41.285+00",5342,"1"
"2021-08-02 04:21:11.281+00",4533,"5"
"2021-08-02 04:21:11.281+00",5342,"1"
"2021-08-02 04:21:11.281+00",4922,"0"
"2021-08-02 04:21:11.281+00",2901,"2"
"2021-08-02 04:21:11.281+00",6984,"4"
"2021-08-02 04:21:11.281+00",0,"3"
"2021-08-02 04:21:41.285+00",6984,"4"
"2021-08-02 04:21:41.285+00",4922,"0"
"2021-08-02 04:21:41.285+00",2901,"2"
"2021-08-02 04:21:41.285+00",0,"3"
"2021-08-02 04:21:41.285+00",4533,"5"
"2021-08-02 04:21:41.285+00",5342,"1"
"2021-08-02 04:22:11.281+00",6984,"4"
"2021-08-02 04:22:11.281+00",4922,"0"
"2021-08-02 04:22:11.281+00",4533,"5"
"2021-08-02 04:22:11.281+00",0,"3"
"2021-08-02 04:22:11.281+00",5342,"1"
"2021-08-02 04:22:11.281+00",2901,"2"
"2021-08-02 04:22:41.281+00",6984,"4"
"2021-08-02 04:22:41.281+00",5340,"0"
"2021-08-02 04:22:41.281+00",6145,"1"
"2021-08-02 04:22:41.281+00",4947,"5"
"2021-08-02 04:22:41.281+00",0,"3"
"2021-08-02 04:22:41.281+00",2901,"2"
"2021-08-02 04:23:11.281+00",6598,"5"
"2021-08-02 04:23:11.281+00",6160,"0"
"2021-08-02 04:23:11.281+00",0,"3"
"2021-08-02 04:23:11.281+00",7780,"1"
"2021-08-02 04:23:11.281+00",9061,"4"
"2021-08-02 04:23:11.281+00",2901,"2"
"2021-08-02 04:23:41.281+00",6988,"0"
"2021-08-02 04:23:41.281+00",3719,"2"
"2021-08-02 04:23:41.281+00",10285,"4"
"2021-08-02 04:23:41.281+00",8597,"1"
"2021-08-02 04:23:41.281+00",0,"3"
"2021-08-02 04:23:41.281+00",9055,"5"
"2021-08-02 04:24:11.281+00",9848,"1"
"2021-08-02 04:24:11.281+00",0,"3"
"2021-08-02 04:24:11.281+00",4550,"2"
"2021-08-02 04:24:11.281+00",11121,"5"
"2021-08-02 04:24:11.281+00",10704,"4"
"2021-08-02 04:24:11.281+00",8643,"0"
"2021-08-02 04:24:41.281+00",8643,"0"
"2021-08-02 04:24:41.281+00",0,"3"
"2021-08-02 04:24:41.281+00",12338,"4"
"2021-08-02 04:24:41.281+00",11895,"1"
"2021-08-02 04:24:41.281+00",11940,"5"
"2021-08-02 04:24:41.281+00",6170,"2"
"2021-08-02 04:25:11.281+00",9459,"0"
"2021-08-02 04:25:11.281+00",13125,"1"
"2021-08-02 04:25:11.281+00",0,"3"
"2021-08-02 04:25:11.281+00",13978,"5"
"2021-08-02 04:25:11.281+00",6990,"2"
"2021-08-02 04:25:11.281+00",13559,"4"
"2021-08-02 04:25:41.281+00",14391,"5"
"2021-08-02 04:25:41.281+00",15189,"1"
"2021-08-02 04:25:41.281+00",0,"3"
"2021-08-02 04:25:41.281+00",14808,"4"
"2021-08-02 04:25:41.281+00",9061,"2"
