"time","shuffle_write_bytes_total","executor"
"2021-08-02 04:15:11.281+00",328,"1"
"2021-08-02 04:15:11.281+00",324,"5"
"2021-08-02 04:15:11.281+00",0,"3"
"2021-08-02 04:15:11.281+00",323,"0"
"2021-08-02 04:15:11.281+00",324,"2"
"2021-08-02 04:15:11.281+00",321,"4"
"2021-08-02 04:15:41.281+00",1630,"0"
"2021-08-02 04:15:41.281+00",1621,"2"
"2021-08-02 04:15:41.281+00",1633,"4"
"2021-08-02 04:15:41.281+00",1632,"1"
"2021-08-02 04:15:41.281+00",0,"3"
"2021-08-02 04:15:41.281+00",1637,"5"
"2021-08-02 04:16:11.281+00",2850,"2"
"2021-08-02 04:16:11.281+00",2863,"4"
"2021-08-02 04:16:11.281+00",2868,"0"
"2021-08-02 04:16:11.281+00",2872,"1"
"2021-08-02 04:16:11.281+00",0,"3"
"2021-08-02 04:16:11.281+00",2873,"5"
"2021-08-02 04:16:41.281+00",4122,"1"
"2021-08-02 04:16:41.281+00",0,"3"
"2021-08-02 04:16:41.281+00",4121,"5"
"2021-08-02 04:16:41.281+00",4107,"0"
"2021-08-02 04:16:41.281+00",4091,"2"
"2021-08-02 04:16:41.281+00",4106,"4"
"2021-08-02 04:17:11.281+00",4937,"4"
"2021-08-02 04:17:11.281+00",4944,"1"
"2021-08-02 04:17:11.281+00",0,"3"
"2021-08-02 04:17:11.281+00",4945,"5"
"2021-08-02 04:17:11.281+00",4932,"0"
"2021-08-02 04:17:11.281+00",4924,"2"
"2021-08-02 04:17:41.281+00",4944,"1"
"2021-08-02 04:17:41.281+00",0,"3"
"2021-08-02 04:17:41.281+00",4945,"5"
"2021-08-02 04:17:41.281+00",4932,"0"
"2021-08-02 04:17:41.281+00",4924,"2"
"2021-08-02 04:17:41.281+00",4937,"4"
"2021-08-02 04:18:11.281+00",4932,"0"
"2021-08-02 04:18:11.281+00",4924,"2"
"2021-08-02 04:18:11.281+00",4937,"4"
"2021-08-02 04:18:11.281+00",4945,"5"
"2021-08-02 04:18:11.281+00",0,"3"
"2021-08-02 04:18:11.281+00",4944,"1"
"2021-08-02 04:18:41.281+00",4924,"2"
"2021-08-02 04:18:41.281+00",4932,"0"
"2021-08-02 04:18:41.281+00",0,"3"
"2021-08-02 04:18:41.281+00",4945,"5"
"2021-08-02 04:18:41.281+00",4937,"4"
"2021-08-02 04:18:41.281+00",4944,"1"
"2021-08-02 04:19:11.281+00",4945,"5"
"2021-08-02 04:19:11.281+00",4924,"2"
"2021-08-02 04:19:11.281+00",4937,"4"
"2021-08-02 04:19:11.281+00",4932,"0"
"2021-08-02 04:19:11.281+00",0,"3"
"2021-08-02 04:19:11.281+00",4944,"1"
"2021-08-02 04:19:41.281+00",4944,"1"
"2021-08-02 04:19:41.281+00",0,"3"
"2021-08-02 04:19:41.281+00",4945,"5"
"2021-08-02 04:19:41.281+00",4932,"0"
"2021-08-02 04:19:41.281+00",4924,"2"
"2021-08-02 04:19:41.281+00",4937,"4"
"2021-08-02 04:20:11.281+00",0,"3"
"2021-08-02 04:20:11.281+00",4937,"4"
"2021-08-02 04:20:11.281+00",4924,"2"
"2021-08-02 04:20:11.281+00",4932,"0"
"2021-08-02 04:20:11.281+00",4945,"5"
"2021-08-02 04:20:11.281+00",4944,"1"
"2021-08-02 04:20:41.285+00",4924,"2"
"2021-08-02 04:20:41.285+00",4944,"1"
"2021-08-02 04:20:41.285+00",0,"3"
"2021-08-02 04:20:41.285+00",4945,"5"
"2021-08-02 04:20:41.285+00",4937,"4"
"2021-08-02 04:20:41.285+00",4932,"0"
"2021-08-02 04:21:11.281+00",4932,"0"
"2021-08-02 04:21:11.281+00",4924,"2"
"2021-08-02 04:21:11.281+00",4937,"4"
"2021-08-02 04:21:11.281+00",4944,"1"
"2021-08-02 04:21:11.281+00",0,"3"
"2021-08-02 04:21:11.281+00",4945,"5"
"2021-08-02 04:21:41.285+00",4944,"1"
"2021-08-02 04:21:41.285+00",4937,"4"
"2021-08-02 04:21:41.285+00",4932,"0"
"2021-08-02 04:21:41.285+00",4945,"5"
"2021-08-02 04:21:41.285+00",0,"3"
"2021-08-02 04:21:41.285+00",4924,"2"
