"time","processing_time"
"2021-08-02 04:15:00.373+00",1401
"2021-08-02 04:15:10.373+00",2037
"2021-08-02 04:15:10.373+00",383647
"2021-08-02 04:15:10.373+00",-380209.0
"2021-08-02 04:15:10.373+00",1401
"2021-08-02 04:15:20.373+00",nan
"2021-08-02 04:15:20.373+00",1831
"2021-08-02 04:15:20.373+00",nan
"2021-08-02 04:15:20.373+00",nan
"2021-08-02 04:15:30.373+00",1415
"2021-08-02 04:15:40.373+00",1413
"2021-08-02 04:15:50.373+00",1396
"2021-08-02 04:16:00.373+00",1390
"2021-08-02 04:16:10.38+00",1385
"2021-08-02 04:16:20.373+00",1386
"2021-08-02 04:16:30.373+00",1377
"2021-08-02 04:16:40.373+00",1375
"2021-08-02 04:16:50.373+00",1386
"2021-08-02 04:17:00.373+00",1390
"2021-08-02 04:17:10.373+00",1390
"2021-08-02 04:17:20.373+00",1390
"2021-08-02 04:17:30.373+00",1390
"2021-08-02 04:17:40.373+00",1390
"2021-08-02 04:17:50.373+00",1390
"2021-08-02 04:18:00.381+00",1390
"2021-08-02 04:18:10.373+00",1390
"2021-08-02 04:18:20.373+00",1390
"2021-08-02 04:18:30.382+00",1390
"2021-08-02 04:18:40.373+00",1390
"2021-08-02 04:18:50.373+00",1390
"2021-08-02 04:19:00.373+00",1390
"2021-08-02 04:19:10.373+00",1390
"2021-08-02 04:19:20.373+00",1390
"2021-08-02 04:19:30.373+00",1390
"2021-08-02 04:19:40.373+00",1390
"2021-08-02 04:19:50.373+00",1390
"2021-08-02 04:20:00.373+00",1390
"2021-08-02 04:20:10.373+00",1390
"2021-08-02 04:20:20.373+00",1390
"2021-08-02 04:20:30.373+00",1390
"2021-08-02 04:20:40.373+00",1390
"2021-08-02 04:20:50.373+00",1390
"2021-08-02 04:21:00.373+00",1390
"2021-08-02 04:21:10.373+00",1390
"2021-08-02 04:21:20.376+00",1390
"2021-08-02 04:21:30.377+00",1390
"2021-08-02 04:21:40.373+00",1390
"2021-08-02 04:21:50.373+00",1390
"2021-08-02 04:22:00.373+00",nan
"2021-08-02 04:22:40.373+00",1373
"2021-08-02 04:22:50.373+00",1374
"2021-08-02 04:23:00.373+00",1369
"2021-08-02 04:23:10.373+00",1427
"2021-08-02 04:23:20.373+00",1383
"2021-08-02 04:23:30.376+00",1362
"2021-08-02 04:23:40.373+00",1373
"2021-08-02 04:23:50.373+00",1422
"2021-08-02 04:24:00.373+00",1385
"2021-08-02 04:24:10.373+00",1372
"2021-08-02 04:24:20.373+00",1358
"2021-08-02 04:24:30.373+00",1369
"2021-08-02 04:24:40.373+00",1368
"2021-08-02 04:24:50.373+00",1364
"2021-08-02 04:25:00.373+00",1367
"2021-08-02 04:25:10.373+00",1366
"2021-08-02 04:25:20.373+00",1370
"2021-08-02 04:25:30.373+00",1366
"2021-08-02 04:25:40.373+00",1375
"2021-08-02 04:25:50.373+00",1362
"2021-08-02 04:26:00.373+00",1369
"2021-08-02 04:26:10.373+00",1363
"2021-08-02 04:26:20.373+00",1363
"2021-08-02 04:26:30.373+00",1357
"2021-08-02 04:26:40.373+00",1380
"2021-08-02 04:26:50.373+00",1357
"2021-08-02 04:27:00.385+00",1371
"2021-08-02 04:27:10.373+00",1361
"2021-08-02 04:27:20.373+00",1400
"2021-08-02 04:27:30.373+00",1366
"2021-08-02 04:27:40.373+00",1366
"2021-08-02 04:27:50.373+00",1366
"2021-08-02 04:28:00.373+00",1366
"2021-08-02 04:28:10.373+00",1366
"2021-08-02 04:28:20.373+00",1366
"2021-08-02 04:28:30.373+00",1366
"2021-08-02 04:28:40.383+00",1366
"2021-08-02 04:28:50.373+00",1366
"2021-08-02 04:29:00.377+00",1366
"2021-08-02 04:29:10.373+00",1366
"2021-08-02 04:29:20.373+00",1366
"2021-08-02 04:29:30.373+00",1366
"2021-08-02 04:29:40.373+00",1366
"2021-08-02 04:29:50.373+00",1366
"2021-08-02 04:30:00.373+00",1366
"2021-08-02 04:30:10.373+00",1366
"2021-08-02 04:30:20.373+00",1366
"2021-08-02 04:30:30.373+00",1366
"2021-08-02 04:30:40.373+00",1366
"2021-08-02 04:30:50.373+00",1366
"2021-08-02 04:31:00.373+00",1366
"2021-08-02 04:31:10.373+00",1366
"2021-08-02 04:31:20.373+00",1366
"2021-08-02 04:31:30.373+00",1366
"2021-08-02 04:31:40.373+00",1366
"2021-08-02 04:31:50.373+00",1366
"2021-08-02 04:32:00.373+00",1366
"2021-08-02 04:32:10.373+00",1366
"2021-08-02 04:32:20.373+00",1366
"2021-08-02 04:32:30.373+00",nan
"2021-08-02 04:36:40.373+00",221
"2021-08-02 04:36:50.373+00",217
"2021-08-02 04:37:00.373+00",220
"2021-08-02 04:37:10.373+00",221
"2021-08-02 04:37:20.373+00",221
"2021-08-02 04:37:30.373+00",222
"2021-08-02 04:37:40.373+00",223
"2021-08-02 04:37:50.373+00",217
"2021-08-02 04:38:00.378+00",217
"2021-08-02 04:38:10.373+00",217
"2021-08-02 04:38:20.373+00",224
"2021-08-02 04:38:30.373+00",219
"2021-08-02 04:38:40.373+00",218
"2021-08-02 04:38:50.373+00",219
"2021-08-02 04:39:00.373+00",217
"2021-08-02 04:39:10.373+00",220
"2021-08-02 04:39:20.373+00",220
"2021-08-02 04:39:30.373+00",253
"2021-08-02 04:39:40.373+00",223
"2021-08-02 04:39:50.373+00",213
"2021-08-02 04:40:00.373+00",217
"2021-08-02 04:40:10.386+00",218
"2021-08-02 04:40:20.373+00",217
"2021-08-02 04:40:30.373+00",219
"2021-08-02 04:40:40.373+00",216
"2021-08-02 04:40:50.373+00",212
"2021-08-02 04:41:00.373+00",215
"2021-08-02 04:41:10.373+00",213
"2021-08-02 04:41:20.373+00",217
"2021-08-02 04:41:30.373+00",223
"2021-08-02 04:41:40.373+00",223
"2021-08-02 04:41:50.379+00",223
"2021-08-02 04:42:00.376+00",223
"2021-08-02 04:42:10.373+00",223
"2021-08-02 04:42:20.376+00",223
"2021-08-02 04:42:30.373+00",223
"2021-08-02 04:42:40.373+00",223
"2021-08-02 04:42:50.373+00",223
"2021-08-02 04:43:00.373+00",223
"2021-08-02 04:43:10.373+00",223
"2021-08-02 04:43:20.373+00",223
"2021-08-02 04:43:30.373+00",223
"2021-08-02 04:43:40.373+00",223
"2021-08-02 04:43:50.373+00",223
"2021-08-02 04:44:00.373+00",223
"2021-08-02 04:44:10.373+00",223
"2021-08-02 04:44:20.373+00",223
"2021-08-02 04:44:30.373+00",223
"2021-08-02 04:44:40.373+00",223
"2021-08-02 04:44:50.373+00",223
"2021-08-02 04:45:00.373+00",223
"2021-08-02 04:45:10.373+00",223
"2021-08-02 04:45:20.373+00",223
"2021-08-02 04:45:30.373+00",223
"2021-08-02 04:45:40.373+00",223
"2021-08-02 04:45:50.373+00",223
"2021-08-02 04:46:00.373+00",223
"2021-08-02 04:46:10.373+00",223
"2021-08-02 04:46:20.373+00",223
"2021-08-02 04:46:30.373+00",nan
"2021-08-02 04:48:10.373+00",392
"2021-08-02 04:48:20.373+00",1765
"2021-08-02 04:48:30.373+00",1948
"2021-08-02 04:48:40.373+00",2003
"2021-08-02 04:48:50.373+00",1998
"2021-08-02 04:49:00.373+00",1988
"2021-08-02 04:49:10.373+00",1966
"2021-08-02 04:49:20.373+00",2003
"2021-08-02 04:49:30.373+00",1981
"2021-08-02 04:49:40.373+00",2003
"2021-08-02 04:49:50.373+00",2018
"2021-08-02 04:50:00.373+00",1993
"2021-08-02 04:50:10.373+00",1977
"2021-08-02 04:50:20.373+00",2010
"2021-08-02 04:50:30.373+00",2001
"2021-08-02 04:50:40.373+00",1988
"2021-08-02 04:50:50.373+00",2009
"2021-08-02 04:51:00.373+00",2010
"2021-08-02 04:51:10.373+00",2001
"2021-08-02 04:51:20.373+00",2018
"2021-08-02 04:51:30.373+00",2000
"2021-08-02 04:51:40.382+00",2002
"2021-08-02 04:51:50.373+00",2010
"2021-08-02 04:52:00.373+00",2008
"2021-08-02 04:52:10.373+00",1981
"2021-08-02 04:52:20.373+00",2005
"2021-08-02 04:52:30.373+00",2003
"2021-08-02 04:52:40.373+00",2002
"2021-08-02 04:52:50.373+00",1983
"2021-08-02 04:53:00.373+00",1998
"2021-08-02 04:53:10.373+00",1998
"2021-08-02 04:53:20.373+00",1998
"2021-08-02 04:53:30.373+00",1998
"2021-08-02 04:53:40.373+00",1998
"2021-08-02 04:53:50.373+00",1998
"2021-08-02 04:54:00.373+00",1998
"2021-08-02 04:54:10.373+00",1998
"2021-08-02 04:54:20.373+00",1998
"2021-08-02 04:54:30.379+00",1998
"2021-08-02 04:54:40.373+00",1998
"2021-08-02 04:54:50.373+00",1998
"2021-08-02 04:55:00.373+00",1998
"2021-08-02 04:55:10.373+00",1998
"2021-08-02 04:55:20.373+00",1998
"2021-08-02 04:55:30.373+00",1998
"2021-08-02 04:55:40.373+00",1998
"2021-08-02 04:55:50.378+00",1998
"2021-08-02 04:56:00.373+00",1998
"2021-08-02 04:56:10.373+00",1998
"2021-08-02 04:56:20.373+00",1998
"2021-08-02 04:56:30.373+00",1998
"2021-08-02 04:56:40.373+00",1998
"2021-08-02 04:56:50.373+00",1998
"2021-08-02 04:57:00.373+00",1998
"2021-08-02 04:57:10.373+00",1998
"2021-08-02 04:57:20.373+00",1998
"2021-08-02 04:57:30.373+00",1998
"2021-08-02 04:57:40.373+00",1998
"2021-08-02 04:57:50.373+00",1998
"2021-08-02 04:58:00.373+00",nan
"2021-08-02 05:07:00.373+00",0
"2021-08-02 05:07:10.373+00",1838
"2021-08-02 05:07:20.373+00",1345
"2021-08-02 05:07:30.373+00",2544
"2021-08-02 05:07:40.373+00",2565
"2021-08-02 05:07:50.373+00",2020
"2021-08-02 05:08:00.373+00",2542
"2021-08-02 05:08:10.373+00",2017
"2021-08-02 05:08:20.373+00",2524
"2021-08-02 05:08:30.373+00",2015
"2021-08-02 05:08:40.373+00",2480
"2021-08-02 05:08:50.373+00",2514
"2021-08-02 05:09:00.373+00",2506
"2021-08-02 05:09:10.373+00",2000
"2021-08-02 05:09:20.373+00",2534
"2021-08-02 05:09:30.373+00",1993
"2021-08-02 05:09:40.373+00",2504
"2021-08-02 05:09:50.373+00",2447
"2021-08-02 05:10:00.373+00",2476
"2021-08-02 05:10:10.373+00",2450
