"time","succeeded_jobs"
"2021-08-02 04:15:00.373+00",0
"2021-08-02 04:15:00.373+00",60
"2021-08-02 04:15:00.373+00",0
"2021-08-02 04:15:10.373+00",0
"2021-08-02 04:15:10.373+00",2
"2021-08-02 04:15:10.373+00",60
"2021-08-02 04:15:20.373+00",0
"2021-08-02 04:15:20.373+00",9
"2021-08-02 04:15:20.373+00",nan
"2021-08-02 04:15:30.373+00",0
"2021-08-02 04:15:30.373+00",14
"2021-08-02 04:15:40.373+00",19
"2021-08-02 04:15:40.373+00",0
"2021-08-02 04:15:50.373+00",24
"2021-08-02 04:15:50.373+00",0
"2021-08-02 04:16:00.373+00",29
"2021-08-02 04:16:00.373+00",0
"2021-08-02 04:16:10.38+00",34
"2021-08-02 04:16:10.38+00",0
"2021-08-02 04:16:20.373+00",0
"2021-08-02 04:16:20.373+00",39
"2021-08-02 04:16:30.373+00",44
"2021-08-02 04:16:30.373+00",0
"2021-08-02 04:16:40.373+00",0
"2021-08-02 04:16:40.373+00",49
"2021-08-02 04:16:50.373+00",54
"2021-08-02 04:16:50.373+00",0
"2021-08-02 04:17:00.373+00",0
"2021-08-02 04:17:00.373+00",59
"2021-08-02 04:17:10.373+00",0
"2021-08-02 04:17:10.373+00",60
"2021-08-02 04:17:20.373+00",nan
"2021-08-02 04:17:20.373+00",60
"2021-08-02 04:17:30.373+00",60
"2021-08-02 04:17:40.373+00",60
"2021-08-02 04:17:50.373+00",60
"2021-08-02 04:18:00.381+00",60
"2021-08-02 04:18:10.373+00",60
"2021-08-02 04:18:20.373+00",60
"2021-08-02 04:18:30.382+00",60
"2021-08-02 04:18:40.373+00",60
"2021-08-02 04:18:50.373+00",60
"2021-08-02 04:19:00.373+00",60
"2021-08-02 04:19:10.373+00",60
"2021-08-02 04:19:20.373+00",60
"2021-08-02 04:19:30.373+00",60
"2021-08-02 04:19:40.373+00",60
"2021-08-02 04:19:50.373+00",60
"2021-08-02 04:20:00.373+00",60
"2021-08-02 04:20:10.373+00",60
"2021-08-02 04:20:20.373+00",60
"2021-08-02 04:20:30.373+00",60
"2021-08-02 04:20:40.373+00",60
"2021-08-02 04:20:50.373+00",60
"2021-08-02 04:21:00.373+00",60
"2021-08-02 04:21:10.373+00",60
"2021-08-02 04:21:20.376+00",60
"2021-08-02 04:21:30.377+00",60
"2021-08-02 04:21:40.373+00",60
"2021-08-02 04:21:50.373+00",60
"2021-08-02 04:22:00.373+00",60
"2021-08-02 04:22:10.373+00",60
"2021-08-02 04:22:20.373+00",60
"2021-08-02 04:22:30.373+00",60
"2021-08-02 04:22:40.373+00",63
"2021-08-02 04:22:50.373+00",68
"2021-08-02 04:23:00.373+00",73
"2021-08-02 04:23:10.373+00",78
"2021-08-02 04:23:20.373+00",83
"2021-08-02 04:23:30.376+00",88
"2021-08-02 04:23:40.373+00",93
"2021-08-02 04:23:50.373+00",98
"2021-08-02 04:24:00.373+00",103
"2021-08-02 04:24:10.373+00",108
"2021-08-02 04:24:20.373+00",113
"2021-08-02 04:24:30.373+00",118
"2021-08-02 04:24:40.373+00",123
"2021-08-02 04:24:50.373+00",128
"2021-08-02 04:25:00.373+00",133
"2021-08-02 04:25:10.373+00",138
"2021-08-02 04:25:20.373+00",143
"2021-08-02 04:25:30.373+00",148
"2021-08-02 04:25:40.373+00",153
"2021-08-02 04:25:50.373+00",158
"2021-08-02 04:26:00.373+00",163
"2021-08-02 04:26:10.373+00",168
"2021-08-02 04:26:20.373+00",173
"2021-08-02 04:26:30.373+00",178
"2021-08-02 04:26:40.373+00",183
"2021-08-02 04:26:50.373+00",188
"2021-08-02 04:27:00.385+00",193
"2021-08-02 04:27:10.373+00",198
"2021-08-02 04:27:20.373+00",203
"2021-08-02 04:27:30.373+00",208
"2021-08-02 04:27:40.373+00",210
"2021-08-02 04:27:50.373+00",210
"2021-08-02 04:28:00.373+00",210
"2021-08-02 04:28:10.373+00",210
"2021-08-02 04:28:20.373+00",210
"2021-08-02 04:28:30.373+00",210
"2021-08-02 04:28:40.383+00",210
"2021-08-02 04:28:50.373+00",210
"2021-08-02 04:29:00.377+00",210
"2021-08-02 04:29:10.373+00",210
"2021-08-02 04:29:20.373+00",210
"2021-08-02 04:29:30.373+00",210
"2021-08-02 04:29:40.373+00",210
"2021-08-02 04:29:50.373+00",210
"2021-08-02 04:30:00.373+00",210
"2021-08-02 04:30:10.373+00",210
"2021-08-02 04:30:20.373+00",210
"2021-08-02 04:30:30.373+00",210
"2021-08-02 04:30:40.373+00",210
"2021-08-02 04:30:50.373+00",210
"2021-08-02 04:31:00.373+00",210
"2021-08-02 04:31:10.373+00",210
"2021-08-02 04:31:20.373+00",210
"2021-08-02 04:31:30.373+00",210
"2021-08-02 04:31:40.373+00",210
"2021-08-02 04:31:50.373+00",210
"2021-08-02 04:32:00.373+00",210
"2021-08-02 04:32:10.373+00",210
"2021-08-02 04:32:20.373+00",210
"2021-08-02 04:32:30.373+00",210
"2021-08-02 04:32:40.373+00",210
"2021-08-02 04:32:50.373+00",210
"2021-08-02 04:33:00.373+00",210
"2021-08-02 04:33:10.373+00",210
"2021-08-02 04:33:20.373+00",210
"2021-08-02 04:33:30.373+00",210
"2021-08-02 04:33:40.373+00",210
"2021-08-02 04:33:50.373+00",210
"2021-08-02 04:34:00.373+00",210
"2021-08-02 04:34:10.373+00",210
"2021-08-02 04:34:20.373+00",210
"2021-08-02 04:34:30.373+00",210
"2021-08-02 04:34:40.373+00",210
"2021-08-02 04:34:50.373+00",210
"2021-08-02 04:35:00.373+00",210
"2021-08-02 04:35:10.373+00",210
"2021-08-02 04:35:20.373+00",210
"2021-08-02 04:35:30.373+00",210
"2021-08-02 04:35:40.373+00",210
"2021-08-02 04:35:50.382+00",210
"2021-08-02 04:36:00.373+00",210
"2021-08-02 04:36:10.373+00",210
"2021-08-02 04:36:20.373+00",210
"2021-08-02 04:36:30.373+00",210
"2021-08-02 04:36:40.373+00",213
"2021-08-02 04:36:50.373+00",218
"2021-08-02 04:37:00.373+00",223
"2021-08-02 04:37:10.373+00",228
"2021-08-02 04:37:20.373+00",233
"2021-08-02 04:37:30.373+00",238
"2021-08-02 04:37:40.373+00",243
"2021-08-02 04:37:50.373+00",248
"2021-08-02 04:38:00.378+00",253
"2021-08-02 04:38:10.373+00",258
"2021-08-02 04:38:20.373+00",263
"2021-08-02 04:38:30.373+00",268
"2021-08-02 04:38:40.373+00",273
"2021-08-02 04:38:50.373+00",278
"2021-08-02 04:39:00.373+00",283
"2021-08-02 04:39:10.373+00",288
"2021-08-02 04:39:20.373+00",293
"2021-08-02 04:39:30.373+00",298
"2021-08-02 04:39:40.373+00",303
"2021-08-02 04:39:50.373+00",308
"2021-08-02 04:40:00.373+00",313
"2021-08-02 04:40:10.386+00",318
"2021-08-02 04:40:20.373+00",323
"2021-08-02 04:40:30.373+00",328
"2021-08-02 04:40:40.373+00",333
"2021-08-02 04:40:50.373+00",338
"2021-08-02 04:41:00.373+00",343
"2021-08-02 04:41:10.373+00",348
"2021-08-02 04:41:20.373+00",353
"2021-08-02 04:41:30.373+00",358
"2021-08-02 04:41:40.373+00",360
"2021-08-02 04:41:50.379+00",360
"2021-08-02 04:42:00.376+00",360
"2021-08-02 04:42:10.373+00",360
"2021-08-02 04:42:20.376+00",360
"2021-08-02 04:42:30.373+00",360
"2021-08-02 04:42:40.373+00",360
"2021-08-02 04:42:50.373+00",360
"2021-08-02 04:43:00.373+00",360
"2021-08-02 04:43:10.373+00",360
"2021-08-02 04:43:20.373+00",360
"2021-08-02 04:43:30.373+00",360
"2021-08-02 04:43:40.373+00",360
"2021-08-02 04:43:50.373+00",360
"2021-08-02 04:44:00.373+00",360
"2021-08-02 04:44:10.373+00",360
"2021-08-02 04:44:20.373+00",360
"2021-08-02 04:44:30.373+00",360
"2021-08-02 04:44:40.373+00",360
"2021-08-02 04:44:50.373+00",360
"2021-08-02 04:45:00.373+00",360
"2021-08-02 04:45:10.373+00",360
"2021-08-02 04:45:20.373+00",360
"2021-08-02 04:45:30.373+00",360
"2021-08-02 04:45:40.373+00",360
"2021-08-02 04:45:50.373+00",360
"2021-08-02 04:46:00.373+00",360
"2021-08-02 04:46:10.373+00",360
"2021-08-02 04:46:20.373+00",360
"2021-08-02 04:46:30.373+00",360
"2021-08-02 04:46:40.373+00",360
"2021-08-02 04:46:50.373+00",360
"2021-08-02 04:47:00.373+00",360
"2021-08-02 04:47:10.373+00",360
"2021-08-02 04:47:20.377+00",360
"2021-08-02 04:47:30.373+00",360
"2021-08-02 04:47:40.373+00",360
"2021-08-02 04:47:50.373+00",360
"2021-08-02 04:48:00.373+00",360
"2021-08-02 04:48:10.373+00",361
"2021-08-02 04:48:20.373+00",366
"2021-08-02 04:48:30.373+00",372
"2021-08-02 04:48:40.373+00",377
"2021-08-02 04:48:50.373+00",382
"2021-08-02 04:49:00.373+00",387
"2021-08-02 04:49:10.373+00",392
"2021-08-02 04:49:20.373+00",397
"2021-08-02 04:49:30.373+00",402
"2021-08-02 04:49:40.373+00",407
"2021-08-02 04:49:50.373+00",412
"2021-08-02 04:50:00.373+00",417
"2021-08-02 04:50:10.373+00",422
"2021-08-02 04:50:20.373+00",427
"2021-08-02 04:50:30.373+00",432
"2021-08-02 04:50:40.373+00",437
"2021-08-02 04:50:50.373+00",442
"2021-08-02 04:51:00.373+00",447
"2021-08-02 04:51:10.373+00",452
"2021-08-02 04:51:20.373+00",457
"2021-08-02 04:51:30.373+00",462
"2021-08-02 04:51:40.382+00",467
"2021-08-02 04:51:50.373+00",472
"2021-08-02 04:52:00.373+00",477
"2021-08-02 04:52:10.373+00",482
"2021-08-02 04:52:20.373+00",487
"2021-08-02 04:52:30.373+00",492
"2021-08-02 04:52:40.373+00",497
"2021-08-02 04:52:50.373+00",502
"2021-08-02 04:53:00.373+00",507
"2021-08-02 04:53:10.373+00",510
"2021-08-02 04:53:20.373+00",510
"2021-08-02 04:53:30.373+00",510
"2021-08-02 04:53:40.373+00",510
"2021-08-02 04:53:50.373+00",510
"2021-08-02 04:54:00.373+00",510
"2021-08-02 04:54:10.373+00",510
"2021-08-02 04:54:20.373+00",510
"2021-08-02 04:54:30.379+00",510
"2021-08-02 04:54:40.373+00",510
"2021-08-02 04:54:50.373+00",510
"2021-08-02 04:55:00.373+00",510
"2021-08-02 04:55:10.373+00",510
"2021-08-02 04:55:20.373+00",510
"2021-08-02 04:55:30.373+00",510
"2021-08-02 04:55:40.373+00",510
"2021-08-02 04:55:50.378+00",510
"2021-08-02 04:56:00.373+00",510
"2021-08-02 04:56:10.373+00",510
"2021-08-02 04:56:20.373+00",510
"2021-08-02 04:56:30.373+00",510
"2021-08-02 04:56:40.373+00",510
"2021-08-02 04:56:50.373+00",510
"2021-08-02 04:57:00.373+00",510
"2021-08-02 04:57:10.373+00",510
"2021-08-02 04:57:20.373+00",510
"2021-08-02 04:57:30.373+00",510
"2021-08-02 04:57:40.373+00",510
"2021-08-02 04:57:50.373+00",510
"2021-08-02 04:58:00.373+00",510
"2021-08-02 04:58:10.375+00",510
"2021-08-02 04:58:20.373+00",510
"2021-08-02 04:58:30.373+00",510
"2021-08-02 04:58:40.377+00",510
"2021-08-02 04:58:50.373+00",510
"2021-08-02 04:59:00.373+00",510
"2021-08-02 04:59:10.373+00",510
"2021-08-02 04:59:20.373+00",510
"2021-08-02 04:59:30.373+00",510
"2021-08-02 04:59:40.373+00",510
"2021-08-02 04:59:50.373+00",510
"2021-08-02 05:00:00.376+00",510
"2021-08-02 05:00:10.373+00",510
"2021-08-02 05:00:20.373+00",510
"2021-08-02 05:00:30.373+00",510
"2021-08-02 05:00:40.373+00",510
"2021-08-02 05:00:50.373+00",510
"2021-08-02 05:01:00.373+00",510
"2021-08-02 05:01:10.373+00",510
"2021-08-02 05:01:20.373+00",510
"2021-08-02 05:01:30.373+00",510
"2021-08-02 05:01:40.373+00",510
