"time","total_processed_records"
"2021-08-02 04:15:00.373+00",926969
"2021-08-02 04:15:10.373+00",926969
"2021-08-02 04:15:10.373+00",17768
"2021-08-02 04:15:20.373+00",nan
"2021-08-02 04:15:20.373+00",120158
"2021-08-02 04:15:30.373+00",209756
"2021-08-02 04:15:40.373+00",289764
"2021-08-02 04:15:50.373+00",369761
"2021-08-02 04:16:00.373+00",449762
"2021-08-02 04:16:10.38+00",529764
"2021-08-02 04:16:20.373+00",609759
"2021-08-02 04:16:30.373+00",689756
"2021-08-02 04:16:40.373+00",769759
"2021-08-02 04:16:50.373+00",849756
"2021-08-02 04:17:00.373+00",929753
"2021-08-02 04:17:10.373+00",929753
"2021-08-02 04:17:20.373+00",929753
"2021-08-02 04:17:30.373+00",929753
"2021-08-02 04:17:40.373+00",929753
"2021-08-02 04:17:50.373+00",929753
"2021-08-02 04:18:00.381+00",929753
"2021-08-02 04:18:10.373+00",929753
"2021-08-02 04:18:20.373+00",929753
"2021-08-02 04:18:30.382+00",929753
"2021-08-02 04:18:40.373+00",929753
"2021-08-02 04:18:50.373+00",929753
"2021-08-02 04:19:00.373+00",929753
"2021-08-02 04:19:10.373+00",929753
"2021-08-02 04:19:20.373+00",929753
"2021-08-02 04:19:30.373+00",929753
"2021-08-02 04:19:40.373+00",929753
"2021-08-02 04:19:50.373+00",929753
"2021-08-02 04:20:00.373+00",929753
"2021-08-02 04:20:10.373+00",929753
"2021-08-02 04:20:20.373+00",929753
"2021-08-02 04:20:30.373+00",929753
"2021-08-02 04:20:40.373+00",929753
"2021-08-02 04:20:50.373+00",929753
"2021-08-02 04:21:00.373+00",929753
"2021-08-02 04:21:10.373+00",929753
"2021-08-02 04:21:20.376+00",929753
"2021-08-02 04:21:30.377+00",929753
"2021-08-02 04:21:40.373+00",929753
"2021-08-02 04:21:50.373+00",929753
"2021-08-02 04:22:00.373+00",nan
"2021-08-02 04:22:40.373+00",44398
"2021-08-02 04:22:50.373+00",124391
"2021-08-02 04:23:00.373+00",204389
"2021-08-02 04:23:10.373+00",284393
"2021-08-02 04:23:20.373+00",364391
"2021-08-02 04:23:30.376+00",444394
"2021-08-02 04:23:40.373+00",524395
"2021-08-02 04:23:50.373+00",604390
"2021-08-02 04:24:00.373+00",684391
"2021-08-02 04:24:10.373+00",764391
"2021-08-02 04:24:20.373+00",844388
"2021-08-02 04:24:30.373+00",924387
"2021-08-02 04:24:40.373+00",1004396
"2021-08-02 04:24:50.373+00",1084387
"2021-08-02 04:25:00.373+00",1164392
"2021-08-02 04:25:10.373+00",1244390
"2021-08-02 04:25:20.373+00",1324388
"2021-08-02 04:25:30.373+00",1404390
"2021-08-02 04:25:40.373+00",1484391
"2021-08-02 04:25:50.373+00",1564389
"2021-08-02 04:26:00.373+00",1644388
"2021-08-02 04:26:10.373+00",1724388
"2021-08-02 04:26:20.373+00",1804390
"2021-08-02 04:26:30.373+00",1884390
"2021-08-02 04:26:40.373+00",1964392
"2021-08-02 04:26:50.373+00",2044389
"2021-08-02 04:27:00.385+00",2124389
"2021-08-02 04:27:10.373+00",2204393
"2021-08-02 04:27:20.373+00",2284390
"2021-08-02 04:27:30.373+00",2364389
"2021-08-02 04:27:40.373+00",2364389
"2021-08-02 04:27:50.373+00",2364389
"2021-08-02 04:28:00.373+00",2364389
"2021-08-02 04:28:10.373+00",2364389
"2021-08-02 04:28:20.373+00",2364389
"2021-08-02 04:28:30.373+00",2364389
"2021-08-02 04:28:40.383+00",2364389
"2021-08-02 04:28:50.373+00",2364389
"2021-08-02 04:29:00.377+00",2364389
"2021-08-02 04:29:10.373+00",2364389
"2021-08-02 04:29:20.373+00",2364389
"2021-08-02 04:29:30.373+00",2364389
"2021-08-02 04:29:40.373+00",2364389
"2021-08-02 04:29:50.373+00",2364389
"2021-08-02 04:30:00.373+00",2364389
"2021-08-02 04:30:10.373+00",2364389
"2021-08-02 04:30:20.373+00",2364389
