"time","total_received_records"
"2021-08-02 04:15:00.373+00",942974
"2021-08-02 04:15:10.373+00",33762
"2021-08-02 04:15:10.373+00",942974
"2021-08-02 04:15:20.373+00",142723
"2021-08-02 04:15:20.373+00",nan
"2021-08-02 04:15:30.373+00",225763
"2021-08-02 04:15:40.373+00",305758
"2021-08-02 04:15:50.373+00",385763
"2021-08-02 04:16:00.373+00",465760
"2021-08-02 04:16:10.38+00",545757
"2021-08-02 04:16:20.373+00",625760
"2021-08-02 04:16:30.373+00",705755
"2021-08-02 04:16:40.373+00",785756
"2021-08-02 04:16:50.373+00",865758
"2021-08-02 04:17:00.373+00",945760
"2021-08-02 04:17:10.373+00",945760
"2021-08-02 04:17:20.373+00",945760
"2021-08-02 04:17:30.373+00",945760
"2021-08-02 04:17:40.373+00",945760
"2021-08-02 04:17:50.373+00",945760
"2021-08-02 04:18:00.381+00",945760
"2021-08-02 04:18:10.373+00",945760
"2021-08-02 04:18:20.373+00",945760
"2021-08-02 04:18:30.382+00",945760
"2021-08-02 04:18:40.373+00",945760
"2021-08-02 04:18:50.373+00",945760
"2021-08-02 04:19:00.373+00",945760
"2021-08-02 04:19:10.373+00",945760
"2021-08-02 04:19:20.373+00",945760
"2021-08-02 04:19:30.373+00",945760
"2021-08-02 04:19:40.373+00",945760
"2021-08-02 04:19:50.373+00",945760
"2021-08-02 04:20:00.373+00",945760
"2021-08-02 04:20:10.373+00",945760
"2021-08-02 04:20:20.373+00",945760
"2021-08-02 04:20:30.373+00",945760
"2021-08-02 04:20:40.373+00",945760
"2021-08-02 04:20:50.373+00",945760
"2021-08-02 04:21:00.373+00",945760
"2021-08-02 04:21:10.373+00",945760
"2021-08-02 04:21:20.376+00",945760
"2021-08-02 04:21:30.377+00",945760
"2021-08-02 04:21:40.373+00",945760
"2021-08-02 04:21:50.373+00",945760
"2021-08-02 04:22:00.373+00",nan
"2021-08-02 04:22:40.373+00",60392
"2021-08-02 04:22:50.373+00",140399
"2021-08-02 04:23:00.373+00",220395
"2021-08-02 04:23:10.373+00",300385
"2021-08-02 04:23:20.373+00",380394
"2021-08-02 04:23:30.376+00",460393
"2021-08-02 04:23:40.373+00",540390
"2021-08-02 04:23:50.373+00",620393
"2021-08-02 04:24:00.373+00",700391
"2021-08-02 04:24:10.373+00",780395
"2021-08-02 04:24:20.373+00",860398
"2021-08-02 04:24:30.373+00",940393
"2021-08-02 04:24:40.373+00",1020394
"2021-08-02 04:24:50.373+00",1100396
"2021-08-02 04:25:00.373+00",1180392
"2021-08-02 04:25:10.373+00",1260394
"2021-08-02 04:25:20.373+00",1340397
"2021-08-02 04:25:30.373+00",1420389
"2021-08-02 04:25:40.373+00",1500388
"2021-08-02 04:25:50.373+00",1580389
"2021-08-02 04:26:00.373+00",1660387
"2021-08-02 04:26:10.373+00",1740394
"2021-08-02 04:26:20.373+00",1820391
"2021-08-02 04:26:30.373+00",1900389
"2021-08-02 04:26:40.373+00",1980390
"2021-08-02 04:26:50.373+00",2060393
"2021-08-02 04:27:00.385+00",2140388
"2021-08-02 04:27:10.373+00",2220389
"2021-08-02 04:27:20.373+00",2300390
"2021-08-02 04:27:30.373+00",2380387
"2021-08-02 04:27:40.373+00",2380387
"2021-08-02 04:27:50.373+00",2380387
"2021-08-02 04:28:00.373+00",2380387
"2021-08-02 04:28:10.373+00",2380387
"2021-08-02 04:28:20.373+00",2380387
"2021-08-02 04:28:30.373+00",2380387
"2021-08-02 04:28:40.383+00",2380387
"2021-08-02 04:28:50.373+00",2380387
"2021-08-02 04:29:00.377+00",2380387
"2021-08-02 04:29:10.373+00",2380387
"2021-08-02 04:29:20.373+00",2380387
"2021-08-02 04:29:30.373+00",2380387
"2021-08-02 04:29:40.373+00",2380387
"2021-08-02 04:29:50.373+00",2380387
"2021-08-02 04:30:00.373+00",2380387
"2021-08-02 04:30:10.373+00",2380387
"2021-08-02 04:30:20.373+00",2380387
"2021-08-02 04:30:30.373+00",2380387
"2021-08-02 04:30:40.373+00",2380387
"2021-08-02 04:30:50.373+00",2380387
"2021-08-02 04:31:00.373+00",2380387
"2021-08-02 04:31:10.373+00",2380387
"2021-08-02 04:31:20.373+00",2380387
"2021-08-02 04:31:30.373+00",2380387
"2021-08-02 04:31:40.373+00",2380387
"2021-08-02 04:31:50.373+00",2380387
"2021-08-02 04:32:00.373+00",2380387
"2021-08-02 04:32:10.373+00",2380387
"2021-08-02 04:32:20.373+00",2380387
"2021-08-02 04:32:30.373+00",nan
"2021-08-02 04:36:40.373+00",4327
"2021-08-02 04:36:50.373+00",14327
"2021-08-02 04:37:00.373+00",24327
"2021-08-02 04:37:10.373+00",34327
"2021-08-02 04:37:20.373+00",44327
"2021-08-02 04:37:30.373+00",54327
"2021-08-02 04:37:40.373+00",64326
"2021-08-02 04:37:50.373+00",74327
"2021-08-02 04:38:00.378+00",84327
"2021-08-02 04:38:10.373+00",94326
"2021-08-02 04:38:20.373+00",104326
"2021-08-02 04:38:30.373+00",114326
"2021-08-02 04:38:40.373+00",124326
"2021-08-02 04:38:50.373+00",134326
"2021-08-02 04:39:00.373+00",144326
"2021-08-02 04:39:10.373+00",154326
"2021-08-02 04:39:20.373+00",164327
"2021-08-02 04:39:30.373+00",174327
"2021-08-02 04:39:40.373+00",184326
"2021-08-02 04:39:50.373+00",194326
"2021-08-02 04:40:00.373+00",204327
"2021-08-02 04:40:10.386+00",214326
"2021-08-02 04:40:20.373+00",224326
"2021-08-02 04:40:30.373+00",234327
"2021-08-02 04:40:40.373+00",244326
"2021-08-02 04:40:50.373+00",254326
"2021-08-02 04:41:00.373+00",264327
"2021-08-02 04:41:10.373+00",274327
"2021-08-02 04:41:20.373+00",284327
"2021-08-02 04:41:30.373+00",294327
"2021-08-02 04:41:40.373+00",294327
"2021-08-02 04:41:50.379+00",294327
"2021-08-02 04:42:00.376+00",294327
"2021-08-02 04:42:10.373+00",294327
"2021-08-02 04:42:20.376+00",294327
"2021-08-02 04:42:30.373+00",294327
"2021-08-02 04:42:40.373+00",294327
"2021-08-02 04:42:50.373+00",294327
"2021-08-02 04:43:00.373+00",294327
"2021-08-02 04:43:10.373+00",294327
"2021-08-02 04:43:20.373+00",294327
"2021-08-02 04:43:30.373+00",294327
"2021-08-02 04:43:40.373+00",294327
"2021-08-02 04:43:50.373+00",294327
"2021-08-02 04:44:00.373+00",294327
"2021-08-02 04:44:10.373+00",294327
"2021-08-02 04:44:20.373+00",294327
"2021-08-02 04:44:30.373+00",294327
"2021-08-02 04:44:40.373+00",294327
"2021-08-02 04:44:50.373+00",294327
"2021-08-02 04:45:00.373+00",294327
"2021-08-02 04:45:10.373+00",294327
"2021-08-02 04:45:20.373+00",294327
"2021-08-02 04:45:30.373+00",294327
"2021-08-02 04:45:40.373+00",294327
"2021-08-02 04:45:50.373+00",294327
"2021-08-02 04:46:00.373+00",294327
"2021-08-02 04:46:10.373+00",294327
"2021-08-02 04:46:20.373+00",294327
"2021-08-02 04:46:30.373+00",nan
"2021-08-02 04:48:10.373+00",35409
"2021-08-02 04:48:20.373+00",155072
"2021-08-02 04:48:30.373+00",288900
"2021-08-02 04:48:40.373+00",407965
"2021-08-02 04:48:50.373+00",525858
"2021-08-02 04:49:00.373+00",643958
"2021-08-02 04:49:10.373+00",762277
"2021-08-02 04:49:20.373+00",881647
"2021-08-02 04:49:30.373+00",1000332
"2021-08-02 04:49:40.373+00",1119827
"2021-08-02 04:49:50.373+00",1239232
"2021-08-02 04:50:00.373+00",1358357
"2021-08-02 04:50:10.373+00",1478102
"2021-08-02 04:50:20.373+00",1597883
"2021-08-02 04:50:30.373+00",1717848
"2021-08-02 04:50:40.373+00",1836928
"2021-08-02 04:50:50.373+00",1956854
"2021-08-02 04:51:00.373+00",2075684
"2021-08-02 04:51:10.373+00",2194650
"2021-08-02 04:51:20.373+00",2313339
"2021-08-02 04:51:30.373+00",2431624
"2021-08-02 04:51:40.382+00",2551049
"2021-08-02 04:51:50.373+00",2670660
"2021-08-02 04:52:00.373+00",2790425
"2021-08-02 04:52:10.373+00",2909798
"2021-08-02 04:52:20.373+00",3028973
"2021-08-02 04:52:30.373+00",3148844
"2021-08-02 04:52:40.373+00",3268609
"2021-08-02 04:52:50.373+00",3388319
"2021-08-02 04:53:00.373+00",3508399
"2021-08-02 04:53:10.373+00",3508399
"2021-08-02 04:53:20.373+00",3508399
"2021-08-02 04:53:30.373+00",3508399
"2021-08-02 04:53:40.373+00",3508399
"2021-08-02 04:53:50.373+00",3508399
"2021-08-02 04:54:00.373+00",3508399
"2021-08-02 04:54:10.373+00",3508399
"2021-08-02 04:54:20.373+00",3508399
"2021-08-02 04:54:30.379+00",3508399
"2021-08-02 04:54:40.373+00",3508399
"2021-08-02 04:54:50.373+00",3508399
"2021-08-02 04:55:00.373+00",3508399
"2021-08-02 04:55:10.373+00",3508399
"2021-08-02 04:55:20.373+00",3508399
"2021-08-02 04:55:30.373+00",3508399
"2021-08-02 04:55:40.373+00",3508399
"2021-08-02 04:55:50.378+00",3508399
"2021-08-02 04:56:00.373+00",3508399
"2021-08-02 04:56:10.373+00",3508399
"2021-08-02 04:56:20.373+00",3508399
"2021-08-02 04:56:30.373+00",3508399
"2021-08-02 04:56:40.373+00",3508399
"2021-08-02 04:56:50.373+00",3508399
"2021-08-02 04:57:00.373+00",3508399
"2021-08-02 04:57:10.373+00",3508399
"2021-08-02 04:57:20.373+00",3508399
"2021-08-02 04:57:30.373+00",3508399
"2021-08-02 04:57:40.373+00",3508399
"2021-08-02 04:57:50.373+00",3508399
"2021-08-02 04:58:00.373+00",nan
"2021-08-02 05:07:00.373+00",25181
"2021-08-02 05:07:10.373+00",131112
"2021-08-02 05:07:20.373+00",222376
"2021-08-02 05:07:30.373+00",329166
"2021-08-02 05:07:40.373+00",436734
"2021-08-02 05:07:50.373+00",568526
"2021-08-02 05:08:00.373+00",661473
"2021-08-02 05:08:10.373+00",793238
"2021-08-02 05:08:20.373+00",886068
"2021-08-02 05:08:30.373+00",1018327
"2021-08-02 05:08:40.373+00",1111662
"2021-08-02 05:08:50.373+00",1221935
"2021-08-02 05:09:00.373+00",1333407
"2021-08-02 05:09:10.373+00",1465067
"2021-08-02 05:09:20.373+00",1558242
"2021-08-02 05:09:30.373+00",1689585
"2021-08-02 05:09:40.373+00",1782700
"2021-08-02 05:09:50.373+00",1891335
"2021-08-02 05:10:00.373+00",2001545
"2021-08-02 05:10:10.373+00",2111065
"2021-08-02 05:10:20.373+00",2244512
"2021-08-02 05:10:30.373+00",2361347
"2021-08-02 05:10:40.373+00",2477022
"2021-08-02 05:10:50.373+00",2571297
"2021-08-02 05:11:00.373+00",2703073
"2021-08-02 05:11:10.373+00",2819925
"2021-08-02 05:11:20.373+00",2935259
"2021-08-02 05:11:30.373+00",3028805
"2021-08-02 05:11:40.373+00",3138770
"2021-08-02 05:11:50.373+00",3247909
"2021-08-02 05:12:00.373+00",3247909
"2021-08-02 05:12:10.373+00",3247909
"2021-08-02 05:12:20.373+00",3247909
"2021-08-02 05:12:30.373+00",3247909
"2021-08-02 05:12:40.373+00",3247909
"2021-08-02 05:12:50.381+00",3247909
"2021-08-02 05:13:00.373+00",3247909
"2021-08-02 05:13:10.373+00",3247909
"2021-08-02 05:13:20.381+00",3247909
"2021-08-02 05:13:30.373+00",3247909
"2021-08-02 05:13:40.373+00",3247909
"2021-08-02 05:13:50.373+00",3247909
"2021-08-02 05:14:00.373+00",3247909
"2021-08-02 05:14:10.373+00",3247909
"2021-08-02 05:14:20.373+00",3247909
"2021-08-02 05:14:30.373+00",3247909
"2021-08-02 05:14:40.373+00",3247909
"2021-08-02 05:14:50.373+00",3247909
"2021-08-02 05:15:00.373+00",3247909
"2021-08-02 05:15:10.373+00",3247909
"2021-08-02 05:15:20.373+00",3247909
"2021-08-02 05:15:30.373+00",3247909
"2021-08-02 05:15:40.373+00",3247909
"2021-08-02 05:15:50.373+00",3247909
"2021-08-02 05:16:00.373+00",3247909
"2021-08-02 05:16:10.373+00",3247909
"2021-08-02 05:16:20.373+00",3247909
"2021-08-02 05:16:30.373+00",3247909
