"time","completed_stages"
"2021-08-02 00:50:00.373+00",1210
"2021-08-02 00:50:10.373+00",1227
"2021-08-02 00:50:20.373+00",1244
"2021-08-02 00:50:30.382+00",1259
"2021-08-02 00:50:40.373+00",1276
"2021-08-02 00:50:50.373+00",1291
"2021-08-02 00:51:00.375+00",1306
"2021-08-02 00:51:10.373+00",1325
"2021-08-02 00:51:20.373+00",1340
"2021-08-02 00:51:30.373+00",1355
"2021-08-02 00:51:40.373+00",1367
"2021-08-02 00:51:50.373+00",1387
"2021-08-02 00:52:00.373+00",1404
"2021-08-02 00:52:10.373+00",1421
"2021-08-02 00:52:20.373+00",1436
"2021-08-02 00:52:30.373+00",1453
"2021-08-02 00:52:40.373+00",1470
"2021-08-02 00:52:50.373+00",1485
"2021-08-02 00:53:00.373+00",1500
"2021-08-02 00:53:10.373+00",1519
"2021-08-02 00:53:20.373+00",1534
"2021-08-02 00:53:30.373+00",1548
"2021-08-02 00:53:40.373+00",1563
"2021-08-02 00:53:50.373+00",1573
"2021-08-02 00:54:00.373+00",1583
"2021-08-02 00:54:10.373+00",1596
"2021-08-02 00:54:20.373+00",1608
"2021-08-02 00:54:30.38+00",1618
"2021-08-02 00:54:40.373+00",1631
"2021-08-02 00:54:50.373+00",1641
"2021-08-02 00:55:00.373+00",1653
"2021-08-02 00:55:10.385+00",1666
"2021-08-02 00:55:20.373+00",1676
"2021-08-02 00:55:30.373+00",1686
"2021-08-02 00:55:40.373+00",1701
"2021-08-02 00:55:50.378+00",1711
"2021-08-02 00:56:00.373+00",1721
"2021-08-02 00:56:10.373+00",1734
"2021-08-02 00:56:20.373+00",1746
"2021-08-02 00:56:30.373+00",1756
"2021-08-02 00:56:40.373+00",1769
"2021-08-02 00:56:50.373+00",1779
"2021-08-02 00:57:00.373+00",1796
"2021-08-02 00:57:10.373+00",1813
"2021-08-02 00:57:20.373+00",1828
"2021-08-02 00:57:30.373+00",1843
"2021-08-02 00:57:40.373+00",1859
"2021-08-02 00:57:50.391+00",1877
"2021-08-02 00:58:00.373+00",1892
"2021-08-02 00:58:10.373+00",1909
"2021-08-02 00:58:20.373+00",1920
"2021-08-02 00:58:30.373+00",1939
"2021-08-02 00:58:40.373+00",1958
"2021-08-02 00:58:50.373+00",1973
"2021-08-02 00:59:00.373+00",1988
"2021-08-02 00:59:10.373+00",2007
"2021-08-02 00:59:20.373+00",2022
"2021-08-02 00:59:30.373+00",2037
"2021-08-02 00:59:40.373+00",2053
"2021-08-02 00:59:50.373+00",2071
"2021-08-02 01:00:00.373+00",2086
"2021-08-02 01:00:10.373+00",2103
"2021-08-02 01:00:20.373+00",2116
"2021-08-02 01:00:30.373+00",2135
"2021-08-02 01:00:40.373+00",2152
"2021-08-02 01:00:50.373+00",2167
"2021-08-02 01:01:00.373+00",2182
"2021-08-02 01:01:10.373+00",2201
"2021-08-02 01:01:20.373+00",2216
"2021-08-02 01:01:30.373+00",2231
"2021-08-02 01:01:40.373+00",2247
"2021-08-02 01:01:50.373+00",2265
"2021-08-02 01:02:00.373+00",2276
"2021-08-02 01:02:10.373+00",2289
"2021-08-02 01:02:20.373+00",2301
"2021-08-02 01:02:30.373+00",2311
"2021-08-02 01:02:40.373+00",2324
