"time","completed_tasks"
"2021-08-02 00:50:00.373+00",115472
"2021-08-02 00:50:10.373+00",120295
"2021-08-02 00:50:20.373+00",125058
"2021-08-02 00:50:30.382+00",129184
"2021-08-02 00:50:40.373+00",133869
"2021-08-02 00:50:50.373+00",138490
"2021-08-02 00:51:00.375+00",142480
"2021-08-02 00:51:10.373+00",146524
"2021-08-02 00:51:20.373+00",151141
"2021-08-02 00:51:30.373+00",155855
"2021-08-02 00:51:40.373+00",158259
"2021-08-02 00:51:50.373+00",163388
"2021-08-02 00:52:00.373+00",167854
"2021-08-02 00:52:10.373+00",172665
"2021-08-02 00:52:20.373+00",176586
"2021-08-02 00:52:30.373+00",180505
"2021-08-02 00:52:40.373+00",185470
"2021-08-02 00:52:50.373+00",190250
"2021-08-02 00:53:00.373+00",194253
"2021-08-02 00:53:10.373+00",198183
"2021-08-02 00:53:20.373+00",202950
"2021-08-02 00:53:30.373+00",206837
"2021-08-02 00:53:40.373+00",207374
"2021-08-02 00:53:50.373+00",207394
"2021-08-02 00:54:00.373+00",207414
"2021-08-02 00:54:10.373+00",208747
"2021-08-02 00:54:20.373+00",208771
"2021-08-02 00:54:30.38+00",208791
"2021-08-02 00:54:40.373+00",210264
"2021-08-02 00:54:50.373+00",210284
"2021-08-02 00:55:00.373+00",210308
"2021-08-02 00:55:10.385+00",211834
"2021-08-02 00:55:20.373+00",211854
"2021-08-02 00:55:30.373+00",211874
"2021-08-02 00:55:40.373+00",213422
"2021-08-02 00:55:50.378+00",213442
"2021-08-02 00:56:00.373+00",213462
"2021-08-02 00:56:10.373+00",214922
"2021-08-02 00:56:20.373+00",214946
"2021-08-02 00:56:30.373+00",214966
"2021-08-02 00:56:40.373+00",216553
"2021-08-02 00:56:50.373+00",216573
"2021-08-02 00:57:00.373+00",221840
"2021-08-02 00:57:10.373+00",228086
"2021-08-02 00:57:20.373+00",233513
"2021-08-02 00:57:30.373+00",239012
"2021-08-02 00:57:40.373+00",243954
"2021-08-02 00:57:50.391+00",247189
"2021-08-02 00:58:00.373+00",251740
"2021-08-02 00:58:10.373+00",255931
"2021-08-02 00:58:20.373+00",257246
"2021-08-02 00:58:30.373+00",262808
"2021-08-02 00:58:40.373+00",266248
"2021-08-02 00:58:50.373+00",271193
"2021-08-02 00:59:00.373+00",275162
"2021-08-02 00:59:10.373+00",279649
"2021-08-02 00:59:20.373+00",284605
"2021-08-02 00:59:30.373+00",289539
"2021-08-02 00:59:40.373+00",293452
"2021-08-02 00:59:50.373+00",297577
"2021-08-02 01:00:00.373+00",302379
"2021-08-02 01:00:10.373+00",306951
"2021-08-02 01:00:20.373+00",309651
"2021-08-02 01:00:30.373+00",313795
"2021-08-02 01:00:40.373+00",318619
"2021-08-02 01:00:50.373+00",323501
"2021-08-02 01:01:00.373+00",327208
"2021-08-02 01:01:10.373+00",331077
"2021-08-02 01:01:20.373+00",335824
"2021-08-02 01:01:30.373+00",340723
"2021-08-02 01:01:40.373+00",344558
"2021-08-02 01:01:50.373+00",348179
"2021-08-02 01:02:00.373+00",348901
"2021-08-02 01:02:10.373+00",350188
"2021-08-02 01:02:20.373+00",350212
"2021-08-02 01:02:30.373+00",350232
"2021-08-02 01:02:40.373+00",351664
"2021-08-02 01:02:50.373+00",351684
"2021-08-02 01:03:00.373+00",351708
"2021-08-02 01:03:10.373+00",353314
"2021-08-02 01:03:20.373+00",353334
"2021-08-02 01:03:30.373+00",353354
"2021-08-02 01:03:40.373+00",354918
"2021-08-02 01:03:50.373+00",354938
"2021-08-02 01:04:00.373+00",354958
"2021-08-02 01:04:10.373+00",356445
"2021-08-02 01:04:20.373+00",356469
"2021-08-02 01:04:30.373+00",356489
"2021-08-02 01:04:40.373+00",358031
"2021-08-02 01:04:50.373+00",358051
"2021-08-02 01:05:00.373+00",358075
"2021-08-02 01:05:10.375+00",359514
"2021-08-02 01:05:20.373+00",359534
"2021-08-02 01:05:30.373+00",359554
"2021-08-02 01:05:40.373+00",361102
"2021-08-02 01:05:50.375+00",361122
"2021-08-02 01:06:00.373+00",361142
"2021-08-02 01:06:10.373+00",362735
"2021-08-02 01:06:20.373+00",362759
"2021-08-02 01:06:30.373+00",362779
"2021-08-02 01:06:40.373+00",364294
"2021-08-02 01:06:50.373+00",364314
"2021-08-02 01:07:00.373+00",364338
"2021-08-02 01:07:10.373+00",365766
"2021-08-02 01:07:20.373+00",367206
"2021-08-02 01:07:30.373+00",373397
"2021-08-02 01:07:40.373+00",379587
"2021-08-02 01:07:50.373+00",384052
"2021-08-02 01:08:00.373+00",389119
"2021-08-02 01:08:10.373+00",394052
"2021-08-02 01:08:20.373+00",397538
"2021-08-02 01:08:30.375+00",401145
"2021-08-02 01:08:40.373+00",405555
"2021-08-02 01:08:50.373+00",409850
"2021-08-02 01:09:00.373+00",413791
"2021-08-02 01:09:10.373+00",417579
"2021-08-02 01:09:20.373+00",422624
"2021-08-02 01:09:30.373+00",427653
"2021-08-02 01:09:40.373+00",432261
"2021-08-02 01:09:50.373+00",436157
