"time","cpu_usage_seconds_total","pod"
"2021-08-02 00:50:02.218+00",5973.900367112,"sketchbench-spark-worker-3"
"2021-08-02 00:50:05.469+00",5999.80634652,"sketchbench-spark-worker-2"
"2021-08-02 00:50:07.246+00",6725.809874168,"sketchbench-spark-worker-4"
"2021-08-02 00:50:09.674+00",6304.057519785,"sketchbench-spark-worker-0"
"2021-08-02 00:50:09.964+00",10856.250975381,"sketchbench-spark-worker-1"
"2021-08-02 00:50:11.21+00",6290.107192363,"sketchbench-spark-worker-5"
"2021-08-02 00:50:20.877+00",10867.939674621,"sketchbench-spark-worker-1"
"2021-08-02 00:50:21.662+00",5990.374450173,"sketchbench-spark-worker-3"
"2021-08-02 00:50:22.909+00",6013.881687077,"sketchbench-spark-worker-2"
"2021-08-02 00:50:25.243+00",6314.296619337,"sketchbench-spark-worker-0"
"2021-08-02 00:50:25.632+00",6740.261928959,"sketchbench-spark-worker-4"
"2021-08-02 00:50:25.914+00",6300.906361523,"sketchbench-spark-worker-5"
"2021-08-02 00:50:34.473+00",10882.49149467,"sketchbench-spark-worker-1"
"2021-08-02 00:50:38.635+00",6027.792385929,"sketchbench-spark-worker-2"
"2021-08-02 00:50:39.902+00",6326.27739476,"sketchbench-spark-worker-0"
"2021-08-02 00:50:41.535+00",6009.29594205,"sketchbench-spark-worker-3"
"2021-08-02 00:50:41.578+00",6314.996677222,"sketchbench-spark-worker-5"
"2021-08-02 00:50:42.41+00",6755.145076643,"sketchbench-spark-worker-4"
"2021-08-02 00:50:50.102+00",10899.725777802,"sketchbench-spark-worker-1"
"2021-08-02 00:50:56.255+00",6039.686909383,"sketchbench-spark-worker-2"
"2021-08-02 00:50:56.688+00",6022.4959623,"sketchbench-spark-worker-3"
"2021-08-02 00:50:57.52+00",6326.322704534,"sketchbench-spark-worker-5"
"2021-08-02 00:50:58.636+00",6338.863405254,"sketchbench-spark-worker-0"
"2021-08-02 00:50:59.353+00",6767.396419797,"sketchbench-spark-worker-4"
"2021-08-02 00:51:04.839+00",10915.592704953,"sketchbench-spark-worker-1"
"2021-08-02 00:51:13.681+00",6035.903765239,"sketchbench-spark-worker-3"
"2021-08-02 00:51:13.803+00",6348.860541975,"sketchbench-spark-worker-0"
"2021-08-02 00:51:14.022+00",6338.591140833,"sketchbench-spark-worker-5"
"2021-08-02 00:51:14.049+00",6052.570976781,"sketchbench-spark-worker-2"
"2021-08-02 00:51:16.028+00",6780.114949879,"sketchbench-spark-worker-4"
"2021-08-02 00:51:17.013+00",10928.688408614,"sketchbench-spark-worker-1"
"2021-08-02 00:51:24.149+00",6357.429752475,"sketchbench-spark-worker-0"
"2021-08-02 00:51:25.677+00",6047.351291454,"sketchbench-spark-worker-3"
"2021-08-02 00:51:27.87+00",6789.513319667,"sketchbench-spark-worker-4"
"2021-08-02 00:51:29.95+00",6064.942263949,"sketchbench-spark-worker-2"
"2021-08-02 00:51:31.413+00",6351.777945902,"sketchbench-spark-worker-5"
"2021-08-02 00:51:31.427+00",10944.202309146,"sketchbench-spark-worker-1"
"2021-08-02 00:51:38.578+00",6057.004151558,"sketchbench-spark-worker-3"
"2021-08-02 00:51:39.232+00",6366.598555142,"sketchbench-spark-worker-0"
"2021-08-02 00:51:41.189+00",6073.193392243,"sketchbench-spark-worker-2"
"2021-08-02 00:51:44.567+00",6361.061266184,"sketchbench-spark-worker-5"
"2021-08-02 00:51:45.685+00",6801.519586964,"sketchbench-spark-worker-4"
"2021-08-02 00:51:49.247+00",6373.178144618,"sketchbench-spark-worker-0"
"2021-08-02 00:51:51.251+00",10965.45125145,"sketchbench-spark-worker-1"
"2021-08-02 00:51:53.786+00",6082.353609945,"sketchbench-spark-worker-2"
"2021-08-02 00:51:54.303+00",6070.717085381,"sketchbench-spark-worker-3"
"2021-08-02 00:51:56.548+00",6371.682387846,"sketchbench-spark-worker-5"
"2021-08-02 00:52:00.401+00",6815.222199341,"sketchbench-spark-worker-4"
"2021-08-02 00:52:02.393+00",6383.647373849,"sketchbench-spark-worker-0"
"2021-08-02 00:52:05.08+00",6079.324470074,"sketchbench-spark-worker-3"
"2021-08-02 00:52:07.394+00",6379.229000828,"sketchbench-spark-worker-5"
"2021-08-02 00:52:09.797+00",10985.384723224,"sketchbench-spark-worker-1"
"2021-08-02 00:52:13.694+00",6097.715080016,"sketchbench-spark-worker-2"
"2021-08-02 00:52:17.126+00",6392.391410187,"sketchbench-spark-worker-0"
"2021-08-02 00:52:18.918+00",6827.512958264,"sketchbench-spark-worker-4"
"2021-08-02 00:52:22.508+00",6093.667608945,"sketchbench-spark-worker-3"
"2021-08-02 00:52:24.026+00",11000.614240208,"sketchbench-spark-worker-1"
"2021-08-02 00:52:25.401+00",6392.323030123,"sketchbench-spark-worker-5"
"2021-08-02 00:52:30.813+00",6403.321997335,"sketchbench-spark-worker-0"
"2021-08-02 00:52:31.257+00",6838.342153064,"sketchbench-spark-worker-4"
"2021-08-02 00:52:31.748+00",6112.211749504,"sketchbench-spark-worker-2"
"2021-08-02 00:52:34.591+00",11012.013752159,"sketchbench-spark-worker-1"
"2021-08-02 00:52:35.571+00",6105.739737236,"sketchbench-spark-worker-3"
"2021-08-02 00:52:41.924+00",6120.680953493,"sketchbench-spark-worker-2"
"2021-08-02 00:52:42.388+00",6407.125154228,"sketchbench-spark-worker-5"
"2021-08-02 00:52:44.718+00",6412.794446369,"sketchbench-spark-worker-0"
"2021-08-02 00:52:49.669+00",6852.198865777,"sketchbench-spark-worker-4"
"2021-08-02 00:52:50.611+00",11029.282847944,"sketchbench-spark-worker-1"
"2021-08-02 00:52:54.66+00",6121.341019899,"sketchbench-spark-worker-3"
"2021-08-02 00:52:56.374+00",6130.506082237,"sketchbench-spark-worker-2"
"2021-08-02 00:52:57.98+00",6417.552163054,"sketchbench-spark-worker-5"
"2021-08-02 00:53:04.274+00",6426.201841667,"sketchbench-spark-worker-0"
"2021-08-02 00:53:06.344+00",6132.170148863,"sketchbench-spark-worker-3"
"2021-08-02 00:53:07.939+00",6866.289631076,"sketchbench-spark-worker-4"
