"time","cpu_usage_seconds_total","pod"
"2021-08-02 00:50:02.587+00",1217.827828581,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:50:13.548+00",1236.595386164,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:50:27.636+00",1261.094359234,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:50:42.857+00",1290.683134837,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:51:01.505+00",1324.473754873,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:51:18.835+00",1354.881744733,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:51:34.532+00",1381.074892083,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:51:53.047+00",1416.873161114,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:52:06.747+00",1439.61213996,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:52:26.409+00",1477.615361452,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:52:41.563+00",1506.033820361,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:53:00.528+00",1542.197893059,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:53:12.673+00",1564.368937588,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:53:29.17+00",1594.392241411,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:53:46.948+00",1613.839646196,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:54:00.057+00",1631.593340022,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:54:15.44+00",1648.34177474,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:54:32.283+00",1668.651653594,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:54:51.483+00",1687.786855122,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:55:05.354+00",1702.993900969,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:55:17.393+00",1715.777465541,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:55:31.36+00",1733.176253299,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:55:48.359+00",1750.280190404,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:56:05.989+00",1770.86833348,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:56:16.718+00",1783.780026125,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:56:35.91+00",1805.546566699,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:56:49.724+00",1826.271543274,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:57:01.316+00",1849.270510662,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:57:21.129+00",1887.667731888,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:57:39.098+00",1923.519354577,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:57:52.383+00",1953.276455531,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:58:08.842+00",1983.486360672,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:58:28.427+00",2031.041477863,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:58:45.776+00",2067.083944882,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:58:56.166+00",2089.703138895,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:59:10.89+00",2120.604152333,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:59:28.582+00",2155.040116633,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:59:40.495+00",2180.744395942,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:59:55.109+00",2211.007206725,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:00:06.995+00",2233.958296092,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:00:19.139+00",2260.285043424,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:00:34.86+00",2295.120368666,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:00:48.113+00",2321.147398697,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:01:05.019+00",2357.072631289,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:01:23.805+00",2396.807010251,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:01:35.629+00",2419.342794503,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:01:54.662+00",2450.099018422,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:02:10.55+00",2472.563565598,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
