"time","value_mem_bytes","pod"
"2021-08-02 00:50:02.218+00",1500700672,"sketchbench-spark-worker-3"
"2021-08-02 00:50:05.469+00",1490784256,"sketchbench-spark-worker-2"
"2021-08-02 00:50:07.246+00",1396445184,"sketchbench-spark-worker-4"
"2021-08-02 00:50:09.674+00",1433120768,"sketchbench-spark-worker-0"
"2021-08-02 00:50:09.964+00",1141043200,"sketchbench-spark-worker-1"
"2021-08-02 00:50:11.21+00",1393033216,"sketchbench-spark-worker-5"
"2021-08-02 00:50:20.877+00",1141485568,"sketchbench-spark-worker-1"
"2021-08-02 00:50:21.662+00",1495912448,"sketchbench-spark-worker-3"
"2021-08-02 00:50:22.909+00",1500143616,"sketchbench-spark-worker-2"
"2021-08-02 00:50:25.243+00",1442050048,"sketchbench-spark-worker-0"
"2021-08-02 00:50:25.632+00",1405833216,"sketchbench-spark-worker-4"
"2021-08-02 00:50:25.914+00",1401184256,"sketchbench-spark-worker-5"
"2021-08-02 00:50:34.473+00",1141313536,"sketchbench-spark-worker-1"
"2021-08-02 00:50:38.635+00",1512419328,"sketchbench-spark-worker-2"
"2021-08-02 00:50:39.902+00",1453051904,"sketchbench-spark-worker-0"
"2021-08-02 00:50:41.535+00",1510674432,"sketchbench-spark-worker-3"
"2021-08-02 00:50:41.578+00",1413410816,"sketchbench-spark-worker-5"
"2021-08-02 00:50:42.41+00",1419177984,"sketchbench-spark-worker-4"
"2021-08-02 00:50:50.102+00",1146445824,"sketchbench-spark-worker-1"
"2021-08-02 00:50:56.255+00",1504112640,"sketchbench-spark-worker-2"
"2021-08-02 00:50:56.688+00",1503735808,"sketchbench-spark-worker-3"
"2021-08-02 00:50:57.52+00",1404792832,"sketchbench-spark-worker-5"
"2021-08-02 00:50:58.636+00",1446809600,"sketchbench-spark-worker-0"
"2021-08-02 00:50:59.353+00",1410519040,"sketchbench-spark-worker-4"
"2021-08-02 00:51:04.839+00",1146523648,"sketchbench-spark-worker-1"
"2021-08-02 00:51:13.681+00",1513754624,"sketchbench-spark-worker-3"
"2021-08-02 00:51:13.803+00",1455706112,"sketchbench-spark-worker-0"
"2021-08-02 00:51:14.022+00",1414950912,"sketchbench-spark-worker-5"
"2021-08-02 00:51:14.049+00",1514463232,"sketchbench-spark-worker-2"
"2021-08-02 00:51:16.028+00",1420685312,"sketchbench-spark-worker-4"
"2021-08-02 00:51:17.013+00",1147105280,"sketchbench-spark-worker-1"
"2021-08-02 00:51:24.149+00",1463070720,"sketchbench-spark-worker-0"
"2021-08-02 00:51:25.677+00",1521029120,"sketchbench-spark-worker-3"
"2021-08-02 00:51:27.87+00",1422102528,"sketchbench-spark-worker-4"
"2021-08-02 00:51:29.95+00",1514942464,"sketchbench-spark-worker-2"
"2021-08-02 00:51:31.413+00",1410334720,"sketchbench-spark-worker-5"
"2021-08-02 00:51:31.427+00",1147154432,"sketchbench-spark-worker-1"
"2021-08-02 00:51:38.578+00",1510273024,"sketchbench-spark-worker-3"
"2021-08-02 00:51:39.232+00",1452351488,"sketchbench-spark-worker-0"
"2021-08-02 00:51:41.189+00",1513463808,"sketchbench-spark-worker-2"
"2021-08-02 00:51:44.567+00",1414840320,"sketchbench-spark-worker-5"
"2021-08-02 00:51:45.685+00",1413853184,"sketchbench-spark-worker-4"
"2021-08-02 00:51:49.247+00",1458835456,"sketchbench-spark-worker-0"
"2021-08-02 00:51:51.251+00",1147203584,"sketchbench-spark-worker-1"
"2021-08-02 00:51:53.786+00",1523105792,"sketchbench-spark-worker-2"
"2021-08-02 00:51:54.303+00",1521229824,"sketchbench-spark-worker-3"
"2021-08-02 00:51:56.548+00",1425387520,"sketchbench-spark-worker-5"
"2021-08-02 00:52:00.401+00",1427443712,"sketchbench-spark-worker-4"
"2021-08-02 00:52:02.393+00",1470582784,"sketchbench-spark-worker-0"
"2021-08-02 00:52:05.08+00",1515450368,"sketchbench-spark-worker-3"
"2021-08-02 00:52:07.394+00",1417883648,"sketchbench-spark-worker-5"
"2021-08-02 00:52:09.797+00",1147805696,"sketchbench-spark-worker-1"
"2021-08-02 00:52:13.694+00",1523793920,"sketchbench-spark-worker-2"
"2021-08-02 00:52:17.126+00",1460015104,"sketchbench-spark-worker-0"
"2021-08-02 00:52:18.918+00",1417728000,"sketchbench-spark-worker-4"
"2021-08-02 00:52:22.508+00",1521123328,"sketchbench-spark-worker-3"
"2021-08-02 00:52:24.026+00",1148395520,"sketchbench-spark-worker-1"
"2021-08-02 00:52:25.401+00",1424039936,"sketchbench-spark-worker-5"
"2021-08-02 00:52:30.813+00",1472229376,"sketchbench-spark-worker-0"
"2021-08-02 00:52:31.257+00",1428877312,"sketchbench-spark-worker-4"
"2021-08-02 00:52:31.748+00",1536753664,"sketchbench-spark-worker-2"
"2021-08-02 00:52:34.591+00",1148350464,"sketchbench-spark-worker-1"
"2021-08-02 00:52:35.571+00",1531805696,"sketchbench-spark-worker-3"
"2021-08-02 00:52:41.924+00",1543933952,"sketchbench-spark-worker-2"
"2021-08-02 00:52:42.388+00",1439059968,"sketchbench-spark-worker-5"
"2021-08-02 00:52:44.718+00",1469206528,"sketchbench-spark-worker-0"
"2021-08-02 00:52:49.669+00",1426735104,"sketchbench-spark-worker-4"
"2021-08-02 00:52:50.611+00",1148465152,"sketchbench-spark-worker-1"
"2021-08-02 00:52:54.66+00",1526136832,"sketchbench-spark-worker-3"
"2021-08-02 00:52:56.374+00",1534685184,"sketchbench-spark-worker-2"
"2021-08-02 00:52:57.98+00",1429803008,"sketchbench-spark-worker-5"
"2021-08-02 00:53:04.274+00",1476415488,"sketchbench-spark-worker-0"
"2021-08-02 00:53:06.344+00",1534697472,"sketchbench-spark-worker-3"
"2021-08-02 00:53:07.939+00",1435099136,"sketchbench-spark-worker-4"
"2021-08-02 00:53:09.115+00",1543680000,"sketchbench-spark-worker-2"
"2021-08-02 00:53:09.762+00",1148862464,"sketchbench-spark-worker-1"
"2021-08-02 00:53:09.784+00",1438633984,"sketchbench-spark-worker-5"
"2021-08-02 00:53:16.211+00",1484832768,"sketchbench-spark-worker-0"
"2021-08-02 00:53:21.675+00",1552191488,"sketchbench-spark-worker-2"
"2021-08-02 00:53:23.07+00",1445838848,"sketchbench-spark-worker-5"
"2021-08-02 00:53:24.043+00",1543241728,"sketchbench-spark-worker-3"
"2021-08-02 00:53:26.428+00",1433128960,"sketchbench-spark-worker-4"
"2021-08-02 00:53:27.835+00",1149689856,"sketchbench-spark-worker-1"
"2021-08-02 00:53:32.042+00",1540874240,"sketchbench-spark-worker-2"
"2021-08-02 00:53:34.073+00",1475604480,"sketchbench-spark-worker-0"
"2021-08-02 00:53:36.209+00",1434853376,"sketchbench-spark-worker-5"
"2021-08-02 00:53:39.797+00",1532387328,"sketchbench-spark-worker-3"
"2021-08-02 00:53:44.525+00",1432862720,"sketchbench-spark-worker-4"
"2021-08-02 00:53:45.811+00",1150128128,"sketchbench-spark-worker-1"
"2021-08-02 00:53:48.085+00",1475764224,"sketchbench-spark-worker-0"
"2021-08-02 00:53:48.141+00",1540882432,"sketchbench-spark-worker-2"
"2021-08-02 00:53:50.746+00",1436332032,"sketchbench-spark-worker-5"
"2021-08-02 00:53:54.05+00",1532317696,"sketchbench-spark-worker-3"
"2021-08-02 00:53:59.461+00",1542180864,"sketchbench-spark-worker-2"
"2021-08-02 00:53:59.955+00",1434525696,"sketchbench-spark-worker-4"
"2021-08-02 00:54:03.408+00",1435500544,"sketchbench-spark-worker-5"
"2021-08-02 00:54:04.318+00",1150005248,"sketchbench-spark-worker-1"
"2021-08-02 00:54:07.806+00",1460514816,"sketchbench-spark-worker-0"
"2021-08-02 00:54:09.542+00",1515913216,"sketchbench-spark-worker-3"
"2021-08-02 00:54:12.798+00",1418461184,"sketchbench-spark-worker-4"
"2021-08-02 00:54:14.821+00",1410281472,"sketchbench-spark-worker-5"
"2021-08-02 00:54:16.717+00",1525411840,"sketchbench-spark-worker-2"
"2021-08-02 00:54:19.085+00",1150033920,"sketchbench-spark-worker-1"
"2021-08-02 00:54:21.612+00",1460666368,"sketchbench-spark-worker-0"
"2021-08-02 00:54:23.109+00",1516064768,"sketchbench-spark-worker-3"
"2021-08-02 00:54:24.53+00",1418895360,"sketchbench-spark-worker-4"
"2021-08-02 00:54:25.091+00",1410527232,"sketchbench-spark-worker-5"
"2021-08-02 00:54:29.693+00",1150500864,"sketchbench-spark-worker-1"
"2021-08-02 00:54:30.704+00",1526743040,"sketchbench-spark-worker-2"
"2021-08-02 00:54:36.048+00",1517371392,"sketchbench-spark-worker-3"
"2021-08-02 00:54:36.145+00",1411674112,"sketchbench-spark-worker-5"
"2021-08-02 00:54:36.337+00",1420693504,"sketchbench-spark-worker-4"
"2021-08-02 00:54:38.449+00",1462902784,"sketchbench-spark-worker-0"
"2021-08-02 00:54:42.164+00",1528852480,"sketchbench-spark-worker-2"
"2021-08-02 00:54:43.467+00",1151258624,"sketchbench-spark-worker-1"
"2021-08-02 00:54:46.39+00",1406599168,"sketchbench-spark-worker-4"
"2021-08-02 00:54:47.897+00",1504014336,"sketchbench-spark-worker-3"
"2021-08-02 00:54:53.08+00",1512775680,"sketchbench-spark-worker-2"
"2021-08-02 00:54:53.8+00",1447546880,"sketchbench-spark-worker-0"
"2021-08-02 00:54:54.193+00",1396645888,"sketchbench-spark-worker-5"
"2021-08-02 00:55:01.062+00",1504837632,"sketchbench-spark-worker-3"
"2021-08-02 00:55:02.863+00",1150980096,"sketchbench-spark-worker-1"
"2021-08-02 00:55:05.522+00",1407754240,"sketchbench-spark-worker-4"
"2021-08-02 00:55:06.183+00",1447997440,"sketchbench-spark-worker-0"
"2021-08-02 00:55:11.78+00",1397596160,"sketchbench-spark-worker-5"
"2021-08-02 00:55:13.034+00",1513771008,"sketchbench-spark-worker-2"
"2021-08-02 00:55:15.024+00",1151066112,"sketchbench-spark-worker-1"
"2021-08-02 00:55:18.249+00",1408086016,"sketchbench-spark-worker-4"
"2021-08-02 00:55:19.847+00",1505226752,"sketchbench-spark-worker-3"
"2021-08-02 00:55:22.19+00",1448472576,"sketchbench-spark-worker-0"
"2021-08-02 00:55:25.252+00",1513017344,"sketchbench-spark-worker-2"
"2021-08-02 00:55:29.05+00",1151090688,"sketchbench-spark-worker-1"
"2021-08-02 00:55:30.245+00",1399095296,"sketchbench-spark-worker-5"
"2021-08-02 00:55:33.502+00",1447677952,"sketchbench-spark-worker-0"
"2021-08-02 00:55:35.894+00",1504907264,"sketchbench-spark-worker-3"
"2021-08-02 00:55:37.846+00",1407463424,"sketchbench-spark-worker-4"
"2021-08-02 00:55:39.163+00",1514778624,"sketchbench-spark-worker-2"
"2021-08-02 00:55:42.05+00",1151967232,"sketchbench-spark-worker-1"
"2021-08-02 00:55:47.099+00",1400766464,"sketchbench-spark-worker-5"
"2021-08-02 00:55:47.457+00",1448751104,"sketchbench-spark-worker-0"
"2021-08-02 00:55:50.664+00",1505808384,"sketchbench-spark-worker-3"
"2021-08-02 00:55:52.246+00",1515151360,"sketchbench-spark-worker-2"
"2021-08-02 00:55:56.293+00",1152094208,"sketchbench-spark-worker-1"
"2021-08-02 00:55:57.643+00",1410027520,"sketchbench-spark-worker-4"
"2021-08-02 00:55:59.949+00",1403633664,"sketchbench-spark-worker-5"
"2021-08-02 00:56:05.083+00",1508175872,"sketchbench-spark-worker-3"
"2021-08-02 00:56:05.968+00",1452199936,"sketchbench-spark-worker-0"
"2021-08-02 00:56:06.133+00",1517662208,"sketchbench-spark-worker-2"
"2021-08-02 00:56:09.242+00",1410629632,"sketchbench-spark-worker-4"
"2021-08-02 00:56:10.681+00",1404289024,"sketchbench-spark-worker-5"
"2021-08-02 00:56:15.507+00",1152163840,"sketchbench-spark-worker-1"
"2021-08-02 00:56:16.211+00",1507987456,"sketchbench-spark-worker-3"
"2021-08-02 00:56:17.064+00",1517670400,"sketchbench-spark-worker-2"
"2021-08-02 00:56:20.598+00",1411567616,"sketchbench-spark-worker-4"
"2021-08-02 00:56:21.485+00",1404690432,"sketchbench-spark-worker-5"
"2021-08-02 00:56:23.879+00",1452564480,"sketchbench-spark-worker-0"
"2021-08-02 00:56:28.568+00",1519878144,"sketchbench-spark-worker-2"
"2021-08-02 00:56:31.959+00",1510285312,"sketchbench-spark-worker-3"
"2021-08-02 00:56:32.894+00",1152172032,"sketchbench-spark-worker-1"
"2021-08-02 00:56:36.431+00",1408323584,"sketchbench-spark-worker-5"
"2021-08-02 00:56:37.631+00",1455570944,"sketchbench-spark-worker-0"
"2021-08-02 00:56:39.798+00",1413902336,"sketchbench-spark-worker-4"
"2021-08-02 00:56:44.466+00",1511424000,"sketchbench-spark-worker-3"
"2021-08-02 00:56:44.551+00",1152442368,"sketchbench-spark-worker-1"
"2021-08-02 00:56:47.131+00",1522503680,"sketchbench-spark-worker-2"
"2021-08-02 00:56:54.541+00",1418002432,"sketchbench-spark-worker-5"
"2021-08-02 00:56:55.887+00",1464463360,"sketchbench-spark-worker-0"
"2021-08-02 00:56:56.601+00",1522597888,"sketchbench-spark-worker-3"
"2021-08-02 00:56:59.651+00",1427021824,"sketchbench-spark-worker-4"
"2021-08-02 00:57:02.378+00",1153544192,"sketchbench-spark-worker-1"
"2021-08-02 00:57:03.668+00",1537114112,"sketchbench-spark-worker-2"
"2021-08-02 00:57:08.271+00",1476517888,"sketchbench-spark-worker-0"
"2021-08-02 00:57:11.844+00",1431302144,"sketchbench-spark-worker-5"
"2021-08-02 00:57:14.335+00",1537441792,"sketchbench-spark-worker-3"
"2021-08-02 00:57:15.127+00",1439997952,"sketchbench-spark-worker-4"
"2021-08-02 00:57:21.097+00",1153138688,"sketchbench-spark-worker-1"
"2021-08-02 00:57:21.64+00",1552375808,"sketchbench-spark-worker-2"
"2021-08-02 00:57:24.285+00",1486385152,"sketchbench-spark-worker-0"
"2021-08-02 00:57:28.18+00",1440784384,"sketchbench-spark-worker-5"
"2021-08-02 00:57:32.454+00",1448689664,"sketchbench-spark-worker-4"
"2021-08-02 00:57:33.119+00",1556508672,"sketchbench-spark-worker-2"
"2021-08-02 00:57:33.3+00",1153593344,"sketchbench-spark-worker-1"
"2021-08-02 00:57:33.528+00",1547046912,"sketchbench-spark-worker-3"
"2021-08-02 00:57:40.247+00",1447395328,"sketchbench-spark-worker-5"
"2021-08-02 00:57:41.687+00",1493352448,"sketchbench-spark-worker-0"
"2021-08-02 00:57:45.656+00",1153896448,"sketchbench-spark-worker-1"
"2021-08-02 00:57:48.811+00",1458245632,"sketchbench-spark-worker-4"
"2021-08-02 00:57:49.551+00",1565167616,"sketchbench-spark-worker-2"
"2021-08-02 00:57:51.565+00",1557811200,"sketchbench-spark-worker-3"
"2021-08-02 00:58:00.038+00",1458864128,"sketchbench-spark-worker-5"
"2021-08-02 00:58:00.307+00",1506586624,"sketchbench-spark-worker-0"
"2021-08-02 00:58:01.283+00",1154048000,"sketchbench-spark-worker-1"
"2021-08-02 00:58:03.884+00",1573396480,"sketchbench-spark-worker-2"
"2021-08-02 00:58:05.298+00",1466052608,"sketchbench-spark-worker-4"
"2021-08-02 00:58:11.242+00",1565663232,"sketchbench-spark-worker-3"
"2021-08-02 00:58:14.306+00",1154088960,"sketchbench-spark-worker-1"
"2021-08-02 00:58:14.346+00",1511641088,"sketchbench-spark-worker-0"
"2021-08-02 00:58:16.527+00",1465393152,"sketchbench-spark-worker-5"
"2021-08-02 00:58:17.626+00",1579327488,"sketchbench-spark-worker-2"
"2021-08-02 00:58:19.665+00",1472647168,"sketchbench-spark-worker-4"
"2021-08-02 00:58:27.025+00",1154834432,"sketchbench-spark-worker-1"
"2021-08-02 00:58:27.676+00",1585594368,"sketchbench-spark-worker-2"
"2021-08-02 00:58:28.441+00",1576509440,"sketchbench-spark-worker-3"
"2021-08-02 00:58:29.687+00",1478483968,"sketchbench-spark-worker-4"
"2021-08-02 00:58:30.927+00",1520877568,"sketchbench-spark-worker-0"
"2021-08-02 00:58:33.401+00",1474658304,"sketchbench-spark-worker-5"
"2021-08-02 00:58:40.965+00",1528885248,"sketchbench-spark-worker-0"
"2021-08-02 00:58:41.521+00",1154711552,"sketchbench-spark-worker-1"
"2021-08-02 00:58:42.344+00",1587331072,"sketchbench-spark-worker-3"
"2021-08-02 00:58:42.979+00",1594466304,"sketchbench-spark-worker-2"
"2021-08-02 00:58:45.599+00",1470078976,"sketchbench-spark-worker-4"
"2021-08-02 00:58:49.317+00",1465311232,"sketchbench-spark-worker-5"
"2021-08-02 00:58:52.135+00",1154850816,"sketchbench-spark-worker-1"
"2021-08-02 00:58:55.127+00",1514065920,"sketchbench-spark-worker-0"
"2021-08-02 00:58:57.248+00",1473732608,"sketchbench-spark-worker-4"
"2021-08-02 00:58:59.759+00",1578524672,"sketchbench-spark-worker-2"
"2021-08-02 00:59:00.783+00",1575010304,"sketchbench-spark-worker-3"
"2021-08-02 00:59:00.86+00",1469444096,"sketchbench-spark-worker-5"
"2021-08-02 00:59:05.469+00",1155477504,"sketchbench-spark-worker-1"
"2021-08-02 00:59:07.792+00",1522593792,"sketchbench-spark-worker-0"
"2021-08-02 00:59:09.668+00",1481695232,"sketchbench-spark-worker-4"
"2021-08-02 00:59:10.274+00",1587109888,"sketchbench-spark-worker-2"
"2021-08-02 00:59:17.51+00",1481101312,"sketchbench-spark-worker-5"
"2021-08-02 00:59:19.947+00",1155338240,"sketchbench-spark-worker-1"
"2021-08-02 00:59:20.589+00",1590894592,"sketchbench-spark-worker-3"
"2021-08-02 00:59:21.112+00",1594748928,"sketchbench-spark-worker-2"
"2021-08-02 00:59:22.72+00",1533255680,"sketchbench-spark-worker-0"
"2021-08-02 00:59:26.168+00",1480572928,"sketchbench-spark-worker-4"
"2021-08-02 00:59:29.775+00",1474674688,"sketchbench-spark-worker-5"
"2021-08-02 00:59:31.81+00",1584132096,"sketchbench-spark-worker-3"
"2021-08-02 00:59:31.85+00",1155284992,"sketchbench-spark-worker-1"
"2021-08-02 00:59:35.081+00",1589002240,"sketchbench-spark-worker-2"
"2021-08-02 00:59:38.353+00",1484840960,"sketchbench-spark-worker-4"
"2021-08-02 00:59:42.419+00",1530445824,"sketchbench-spark-worker-0"
"2021-08-02 00:59:44.049+00",1589026816,"sketchbench-spark-worker-3"
"2021-08-02 00:59:45.065+00",1483223040,"sketchbench-spark-worker-5"
"2021-08-02 00:59:47.079+00",1156153344,"sketchbench-spark-worker-1"
"2021-08-02 00:59:50.573+00",1598676992,"sketchbench-spark-worker-2"
"2021-08-02 00:59:53.163+00",1537544192,"sketchbench-spark-worker-0"
"2021-08-02 00:59:58.24+00",1499602944,"sketchbench-spark-worker-4"
"2021-08-02 00:59:59.483+00",1494589440,"sketchbench-spark-worker-5"
"2021-08-02 01:00:01.058+00",1603186688,"sketchbench-spark-worker-3"
"2021-08-02 01:00:03.318+00",1603792896,"sketchbench-spark-worker-2"
"2021-08-02 01:00:03.378+00",1156014080,"sketchbench-spark-worker-1"
"2021-08-02 01:00:09.316+00",1535909888,"sketchbench-spark-worker-0"
"2021-08-02 01:00:15.175+00",1492955136,"sketchbench-spark-worker-4"
"2021-08-02 01:00:15.361+00",1156272128,"sketchbench-spark-worker-1"
