"time","value_mem_bytes","pod"
"2021-08-02 00:50:02.587+00",919580672,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:50:13.548+00",919760896,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:50:27.636+00",920342528,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:50:42.857+00",925900800,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:51:01.505+00",926158848,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:51:18.835+00",931938304,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:51:34.532+00",932392960,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:51:53.047+00",932630528,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:52:06.747+00",938483712,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:52:26.409+00",938643456,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:52:41.563+00",938967040,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:53:00.528+00",939909120,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:53:12.673+00",940122112,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:53:29.17+00",940425216,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:53:46.948+00",940412928,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:54:00.057+00",940589056,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:54:15.44+00",940613632,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:54:32.283+00",940826624,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:54:51.483+00",941121536,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:55:05.354+00",941178880,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:55:17.393+00",941195264,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:55:31.36+00",941211648,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:55:48.359+00",941568000,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:56:05.989+00",941473792,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:56:16.718+00",941711360,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:56:35.91+00",941543424,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:56:49.724+00",942100480,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:57:01.316+00",942358528,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:57:21.129+00",942231552,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:57:39.098+00",942555136,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:57:52.383+00",942948352,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:58:08.842+00",943177728,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:58:28.427+00",943464448,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:58:45.776+00",943616000,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:58:56.166+00",944095232,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:59:10.89+00",944037888,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:59:28.582+00",944291840,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:59:40.495+00",944128000,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 00:59:55.109+00",944435200,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:00:06.995+00",944578560,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:00:19.139+00",945139712,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:00:34.86+00",945139712,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:00:48.113+00",945188864,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:01:05.019+00",945401856,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:01:23.805+00",945643520,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:01:35.629+00",946077696,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:01:54.662+00",946098176,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:02:10.55+00",946155520,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:02:22.065+00",946561024,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:02:35.406+00",946180096,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:02:53.692+00",946266112,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:03:10.254+00",946638848,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:03:22.232+00",950657024,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:03:38.868+00",950517760,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:03:52.48+00",950435840,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:04:05.551+00",950562816,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:04:17.21+00",950837248,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:04:33.718+00",950845440,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:04:46.625+00",961536000,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:05:02.346+00",962240512,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:05:12.986+00",962207744,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:05:27.844+00",962039808,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:05:45.306+00",962297856,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:05:59.293+00",962359296,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:06:12.783+00",962654208,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:06:26.39+00",962306048,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:06:45.213+00",962424832,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
"2021-08-02 01:07:02.632+00",962453504,"sketchbench-bullet-spark-backend-78dccc9579-rjzhd"
