"time","current_consumer_offset","consumergroup","kafka_partition"
"2021-08-02 00:50:04.576+00",260158,"bullet-consumer-group","1"
"2021-08-02 00:50:04.576+00",260216,"bullet-consumer-group","4"
"2021-08-02 00:50:04.576+00",261392,"bullet-consumer-group","0"
"2021-08-02 00:50:04.576+00",260402,"bullet-consumer-group","2"
"2021-08-02 00:50:04.576+00",260231,"bullet-consumer-group","3"
"2021-08-02 00:50:14.584+00",262541,"bullet-consumer-group","2"
"2021-08-02 00:50:14.584+00",263524,"bullet-consumer-group","0"
"2021-08-02 00:50:14.584+00",262237,"bullet-consumer-group","1"
"2021-08-02 00:50:14.584+00",262402,"bullet-consumer-group","3"
"2021-08-02 00:50:14.584+00",262351,"bullet-consumer-group","4"
"2021-08-02 00:50:24.576+00",264722,"bullet-consumer-group","2"
"2021-08-02 00:50:24.576+00",264508,"bullet-consumer-group","3"
"2021-08-02 00:50:24.576+00",265614,"bullet-consumer-group","0"
"2021-08-02 00:50:24.576+00",264527,"bullet-consumer-group","4"
"2021-08-02 00:50:24.576+00",264327,"bullet-consumer-group","1"
"2021-08-02 00:50:34.576+00",267785,"bullet-consumer-group","0"
"2021-08-02 00:50:34.576+00",266488,"bullet-consumer-group","1"
"2021-08-02 00:50:34.576+00",266612,"bullet-consumer-group","4"
"2021-08-02 00:50:34.576+00",266843,"bullet-consumer-group","2"
"2021-08-02 00:50:34.576+00",266625,"bullet-consumer-group","3"
"2021-08-02 00:50:44.576+00",268996,"bullet-consumer-group","2"
"2021-08-02 00:50:44.576+00",268734,"bullet-consumer-group","4"
"2021-08-02 00:50:44.576+00",268656,"bullet-consumer-group","1"
"2021-08-02 00:50:44.576+00",268750,"bullet-consumer-group","3"
"2021-08-02 00:50:44.576+00",269871,"bullet-consumer-group","0"
"2021-08-02 00:50:54.576+00",271995,"bullet-consumer-group","0"
"2021-08-02 00:50:54.576+00",270859,"bullet-consumer-group","4"
"2021-08-02 00:50:54.576+00",271132,"bullet-consumer-group","2"
"2021-08-02 00:50:54.576+00",270867,"bullet-consumer-group","3"
"2021-08-02 00:50:54.576+00",270789,"bullet-consumer-group","1"
"2021-08-02 00:51:04.681+00",273220,"bullet-consumer-group","2"
"2021-08-02 00:51:04.681+00",273032,"bullet-consumer-group","4"
"2021-08-02 00:51:04.681+00",274132,"bullet-consumer-group","0"
"2021-08-02 00:51:04.681+00",272963,"bullet-consumer-group","1"
"2021-08-02 00:51:04.681+00",273036,"bullet-consumer-group","3"
"2021-08-02 00:51:14.576+00",276258,"bullet-consumer-group","0"
"2021-08-02 00:51:14.576+00",275106,"bullet-consumer-group","4"
"2021-08-02 00:51:14.576+00",275130,"bullet-consumer-group","1"
"2021-08-02 00:51:14.576+00",275156,"bullet-consumer-group","3"
"2021-08-02 00:51:14.576+00",275389,"bullet-consumer-group","2"
"2021-08-02 00:51:24.576+00",277255,"bullet-consumer-group","1"
"2021-08-02 00:51:24.576+00",277252,"bullet-consumer-group","3"
"2021-08-02 00:51:24.576+00",277201,"bullet-consumer-group","4"
"2021-08-02 00:51:24.576+00",278371,"bullet-consumer-group","0"
"2021-08-02 00:51:24.576+00",277540,"bullet-consumer-group","2"
"2021-08-02 00:51:34.579+00",279416,"bullet-consumer-group","3"
"2021-08-02 00:51:34.579+00",279351,"bullet-consumer-group","4"
"2021-08-02 00:51:34.579+00",280532,"bullet-consumer-group","0"
"2021-08-02 00:51:34.579+00",279612,"bullet-consumer-group","2"
"2021-08-02 00:51:34.579+00",279405,"bullet-consumer-group","1"
"2021-08-02 00:51:44.576+00",281516,"bullet-consumer-group","3"
"2021-08-02 00:51:44.576+00",281388,"bullet-consumer-group","4"
"2021-08-02 00:51:44.576+00",282687,"bullet-consumer-group","0"
"2021-08-02 00:51:44.576+00",281808,"bullet-consumer-group","2"
"2021-08-02 00:51:44.576+00",281580,"bullet-consumer-group","1"
"2021-08-02 00:51:54.576+00",284805,"bullet-consumer-group","0"
"2021-08-02 00:51:54.576+00",283939,"bullet-consumer-group","2"
"2021-08-02 00:51:54.576+00",283556,"bullet-consumer-group","4"
"2021-08-02 00:51:54.576+00",283775,"bullet-consumer-group","1"
"2021-08-02 00:51:54.576+00",283663,"bullet-consumer-group","3"
"2021-08-02 00:52:04.576+00",286083,"bullet-consumer-group","2"
